,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,9672.0,-2524.0,244.0,110.25277653333333,1,0.0,False
25814,0 days 00:57:15.466000,9673.441713503615,-2518.728108338166,243.99805859077375,110.0,1,0.0,False
25815,0 days 00:57:15.746000,9676.685939148994,-2446.0945824683026,243.9377642825317,99.0,1,0.0,False
25816,0 days 00:57:15.833000,9671.0,-2428.0,244.0,97.3687536,1,0.0,False
25817,0 days 00:57:16.066000,9645.335366762201,-2375.579074237663,244.46668949947056,93.0,1,0.0,False
25818,0 days 00:57:16.333000,9612.0,-2325.0,245.0,90.13928502857142,1,0.0,False
25819,0 days 00:57:16.346000,9610.72379276158,-2323.306042362364,245.00936309593746,90.0,1,0.0,False
25820,0 days 00:57:16.506000,9596.766474475986,-2307.104487938446,245.01253155481365,86.0,1,0.0,False
25821,0 days 00:57:16.573000,9589.0,-2299.0,245.0,86.76136436363636,1,0.0,False
25822,0 days 00:57:16.813000,9547.0,-2257.0,245.0,89.4886370909091,1,0.0,False
25823,0 days 00:57:16.946000,9520.119534357429,-2232.903998645466,245.00159854135012,91.0,1,0.0,False
25824,0 days 00:57:17.153000,9477.0,-2197.0,245.0,93.5874976,1,0.0,False
25825,0 days 00:57:17.186000,9470.247109145603,-2191.4497205932266,244.9998694502994,94.0,1,0.0,False
25826,0 days 00:57:17.466000,9413.91394817607,-2145.6560919677486,245.00005436741475,100.0,1,0.0,False
25827,0 days 00:57:17.553000,9396.0,-2131.0,245.0,101.359372,1,0.0,False
25828,0 days 00:57:17.693000,9365.0,-2105.0,245.0,103.546876,1,0.0,False
25829,0 days 00:57:17.786000,9338.584218014219,-2081.244383400992,245.00150188629547,105.0,1,0.0,False
25830,0 days 00:57:17.973000,9282.0,-2028.0,245.0,115.01786057142857,1,0.0,False
25831,0 days 00:57:18.066000,9262.108818364657,-2008.652387340723,244.99010233819354,120.0,1,0.0,False
25832,0 days 00:57:18.266000,9230.826138677896,-1973.427891792626,244.9892336375616,128.0,1,0.0,False
25833,0 days 00:57:18.293000,9226.0,-1967.0,245.0,127.88749973333333,1,0.0,False
25834,0 days 00:57:18.506000,9181.832461902872,-1900.9499232187954,245.13184345808008,127.0,1,0.0,False
25835,0 days 00:57:18.593000,9166.0,-1873.0,245.0,125.7571456,1,0.0,False
25836,0 days 00:57:18.786000,9142.01627229003,-1817.3328163412648,244.1253932922471,123.0,1,0.0,False
25837,0 days 00:57:18.893000,9133.0,-1786.0,244.0,121.12749888,1,0.0,False
25838,0 days 00:57:19.133000,9120.0,-1710.0,245.0,116.92749888,1,0.0,False
25839,0 days 00:57:19.186000,9118.60970242981,-1694.0944506834394,244.86693875615015,116.0,1,0.0,False
25840,0 days 00:57:19.333000,9120.0,-1646.0,244.0,113.37499885714286,1,0.0,False
25841,0 days 00:57:19.466000,9133.231375054875,-1581.977307667602,243.807253855515,111.0,1,0.0,False
25842,0 days 00:57:19.632000,9153.0,-1510.0,244.0,108.03571657142857,1,0.0,False
25843,0 days 00:57:19.746000,9158.313298896679,-1494.4780330253868,244.02312400667725,106.0,1,0.0,False
25844,0 days 00:57:19.873000,9165.0,-1484.0,244.0,104.08542818292568,1,0.0,False
25845,0 days 00:57:19.945000,9173.698240716558,-1467.8095169020914,243.9949582399145,103.0,1,0.0,False
25846,0 days 00:57:20.133000,9210.0,-1405.0,244.0,100.6499968,1,0.0,False
25847,0 days 00:57:20.265000,9242.442480006948,-1364.9610507292145,244.00483279037505,99.0,1,0.0,False
25848,0 days 00:57:20.393000,9271.0,-1335.0,244.0,96.20872441098103,1,0.0,False
25849,0 days 00:57:20.586000,9295.249904965749,-1312.6584952213589,243.96474179752613,92.0,1,0.0,False
25850,0 days 00:57:20.693000,9310.0,-1302.0,244.0,91.5541664,1,0.0,False
25851,0 days 00:57:20.826000,9336.921844774977,-1283.8024947644703,244.14036311150133,91.0,1,0.0,False
25852,0 days 00:57:20.933000,9361.0,-1269.0,244.0,91.53500032,1,0.0,False
25853,0 days 00:57:21.026000,9380.985737140094,-1258.311200045225,243.4959387036175,92.0,1,-1.1505181251678647,True
25854,0 days 00:57:21.113000,9403.0,-1249.0,243.0,93.0874976,1,-1.102696309365339,True
25855,0 days 00:57:21.186000,9426.823826842094,-1240.8989991310357,242.77372791555584,94.0,1,-1.089951024555318,True
25856,0 days 00:57:21.386000,9509.1993762723,-1218.8933487238764,242.90423532868186,97.0,1,-0.9486742974724094,True
25857,0 days 00:57:21.493000,9539.0,-1212.0,243.0,99.0062512,1,-0.8928660845623281,True
25858,0 days 00:57:21.546000,9547.905320427482,-1210.266676056279,243.01650386099865,100.0,1,-0.8023949038615023,True
25859,0 days 00:57:21.733000,9568.0,-1209.0,243.0,103.74000128,1,-0.7646886587325852,True
25860,0 days 00:57:21.746000,9570.726025770246,-1208.7841747221382,243.0035043895234,104.0,1,-0.7258652072628916,True
25861,0 days 00:57:21.906000,9619.133647069017,-1204.5904721339527,243.0375164902917,109.0,1,-0.6449606967109655,True
25862,0 days 00:57:21.933000,9628.0,-1204.0,243.0,109.843752,1,-0.567827428566155,True
25863,0 days 00:57:22.213000,9718.0,-1202.0,242.0,118.593752,1,-0.39076984531608366,False
25864,0 days 00:57:22.226000,9722.279502593621,-1201.990319653924,241.97296889121534,119.0,1,-0.3280268529839333,False
25865,0 days 00:57:22.426000,9790.305206013227,-1202.0865895791283,241.9508947317811,126.0,1,-0.2052332174616936,False
25866,0 days 00:57:22.473000,9807.0,-1202.0,242.0,128.203116,1,-0.10691138825150621,False
25867,0 days 00:57:22.693000,9889.0,-1200.0,242.0,138.515628,1,0.04749335530558586,False
25868,0 days 00:57:22.746000,9909.693261483932,-1198.6986461969807,241.67972927114354,141.0,1,0.12231415920541608,False
25869,0 days 00:57:22.853000,9952.0,-1195.0,241.0,145.0125024,1,0.21918513110066523,False
25870,0 days 00:57:22.986000,10003.902553271644,-1188.566239373206,241.43020223204832,150.0,1,0.3622186087575944,False
25871,0 days 00:57:23.093000,10049.0,-1178.0,242.0,151.60500096,1,0.43858646533732404,False
25872,0 days 00:57:23.186000,10092.995684965515,-1162.5553290459718,242.14415106230734,153.0,1,0.5229632112774782,True
25873,0 days 00:57:23.333000,10159.0,-1136.0,242.0,152.26499968,1,0.5863794518635294,True
25874,0 days 00:57:23.386000,10176.458744352429,-1129.844383547017,241.95895059616478,152.0,1,0.6620650779385424,True
25875,0 days 00:57:23.746000,10290.90432315135,-1052.9598133856034,242.92568033439642,159.0,1,0.7593509707599477,True
25876,0 days 00:57:23.753000,10296.0,-1048.0,243.0,158.9562512,1,0.7999894686523373,True
25877,0 days 00:57:23.833000,10360.0,-984.0,244.0,158.4562512,1,0.8461689741192427,True
