,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,-2206.0,-3026.0,255.0,203.2166656,1,0.0,False
25814,0 days 00:57:15.466000,-2216.2993228347314,-3022.08038363631,254.97841249886181,203.0,1,0.0,False
25815,0 days 00:57:15.746000,-2355.302951833365,-2946.1306390054547,253.646383113964,202.0,1,0.0,False
25816,0 days 00:57:15.833000,-2390.0,-2921.0,253.0,202.2718744,1,0.0,False
25817,0 days 00:57:16.066000,-2492.965961259244,-2844.0413044270763,250.85798934635716,203.0,1,0.0,False
25818,0 days 00:57:16.333000,-2598.0,-2760.0,249.0,206.81428662857144,1,0.0,False
25819,0 days 00:57:16.346000,-2601.809463327772,-2756.6802709997455,248.96676905342719,207.0,1,0.0,False
25820,0 days 00:57:16.506000,-2640.731525422516,-2720.493291907582,248.94697366963985,207.0,1,0.0,False
25821,0 days 00:57:16.573000,-2659.0,-2704.0,249.0,207.91363723636363,1,0.0,False
25822,0 days 00:57:16.813000,-2742.0,-2635.0,249.0,211.1863645090909,1,0.0,False
25823,0 days 00:57:16.946000,-2780.75780794004,-2605.1634833865965,248.6777647050204,213.0,1,0.0,False
25824,0 days 00:57:17.153000,-2843.0,-2566.0,248.0,213.0,1,0.0,False
25825,0 days 00:57:17.186000,-2856.0558642953915,-2559.0368040574413,247.9259760387777,213.0,1,0.0,False
25826,0 days 00:57:17.466000,-2997.9850913882206,-2494.712917113608,247.45388968173972,220.0,1,0.0,False
25827,0 days 00:57:17.553000,-3046.0,-2478.0,247.0,219.1843768,1,0.0,False
25828,0 days 00:57:17.693000,-3128.0,-2457.0,246.0,217.8718744,1,0.0,False
25829,0 days 00:57:17.786000,-3198.8716260262404,-2447.789590434766,245.78212065219495,217.0,1,0.0,False
25830,0 days 00:57:17.973000,-3350.0,-2440.0,246.0,218.33571474285714,1,0.0,False
25831,0 days 00:57:18.066000,-3400.0843998342284,-2440.6112320939073,245.85199447600505,219.0,1,0.0,False
25832,0 days 00:57:18.266000,-3478.051487083574,-2452.956342945726,245.09824572384267,223.0,1,0.0,False
25833,0 days 00:57:18.293000,-3492.0,-2456.0,245.0,223.0,1,0.0,False
25834,0 days 00:57:18.506000,-3634.635362296358,-2490.8427566335704,244.30513862370805,223.0,1,0.0,False
25835,0 days 00:57:18.593000,-3691.0,-2507.0,244.0,220.2035776,1,0.0,False
25836,0 days 00:57:18.786000,-3789.647267201768,-2542.601681053327,243.22546938254706,214.0,1,0.0,False
25837,0 days 00:57:18.893000,-3841.0,-2566.0,243.0,210.78999808,1,0.0,False
25838,0 days 00:57:19.133000,-3963.0,-2631.0,243.0,203.58999808000002,1,0.0,False
25839,0 days 00:57:19.186000,-3987.133972986526,-2645.25631524068,242.77160093803118,202.0,1,0.0,False
25840,0 days 00:57:19.333000,-4055.0,-2693.0,242.0,195.69999725714285,1,0.0,False
25841,0 days 00:57:19.466000,-4137.409890926779,-2768.9418656436505,242.24514630397547,190.0,1,0.0,False
25842,0 days 00:57:19.632000,-4226.0,-2858.0,243.0,185.25714651428572,1,0.0,False
25843,0 days 00:57:19.746000,-4243.017920343174,-2875.083448892847,243.07677698449376,182.0,1,0.0,False
25844,0 days 00:57:19.873000,-4256.0,-2897.0,243.0,174.34171273170273,1,0.0,False
25845,0 days 00:57:19.945000,-4279.380252262362,-2934.3325332194304,243.01939578594255,170.0,1,0.0,False
25846,0 days 00:57:20.133000,-4363.0,-3079.0,243.0,164.124992,1,0.0,False
25847,0 days 00:57:20.265000,-4392.934050490661,-3164.4627554564986,242.4979221060115,160.0,1,0.0,False
25848,0 days 00:57:20.393000,-4406.0,-3227.0,242.0,155.61370978868447,1,0.0,False
25849,0 days 00:57:20.586000,-4414.824010222967,-3279.404319427766,241.93547878027243,149.0,1,0.0,False
25850,0 days 00:57:20.693000,-4417.0,-3309.0,242.0,146.3249984,1,0.0,False
25851,0 days 00:57:20.826000,-4418.933399761881,-3360.9758007794917,242.01074662344553,143.0,1,0.0,False
25852,0 days 00:57:20.933000,-4419.0,-3404.0,242.0,139.78999808,1,0.0,False
25853,0 days 00:57:21.026000,-4417.455722798746,-3435.65930725723,241.9985397505976,137.0,1,2.6564702341939017,True
25854,0 days 00:57:21.113000,-4413.0,-3467.0,242.0,134.281256,1,2.656697178869473,True
25855,0 days 00:57:21.186000,-4405.852109392964,-3499.169634681263,242.0006678207658,132.0,1,2.60676555501756,True
25856,0 days 00:57:21.386000,-4374.007444692904,-3605.193246175298,242.00029069468553,128.0,1,2.5845781347778787,True
25857,0 days 00:57:21.493000,-4361.0,-3643.0,242.0,125.9937488,1,2.5280628166515884,True
25858,0 days 00:57:21.546000,-4356.605881618665,-3654.219270128487,241.99994258762027,125.0,1,2.4707257601467134,True
25859,0 days 00:57:21.733000,-4343.0,-3675.0,242.0,122.19499904,1,2.4644533087939564,True
25860,0 days 00:57:21.746000,-4341.26104933971,-3677.4680157545085,241.99999904176403,122.0,1,2.445007688272182,True
25861,0 days 00:57:21.906000,-4310.923357710498,-3719.7226294039433,241.9999675478117,122.0,1,2.421381057462504,True
25862,0 days 00:57:21.933000,-4305.0,-3727.0,242.0,121.7468744,1,2.375128115464384,True
25863,0 days 00:57:22.213000,-4237.0,-3790.0,242.0,119.1218744,1,2.3248285124464503,True
25864,0 days 00:57:22.226000,-4233.623903709172,-3792.4469924040322,241.9998503318548,119.0,1,2.2904183399565388,True
25865,0 days 00:57:22.426000,-4179.054000320659,-3825.3474082826956,241.99786229582125,117.0,1,2.263182014139661,True
25866,0 days 00:57:22.473000,-4165.0,-3832.0,242.0,117.734372,1,2.1794081453868674,True
25867,0 days 00:57:22.693000,-4093.0,-3858.0,242.0,121.171876,1,2.1224474154875805,True
25868,0 days 00:57:22.746000,-4075.0393878691993,-3862.844555943775,241.97664641658452,122.0,1,2.074919164735501,True
25869,0 days 00:57:22.853000,-4039.0,-3871.0,242.0,122.8916672,1,2.022462587335528,True
25870,0 days 00:57:22.986000,-3996.2652297846107,-3878.4598087142244,242.47533895452352,124.0,1,1.9192944581438753,True
25871,0 days 00:57:23.093000,-3957.0,-3883.0,243.0,129.3500032,1,1.869284523766621,True
25872,0 days 00:57:23.186000,-3915.361408538736,-3886.296148397256,243.4214148003838,134.0,1,1.7976046547378621,True
25873,0 days 00:57:23.333000,-3851.0,-3890.0,244.0,137.6750016,1,1.751480171419164,True
25874,0 days 00:57:23.386000,-3834.7855939968626,-3890.768781715014,244.17316865626356,139.0,1,1.65105109526762,True
25875,0 days 00:57:23.746000,-3701.1989946910994,-3892.8507118224265,245.92027746955446,153.0,1,1.5150855763096498,True
25876,0 days 00:57:23.753000,-3694.0,-3893.0,246.0,153.1749952,1,1.439987705037017,True
25877,0 days 00:57:23.833000,-3602.0,-3895.0,247.0,155.1749952,1,1.3333621619134264,True
25878,0 days 00:57:23.906000,-3532.344977468345,-3896.6060798167528,247.7474767996698,157.0,1,1.1838753008226917,True
25879,0 days 00:57:24.146000,-3427.5315723279614,-3899.8055901889743,248.79216533989867,167.0,1,1.0934854845968107,True
25880,0 days 00:57:24.293000,-3388.0,-3902.0,249.0,168.8375008,1,1.0115694400834376,True
25881,0 days 00:57:24.386000,-3361.4312213630983,-3903.7735984444957,249.06528475756338,170.0,1,0.918101504079241,True
25882,0 days 00:57:24.586000,-3298.7158443345893,-3908.8479539119153,249.04521254900584,182.0,1,0.797064329382589,True
25883,0 days 00:57:24.753000,-3225.0,-3917.0,249.0,190.3499904,1,0.7476249970768999,True
25884,0 days 00:57:24.946000,-3119.2263521767504,-3930.564942403343,248.99695029136151,200.0,1,0.6942389279454599,True
25885,0 days 00:57:24.953000,-3116.0,-3931.0,249.0,200.0,1,0.665342624841022,True
25886,0 days 00:57:25.173000,-3034.0,-3943.0,249.0,200.0,1,0.5367475504703206,True
25887,0 days 00:57:25.226000,-3008.084755892109,-3947.043527683078,248.8118608621369,200.0,1,0.4755524981923834,False
25888,0 days 00:57:25.373000,-2919.0,-3961.0,248.0,208.7281288,1,0.4221024635363179,False
25889,0 days 00:57:25.546000,-2791.957323926294,-3980.912473295813,247.15296692293137,219.0,1,0.37504472193954697,False
25890,0 days 00:57:25.573000,-2768.0,-3985.0,247.0,219.56250133333333,1,0.35423071559835084,False
25891,0 days 00:57:25.733000,-2610.0,-4014.0,246.0,222.89583466666667,1,0.3101990734648694,False
25892,0 days 00:57:25.786000,-2564.5218862895545,-4022.9071766878697,245.75704356898913,224.0,1,0.28440465902398576,False
25893,0 days 00:57:25.946000,-2460.156307885206,-4045.317244809171,245.40701189285494,230.0,1,0.2645351821245759,False
25894,0 days 00:57:26.146000,-2360.9278474145785,-4068.338242312984,245.02037178445897,235.0,1,0.23675872368510736,False
25895,0 days 00:57:26.152000,-2358.0,-4069.0,245.0,235.08571245714285,1,0.2207048592469405,False
25896,0 days 00:57:26.426000,-2219.141513471556,-4098.23317003971,244.0004830004011,239.0,1,0.16473988776284132,False
25897,0 days 00:57:26.433000,-2215.0,-4099.0,244.0,239.1754827456621,1,0.148443153985843,False
25898,0 days 00:57:26.733000,-2015.0,-4130.0,245.0,246.69638455071262,1,0.13027171660146503,False
25899,0 days 00:57:26.785000,-1982.9983961165024,-4133.295625083907,245.0309266899234,248.0,1,0.11333120087286568,False
25900,0 days 00:57:26.973000,-1856.0,-4140.0,245.0,250.82000384,1,0.10363626358911594,False
25901,0 days 00:57:26.985000,-1844.9892451726719,-4140.2961124024505,245.04087173926388,251.0,1,0.07385372196359748,False
25902,0 days 00:57:27.153000,-1671.0,-4143.0,246.0,253.788379521291,1,0.057268223514688674,False
25903,0 days 00:57:27.226000,-1613.1311545964188,-4143.10286562221,246.2714926368176,255.0,1,0.021105160961271123,False
25904,0 days 00:57:27.386000,-1534.3304782065766,-4141.028047384568,246.36261983067592,259.0,1,0.01099898781346507,False
25905,0 days 00:57:27.513000,-1470.0,-4138.0,246.0,260.5874976,1,-0.008283466144257423,False
25906,0 days 00:57:27.626000,-1398.0379448319447,-4134.516077412513,245.36995246550777,262.0,1,-0.018872525819901467,False
25907,0 days 00:57:27.733000,-1309.0,-4130.0,245.0,264.229168,1,-0.03474046241270282,False
25908,0 days 00:57:27.866000,-1159.9555996347165,-4122.078038273492,245.47502620295967,267.0,1,-0.052400237266631115,False
25909,0 days 00:57:27.973000,-1043.0,-4116.0,246.0,268.1888896,1,-0.06586658326258936,False
25910,0 days 00:57:28.226000,-876.1727957236347,-4108.99543492874,245.95906569390198,271.0,1,-0.08226866899166871,False
25911,0 days 00:57:28.426000,-769.4635446596544,-4106.441142076473,245.91896342671356,274.0,1,-0.09082010126139378,False
25912,0 days 00:57:28.453000,-751.0,-4106.0,246.0,274.36818269090907,1,-0.09179062753888373,False
25913,0 days 00:57:28.673000,-575.0,-4102.0,247.0,277.3681792,1,-0.10262761857338991,False
25914,0 days 00:57:28.833000,-451.0,-4100.0,247.0,279.5499973818182,1,-0.1084342302886788,False
25915,0 days 00:57:28.866000,-426.27915687215585,-4099.674189469196,247.06177572044535,280.0,1,-0.1045618695236988,False
25916,0 days 00:57:29.053000,-287.0,-4098.0,248.0,282.67142948571427,1,-0.11321403309002243,False
25917,0 days 00:57:29.146000,-212.99984928491202,-4096.889158708173,248.65160170775172,284.0,1,-0.1054911443521808,False
25918,0 days 00:57:29.213000,-153.0,-4096.0,249.0,284.0,1,-0.10482101674176374,False
25919,0 days 00:57:29.306000,-55.838432782461226,-4094.702028145213,249.1218158616587,284.0,1,-0.10826609750902288,False
25920,0 days 00:57:29.433000,76.0,-4093.0,249.0,285.81428297142855,1,-0.11371757610315725,False
25921,0 days 00:57:29.586000,180.30740781937968,-4091.4338830999327,249.1852581684644,288.0,1,-0.12034534724809656,False
25922,0 days 00:57:29.746000,271.2154541258148,-4090.061946383103,249.03441018910985,290.0,1,-0.11244938701713143,False
25923,0 days 00:57:29.753000,276.0,-4090.0,249.0,290.0656232,1,-0.10850863589499225,False
25924,0 days 00:57:30.013000,486.0,-4088.0,247.0,292.5031256,1,-0.11614137811071198,False
25925,0 days 00:57:30.066000,527.9451309396763,-4087.8888745190943,246.92289701145043,293.0,1,-0.09743907269591826,False
25926,0 days 00:57:30.213000,641.0,-4089.0,247.0,294.47000064,1,-0.09832836768073375,False
25927,0 days 00:57:30.266000,683.0540119745436,-4090.372933991424,246.74081439085546,295.0,1,-0.08690251023490381,False
25928,0 days 00:57:30.393000,786.0,-4096.0,246.0,295.63499904,1,-0.07995707405985701,False
25929,0 days 00:57:30.466000,845.1771740897212,-4100.847342600569,246.14597028666904,296.0,1,-0.07155214655423017,False
25930,0 days 00:57:30.613000,964.0,-4115.0,247.0,297.00227316363635,1,-0.06051931400300746,False
25931,0 days 00:57:30.833000,1141.0,-4150.0,247.0,298.5022714181818,1,-0.04575260649581426,False
25932,0 days 00:57:30.906000,1199.8630862852542,-4164.924825095001,247.41806459958315,299.0,1,-0.0215840494898006,False
25933,0 days 00:57:30.993000,1271.0,-4185.0,248.0,299.65249856,1,-0.01591702737045062,False
25934,0 days 00:57:31.253000,1480.0,-4254.0,248.0,301.60250048,1,0.020513943376544885,False
25935,0 days 00:57:31.306000,1512.2553124521303,-4265.341220809415,247.83369936530895,302.0,1,0.03276886312911308,False
25936,0 days 00:57:31.546000,1707.14484440699,-4334.847673259869,247.0070256648132,303.0,1,0.06575010609864224,False
25937,0 days 00:57:31.553000,1719.0,-4339.0,247.0,303.03888782222225,1,0.0717761743409583,False
25938,0 days 00:57:31.653000,1911.0,-4406.0,247.0,303.5944448,1,0.09953445838738259,False
25939,0 days 00:57:31.906000,2037.3935354449068,-4449.44291965272,246.94249221528446,305.0,1,0.12445826342261809,False
25940,0 days 00:57:31.973000,2055.0,-4455.0,247.0,305.16750016,1,0.1400390726236343,False
25941,0 days 00:57:32.293000,2315.0,-4537.0,248.0,305.96750016,1,0.18051995999516365,False
25942,0 days 00:57:32.306000,2331.9269630890644,-4542.095983869453,248.06242953199387,306.0,1,0.19193741200994038,False
25943,0 days 00:57:32.493000,2593.0,-4619.0,249.0,307.55833386666666,1,0.23217139185747887,False
25944,0 days 00:57:32.546000,2645.563280855136,-4634.133820623039,249.18196116215594,308.0,1,0.2505639434616947,False
25945,0 days 00:57:32.746000,2740.191759017803,-4659.273397167237,249.39749378419793,310.0,1,0.26625777946592954,False
25946,0 days 00:57:32.873000,2809.0,-4675.0,249.0,310.0,1,0.28058229422840675,False
25947,0 days 00:57:32.906000,2833.38428929787,-4680.551398792506,248.82028205139966,310.0,1,0.2884046381586589,False
25948,0 days 00:57:33.033000,2944.0,-4705.0,248.0,310.63499904,1,0.31391886206347763,False
25949,0 days 00:57:33.106000,3008.36534128884,-4717.785489055573,247.66186197430744,311.0,1,0.32696425833797615,False
25950,0 days 00:57:33.273000,3148.0,-4742.0,247.0,311.0,1,0.3534176431460527,False
25951,0 days 00:57:33.305000,3172.210795427691,-4745.798495004924,246.80342015278018,311.0,1,0.362193216726537,False
25952,0 days 00:57:33.433000,3267.0,-4759.0,246.0,311.9142857142857,1,0.3762285184820612,False
25953,0 days 00:57:33.585000,3402.7671595669667,-4773.557322078273,246.00407834379885,313.0,1,0.39791498630102584,False
25954,0 days 00:57:33.733000,3535.0,-4785.0,246.0,313.0,1,0.4138124245667925,False
25955,0 days 00:57:33.893000,3665.0,-4792.0,245.0,313.0,1,0.42960585551555563,False
25956,0 days 00:57:33.906000,3678.6388136006244,-4792.257144507892,244.9223729151623,313.0,1,0.4385159442281974,False
25957,0 days 00:57:34.106000,3952.946985945861,-4790.545884445945,244.12824961019425,314.0,1,0.4497424809121391,False
25958,0 days 00:57:34.193000,4041.0,-4789.0,244.0,314.0,1,0.46130008628964764,False
25959,0 days 00:57:34.266000,4082.037553567406,-4787.992781791001,243.98941227565786,314.0,1,0.46625581107852176,False
25960,0 days 00:57:34.426000,4132.580875579552,-4784.331010424725,244.01152311517603,315.0,1,0.4773671386698236,False
25961,0 days 00:57:34.433000,4137.0,-4784.0,244.0,315.0194439111111,1,0.4825556495596877,False
25962,0 days 00:57:34.673000,4377.0,-4766.0,243.0,315.68611057777775,1,0.49292863472631687,False
25963,0 days 00:57:34.786000,4470.528512952379,-4757.802460356051,242.3337657219355,316.0,1,0.4934448974619953,False
