,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,7026.0,-4020.0,242.0,317.96388906666664,1,0.0,False
25814,0 days 00:57:15.466000,7042.262848830585,-4014.260146565744,241.8603003070501,318.0,1,0.0,False
25815,0 days 00:57:15.746000,7268.971623031976,-3929.2598999915776,241.01369785882363,317.0,1,0.0,False
25816,0 days 00:57:15.833000,7329.0,-3905.0,241.0,317.0,1,0.0,False
25817,0 days 00:57:16.066000,7512.859454980172,-3828.8405811812163,240.8004560535929,317.0,1,0.0,False
25818,0 days 00:57:16.333000,7703.0,-3748.0,241.0,317.0,1,0.0,False
25819,0 days 00:57:16.346000,7709.794225235894,-3745.0530475664236,241.0435240389467,317.0,1,0.0,False
25820,0 days 00:57:16.506000,7779.384336091,-3714.3036600750784,241.7766788702308,317.0,1,0.0,False
25821,0 days 00:57:16.573000,7816.0,-3698.0,242.0,316.8477271272727,1,0.0,False
25822,0 days 00:57:16.813000,8008.0,-3612.0,242.0,316.30227258181816,1,0.0,False
25823,0 days 00:57:16.946000,8121.819142212095,-3558.8875101909894,241.70230799125096,316.0,1,0.0,False
25824,0 days 00:57:17.153000,8293.0,-3477.0,241.0,315.1375008,1,0.0,False
25825,0 days 00:57:17.186000,8318.910338410453,-3464.627010053233,240.87622283047463,315.0,1,0.0,False
25826,0 days 00:57:17.466000,8526.025769962585,-3365.849983667604,240.24792014161847,311.0,1,0.0,False
25827,0 days 00:57:17.553000,8590.0,-3335.0,241.0,308.8250048,1,0.0,False
25828,0 days 00:57:17.693000,8698.0,-3282.0,243.0,305.3249984,1,0.0,False
25829,0 days 00:57:17.786000,8783.821475605546,-3238.1152606700257,243.26469484064071,303.0,1,0.0,False
25830,0 days 00:57:17.973000,8957.0,-3147.0,242.0,282.96427885714286,1,0.0,False
25831,0 days 00:57:18.066000,9013.23261782039,-3116.868129787177,241.7253556247637,273.0,1,0.0,False
25832,0 days 00:57:18.266000,9092.37481243368,-3072.3380709974663,241.93123700531189,245.0,1,0.0,False
25833,0 days 00:57:18.293000,9105.0,-3065.0,242.0,240.72498986666668,1,0.0,False
25834,0 days 00:57:18.506000,9225.766331480821,-2993.3974510051758,242.77157939212844,207.0,1,0.0,False
25835,0 days 00:57:18.593000,9272.0,-2965.0,243.0,200.1643008,1,0.0,False
25836,0 days 00:57:18.786000,9351.169786516679,-2913.269407207251,243.0796688840073,185.0,1,0.0,False
25837,0 days 00:57:18.893000,9389.0,-2886.0,243.0,175.36999424,1,0.0,False
25838,0 days 00:57:19.133000,9470.0,-2821.0,243.0,153.76999424,1,0.0,False
25839,0 days 00:57:19.186000,9485.95345581339,-2807.093395839054,243.21665843051656,149.0,1,0.0,False
25840,0 days 00:57:19.333000,9527.0,-2768.0,244.0,142.17499702857143,1,0.0,False
25841,0 days 00:57:19.466000,9562.829235530524,-2727.2416662078126,244.16778623985775,136.0,1,0.0,False
25842,0 days 00:57:19.632000,9597.0,-2684.0,244.0,122.95715291428571,1,0.0,False
25843,0 days 00:57:19.746000,9606.592273347409,-2671.1474757313476,243.97996132887315,114.0,1,0.0,False
25844,0 days 00:57:19.873000,9614.0,-2659.0,244.0,114.0,1,0.0,False
25845,0 days 00:57:19.945000,9621.885719488702,-2645.8382069729887,244.00410260312728,114.0,1,0.0,False
25846,0 days 00:57:20.133000,9649.0,-2594.0,244.0,105.187488,1,0.0,False
25847,0 days 00:57:20.265000,9664.54030937355,-2548.5129417035723,243.9996308289109,99.0,1,0.0,False
25848,0 days 00:57:20.393000,9675.0,-2509.0,244.0,96.60747806655517,1,0.0,False
25849,0 days 00:57:20.586000,9680.112445134611,-2477.0623776518682,243.99804307315017,93.0,1,0.0,False
25850,0 days 00:57:20.693000,9678.0,-2460.0,244.0,92.1083328,1,0.0,False
25851,0 days 00:57:20.826000,9670.84459539603,-2430.4060995913733,244.00811129022975,91.0,1,0.0,False
25852,0 days 00:57:20.933000,9662.0,-2405.0,244.0,89.39499904,1,0.0,False
25853,0 days 00:57:21.026000,9652.408313334137,-2384.8531500398867,243.97088728246794,88.0,1,1.1747316387492677,True
25854,0 days 00:57:21.113000,9640.0,-2365.0,244.0,88.0,1,1.118106501845544,True
25855,0 days 00:57:21.186000,9625.743727673991,-2345.746667067974,244.1188925269617,88.0,1,1.0803987592255606,True
25856,0 days 00:57:21.386000,9573.98219065019,-2285.8562243361484,244.77888908667398,89.0,1,0.9440799992676505,True
25857,0 days 00:57:21.493000,9555.0,-2265.0,245.0,90.3375008,1,0.8955334203565115,True
25858,0 days 00:57:21.546000,9549.292187575855,-2258.9258065275258,245.04599587260734,91.0,1,0.7745332834987491,True
25859,0 days 00:57:21.733000,9536.0,-2247.0,245.0,94.74000128,1,0.7387536773328148,True
25860,0 days 00:57:21.746000,9534.18984509111,-2245.40711782121,244.9976504957714,95.0,1,0.6726589245833516,True
25861,0 days 00:57:21.906000,9501.973569468024,-2217.0923277471957,244.9987867649325,99.0,1,0.6081432539209187,True
25862,0 days 00:57:21.933000,9496.0,-2212.0,245.0,99.5906264,1,0.4861187381802705,False
25863,0 days 00:57:22.213000,9434.0,-2162.0,245.0,105.7156264,1,0.32626397956369807,False
25864,0 days 00:57:22.226000,9431.03458973115,-2159.6226645326715,244.99992653942246,106.0,1,0.24532117055270403,False
25865,0 days 00:57:22.426000,9384.185316033983,-2121.4584802198965,245.00001383151107,112.0,1,0.12068146211840138,False
25866,0 days 00:57:22.473000,9373.0,-2112.0,245.0,113.468744,1,0.0024556434638158954,False
25867,0 days 00:57:22.693000,9320.0,-2065.0,245.0,120.343752,1,-0.16194752428949252,False
25868,0 days 00:57:22.746000,9306.967222046302,-2052.931255804866,245.0008331021407,122.0,1,-0.2745219198178615,False
25869,0 days 00:57:22.853000,9281.0,-2028.0,245.0,122.8916672,1,-0.3950187931084458,False
25870,0 days 00:57:22.986000,9251.42939305537,-1996.9414360167607,244.98337804658178,124.0,1,-0.5850546689184674,True
25871,0 days 00:57:23.093000,9228.0,-1968.0,245.0,122.92999936,1,-0.675734360464478,True
25872,0 days 00:57:23.186000,9206.757250356415,-1937.6138280593186,245.06200198391923,122.0,1,-0.7850179439212042,True
25873,0 days 00:57:23.333000,9176.0,-1891.0,245.0,121.26499968,1,-0.8492929817276327,True
25874,0 days 00:57:23.386000,9167.630908409643,-1879.352052839692,244.82513430458278,121.0,1,-0.9579433671592236,True
25875,0 days 00:57:23.746000,9131.93545709518,-1784.1804155411696,243.92898174394927,117.0,1,-1.0817549446995598,True
25876,0 days 00:57:23.753000,9131.0,-1779.0,244.0,116.6937584,1,-1.1401739708567935,True
25877,0 days 00:57:23.833000,9120.0,-1713.0,245.0,113.19375840000001,1,-1.2012680790435117,True
25878,0 days 00:57:23.906000,9113.56098700461,-1664.659466773066,245.63498971010182,110.0,1,-1.293112736439741,True
25879,0 days 00:57:24.146000,9119.863756324385,-1604.7471923274013,245.35993381629692,106.0,1,-1.303009333757863,True
25880,0 days 00:57:24.293000,9132.0,-1578.0,245.0,104.77499946666667,1,-1.3163059172086387,True
25881,0 days 00:57:24.386000,9140.895835913905,-1554.4489260736511,244.95594269868815,104.0,1,-1.3344024072069671,True
25882,0 days 00:57:24.586000,9163.208079888062,-1488.5444441367893,245.2555021659633,103.0,1,-1.3495081299939862,True
25883,0 days 00:57:24.753000,9185.0,-1440.0,245.0,100.68055822222222,1,-1.3486177986380283,True
25884,0 days 00:57:24.946000,9213.862595109382,-1398.4541670784765,244.02105293189362,98.0,1,-1.3030598197091476,True
25885,0 days 00:57:24.953000,9215.0,-1397.0,244.0,97.92500205714286,1,-1.3037119228514593,True
25886,0 days 00:57:25.173000,9254.0,-1351.0,244.0,95.56785645714285,1,-1.2865949696700956,True
25887,0 days 00:57:25.226000,9264.186311782307,-1340.7862554521782,244.00744720010994,95.0,1,-1.2931041529590537,True
25888,0 days 00:57:25.373000,9293.0,-1315.0,244.0,96.3781256,1,-1.2666316229618473,True
25889,0 days 00:57:25.546000,9328.777291695791,-1287.9705393458487,244.081859292062,98.0,1,-1.2335233674233959,True
25890,0 days 00:57:25.573000,9337.0,-1283.0,244.0,98.22500053333333,1,-1.203189744298361,True
25891,0 days 00:57:25.733000,9400.0,-1250.0,243.0,99.55833386666667,1,-1.0981829543213444,True
25892,0 days 00:57:25.786000,9419.066466838318,-1241.3501367644747,242.7753469019337,100.0,1,-1.0603563186140523,True
25893,0 days 00:57:25.946000,9464.37862647685,-1225.5502564286878,242.70377758655314,103.0,1,-0.9844978574884663,True
25894,0 days 00:57:26.146000,9509.652574471598,-1216.2440543381404,242.99611029704738,106.0,1,-0.8737630560793015,True
25895,0 days 00:57:26.152000,9511.0,-1216.0,243.0,106.10714057142857,1,-0.8548905475646537,True
25896,0 days 00:57:26.426000,9576.01561105792,-1207.1597032467369,242.9977286403444,111.0,1,-0.6875380171628033,True
25897,0 days 00:57:26.433000,9578.0,-1207.0,243.0,111.1364865799594,1,-0.665154858444085,True
25898,0 days 00:57:26.733000,9674.0,-1203.0,243.0,116.9860768727765,1,-0.4907783027239806,False
25899,0 days 00:57:26.785000,9688.538460259617,-1202.6877197616993,242.81758609896244,118.0,1,-0.44316971122502424,False
25900,0 days 00:57:26.973000,9747.0,-1202.0,242.0,118.0,1,-0.34772503922139064,False
25901,0 days 00:57:26.985000,9752.460392685249,-1201.9498589124876,241.98119087855724,118.0,1,-0.28588013518997074,False
25902,0 days 00:57:27.153000,9842.0,-1201.0,242.0,131.24480272613226,1,-0.138219125224043,False
25903,0 days 00:57:27.226000,9872.571284216738,-1200.3335677154853,241.85071559181378,137.0,1,-0.008711016641488678,False
25904,0 days 00:57:27.386000,9915.99075802037,-1198.1837105607622,241.11345859231406,141.0,1,0.06038505976603572,False
25905,0 days 00:57:27.513000,9952.0,-1195.0,241.0,146.29165866666668,1,0.16810714418055717,False
25906,0 days 00:57:27.626000,9991.951700774285,-1190.8430774069575,241.4894185097929,151.0,1,0.23608317796846057,False
25907,0 days 00:57:27.733000,10041.0,-1180.0,242.0,152.7833344,1,0.35896309489719513,False
25908,0 days 00:57:27.866000,10122.537322893882,-1149.8785331756694,242.10283939957938,155.0,1,0.4591307765402075,False
25909,0 days 00:57:27.973000,10185.0,-1123.0,242.0,157.3777792,1,0.547586691788901,True
25910,0 days 00:57:28.226000,10263.822938621342,-1081.5692306296644,241.81557110138664,163.0,1,0.644140697766654,True
25911,0 days 00:57:28.426000,10308.634743936054,-1038.6809104378838,242.734797397725,163.0,1,0.6957261939445746,True
25912,0 days 00:57:28.453000,10317.0,-1030.0,243.0,162.14090705454547,1,0.7214608353179651,True
25913,0 days 00:57:28.673000,10396.0,-942.0,246.0,155.1409152,1,0.791511242497571,True
25914,0 days 00:57:28.833000,10437.0,-884.0,248.0,150.0500061090909,1,0.8105852263765884,True
25915,0 days 00:57:28.866000,10444.516005553602,-872.4356897157772,248.4912327433729,149.0,1,0.8725344653421628,True
25916,0 days 00:57:29.053000,10483.0,-809.0,252.0,136.97856731428573,1,0.8849273411618724,True
25917,0 days 00:57:29.146000,10498.307047036911,-780.2187121074129,254.16253219879232,131.0,1,0.9369372295810593,True
25918,0 days 00:57:29.213000,10509.0,-757.0,256.0,126.812496,1,0.9688060375895934,True
25919,0 days 00:57:29.306000,10524.800679591943,-717.3556749504082,259.05624830827924,121.0,1,0.9979860881638795,True
25920,0 days 00:57:29.433000,10544.0,-663.0,263.0,117.37143405714286,1,1.0108472398614057,True
25921,0 days 00:57:29.586000,10555.219497626244,-624.2989383788236,265.06528067644746,113.0,1,1.0152919925502577,True
25922,0 days 00:57:29.746000,10559.784803045059,-594.6039577654175,265.94139024633176,104.0,1,1.0628307202543954,True
25923,0 days 00:57:29.753000,10560.0,-593.0,266.0,103.8468792,1,1.0937782753821614,True
25924,0 days 00:57:30.013000,10566.0,-522.0,269.0,98.1593736,1,1.0980370692455297,True
25925,0 days 00:57:30.066000,10565.1576234634,-508.45808409741943,269.59715941346354,97.0,1,1.141887598827209,True
25926,0 days 00:57:30.213000,10557.0,-475.0,271.0,94.05999872,1,1.1432920754939158,True
25927,0 days 00:57:30.266000,10551.281233137952,-464.41373210721855,271.3608338527836,93.0,1,1.1638022427167516,True
25928,0 days 00:57:30.393000,10532.0,-442.0,272.0,91.09500288,1,1.1587518019288088,True
25929,0 days 00:57:30.466000,10517.99515858988,-430.7562649065562,272.3321659355659,90.0,1,1.1669334904761761,True
