,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,10452.0,551.0,257.0,72.07222186666667,1,0.0,False
25814,0 days 00:57:15.466000,10448.669815056324,553.2475991362347,256.93882308354995,72.0,1,0.0,False
25815,0 days 00:57:15.746000,10396.412740764374,582.3423445396534,255.5652134850694,74.0,1,0.0,False
25816,0 days 00:57:15.833000,10381.0,589.0,255.0,75.359372,1,0.0,False
25817,0 days 00:57:16.066000,10333.149274252752,607.7277590269316,253.0162735384454,79.0,1,0.0,False
25818,0 days 00:57:16.333000,10282.0,625.0,251.0,84.72142994285714,1,0.0,False
25819,0 days 00:57:16.346000,10280.085190738597,625.5485744849731,250.94261073455723,85.0,1,0.0,False
25820,0 days 00:57:16.506000,10259.494469817106,630.5093568460201,250.4400934400334,90.0,1,0.0,False
25821,0 days 00:57:16.573000,10248.0,633.0,250.0,92.2840930909091,1,0.0,False
25822,0 days 00:57:16.813000,10185.0,646.0,247.0,100.46591127272727,1,0.0,False
25823,0 days 00:57:16.946000,10144.01616157463,652.4409640098739,245.67306765352322,105.0,1,0.0,False
25824,0 days 00:57:17.153000,10077.0,660.0,244.0,117.937488,1,0.0,False
25825,0 days 00:57:17.186000,10066.311012374097,660.90623831093,243.69385369112874,120.0,1,0.0,False
25826,0 days 00:57:17.466000,9974.264403937917,665.7794948895997,240.77987794870904,131.0,1,0.0,False
25827,0 days 00:57:17.553000,9943.0,667.0,240.0,135.6218648,1,0.0,False
25828,0 days 00:57:17.693000,9887.0,669.0,239.0,143.0593784,1,0.0,False
25829,0 days 00:57:17.786000,9839.673055413265,670.3190477445149,238.56629339575917,148.0,1,0.0,False
25830,0 days 00:57:17.973000,9732.0,673.0,238.0,158.01786057142857,1,0.0,False
25831,0 days 00:57:18.066000,9684.028674749909,674.4013928249079,237.65263560303475,163.0,1,0.0,False
25832,0 days 00:57:18.266000,9588.511785322231,677.5613760770458,237.01420873765701,167.0,1,0.0,False
25833,0 days 00:57:18.293000,9575.0,678.0,237.0,168.46250346666667,1,0.0,False
