,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-2493.0,-1400.0,867.0,158.48,1,0.0,False
25181,0 days 00:56:08.950000,-2467.0171215598634,-1370.3609901777124,864.078672344749,162.0,1,0.0,False
25182,0 days 00:56:08.982000,-2457.0,-1359.0,863.0,162.8,1,0.0,False
25183,0 days 00:56:09.182000,-2394.0,-1289.0,857.0,167.8,1,0.0,False
25184,0 days 00:56:09.270000,-2365.172482384368,-1257.4795485278337,854.1980866309796,170.0,1,0.0,False
25185,0 days 00:56:09.422000,-2314.0,-1201.0,849.0,181.4,1,0.0,False
25186,0 days 00:56:09.430000,-2311.287337374262,-1197.9320274087218,848.7191767368224,182.0,1,0.0,False
25187,0 days 00:56:09.590000,-2257.013399921731,-1134.7851192271603,842.9512430355819,186.0,1,0.0,False
25188,0 days 00:56:09.642000,-2240.0,-1114.0,841.0,187.43684210526317,1,0.0,False
25189,0 days 00:56:10.350000,-2012.9082414425577,-791.8912170348491,808.6441744520984,207.0,1,0.0,False
25190,0 days 00:56:10.361000,-2008.0,-785.0,808.0,206.2437456,1,0.0,False
25191,0 days 00:56:10.641000,-1881.0,-610.0,792.0,186.9937456,1,0.0,False
25192,0 days 00:56:10.670000,-1872.352244903922,-598.3626610127551,790.907405617103,185.0,1,0.0,False
25193,0 days 00:56:10.981000,-1825.0,-539.0,785.0,162.6468704,1,0.0,False
25194,0 days 00:56:10.990000,-1823.2107501269668,-536.7838533520206,784.805356669312,162.0,1,0.0,False
25195,0 days 00:56:11.230000,-1761.661514017907,-460.21982515871593,778.2977148863849,139.0,1,0.0,False
25196,0 days 00:56:11.241000,-1759.0,-457.0,778.0,138.4041632,1,0.0,False
25197,0 days 00:56:11.401000,-1724.0,-416.0,774.0,129.73749653333334,1,0.0,False
25198,0 days 00:56:11.470000,-1708.761805309406,-398.6039878983672,772.5248907219416,126.0,1,0.0,False
25199,0 days 00:56:11.601000,-1679.0,-365.0,770.0,123.5437488,1,0.0,False
25200,0 days 00:56:11.790000,-1636.5726758889207,-317.7731197587797,766.265028268725,120.0,1,0.0,False
25201,0 days 00:56:11.802000,-1634.0,-315.0,766.0,118.575,1,0.0,False
