,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-2473.0,-2388.0,886.0,152.0,1,0.0,False
25181,0 days 00:56:08.950000,-2495.3477272576215,-2359.023524496048,885.2313595521024,152.0,1,0.0,False
25182,0 days 00:56:08.982000,-2504.0,-2348.0,885.0,152.2,1,0.0,False
25183,0 days 00:56:09.182000,-2559.0,-2281.0,885.0,153.45,1,0.0,False
25184,0 days 00:56:09.270000,-2583.420611470217,-2251.810248985062,885.3748358117236,154.0,1,0.0,False
25185,0 days 00:56:09.422000,-2625.0,-2201.0,886.0,154.0,1,0.0,False
25186,0 days 00:56:09.430000,-2627.1270727951464,-2198.2867954375524,886.0124958569799,154.0,1,0.0,False
25187,0 days 00:56:09.590000,-2667.9978340120538,-2143.4709189779524,885.9291013642707,152.0,1,0.0,False
25188,0 days 00:56:09.642000,-2680.0,-2126.0,886.0,150.6315789473684,1,0.0,False
25189,0 days 00:56:10.350000,-2745.113933081241,-1873.6998260031703,893.9112938846811,132.0,1,0.0,False
25190,0 days 00:56:10.361000,-2744.0,-1868.0,894.0,131.9312496,1,0.0,False
25191,0 days 00:56:10.641000,-2701.0,-1720.0,895.0,130.1812496,1,0.0,False
25192,0 days 00:56:10.670000,-2697.5364050995136,-1710.0283828775807,894.9115140113231,130.0,1,0.0,False
25193,0 days 00:56:10.981000,-2669.0,-1653.0,891.0,131.9437504,1,0.0,False
25194,0 days 00:56:10.990000,-2667.5622389628725,-1650.515082504362,890.7837009247233,132.0,1,0.0,False
25195,0 days 00:56:11.230000,-2621.3226461446657,-1571.0790969133213,884.1894041536663,134.0,1,0.0,False
25196,0 days 00:56:11.241000,-2620.0,-1569.0,884.0,134.3208352,1,0.0,False
25197,0 days 00:56:11.401000,-2607.0,-1552.0,882.0,138.98750186666666,1,0.0,False
25198,0 days 00:56:11.470000,-2594.722292993284,-1534.3757782074783,880.0219353502794,141.0,1,0.0,False
25199,0 days 00:56:11.601000,-2562.0,-1487.0,875.0,141.8187504,1,0.0,False
25200,0 days 00:56:11.790000,-2516.03431710649,-1427.6811916235677,869.3475304742842,143.0,1,0.0,False
25201,0 days 00:56:11.802000,-2513.0,-1424.0,869.0,143.6,1,0.0,False
25202,0 days 00:56:11.950000,-2473.571087547426,-1377.964757125935,864.56999886251,151.0,1,0.0,False
25203,0 days 00:56:12.082000,-2437.0,-1337.0,861.0,151.0,1,0.0,False
25204,0 days 00:56:12.190000,-2407.1148429367267,-1304.1461581636877,858.7056659488427,151.0,1,0.0,False
25205,0 days 00:56:12.261000,-2386.0,-1281.0,857.0,153.84000256,1,0.0,False
25206,0 days 00:56:12.390000,-2342.4725024806644,-1233.0518625166328,852.7589195317408,159.0,1,0.0,False
25207,0 days 00:56:12.541000,-2290.0,-1174.0,847.0,183.5375104,1,0.0,False
25208,0 days 00:56:12.550000,-2287.0916857335346,-1170.6435515858514,846.6717438462119,185.0,1,0.0,False
25209,0 days 00:56:12.761000,-2223.0,-1093.0,839.0,191.7821449142857,1,0.0,False
25210,0 days 00:56:12.830000,-2200.9805888644155,-1064.1611099951378,836.0743392001592,194.0,1,0.0,False
25211,0 days 00:56:12.990000,-2147.0231225270645,-989.6137608848935,828.4421033701458,197.0,1,0.0,False
25212,0 days 00:56:13.061000,-2123.0,-955.0,825.0,198.5531264,1,0.0,False
25213,0 days 00:56:13.310000,-2040.1130181334338,-830.8507093835051,813.3170840183234,204.0,1,0.0,False
25214,0 days 00:56:13.341000,-2030.0,-816.0,812.0,203.53499904,1,0.0,False
25215,0 days 00:56:13.510000,-1975.9261387447277,-738.9692642741386,805.3282797498085,201.0,1,0.0,False
25216,0 days 00:56:13.542000,-1966.0,-725.0,804.0,198.0909090909091,1,0.0,False
25217,0 days 00:56:13.722000,-1911.0,-649.0,796.0,181.72727272727272,1,0.0,False
25218,0 days 00:56:13.822000,-1879.0,-608.0,792.0,172.63636363636363,1,0.0,False
25219,0 days 00:56:13.950000,-1844.255376979028,-563.7194739483211,787.9725979200911,161.0,1,0.0,False
25220,0 days 00:56:14.082000,-1807.0,-517.0,784.0,150.15714285714284,1,-1.7843690256021323,True
25221,0 days 00:56:14.230000,-1752.2241149644783,-450.1019180034881,778.4179987953767,138.0,1,-1.8450020987791618,True
25222,0 days 00:56:14.302000,-1729.0,-422.0,776.0,134.1,1,-1.8694003155286039,True
25223,0 days 00:56:14.470000,-1696.9054514577156,-383.66449468162267,772.2769878820559,125.0,1,-1.866224325792248,True
25224,0 days 00:56:14.682000,-1669.0,-353.0,769.0,112.88571428571429,1,-1.8809782561527426,True
25225,0 days 00:56:14.750000,-1653.9776450632562,-336.82371448066056,767.5927463590979,109.0,1,-1.8636514853035546,True
25226,0 days 00:56:14.942000,-1605.0,-285.0,763.0,102.28,1,-1.8980625692378175,True
25227,0 days 00:56:15.150000,-1570.1093019420423,-251.27363664490585,758.030286514245,95.0,1,-1.9030859661409207,True
25228,0 days 00:56:15.321000,-1544.0,-232.0,755.0,90.1906232,1,-1.8814356035704933,True
25229,0 days 00:56:15.470000,-1514.9833848836256,-214.79910360136725,753.6737171096426,86.0,1,-1.8029402070993947,True
25230,0 days 00:56:15.542000,-1500.0,-208.0,753.0,85.775,1,-1.7909795967925426,True
25231,0 days 00:56:15.782000,-1450.0,-197.0,749.0,85.025,1,-1.768535552634988,True
25232,0 days 00:56:15.790000,-1448.4235734047688,-196.9217361908716,748.8026853019126,85.0,1,-1.76194555858073,True
25233,0 days 00:56:15.922000,-1419.0,-200.0,745.0,80.05,1,-1.749633542791576,True
25234,0 days 00:56:15.950000,-1409.5969718985714,-202.60463737681457,744.1207482558376,79.0,1,-1.7405467661408935,True
25235,0 days 00:56:16.082000,-1357.0,-221.0,740.0,78.34,1,-1.728406779543247,True
25236,0 days 00:56:16.150000,-1337.5423888674616,-228.7682927739213,738.2384506511837,78.0,1,-1.7193809873985697,True
25237,0 days 00:56:16.430000,-1312.8613489765298,-247.70087927916606,733.4286104275762,75.0,1,-1.7034377440954962,True
25238,0 days 00:56:16.521000,-1305.0,-257.0,732.0,74.34999954285715,1,-1.6883173524896897,True
25239,0 days 00:56:16.710000,-1279.2734233189178,-285.0692485492068,728.9248973764531,73.0,1,-1.6620214997805605,True
25240,0 days 00:56:16.781000,-1270.0,-297.0,728.0,73.0,1,-1.6388092268213972,True
25241,0 days 00:56:17.001000,-1249.0,-335.0,726.0,73.0,1,-1.6036457116602378,True
25242,0 days 00:56:17.190000,-1234.8962647287951,-371.1110486825972,723.2150431590027,73.0,1,-1.5474830589905648,True
25243,0 days 00:56:17.201000,-1234.0,-374.0,723.0,73.4812528,1,-1.5362569505725778,True
25244,0 days 00:56:17.350000,-1220.5889995073903,-423.3545551729316,719.5427431279427,80.0,1,-1.464315475395138,True
25245,0 days 00:56:17.421000,-1215.0,-445.0,718.0,81.42000128,1,-1.425062152525217,True
