,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-2721.0,-3596.0,862.0,215.2,1,0.0,False
25181,0 days 00:56:08.950000,-2676.523471377153,-3574.4116671683196,861.924038682996,213.0,1,0.0,False
25182,0 days 00:56:08.982000,-2660.0,-3566.0,862.0,211.3,1,0.0,False
25183,0 days 00:56:09.182000,-2567.0,-3511.0,864.0,200.675,1,0.0,False
25184,0 days 00:56:09.270000,-2529.5621950071627,-3483.76717971574,864.5475641289428,196.0,1,0.0,False
25185,0 days 00:56:09.422000,-2470.0,-3433.0,865.0,182.7,1,0.0,False
25186,0 days 00:56:09.430000,-2467.0923345236606,-3430.2640458156184,865.0296259043241,182.0,1,0.0,False
25187,0 days 00:56:09.590000,-2413.660844704875,-3374.4139807257234,865.7556413068643,175.0,1,0.0,False
25188,0 days 00:56:09.642000,-2398.0,-3356.0,866.0,173.83684210526314,1,0.0,False
25189,0 days 00:56:10.350000,-2268.5524595787006,-3052.053861330152,869.8850393648906,158.0,1,0.0,False
25190,0 days 00:56:10.361000,-2268.0,-3045.0,870.0,157.7249984,1,0.0,False
25191,0 days 00:56:10.641000,-2267.0,-2862.0,873.0,150.7249984,1,0.0,False
25192,0 days 00:56:10.670000,-2267.575786109341,-2849.576223167951,873.1429277089384,150.0,1,0.0,False
25193,0 days 00:56:10.981000,-2281.0,-2781.0,874.0,147.0843744,1,0.0,False
25194,0 days 00:56:10.990000,-2281.745096976361,-2778.3060333031835,874.1212097738569,147.0,1,0.0,False
25195,0 days 00:56:11.230000,-2309.450800139682,-2682.470901992035,879.6936144787749,148.0,1,0.0,False
25196,0 days 00:56:11.241000,-2311.0,-2678.0,880.0,148.1375008,1,0.0,False
25197,0 days 00:56:11.401000,-2336.0,-2616.0,884.0,150.1375008,1,0.0,False
25198,0 days 00:56:11.470000,-2348.3241545933124,-2589.6062577647212,884.4435644286958,151.0,1,0.0,False
25199,0 days 00:56:11.601000,-2374.0,-2540.0,884.0,152.6375008,1,0.0,False
25200,0 days 00:56:11.790000,-2415.198712424614,-2471.3339063173403,884.9244229698556,155.0,1,0.0,False
25201,0 days 00:56:11.802000,-2418.0,-2467.0,885.0,155.0,1,0.0,False
25202,0 days 00:56:11.950000,-2454.4606744163675,-2413.4044820621357,885.8677057226035,155.0,1,0.0,False
25203,0 days 00:56:12.082000,-2489.0,-2367.0,886.0,154.45,1,0.0,False
25204,0 days 00:56:12.190000,-2518.085342522663,-2330.979298590154,885.3383024705117,154.0,1,0.0,False
25205,0 days 00:56:12.261000,-2538.0,-2307.0,885.0,153.64499968,1,0.0,False
25206,0 days 00:56:12.390000,-2576.3654764368284,-2260.9832178978727,885.2784675388183,153.0,1,0.0,False
25207,0 days 00:56:12.541000,-2619.0,-2209.0,886.0,149.2249984,1,0.0,False
25208,0 days 00:56:12.550000,-2621.235241058686,-2206.1958995223795,886.0147781511253,149.0,1,0.0,False
25209,0 days 00:56:12.761000,-2666.0,-2146.0,886.0,142.97142674285715,1,0.0,False
25210,0 days 00:56:12.830000,-2679.531025972541,-2124.9955308077188,886.3527289932061,141.0,1,0.0,False
25211,0 days 00:56:12.990000,-2709.1379965580786,-2072.5289248920044,888.0392753649749,134.0,1,0.0,False
