,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-4583.0,-4149.0,768.0,249.68,1,0.0,False
25181,0 days 00:56:08.950000,-4526.5576950343675,-4129.933301972274,773.8727310922139,251.0,1,0.0,False
25182,0 days 00:56:08.982000,-4505.0,-4122.0,776.0,251.2,1,0.0,False
25183,0 days 00:56:09.182000,-4375.0,-4064.0,787.0,252.45,1,0.0,False
25184,0 days 00:56:09.270000,-4318.039083247358,-4035.6358101646683,791.706736905114,253.0,1,0.0,False
25185,0 days 00:56:09.422000,-4219.0,-3985.0,800.0,256.8,1,0.0,False
25186,0 days 00:56:09.430000,-4213.762743066794,-3982.364085983141,800.4370605514863,257.0,1,0.0,False
25187,0 days 00:56:09.590000,-4109.0327943591265,-3930.724557323373,809.1749769329974,258.0,1,0.0,False
25188,0 days 00:56:09.642000,-4076.0,-3915.0,812.0,258.5473684210526,1,0.0,False
25189,0 days 00:56:10.350000,-3591.7524888483617,-3757.967720143428,848.4923232368191,266.0,1,0.0,False
25190,0 days 00:56:10.361000,-3580.0,-3756.0,849.0,265.7249984,1,0.0,False
25191,0 days 00:56:10.641000,-3269.0,-3713.0,860.0,258.7249984,1,0.0,False
25192,0 days 00:56:10.670000,-3247.771989566611,-3710.3167445541862,860.6453769861454,258.0,1,0.0,False
25193,0 days 00:56:10.981000,-3133.0,-3696.0,862.0,245.3656224,1,0.0,False
25194,0 days 00:56:10.990000,-3128.6394883666426,-3695.380835139512,861.975725069825,245.0,1,0.0,False
25195,0 days 00:56:11.230000,-2975.911949774447,-3671.3104192137953,861.0250922010688,224.0,1,0.0,False
25196,0 days 00:56:11.241000,-2969.0,-3670.0,861.0,223.541664,1,0.0,False
25197,0 days 00:56:11.401000,-2876.0,-3649.0,861.0,216.87499733333334,1,0.0,False
25198,0 days 00:56:11.470000,-2837.9928556768486,-3638.0288073311594,861.256588845873,214.0,1,0.0,False
25199,0 days 00:56:11.601000,-2768.0,-3614.0,862.0,209.4968728,1,0.0,False
25200,0 days 00:56:11.790000,-2671.813432952414,-3572.924335108961,862.950086985666,203.0,1,0.0,False
25201,0 days 00:56:11.802000,-2666.0,-3570.0,863.0,202.025,1,0.0,False
25202,0 days 00:56:11.950000,-2597.6315819660213,-3530.5623825269354,863.494943480644,190.0,1,0.0,False
25203,0 days 00:56:12.082000,-2542.0,-3492.0,864.0,183.95,1,0.0,False
25204,0 days 00:56:12.190000,-2500.2906100177183,-3459.2085268158257,864.6119656477838,179.0,1,0.0,False
25205,0 days 00:56:12.261000,-2474.0,-3436.0,865.0,176.86999808,1,0.0,False
25206,0 days 00:56:12.390000,-2427.44207221727,-3388.9480204369565,865.5118727394688,173.0,1,0.0,False
25207,0 days 00:56:12.541000,-2380.0,-3332.0,866.0,166.3937472,1,0.0,False
25208,0 days 00:56:12.550000,-2377.610767053685,-3328.7814680993256,866.0333339454614,166.0,1,0.0,False
25209,0 days 00:56:12.761000,-2333.0,-3256.0,867.0,159.97142674285715,1,0.0,False
25210,0 days 00:56:12.830000,-2320.634162563985,-3230.5437454567004,867.434825968633,158.0,1,0.0,False
25211,0 days 00:56:12.990000,-2295.1464565887554,-3166.398583239494,868.5919428115864,158.0,1,0.0,False
25212,0 days 00:56:13.061000,-2286.0,-3135.0,869.0,156.0031232,1,0.0,False
25213,0 days 00:56:13.310000,-2265.9567788540085,-3024.60335888067,869.875142919772,149.0,1,0.0,False
25214,0 days 00:56:13.341000,-2265.0,-3017.0,870.0,148.53499904,1,0.0,False
25215,0 days 00:56:13.510000,-2264.9742822686353,-3000.610718214757,870.8441311627656,146.0,1,0.0,False
25216,0 days 00:56:13.542000,-2265.0,-2994.0,871.0,145.85454545454544,1,0.0,False
25217,0 days 00:56:13.722000,-2264.0,-2922.0,872.0,145.03636363636363,1,0.0,False
25218,0 days 00:56:13.822000,-2266.0,-2882.0,873.0,144.5818181818182,1,0.0,False
25219,0 days 00:56:13.950000,-2270.127456350325,-2835.6040017447694,873.0033324568177,144.0,1,0.0,False
25220,0 days 00:56:14.082000,-2281.0,-2780.0,874.0,144.0,1,0.9101843314433351,True
25221,0 days 00:56:14.230000,-2306.705283456559,-2694.1193372158664,879.511498480509,144.0,1,0.8407646393615843,True
25222,0 days 00:56:14.302000,-2319.0,-2657.0,882.0,144.6,1,0.814008672415918,True
25223,0 days 00:56:14.470000,-2338.5821428899335,-2604.019322506034,884.3313331797218,146.0,1,0.7205196428313146,True
25224,0 days 00:56:14.682000,-2367.0,-2553.0,884.0,146.75714285714287,1,0.6722578736438242,True
25225,0 days 00:56:14.750000,-2383.271771137267,-2525.649936241544,884.1726363297073,147.0,1,0.6252607228355759,True
25226,0 days 00:56:14.942000,-2438.0,-2437.0,885.0,148.92,1,0.5314938451446947,True
25227,0 days 00:56:15.150000,-2481.2911610185215,-2375.7296300134785,885.1637944913412,151.0,1,0.454121862895461,False
25228,0 days 00:56:15.321000,-2517.0,-2332.0,885.0,152.0687504,1,0.38253119318432016,False
25229,0 days 00:56:15.470000,-2556.8940764923536,-2284.278365218776,884.8835430678952,153.0,1,0.18656132595053251,False
25230,0 days 00:56:15.542000,-2577.0,-2260.0,885.0,151.425,1,0.14349476630045838,False
25231,0 days 00:56:15.782000,-2640.0,-2182.0,886.0,146.175,1,-0.10650456117397393,False
25232,0 days 00:56:15.790000,-2641.8542947348137,-2179.6997632717407,885.9965842050954,146.0,1,-0.12267707708736132,False
25233,0 days 00:56:15.922000,-2673.0,-2137.0,886.0,141.05,1,-0.239475822158947,False
25234,0 days 00:56:15.950000,-2681.4549353414636,-2122.534493823415,886.3250728284694,140.0,1,-0.2610346546851356,False
25235,0 days 00:56:16.082000,-2725.0,-2039.0,889.0,136.04,1,-0.4248170580102869,False
25236,0 days 00:56:16.150000,-2740.091661056375,-2007.2671228514578,890.0175922820523,134.0,1,-0.4602710612829187,False
25237,0 days 00:56:16.430000,-2748.7953967987655,-1957.9470090815878,891.3035030207218,129.0,1,-0.5439897707402984,True
25238,0 days 00:56:16.521000,-2747.0,-1938.0,892.0,127.37499885714286,1,-0.5795497287725507,True
25239,0 days 00:56:16.710000,-2743.3011224065913,-1874.0524402127228,894.4068437378011,124.0,1,-0.6387368686202163,True
25240,0 days 00:56:16.781000,-2740.0,-1848.0,895.0,124.2958336,1,-0.7155811225385981,True
25241,0 days 00:56:17.001000,-2721.0,-1773.0,895.0,125.21250026666667,1,-0.7235003917733438,True
25242,0 days 00:56:17.190000,-2697.30420130916,-1711.8385325035838,894.2167948297775,126.0,1,-0.7948738084865523,True
25243,0 days 00:56:17.201000,-2695.0,-1707.0,894.0,126.0687504,1,-0.8350186602265873,True
25244,0 days 00:56:17.350000,-2651.8116548844914,-1623.8922947341202,888.7067233110441,127.0,1,-0.8552025870758165,True
25245,0 days 00:56:17.421000,-2632.0,-1588.0,886.0,128.7750016,1,-0.8770330811232844,True
25246,0 days 00:56:17.550000,-2606.5358871023122,-1545.278281138739,882.2394487732067,132.0,1,-0.9148198202191796,True
25247,0 days 00:56:17.781000,-2574.0,-1502.0,877.0,138.5765157754342,1,-0.9324581816610493,True
25248,0 days 00:56:17.831000,-2563.9997734804683,-1488.533387697793,875.5655169441167,140.0,1,-0.9364040935439397,True
25249,0 days 00:56:17.941000,-2536.0,-1452.0,872.0,144.3369216144696,1,-0.9714070173942151,True
25250,0 days 00:56:18.110000,-2470.604975427386,-1375.275860932416,865.5950874741882,151.0,1,-0.9510715024714002,True
25251,0 days 00:56:18.181000,-2443.0,-1344.0,863.0,153.53571657142857,1,-0.982365010109987,True
25252,0 days 00:56:18.390000,-2377.913065993797,-1272.611294998372,856.5713692292479,161.0,1,-0.9759789210584959,True
25253,0 days 00:56:18.590000,-2321.4715244725016,-1210.1666279035867,850.2468512792227,170.0,1,-0.9820951956332317,True
25254,0 days 00:56:18.622000,-2311.0,-1198.0,849.0,171.12,1,-1.0264331960643547,True
25255,0 days 00:56:18.790000,-2249.4580999079203,-1124.2171982638306,841.38575152466,177.0,1,-1.0222594415881798,True
25256,0 days 00:56:18.962000,-2184.0,-1041.0,833.0,184.64444444444445,1,-1.047663702920796,True
25257,0 days 00:56:19.150000,-2120.24947369971,-952.4872514601974,824.6542352851717,193.0,1,-1.0970536517820997,True
25258,0 days 00:56:19.310000,-2074.1877916614353,-883.129702264073,818.4268852950453,200.0,1,-1.155318599650491,True
25259,0 days 00:56:19.462000,-2044.0,-837.0,814.0,203.04,1,-1.2194424924295633,True
25260,0 days 00:56:19.510000,-2037.351046496566,-826.7374724254465,812.9189144904503,204.0,1,-1.2603433087888651,True
25261,0 days 00:56:19.702000,-2006.0,-781.0,808.0,202.08,1,-1.351123798134166,True
25262,0 days 00:56:19.710000,-2003.3868472284846,-777.3752990023875,807.6445267476211,202.0,1,-1.349057066896944,True
