,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-3333.0,-3720.0,859.0,250.16,1,0.0,False
25181,0 days 00:56:08.950000,-3273.0013534434643,-3713.4686270167217,860.5255623367824,244.0,1,0.0,False
25182,0 days 00:56:08.982000,-3251.0,-3711.0,861.0,242.1,1,0.0,False
25183,0 days 00:56:09.182000,-3129.0,-3696.0,862.0,230.225,1,0.0,False
25184,0 days 00:56:09.270000,-3073.840613891265,-3688.085222261625,861.7406259744106,225.0,1,0.0,False
25185,0 days 00:56:09.422000,-2978.0,-3672.0,861.0,217.4,1,0.0,False
25186,0 days 00:56:09.430000,-2973.217977829687,-3671.074301984531,860.9788373555737,217.0,1,0.0,False
25187,0 days 00:56:09.590000,-2883.2997556723194,-3650.9979350776525,860.9338810266225,211.0,1,0.0,False
25188,0 days 00:56:09.642000,-2856.0,-3644.0,861.0,208.60526315789474,1,0.0,False
25189,0 days 00:56:10.350000,-2530.60971417934,-3484.9375136166254,863.9233616049761,176.0,1,0.0,False
25190,0 days 00:56:10.361000,-2525.0,-3480.0,864.0,175.6906232,1,0.0,False
25191,0 days 00:56:10.641000,-2389.0,-3344.0,866.0,167.8156232,1,0.0,False
25192,0 days 00:56:10.670000,-2380.2192303905267,-3334.3276537414567,866.1443715855129,167.0,1,0.0,False
25193,0 days 00:56:10.981000,-2341.0,-3272.0,867.0,159.2249984,1,0.0,False
25194,0 days 00:56:10.990000,-2339.759326006126,-3269.3019054896135,867.0263786048791,159.0,1,0.0,False
25195,0 days 00:56:11.230000,-2298.5813899905047,-3174.268268835069,867.9457356344623,154.0,1,0.0,False
25196,0 days 00:56:11.241000,-2297.0,-3170.0,868.0,153.8624992,1,0.0,False
25197,0 days 00:56:11.401000,-2279.0,-3108.0,869.0,151.8624992,1,0.0,False
25198,0 days 00:56:11.470000,-2272.4051912414166,-3072.3630346107807,869.6705816886644,151.0,1,0.0,False
25199,0 days 00:56:11.601000,-2263.0,-2998.0,871.0,149.3624992,1,0.0,False
25200,0 days 00:56:11.790000,-2262.7021654496907,-2915.903848341791,871.9251477911835,147.0,1,0.0,False
25201,0 days 00:56:11.802000,-2263.0,-2911.0,872.0,146.85,1,0.0,False
25202,0 days 00:56:11.950000,-2268.8160097400746,-2850.255051302308,873.3275967702239,145.0,1,0.0,False
25203,0 days 00:56:12.082000,-2277.0,-2798.0,874.0,145.0,1,0.0,False
25204,0 days 00:56:12.190000,-2285.614453403789,-2757.9773011397133,873.5286212081062,145.0,1,0.0,False
25205,0 days 00:56:12.261000,-2293.0,-2731.0,874.0,145.35500032,1,0.0,False
25206,0 days 00:56:12.390000,-2311.063834713508,-2677.686195672883,878.3264452734496,146.0,1,0.0,False
25207,0 days 00:56:12.541000,-2336.0,-2616.0,884.0,146.9437504,1,0.0,False
25208,0 days 00:56:12.550000,-2337.466227747109,-2612.651037014777,884.1606787756679,147.0,1,0.0,False
25209,0 days 00:56:12.761000,-2373.0,-2541.0,884.0,148.5071433142857,1,0.0,False
25210,0 days 00:56:12.830000,-2386.775590564719,-2516.995977174006,883.9899908169976,149.0,1,0.0,False
25211,0 days 00:56:12.990000,-2423.0930648116696,-2459.1447248165223,884.7553157049801,150.0,1,0.0,False
25212,0 days 00:56:13.061000,-2440.0,-2434.0,885.0,150.0,1,0.0,False
25213,0 days 00:56:13.310000,-2501.889019329762,-2350.0942900887953,885.0073665116748,150.0,1,0.0,False
25214,0 days 00:56:13.341000,-2510.0,-2340.0,885.0,149.53499904,1,0.0,False
25215,0 days 00:56:13.510000,-2555.5251362272124,-2286.0567072415856,885.0286686372606,147.0,1,0.0,False
25216,0 days 00:56:13.542000,-2564.0,-2276.0,885.0,146.34545454545454,1,0.0,False
25217,0 days 00:56:13.722000,-2610.0,-2220.0,885.0,142.66363636363636,1,0.0,False
25218,0 days 00:56:13.822000,-2635.0,-2189.0,886.0,140.61818181818182,1,0.0,False
25219,0 days 00:56:13.950000,-2664.3493776854225,-2150.7133584395765,886.5015412851088,138.0,1,0.0,False
25220,0 days 00:56:14.082000,-2693.0,-2104.0,887.0,138.0,1,-0.1714253872115144,False
25221,0 days 00:56:14.230000,-2724.9717039688862,-2033.167352600048,888.9965394700948,138.0,1,-0.26716928837776976,False
25222,0 days 00:56:14.302000,-2737.0,-2002.0,890.0,135.6,1,-0.30343443933882397,False
25223,0 days 00:56:14.470000,-2750.565359747831,-1954.1468991536717,891.5985558411021,130.0,1,-0.42543942443487437,False
25224,0 days 00:56:14.682000,-2747.0,-1903.0,893.0,127.72857142857143,1,-0.47180646916403324,False
25225,0 days 00:56:14.750000,-2743.3450363680827,-1877.176992196063,893.5530352090635,127.0,1,-0.5397111115003765,True
