,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-6387.0,-9153.0,478.0,168.92,1,0.0,False
25181,0 days 00:56:08.950000,-6352.155727992817,-9175.721296818636,479.70359097172945,161.0,1,0.0,False
25182,0 days 00:56:08.982000,-6339.0,-9184.0,480.0,159.1,1,0.0,False
25183,0 days 00:56:09.182000,-6262.0,-9228.0,477.0,147.225,1,0.0,False
25184,0 days 00:56:09.270000,-6230.412310834398,-9245.251208549495,477.0731315163456,142.0,1,0.0,False
25185,0 days 00:56:09.422000,-6179.0,-9273.0,479.0,129.65,1,0.0,False
25186,0 days 00:56:09.430000,-6176.408461744135,-9274.394555235245,479.0715386605274,129.0,1,0.0,False
25187,0 days 00:56:09.590000,-6127.01046000115,-9300.920705747343,479.8330197477087,123.0,1,0.0,False
25188,0 days 00:56:09.642000,-6112.0,-9309.0,480.0,120.46842105263158,1,0.0,False
25189,0 days 00:56:10.350000,-5960.549609647119,-9425.964595034367,482.9606899652903,86.0,1,0.0,False
25190,0 days 00:56:10.361000,-5959.0,-9429.0,483.0,85.656248,1,0.0,False
25191,0 days 00:56:10.641000,-5930.0,-9511.0,484.0,76.906248,1,0.0,False
25192,0 days 00:56:10.670000,-5928.641808633954,-9516.74344972018,484.14070655713493,76.0,1,0.0,False
25193,0 days 00:56:10.981000,-5931.0,-9551.0,486.0,70.1687488,1,0.0,False
25194,0 days 00:56:10.990000,-5931.267504462213,-9552.376221215542,486.04893463030527,70.0,1,0.0,False
25195,0 days 00:56:11.230000,-5940.481182575931,-9599.929176328522,486.98901700967383,68.0,1,0.0,False
25196,0 days 00:56:11.241000,-5941.0,-9602.0,487.0,67.9541664,1,0.0,False
25197,0 days 00:56:11.401000,-5950.0,-9629.0,487.0,67.28749973333333,1,0.0,False
25198,0 days 00:56:11.470000,-5955.443828910564,-9639.983544410721,487.2421179387356,67.0,1,0.0,False
25199,0 days 00:56:11.601000,-5968.0,-9660.0,488.0,64.953124,1,0.0,False
25200,0 days 00:56:11.790000,-5988.602509365464,-9685.565997359148,488.9288574306304,62.0,1,0.0,False
25201,0 days 00:56:11.802000,-5990.0,-9687.0,489.0,61.775,1,0.0,False
25202,0 days 00:56:11.950000,-6008.089821622702,-9702.591326170366,490.0828969823126,59.0,1,0.0,False
25203,0 days 00:56:12.082000,-6026.0,-9714.0,491.0,60.65,1,0.0,False
25204,0 days 00:56:12.190000,-6042.198119258261,-9722.08203903411,491.49665338208445,62.0,1,0.0,False
25205,0 days 00:56:12.261000,-6054.0,-9727.0,492.0,63.42000128,1,0.0,False
25206,0 days 00:56:12.390000,-6078.365421984517,-9735.4545972465,493.7161711450204,66.0,1,0.0,False
25207,0 days 00:56:12.541000,-6108.0,-9744.0,496.0,66.0,1,0.0,False
25208,0 days 00:56:12.550000,-6109.660713074658,-9744.441324968564,496.1049320960293,66.0,1,0.0,False
25209,0 days 00:56:12.761000,-6148.0,-9753.0,498.0,74.28928822857142,1,0.0,False
25210,0 days 00:56:12.830000,-6162.869578573807,-9755.426257702764,498.7941726374404,77.0,1,0.0,False
25211,0 days 00:56:12.990000,-6201.367461428242,-9760.388940991825,501.057284041002,86.0,1,0.0,False
25212,0 days 00:56:13.061000,-6217.0,-9762.0,502.0,88.8843776,1,0.0,False
25213,0 days 00:56:13.310000,-6265.536557896189,-9765.40063542044,504.7121214709736,99.0,1,0.0,False
25214,0 days 00:56:13.341000,-6273.0,-9766.0,505.0,100.5500032,1,0.0,False
25215,0 days 00:56:13.510000,-6322.0549409146115,-9770.321460442208,506.57209567953964,109.0,1,0.0,False
25216,0 days 00:56:13.542000,-6332.0,-9771.0,507.0,108.7090909090909,1,0.0,False
25217,0 days 00:56:13.722000,-6389.0,-9773.0,510.0,107.07272727272728,1,0.0,False
25218,0 days 00:56:13.822000,-6421.0,-9773.0,511.0,106.16363636363636,1,0.0,False
25219,0 days 00:56:13.950000,-6456.359043255448,-9772.404696731825,512.8086590827742,105.0,1,0.0,False
25220,0 days 00:56:14.082000,-6495.0,-9770.0,515.0,99.81428571428572,1,-2.485382783971094,True
25221,0 days 00:56:14.230000,-6551.754760530461,-9763.892777200053,517.1562172939958,94.0,1,-2.360450532449019,True
25222,0 days 00:56:14.302000,-6576.0,-9761.0,518.0,92.5,1,-2.308179098140862,True
25223,0 days 00:56:14.470000,-6610.459961153178,-9756.652482661688,519.3028096454125,89.0,1,-2.1493867442725425,True
25224,0 days 00:56:14.682000,-6641.0,-9747.0,520.0,85.21428571428571,1,-2.057184396093864,True
25225,0 days 00:56:14.750000,-6656.694002838543,-9740.34792659038,520.1099363652305,84.0,1,-1.9576126391226796,True
25226,0 days 00:56:14.942000,-6706.0,-9716.0,520.0,81.12,1,-1.9022562708736135,True
25227,0 days 00:56:15.150000,-6735.28326953385,-9691.897559635605,518.7998015150471,78.0,1,-1.7869321777959934,True
25228,0 days 00:56:15.321000,-6751.0,-9668.0,517.0,78.5343752,1,-1.745840496205445,True
25229,0 days 00:56:15.470000,-6766.158058032191,-9640.177215152064,514.9094646217583,79.0,1,-1.4997568571341913,True
25230,0 days 00:56:15.542000,-6773.0,-9625.0,514.0,80.575,1,-1.4862880261505405,True
25231,0 days 00:56:15.782000,-6791.0,-9571.0,512.0,85.825,1,-1.3295983275398948,True
25232,0 days 00:56:15.790000,-6791.495923699674,-9569.342270213745,511.94157882746487,86.0,1,-1.3241543262351918,True
25233,0 days 00:56:15.922000,-6800.0,-9537.0,511.0,90.125,1,-1.2537104227564468,True
25234,0 days 00:56:15.950000,-6802.487355834488,-9525.269673132992,510.8166077701688,91.0,1,-1.2454267304751472,True
25235,0 days 00:56:16.082000,-6816.0,-9456.0,510.0,95.62,1,-1.11373829963346,True
25236,0 days 00:56:16.150000,-6821.110435432466,-9429.853186103092,509.552089311177,98.0,1,-1.0902610478188295,True
25237,0 days 00:56:16.430000,-6830.454738387206,-9390.555564116778,507.5566334995278,113.0,1,-1.0242899879075695,True
25238,0 days 00:56:16.521000,-6836.0,-9373.0,507.0,117.5500032,1,-1.002404958176576,True
25239,0 days 00:56:16.710000,-6855.166007874918,-9314.508807031167,506.11123860961715,127.0,1,-0.9286791099371772,True
25240,0 days 00:56:16.781000,-6865.0,-9290.0,506.0,130.5500032,1,-0.8880545596408828,True
25241,0 days 00:56:17.001000,-6903.0,-9216.0,506.0,141.5500032,1,-0.8422598182582667,True
25242,0 days 00:56:17.190000,-6942.712535647675,-9149.99635106151,504.0725077117924,151.0,1,-0.8162058953045515,True
25243,0 days 00:56:17.201000,-6946.0,-9145.0,504.0,151.343752,1,-0.8021515116752066,True
25244,0 days 00:56:17.350000,-7003.135802457189,-9062.011899297759,503.88411775155856,156.0,1,-0.7715603357167281,True
25245,0 days 00:56:17.421000,-7029.0,-9025.0,504.0,159.19500288,1,-0.7620681145730451,True
25246,0 days 00:56:17.550000,-7063.399414789573,-8975.445453616318,504.06688294478016,165.0,1,-0.7476204510397436,True
25247,0 days 00:56:17.781000,-7106.0,-8910.0,504.0,174.8647736631513,1,-0.7204325529505236,True
25248,0 days 00:56:17.831000,-7117.35127021281,-8891.426372079235,504.02234947959323,177.0,1,-0.7206379624340664,True
25249,0 days 00:56:17.941000,-7146.0,-8841.0,504.0,181.3369216144696,1,-0.6976475903506609,True
25250,0 days 00:56:18.110000,-7200.868932377051,-8726.491105558633,503.28519671747,188.0,1,-0.669437048191553,True
25251,0 days 00:56:18.181000,-7222.0,-8679.0,503.0,190.53571657142857,1,-0.6510061816947621,True
25252,0 days 00:56:18.390000,-7265.528771701191,-8570.584901382173,502.7679112780768,198.0,1,-0.6313319239446593,True
25253,0 days 00:56:18.590000,-7296.2815639967575,-8477.741418692165,502.9766711340722,203.0,1,-0.5959041131282501,True
25254,0 days 00:56:18.622000,-7302.0,-8460.0,503.0,203.96,1,-0.6015011735688768,True
25255,0 days 00:56:18.790000,-7335.674348608915,-8353.704980193437,503.0757616347568,209.0,1,-0.5645380109180783,True
25256,0 days 00:56:18.962000,-7372.0,-8235.0,503.0,212.82222222222222,1,-0.552353041429668,True
25257,0 days 00:56:19.150000,-7408.506430085685,-8109.231469178088,502.65444119972625,217.0,1,-0.5219947818491341,True
25258,0 days 00:56:19.310000,-7435.604276414322,-8011.510695419608,502.22480315759276,223.0,1,-0.5071149325952862,True
25259,0 days 00:56:19.462000,-7453.0,-7949.0,502.0,226.04,1,-0.4950937795673615,False
25260,0 days 00:56:19.510000,-7456.700550341953,-7935.86326169242,501.9723314559005,227.0,1,-0.48347883861792695,False
25261,0 days 00:56:19.702000,-7473.0,-7876.0,502.0,228.92,1,-0.4679645684733529,False
25262,0 days 00:56:19.710000,-7474.351334956306,-7870.8566930713005,502.00168360084535,229.0,1,-0.4586614414282547,False
25263,0 days 00:56:19.982000,-7542.0,-7610.0,502.0,236.77142857142857,1,-0.46438885592925444,False
25264,0 days 00:56:19.990000,-7543.599887306171,-7603.790129939146,501.99619166006636,237.0,1,-0.4650607629891172,False
25265,0 days 00:56:20.190000,-7567.8575712654465,-7508.703557435465,501.81442731650657,241.0,1,-0.4710265649334653,False
