,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-429.0,-169.0,552.0,99.64,1,0.0,False
25181,0 days 00:56:08.950000,-406.4703055311295,-168.03884215413402,551.3311338690065,97.0,1,0.0,False
25182,0 days 00:56:08.982000,-398.0,-168.0,551.0,96.2,1,0.0,False
25183,0 days 00:56:09.182000,-349.0,-174.0,548.0,91.2,1,0.0,False
25184,0 days 00:56:09.270000,-329.7480219530542,-180.39178293071816,546.9839791452683,89.0,1,0.0,False
25185,0 days 00:56:09.422000,-300.0,-197.0,546.0,86.15,1,0.0,False
25186,0 days 00:56:09.430000,-298.5632832752153,-198.07086646335281,545.9753219060825,86.0,1,0.0,False
25187,0 days 00:56:09.590000,-272.48943629704706,-223.17126613214216,545.9651658807167,85.0,1,0.0,False
25188,0 days 00:56:09.642000,-265.0,-232.0,546.0,85.13684210526316,1,0.0,False
25189,0 days 00:56:10.350000,-201.64168915466607,-388.18571771602655,545.006820082086,87.0,1,0.0,False
25190,0 days 00:56:10.361000,-201.0,-392.0,545.0,87.2406264,1,0.0,False
25191,0 days 00:56:10.641000,-188.0,-493.0,545.0,93.3656264,1,0.0,False
25192,0 days 00:56:10.670000,-187.2476551191393,-500.3085152278633,545.0028178968392,94.0,1,0.0,False
25193,0 days 00:56:10.981000,-185.0,-550.0,545.0,100.8031264,1,0.0,False
25194,0 days 00:56:10.990000,-184.9711200352563,-552.0470448952036,544.9998243913437,101.0,1,0.0,False
25195,0 days 00:56:11.230000,-184.88204769521624,-624.4437047877019,544.9997651101387,112.0,1,0.0,False
25196,0 days 00:56:11.241000,-185.0,-628.0,545.0,112.3666688,1,0.0,False
25197,0 days 00:56:11.401000,-188.0,-680.0,545.0,117.70000213333333,1,0.0,False
25198,0 days 00:56:11.470000,-189.53256414010275,-703.4890859999136,544.9894380769612,120.0,1,0.0,False
25199,0 days 00:56:11.601000,-193.0,-750.0,545.0,126.5500032,1,0.0,False
25200,0 days 00:56:11.790000,-200.47698019979856,-820.4104697502491,545.0398609889074,136.0,1,0.0,False
25201,0 days 00:56:11.802000,-201.0,-825.0,545.0,136.45,1,0.0,False
25202,0 days 00:56:11.950000,-207.69721863305372,-882.7275899604603,543.9070209185276,142.0,1,0.0,False
25203,0 days 00:56:12.082000,-214.0,-937.0,543.0,150.25,1,0.0,False
25204,0 days 00:56:12.190000,-219.35429051564563,-984.0456809386465,542.9318729089413,157.0,1,0.0,False
25205,0 days 00:56:12.261000,-223.0,-1017.0,543.0,160.5500032,1,0.0,False
25206,0 days 00:56:12.390000,-229.92169205918168,-1082.0622027962515,543.0333330227933,167.0,1,0.0,False
25207,0 days 00:56:12.541000,-238.0,-1159.0,543.0,174.5500032,1,0.0,False
25208,0 days 00:56:12.550000,-238.46068848247248,-1163.3107490520233,542.9985112923056,175.0,1,0.0,False
25209,0 days 00:56:12.761000,-249.0,-1260.0,543.0,184.04285988571428,1,0.0,False
25210,0 days 00:56:12.830000,-252.71332618603427,-1293.9412528290197,543.0332191883474,187.0,1,0.0,False
25211,0 days 00:56:12.990000,-261.9048587871739,-1378.4931240487863,543.1045276679946,190.0,1,0.0,False
25212,0 days 00:56:13.061000,-266.0,-1417.0,543.0,193.1062528,1,0.0,False
25213,0 days 00:56:13.310000,-280.81596286039866,-1554.6154887590508,542.0656133134986,204.0,1,0.0,False
25214,0 days 00:56:13.341000,-283.0,-1572.0,542.0,204.7750016,1,0.0,False
25215,0 days 00:56:13.510000,-296.9001251872177,-1667.70088900161,541.9885118393257,209.0,1,0.0,False
25216,0 days 00:56:13.542000,-300.0,-1686.0,542.0,209.8,1,0.0,False
25217,0 days 00:56:13.722000,-321.0,-1790.0,542.0,214.3,1,0.0,False
25218,0 days 00:56:13.822000,-336.0,-1848.0,542.0,216.8,1,0.0,False
25219,0 days 00:56:13.950000,-355.34850191339876,-1917.132173543148,542.0950816117852,220.0,1,0.0,False
25220,0 days 00:56:14.082000,-382.0,-2002.0,542.0,223.77142857142857,1,-0.945035031186456,True
25221,0 days 00:56:14.230000,-427.61256742537284,-2135.6877173590356,541.3037345075833,228.0,1,-0.9380492705696765,True
25222,0 days 00:56:14.302000,-448.0,-2194.0,541.0,229.2,1,-0.9343840312279855,True
25223,0 days 00:56:14.470000,-478.5257799812396,-2278.748604891243,540.7953818451366,232.0,1,-0.9401647452649808,True
25224,0 days 00:56:14.682000,-513.0,-2365.0,541.0,236.54285714285714,1,-0.933009652048573,True
25225,0 days 00:56:14.750000,-531.707515686082,-2411.2423455066023,541.0189073039941,238.0,1,-0.9294538246859321,True
25226,0 days 00:56:14.942000,-594.0,-2563.0,541.0,241.36,1,-0.9426708485543105,True
25227,0 days 00:56:15.150000,-644.528031417981,-2677.456731260611,541.0276807359867,245.0,1,-0.9380372525621655,True
25228,0 days 00:56:15.321000,-685.0,-2761.0,541.0,245.5343752,1,-0.9494636865221564,True
25229,0 days 00:56:15.470000,-728.8039601191214,-2847.247906471123,540.9035542323356,246.0,1,-0.9214061580190616,True
25230,0 days 00:56:15.542000,-756.0,-2895.0,541.0,247.35,1,-0.9276269975644308,True
25231,0 days 00:56:15.782000,-870.0,-3067.0,542.0,251.85,1,-0.9207534127702565,True
25232,0 days 00:56:15.790000,-873.3038328880273,-3071.4838715114647,542.0137060160524,252.0,1,-0.9201610456902669,True
25233,0 days 00:56:15.922000,-934.0,-3143.0,542.0,253.65,1,-0.9125068886172407,True
