,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-2275.0,-3084.0,869.0,150.88,1,0.0,False
25181,0 days 00:56:08.950000,-2268.9416661481387,-3047.7031354912415,869.6986149551466,150.0,1,0.0,False
25182,0 days 00:56:08.982000,-2267.0,-3034.0,870.0,149.8,1,0.0,False
25183,0 days 00:56:09.182000,-2262.0,-2952.0,872.0,148.55,1,0.0,False
25184,0 days 00:56:09.270000,-2262.746479718374,-2915.7948371956263,872.5165206573763,148.0,1,0.0,False
25185,0 days 00:56:09.422000,-2268.0,-2853.0,873.0,146.1,1,0.0,False
25186,0 days 00:56:09.430000,-2268.421200849444,-2849.725332685912,873.0255823493285,146.0,1,0.0,False
25187,0 days 00:56:09.590000,-2279.6506213173275,-2785.1644874010317,873.6329007398255,147.0,1,0.0,False
25188,0 days 00:56:09.642000,-2284.0,-2765.0,874.0,147.68421052631578,1,0.0,False
25189,0 days 00:56:10.350000,-2401.12196992815,-2492.8531561361215,884.9386773225777,157.0,1,0.0,False
25190,0 days 00:56:10.361000,-2405.0,-2487.0,885.0,157.0687504,1,0.0,False
25191,0 days 00:56:10.641000,-2513.0,-2336.0,885.0,158.8187504,1,0.0,False
25192,0 days 00:56:10.670000,-2520.8249757836293,-2325.7608902108777,884.9606344865746,159.0,1,0.0,False
25193,0 days 00:56:10.981000,-2570.0,-2269.0,885.0,155.1124992,1,0.0,False
25194,0 days 00:56:10.990000,-2571.8891403502575,-2266.760907175192,885.0274880319408,155.0,1,0.0,False
25195,0 days 00:56:11.230000,-2636.118692461541,-2186.775481037267,885.9886888701967,149.0,1,0.0,False
25196,0 days 00:56:11.241000,-2639.0,-2183.0,886.0,148.7249984,1,0.0,False
25197,0 days 00:56:11.401000,-2677.0,-2130.0,886.0,144.7249984,1,0.0,False
25198,0 days 00:56:11.470000,-2691.0774184111774,-2107.0362117814248,886.431272213323,143.0,1,0.0,False
25199,0 days 00:56:11.601000,-2714.0,-2063.0,888.0,140.1343736,1,0.0,False
25200,0 days 00:56:11.790000,-2737.9429196700416,-1999.1575696115956,890.8581528352792,136.0,1,0.0,False
25201,0 days 00:56:11.802000,-2739.0,-1995.0,891.0,135.7,1,0.0,False
25202,0 days 00:56:11.950000,-2747.0635802994816,-1942.3037422521913,892.09542422067,132.0,1,0.0,False
25203,0 days 00:56:12.082000,-2747.0,-1895.0,893.0,129.8,1,0.0,False
25204,0 days 00:56:12.190000,-2742.194777122528,-1857.2502241486834,894.2719255384084,128.0,1,0.0,False
25205,0 days 00:56:12.261000,-2737.0,-1832.0,895.0,126.93499904,1,0.0,False
25206,0 days 00:56:12.390000,-2723.862029314324,-1783.9200429106572,895.561385835743,125.0,1,0.0,False
25207,0 days 00:56:12.541000,-2705.0,-1730.0,895.0,125.9437504,1,0.0,False
25208,0 days 00:56:12.550000,-2703.857841943544,-1727.0996808071461,894.9261845133127,126.0,1,0.0,False
25209,0 days 00:56:12.761000,-2675.0,-1665.0,892.0,128.26071497142857,1,0.0,False
25210,0 days 00:56:12.830000,-2663.3104684861705,-1643.2765842033373,890.6404562136094,129.0,1,0.0,False
25211,0 days 00:56:12.990000,-2632.634216756774,-1590.4110355802463,886.8489336605253,132.0,1,0.0,False
