,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-1720.0,-411.0,774.0,136.28,1,0.0,False
25181,0 days 00:56:08.950000,-1698.8814530722161,-386.92131222501604,772.59359145882,131.0,1,0.0,False
25182,0 days 00:56:08.982000,-1691.0,-378.0,772.0,129.2,1,0.0,False
25183,0 days 00:56:09.182000,-1646.0,-328.0,767.0,117.95,1,0.0,False
25184,0 days 00:56:09.270000,-1627.170208841245,-307.707740910105,764.4257947304126,113.0,1,0.0,False
25185,0 days 00:56:09.422000,-1595.0,-275.0,760.0,108.25,1,0.0,False
25186,0 days 00:56:09.430000,-1593.2948341904241,-273.3843831668836,759.7890104448405,108.0,1,0.0,False
25187,0 days 00:56:09.590000,-1559.0112611333961,-243.47322148067138,756.0480567015888,101.0,1,0.0,False
25188,0 days 00:56:09.642000,-1548.0,-235.0,755.0,99.90526315789474,1,0.0,False
25189,0 days 00:56:10.350000,-1389.292111532677,-206.52006532735078,742.36857094085,85.0,1,0.0,False
25190,0 days 00:56:10.361000,-1386.0,-208.0,742.0,84.8968744,1,0.0,False
25191,0 days 00:56:10.641000,-1303.0,-258.0,732.0,82.2718744,1,0.0,False
25192,0 days 00:56:10.670000,-1297.6137987477514,-261.92281419405595,731.4186930528663,82.0,1,0.0,False
25193,0 days 00:56:10.981000,-1274.0,-291.0,730.0,79.0843744,1,0.0,False
25194,0 days 00:56:10.990000,-1273.2283667680456,-292.27139424131644,729.923796472725,79.0,1,0.0,False
25195,0 days 00:56:11.230000,-1247.0320455861226,-337.7390464978865,726.2115319531201,79.0,1,0.0,False
25196,0 days 00:56:11.241000,-1246.0,-340.0,726.0,78.9541664,1,0.0,False
25197,0 days 00:56:11.401000,-1234.0,-373.0,723.0,78.28749973333333,1,0.0,False
25198,0 days 00:56:11.470000,-1229.6253451021475,-387.31760118670934,722.2164829689674,78.0,1,0.0,False
25199,0 days 00:56:11.601000,-1222.0,-415.0,721.0,79.6375008,1,0.0,False
25200,0 days 00:56:11.790000,-1211.6715529769697,-457.2422171509614,717.2667309594772,82.0,1,0.0,False
25201,0 days 00:56:11.802000,-1211.0,-460.0,717.0,82.45,1,0.0,False
25202,0 days 00:56:11.950000,-1202.382514260171,-494.6794551957628,713.6517113365104,88.0,1,0.0,False
25203,0 days 00:56:12.082000,-1194.0,-527.0,711.0,92.4,1,0.0,False
25204,0 days 00:56:12.190000,-1186.528242387283,-554.6658693945083,709.3138060437755,96.0,1,0.0,False
25205,0 days 00:56:12.261000,-1181.0,-574.0,708.0,98.48500224,1,0.0,False
25206,0 days 00:56:12.390000,-1169.241096910244,-612.2595580116975,704.5462787142577,103.0,1,0.0,False
25207,0 days 00:56:12.541000,-1154.0,-658.0,700.0,111.4937536,1,0.0,False
25208,0 days 00:56:12.550000,-1153.0933479826938,-660.5957612213973,699.7604689389472,112.0,1,0.0,False
25209,0 days 00:56:12.761000,-1131.0,-720.0,695.0,119.53571657142857,1,0.0,False
25210,0 days 00:56:12.830000,-1122.6037999374137,-741.3576925739957,693.6427412179439,122.0,1,0.0,False
25211,0 days 00:56:12.990000,-1100.6055015248953,-795.024198498276,690.6049039026398,132.0,1,0.0,False
25212,0 days 00:56:13.061000,-1090.0,-819.0,689.0,132.0,1,0.0,False
25213,0 days 00:56:13.310000,-1049.3368714699857,-901.1698062666998,681.9418114242952,132.0,1,0.0,False
25214,0 days 00:56:13.341000,-1044.0,-911.0,681.0,130.91499776,1,0.0,False
25215,0 days 00:56:13.510000,-1013.944540380743,-962.6275421998273,675.8908636515331,125.0,1,0.0,False
25216,0 days 00:56:13.542000,-1008.0,-972.0,675.0,122.74545454545455,1,0.0,False
25217,0 days 00:56:13.722000,-974.0,-1021.0,671.0,110.06363636363636,1,0.0,False
25218,0 days 00:56:13.822000,-957.0,-1043.0,670.0,103.01818181818182,1,0.0,False
25219,0 days 00:56:13.950000,-935.8179358300424,-1066.7297362862626,667.9385728071063,94.0,1,0.0,False
25220,0 days 00:56:14.082000,-909.0,-1089.0,665.0,90.22857142857143,1,2.350245148505418,True
25221,0 days 00:56:14.230000,-867.2939408978771,-1114.2922261332333,661.3830663172434,86.0,1,2.401756335770218,True
25222,0 days 00:56:14.302000,-849.0,-1124.0,660.0,83.6,1,2.428809715191259,True
