,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-6821.0,-8533.0,476.0,142.4,1,0.0,False
25181,0 days 00:56:08.950000,-6808.851576442228,-8563.907182999608,475.91500652169424,149.0,1,0.0,False
25182,0 days 00:56:08.982000,-6804.0,-8576.0,476.0,150.4,1,0.0,False
25183,0 days 00:56:09.182000,-6770.0,-8656.0,478.0,159.15,1,0.0,False
25184,0 days 00:56:09.270000,-6752.209755522618,-8693.824561348993,478.2839550686138,163.0,1,0.0,False
25185,0 days 00:56:09.422000,-6718.0,-8760.0,478.0,171.55,1,0.0,False
25186,0 days 00:56:09.430000,-6716.123832145418,-8763.361201855363,477.99069756132917,172.0,1,0.0,False
25187,0 days 00:56:09.590000,-6677.425191296264,-8827.906821498202,477.96377235422614,179.0,1,0.0,False
25188,0 days 00:56:09.642000,-6665.0,-8848.0,478.0,179.9578947368421,1,0.0,False
25189,0 days 00:56:10.350000,-6445.662413562034,-9110.207434682565,478.07541742802175,193.0,1,0.0,False
25190,0 days 00:56:10.361000,-6439.0,-9115.0,478.0,192.9656248,1,0.0,False
25191,0 days 00:56:10.641000,-6256.0,-9232.0,476.0,192.0906248,1,0.0,False
25192,0 days 00:56:10.670000,-6243.555368702981,-9239.463913075442,476.0429735404909,192.0,1,0.0,False
25193,0 days 00:56:10.981000,-6180.0,-9273.0,479.0,146.3218656,1,0.0,False
25194,0 days 00:56:10.990000,-6177.5993393686185,-9274.226497690219,479.0614518718227,145.0,1,0.0,False
25195,0 days 00:56:11.230000,-6095.31898725886,-9318.09509542994,479.9464672147239,128.0,1,0.0,False
25196,0 days 00:56:11.241000,-6092.0,-9320.0,480.0,126.9458272,1,0.0,False
25197,0 days 00:56:11.401000,-6052.0,-9345.0,481.0,111.61249386666667,1,0.0,False
25198,0 days 00:56:11.470000,-6036.3058649161985,-9355.99705122132,481.3714109154149,105.0,1,0.0,False
25199,0 days 00:56:11.601000,-6008.0,-9378.0,482.0,97.6312464,1,0.0,False
25200,0 days 00:56:11.790000,-5972.897784166443,-9411.802252470792,482.9680057061333,87.0,1,0.0,False
25201,0 days 00:56:11.802000,-5971.0,-9414.0,483.0,86.7,1,0.0,False
25202,0 days 00:56:11.950000,-5951.270958311384,-9441.484119617426,482.96724896136743,83.0,1,0.0,False
25203,0 days 00:56:12.082000,-5939.0,-9467.0,483.0,78.05,1,0.0,False
25204,0 days 00:56:12.190000,-5932.44065563565,-9488.854796008129,483.5259302386766,74.0,1,0.0,False
25205,0 days 00:56:12.261000,-5930.0,-9504.0,484.0,72.93499904,1,0.0,False
25206,0 days 00:56:12.390000,-5929.607214923899,-9533.534041786681,484.9507705976978,71.0,1,0.0,False
25207,0 days 00:56:12.541000,-5933.0,-9566.0,486.0,67.2249984,1,0.0,False
25208,0 days 00:56:12.550000,-5933.225253347068,-9567.652136728093,486.0521585522508,67.0,1,0.0,False
25209,0 days 00:56:12.761000,-5940.0,-9600.0,487.0,62.47857005714285,1,0.0,False
25210,0 days 00:56:12.830000,-5943.54654341489,-9610.452204121779,487.251639325229,61.0,1,0.0,False
25211,0 days 00:56:12.990000,-5954.435790531899,-9635.425221441124,487.77189864606197,61.0,1,0.0,False
25212,0 days 00:56:13.061000,-5960.0,-9646.0,488.0,60.5562496,1,0.0,False
25213,0 days 00:56:13.310000,-5982.716561091409,-9679.334502304231,488.86598509698644,59.0,1,0.0,False
25214,0 days 00:56:13.341000,-5986.0,-9683.0,489.0,59.0,1,0.0,False
25215,0 days 00:56:13.510000,-6005.869212592702,-9700.967663519132,489.84123271193715,59.0,1,0.0,False
25216,0 days 00:56:13.542000,-6010.0,-9704.0,490.0,59.50909090909091,1,0.0,False
25217,0 days 00:56:13.722000,-6036.0,-9719.0,491.0,62.372727272727275,1,0.0,False
25218,0 days 00:56:13.822000,-6053.0,-9726.0,492.0,63.96363636363636,1,0.0,False
25219,0 days 00:56:13.950000,-6070.599965249298,-9733.354365801742,493.67050932059993,66.0,1,0.0,False
25220,0 days 00:56:14.082000,-6100.0,-9742.0,496.0,70.24285714285715,1,-2.862860975894178,True
25221,0 days 00:56:14.230000,-6165.849680216983,-9756.25051365863,499.4844488149313,75.0,1,-2.870468168914007,True
25222,0 days 00:56:14.302000,-6196.0,-9762.0,501.0,77.1,1,-2.867596235840039,True
25223,0 days 00:56:14.470000,-6238.513005223992,-9767.741444344474,503.2613343074827,82.0,1,-2.914203306867623,True
25224,0 days 00:56:14.682000,-6277.0,-9768.0,505.0,91.08571428571429,1,-2.9035508642357373,True
25225,0 days 00:56:14.750000,-6297.364821320906,-9768.825197362994,505.70497426915654,94.0,1,-2.9069523077076798,True
25226,0 days 00:56:14.942000,-6365.0,-9772.0,508.0,102.64,1,-2.8952889814186777,True
25227,0 days 00:56:15.150000,-6421.131964204891,-9773.246081265352,510.6987566959693,112.0,1,-2.8526821694992983,True
25228,0 days 00:56:15.321000,-6465.0,-9772.0,513.0,109.8624992,1,-2.8446414469349697,True
25229,0 days 00:56:15.470000,-6509.452219442057,-9769.040012949306,515.0246282592863,108.0,1,-2.559250716854959,True
25230,0 days 00:56:15.542000,-6531.0,-9767.0,516.0,104.625,1,-2.5354112750175175,True
25231,0 days 00:56:15.782000,-6596.0,-9758.0,519.0,93.375,1,-2.136569833878636,True
25232,0 days 00:56:15.790000,-6597.886294338378,-9757.690278036931,519.0770022077128,93.0,1,-2.1141768976515882,True
25233,0 days 00:56:15.922000,-6631.0,-9750.0,520.0,91.35,1,-1.97488229163766,True
25234,0 days 00:56:15.950000,-6641.032660214873,-9746.387286484398,520.0770452597225,91.0,1,-1.9656060271674602,True
25235,0 days 00:56:16.082000,-6696.0,-9723.0,520.0,88.36,1,-1.78430636342443,True
25236,0 days 00:56:16.150000,-6716.074284838745,-9713.289648946295,519.8954515502222,87.0,1,-1.7659019290604483,True
25237,0 days 00:56:16.430000,-6738.936513475001,-9689.912690625999,518.9276199010668,82.0,1,-1.6795348656843068,True
25238,0 days 00:56:16.521000,-6745.0,-9678.0,518.0,82.0,1,-1.6487738485703543,True
25239,0 days 00:56:16.710000,-6765.500185113759,-9641.508085084432,515.0193796828274,82.0,1,-1.5622723017203632,True
25240,0 days 00:56:16.781000,-6773.0,-9626.0,514.0,83.0354176,1,-1.5011429111828076,True
25241,0 days 00:56:17.001000,-6790.0,-9577.0,512.0,86.24375093333333,1,-1.4368067528580062,True
25242,0 days 00:56:17.190000,-6800.282733647328,-9532.386450393273,511.04614568850326,89.0,1,-1.3677301159633648,True
25243,0 days 00:56:17.201000,-6801.0,-9529.0,511.0,89.2062512,1,-1.3376951447437928,True
25244,0 days 00:56:17.350000,-6812.757780990505,-9472.76158342103,510.4094571575663,92.0,1,-1.2518622869034304,True
25245,0 days 00:56:17.421000,-6818.0,-9448.0,510.0,94.84000256,1,-1.2141958113083322,True
25246,0 days 00:56:17.550000,-6825.102978196372,-9415.867882871149,508.88254388923536,100.0,1,-1.1557729953765632,True
25247,0 days 00:56:17.781000,-6836.0,-9374.0,507.0,111.50890260700984,1,-1.0780082684789185,True
25248,0 days 00:56:17.831000,-6839.530503495223,-9361.211849940935,506.9395935332676,114.0,1,-1.066616960105446,True
25249,0 days 00:56:17.941000,-6851.0,-9326.0,507.0,119.12545281710042,1,-1.0080616146910568,True
25250,0 days 00:56:18.110000,-6886.67932141068,-9247.083894522862,506.4220380096459,127.0,1,-0.9375414716329242,True
25251,0 days 00:56:18.181000,-6903.0,-9215.0,506.0,131.0571465142857,1,-0.9027170984073327,True
25252,0 days 00:56:18.390000,-6944.614318946965,-9145.133236040538,504.3151515775507,143.0,1,-0.864367850874883,True
25253,0 days 00:56:18.590000,-6986.727920978808,-9086.651451173004,503.0553849444833,154.0,1,-0.8169470136483415,True
25254,0 days 00:56:18.622000,-6995.0,-9075.0,503.0,155.44,1,-0.8282518363313245,True
25255,0 days 00:56:18.790000,-7045.401040190188,-9003.375882194645,503.37342651243586,163.0,1,-0.7921857550626957,True
25256,0 days 00:56:18.962000,-7100.0,-8920.0,504.0,169.2111111111111,1,-0.7786663274790592,True
25257,0 days 00:56:19.150000,-7152.3246959424805,-8826.892354484826,503.8876525627367,176.0,1,-0.7482371414133475,True
25258,0 days 00:56:19.310000,-7189.390609485365,-8751.279230405646,503.3107277186677,184.0,1,-0.729123570162106,True
25259,0 days 00:56:19.462000,-7213.0,-8702.0,503.0,190.08,1,-0.7169800518828505,True
25260,0 days 00:56:19.510000,-7217.997840356991,-8691.40782153044,502.96336618381184,192.0,1,-0.7053975455170198,True
25261,0 days 00:56:19.702000,-7238.0,-8641.0,503.0,198.72,1,-0.6714654786688438,True
25262,0 days 00:56:19.710000,-7239.558680105739,-8636.662626385036,503.00101172547505,199.0,1,-0.6544626226127418,True
25263,0 days 00:56:19.982000,-7316.0,-8417.0,503.0,207.74285714285713,1,-0.6123168875453155,True
25264,0 days 00:56:19.990000,-7317.7922732889065,-8411.767243000499,503.0029837088633,208.0,1,-0.6015520122307475,True
25265,0 days 00:56:20.190000,-7344.658385780017,-8331.46109529936,503.16706835254445,214.0,1,-0.5860921699035642,True
25266,0 days 00:56:20.430000,-7369.829167881307,-8242.643546096693,503.0323072928351,219.0,1,-0.5501259489874751,True
25267,0 days 00:56:20.441000,-7372.0,-8235.0,503.0,219.2750016,1,-0.5264851594414485,True
25268,0 days 00:56:20.630000,-7420.506008588525,-8064.236454459622,502.1764768281264,224.0,1,-0.5007447974076746,True
25269,0 days 00:56:20.681000,-7433.0,-8020.0,502.0,224.76500096,1,-0.4829990115843393,False
25270,0 days 00:56:20.830000,-7462.187847383004,-7915.537320635151,501.7800045918023,227.0,1,-0.479452177158171,False
25271,0 days 00:56:21.030000,-7488.838615120219,-7817.31414000276,501.95443795531935,234.0,1,-0.4565163222495199,False
25272,0 days 00:56:21.102000,-7498.0,-7783.0,502.0,235.2,1,-0.4693844426068309,False
25273,0 days 00:56:21.270000,-7519.160586186541,-7702.723873597203,502.03831688573416,238.0,1,-0.4625039829012424,False
25274,0 days 00:56:21.422000,-7539.0,-7622.0,502.0,239.52,1,-0.46793596377958824,False
25275,0 days 00:56:21.470000,-7545.5738883052,-7593.499955148523,501.9751221395252,240.0,1,-0.4620801196645201,False
25276,0 days 00:56:21.602000,-7564.0,-7509.0,502.0,244.4,1,-0.47650280839863657,False
25277,0 days 00:56:21.710000,-7578.651455991586,-7435.732178240141,502.3633301313296,248.0,1,-0.50087150196162,True
25278,0 days 00:56:21.861000,-7597.0,-7333.0,503.0,251.02000128,1,-0.5267036991381645,True
25279,0 days 00:56:21.910000,-7601.969240682929,-7301.404238473579,503.101634486453,252.0,1,-0.5374553713096286,True
25280,0 days 00:56:22.101000,-7619.0,-7166.0,503.0,252.95500032,1,-0.5494474007709836,True
25281,0 days 00:56:22.110000,-7619.871664940668,-7157.711050903475,502.9764156616893,253.0,1,-0.5877690925569061,True
25282,0 days 00:56:22.362000,-7644.0,-6896.0,502.0,257.2,1,-0.6308298941631522,True
25283,0 days 00:56:22.470000,-7648.620098684937,-6835.722291574163,501.87557674265423,259.0,1,-0.6743096985619421,True
25284,0 days 00:56:22.661000,-7652.0,-6766.0,502.0,261.984376,1,-0.7047420762965506,True
25285,0 days 00:56:22.790000,-7657.153800515375,-6672.656695278409,502.02623084412573,264.0,1,-0.7198331121531133,True
25286,0 days 00:56:22.961000,-7666.0,-6539.0,502.0,266.44285805714287,1,-0.7901890474616218,True
25287,0 days 00:56:23.001000,-7668.0,-6516.0,502.0,267.0142866285714,1,-0.8013747254068714,True
25288,0 days 00:56:23.070000,-7671.348795756033,-6470.853082667621,502.1695181525899,268.0,1,-0.8575121423899017,True
25289,0 days 00:56:23.230000,-7677.71577840546,-6345.504242245435,502.9702845776355,270.0,1,-0.9085049844303897,True
25290,0 days 00:56:23.241000,-7678.0,-6337.0,503.0,270.0343752,1,-0.9175629146572882,True
25291,0 days 00:56:23.441000,-7679.0,-6187.0,503.0,270.6593752,1,-0.9690813594563538,True
25292,0 days 00:56:23.550000,-7675.36974749816,-6104.411589141514,502.97004585685926,271.0,1,-0.9817751259667161,True
25293,0 days 00:56:23.641000,-7671.0,-6035.0,503.0,271.45500032,1,-1.0106486118113345,True
25294,0 days 00:56:23.921000,-7655.0,-5823.0,503.0,272.85500032,1,-1.0714338514192578,True
25295,0 days 00:56:23.950000,-7653.129361726768,-5801.458538057063,502.866899671044,273.0,1,-1.0950891930525264,True
25296,0 days 00:56:24.062000,-7645.0,-5718.0,503.0,268.3333333333333,1,-1.1050039882326015,True
25297,0 days 00:56:24.190000,-7631.911514483357,-5617.584419154292,508.1031401753924,263.0,1,-1.1329749829274824,True
25298,0 days 00:56:24.301000,-7619.0,-5533.0,513.0,251.94604878235322,1,-1.1515836482944006,True
25299,0 days 00:56:24.431000,-7604.00836274375,-5444.410791158259,514.9979257453268,239.0,1,-1.1818751685577396,True
25300,0 days 00:56:24.561000,-7589.0,-5365.0,516.0,220.89413581831562,1,-1.2072913850595104,True
25301,0 days 00:56:24.781000,-7560.0,-5234.0,521.0,190.25347275704107,1,-1.244333063375725,True
25302,0 days 00:56:24.790000,-7558.388159150396,-5227.428779625832,521.1550927544308,189.0,1,-1.248849449792905,True
25303,0 days 00:56:24.981000,-7520.0,-5078.0,523.0,172.50453992727273,1,-1.2783306866179844,True
25304,0 days 00:56:25.230000,-7498.73187465665,-5001.09645782898,524.774735813867,151.0,1,-1.303781343477293,True
25305,0 days 00:56:25.341000,-7491.0,-4976.0,526.0,143.8642816,1,-1.3043254530479305,True
25306,0 days 00:56:25.510000,-7473.473457638146,-4918.978016770176,528.6639627902689,133.0,1,-1.3227077633873472,True
25307,0 days 00:56:25.601000,-7463.0,-4887.0,530.0,127.53999616,1,-1.331004508682319,True
25308,0 days 00:56:25.710000,-7450.596472328251,-4852.384606924743,531.2168893966328,121.0,1,-1.3307078126296215,True
25309,0 days 00:56:25.782000,-7442.0,-4830.0,532.0,120.22857142857143,1,-1.332841780394559,True
25310,0 days 00:56:25.941000,-7420.0,-4779.0,534.0,118.52499931428571,1,-1.3395050007974838,True
