,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-6264.0,-9766.0,504.0,89.04,1,0.0,False
25181,0 days 00:56:08.950000,-6252.7557322117855,-9763.43310616566,503.1114452276853,93.0,1,0.0,False
25182,0 days 00:56:08.982000,-6252.0,-9763.0,503.0,93.9,1,0.0,False
25183,0 days 00:56:09.182000,-6308.0,-9769.0,506.0,99.525,1,0.0,False
25184,0 days 00:56:09.270000,-6336.09728327735,-9771.249072015295,507.26569975343114,102.0,1,0.0,False
25185,0 days 00:56:09.422000,-6381.0,-9773.0,509.0,114.35,1,0.0,False
25186,0 days 00:56:09.430000,-6383.413600635459,-9773.044027791806,509.09917146808937,115.0,1,0.0,False
25187,0 days 00:56:09.590000,-6432.550754641089,-9773.086584285793,511.2635298836724,112.0,1,0.0,False
25188,0 days 00:56:09.642000,-6448.0,-9773.0,512.0,110.63157894736842,1,0.0,False
25189,0 days 00:56:10.350000,-6635.551442532627,-9749.500739175279,519.9926095850675,92.0,1,0.0,False
25190,0 days 00:56:10.361000,-6639.0,-9748.0,520.0,91.828124,1,0.0,False
25191,0 days 00:56:10.641000,-6724.0,-9702.0,519.0,87.453124,1,0.0,False
25192,0 days 00:56:10.670000,-6729.41329089768,-9698.317025391338,518.8758232818461,87.0,1,0.0,False
25193,0 days 00:56:10.981000,-6752.0,-9667.0,517.0,82.140624,1,0.0,False
25194,0 days 00:56:10.990000,-6752.738404834874,-9665.565303092879,516.8861021434711,82.0,1,0.0,False
25195,0 days 00:56:11.230000,-6778.030521239563,-9614.516541820956,513.119192556227,85.0,1,0.0,False
25196,0 days 00:56:11.241000,-6779.0,-9612.0,513.0,85.1375008,1,0.0,False
25197,0 days 00:56:11.401000,-6790.0,-9575.0,512.0,87.1375008,1,0.0,False
25198,0 days 00:56:11.470000,-6794.202975164482,-9557.994301544775,511.7007823407067,88.0,1,0.0,False
25199,0 days 00:56:11.601000,-6802.0,-9524.0,511.0,92.5031272,1,0.0,False
25200,0 days 00:56:11.790000,-6813.269180076337,-9472.406384390237,509.11996135450454,99.0,1,0.0,False
25201,0 days 00:56:11.802000,-6814.0,-9469.0,509.0,99.825,1,0.0,False
25202,0 days 00:56:11.950000,-6823.228039021591,-9425.571597173199,507.6676420549764,110.0,1,0.0,False
25203,0 days 00:56:12.082000,-6833.0,-9385.0,507.0,115.5,1,0.0,False
25204,0 days 00:56:12.190000,-6842.873285550454,-9350.720828536916,506.9912588940044,120.0,1,0.0,False
25205,0 days 00:56:12.261000,-6851.0,-9327.0,507.0,123.19500288,1,0.0,False
25206,0 days 00:56:12.390000,-6870.1372328726975,-9280.534457886326,506.6793167954418,129.0,1,0.0,False
25207,0 days 00:56:12.541000,-6897.0,-9226.0,506.0,139.3812544,1,0.0,False
25208,0 days 00:56:12.550000,-6898.647527023537,-9222.95450026035,505.95882658550266,140.0,1,0.0,False
25209,0 days 00:56:12.761000,-6940.0,-9155.0,505.0,152.0571465142857,1,0.0,False
