,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-6775.0,-7403.0,479.0,192.52,1,0.0,False
25181,0 days 00:56:08.950000,-6769.867727468322,-7447.008266312518,479.0000360927551,178.0,1,0.0,False
25182,0 days 00:56:08.982000,-6768.0,-7463.0,479.0,175.8,1,0.0,False
25183,0 days 00:56:09.182000,-6758.0,-7551.0,479.0,162.05,1,0.0,False
25184,0 days 00:56:09.270000,-6754.215581521662,-7590.183892060267,479.0000412655086,156.0,1,0.0,False
25185,0 days 00:56:09.422000,-6749.0,-7658.0,479.0,147.45,1,0.0,False
25186,0 days 00:56:09.430000,-6748.799741121003,-7661.404181197152,478.99998695035725,147.0,1,0.0,False
25187,0 days 00:56:09.590000,-6746.321280691859,-7725.716254831608,478.9997018574852,141.0,1,0.0,False
25188,0 days 00:56:09.642000,-6746.0,-7745.0,479.0,139.7,1,0.0,False
25189,0 days 00:56:10.350000,-6800.938765278449,-7969.614536259486,479.00112907337035,122.0,1,0.0,False
25190,0 days 00:56:10.361000,-6804.0,-7974.0,479.0,121.8968744,1,0.0,False
25191,0 days 00:56:10.641000,-6891.0,-8087.0,479.0,119.2718744,1,0.0,False
25192,0 days 00:56:10.670000,-6896.043755311605,-8095.160350543907,479.014392461723,119.0,1,0.0,False
25193,0 days 00:56:10.981000,-6899.0,-8152.0,479.0,117.0562496,1,0.0,False
25194,0 days 00:56:10.990000,-6898.773643085105,-8154.367165772923,478.97425114152776,117.0,1,0.0,False
25195,0 days 00:56:11.230000,-6893.361757227585,-8235.404156578486,478.0144701146589,118.0,1,0.0,False
25196,0 days 00:56:11.241000,-6893.0,-8239.0,478.0,118.1375008,1,0.0,False
25197,0 days 00:56:11.401000,-6886.0,-8288.0,478.0,120.1375008,1,0.0,False
25198,0 days 00:56:11.470000,-6882.048968248894,-8310.511144491285,477.71676044834743,121.0,1,0.0,False
25199,0 days 00:56:11.601000,-6873.0,-8356.0,477.0,124.2750016,1,0.0,False
25200,0 days 00:56:11.790000,-6856.218201968758,-8423.662974148885,477.01112484977364,129.0,1,0.0,False
25201,0 days 00:56:11.802000,-6855.0,-8428.0,477.0,129.375,1,0.0,False
25202,0 days 00:56:11.950000,-6838.461884991959,-8481.74263787708,476.505564440496,134.0,1,0.0,False
