,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-6813.0,-4906.0,489.0,166.44,1,0.0,False
25181,0 days 00:56:08.950000,-6842.924057631196,-4933.368483917552,488.24495047877934,166.0,1,0.0,False
25182,0 days 00:56:08.982000,-6854.0,-4944.0,488.0,165.8,1,0.0,False
25183,0 days 00:56:09.182000,-6916.0,-5013.0,487.0,164.55,1,0.0,False
25184,0 days 00:56:09.270000,-6941.319818345806,-5045.202452528467,486.69485487450515,164.0,1,0.0,False
25185,0 days 00:56:09.422000,-6983.0,-5104.0,486.0,167.8,1,0.0,False
25186,0 days 00:56:09.430000,-6985.119369525894,-5107.223028594188,485.94260264415374,168.0,1,0.0,False
25187,0 days 00:56:09.590000,-7025.784407992957,-5173.7513187990235,484.43893605425916,174.0,1,0.0,False
25188,0 days 00:56:09.642000,-7038.0,-5195.0,484.0,175.57368421052632,1,0.0,False
25189,0 days 00:56:10.350000,-7161.259426437046,-5522.35779418273,483.02891274194246,197.0,1,0.0,False
25190,0 days 00:56:10.361000,-7163.0,-5531.0,483.0,197.3093768,1,0.0,False
25191,0 days 00:56:10.641000,-7203.0,-5765.0,482.0,205.1843768,1,0.0,False
25192,0 days 00:56:10.670000,-7205.496990267171,-5781.596852956641,481.94477908256914,206.0,1,0.0,False
25193,0 days 00:56:10.981000,-7215.0,-5884.0,482.0,214.7468768,1,0.0,False
25194,0 days 00:56:10.990000,-7215.225976956934,-5888.087061092104,482.0028847471559,215.0,1,0.0,False
25195,0 days 00:56:11.230000,-7221.004680724527,-6032.127098795764,482.00132429530805,218.0,1,0.0,False
25196,0 days 00:56:11.241000,-7221.0,-6039.0,482.0,218.0916672,1,0.0,False
25197,0 days 00:56:11.401000,-7217.0,-6136.0,482.0,219.42500053333333,1,0.0,False
25198,0 days 00:56:11.470000,-7212.908645801971,-6176.979064926865,482.0413249282554,220.0,1,0.0,False
25199,0 days 00:56:11.601000,-7200.0,-6252.0,482.0,222.046876,1,0.0,False
25200,0 days 00:56:11.790000,-7161.84896055226,-6348.9974824753735,481.06944721252336,225.0,1,0.0,False
25201,0 days 00:56:11.802000,-7158.0,-6355.0,481.0,225.225,1,0.0,False
25202,0 days 00:56:11.950000,-7093.8313515276795,-6428.808598698202,480.15371462390334,228.0,1,0.0,False
25203,0 days 00:56:12.082000,-7034.0,-6496.0,480.0,228.0,1,0.0,False
25204,0 days 00:56:12.190000,-6997.9458862352585,-6553.118625189788,480.6449050140607,228.0,1,0.0,False
25205,0 days 00:56:12.261000,-6978.0,-6594.0,481.0,229.42000128,1,0.0,False
25206,0 days 00:56:12.390000,-6945.61236262211,-6678.389909781941,480.8489116555237,232.0,1,0.0,False
25207,0 days 00:56:12.541000,-6914.0,-6779.0,480.0,232.0,1,0.0,False
25208,0 days 00:56:12.550000,-6912.329822897822,-6784.483195147196,479.95122087291736,232.0,1,0.0,False
25209,0 days 00:56:12.761000,-6878.0,-6903.0,479.0,232.75357165714286,1,0.0,False
25210,0 days 00:56:12.830000,-6866.908547666884,-6943.633385914343,478.8832669381538,233.0,1,0.0,False
25211,0 days 00:56:12.990000,-6840.858071994759,-7044.076701450782,478.9599421722628,232.0,1,0.0,False
25212,0 days 00:56:13.061000,-6830.0,-7090.0,479.0,229.1156224,1,0.0,False
25213,0 days 00:56:13.310000,-6797.1987455393855,-7251.5630524333665,479.00225044330375,219.0,1,0.0,False
25214,0 days 00:56:13.341000,-6794.0,-7270.0,479.0,215.124992,1,0.0,False
25215,0 days 00:56:13.510000,-6780.215016897851,-7361.607932815028,478.99961466718923,194.0,1,0.0,False
25216,0 days 00:56:13.542000,-6778.0,-7378.0,479.0,191.96363636363637,1,0.0,False
25217,0 days 00:56:13.722000,-6767.0,-7467.0,479.0,180.5090909090909,1,0.0,False
25218,0 days 00:56:13.822000,-6762.0,-7514.0,479.0,174.14545454545456,1,0.0,False
25219,0 days 00:56:13.950000,-6756.074767296648,-7568.047292156979,479.0000156154081,166.0,1,0.0,False
25220,0 days 00:56:14.082000,-6751.0,-7630.0,479.0,158.92857142857142,1,0.38731838204726865,False
25221,0 days 00:56:14.230000,-6747.267054335697,-7722.252098912216,478.99997298532014,151.0,1,0.3970000951384237,False
25222,0 days 00:56:14.302000,-6746.0,-7762.0,479.0,148.9,1,0.4014669301596097,False
25223,0 days 00:56:14.470000,-6744.123597771002,-7819.619009356926,479.00023504052854,144.0,1,0.38928219803599584,False
25224,0 days 00:56:14.682000,-6752.0,-7868.0,479.0,136.42857142857142,1,0.3987463496939966,False
25225,0 days 00:56:14.750000,-6759.266543023655,-7890.918324521562,478.9995479388186,134.0,1,0.3908095055154525,False
25226,0 days 00:56:14.942000,-6791.0,-7962.0,479.0,129.68,1,0.42447951691111613,False
25227,0 days 00:56:15.150000,-6839.9893193488715,-8009.072383871221,479.0112872225065,125.0,1,0.4623346212915945,False
25228,0 days 00:56:15.321000,-6875.0,-8045.0,479.0,123.3968744,1,0.47640350748724014,False
25229,0 days 00:56:15.470000,-6891.618362642271,-8088.401498086816,478.96588142001815,122.0,1,0.4434473294164802,False
25230,0 days 00:56:15.542000,-6896.0,-8112.0,479.0,121.1,1,0.440083413391305,False
25231,0 days 00:56:15.782000,-6898.0,-8194.0,479.0,118.1,1,0.42903495779296763,False
25232,0 days 00:56:15.790000,-6897.864266598442,-8196.439601058239,478.9562073276478,118.0,1,0.42301932624036537,False
25233,0 days 00:56:15.922000,-6893.0,-8241.0,478.0,118.825,1,0.41404543442151664,False
25234,0 days 00:56:15.950000,-6890.693230439544,-8255.825690878852,477.91072372075496,119.0,1,0.4051083983875018,False
25235,0 days 00:56:16.082000,-6876.0,-8341.0,478.0,120.98,1,0.40760389853024326,False
25236,0 days 00:56:16.150000,-6869.993712784738,-8373.531099918848,478.0089524698555,122.0,1,0.39948488238051805,False
25237,0 days 00:56:16.430000,-6856.201477168994,-8426.281038280858,477.3772107430772,130.0,1,0.3897872435169201,False
25238,0 days 00:56:16.521000,-6849.0,-8448.0,477.0,134.87500342857143,1,0.3720218814399896,False
25239,0 days 00:56:16.710000,-6826.35124476298,-8517.119697666374,476.08073451823145,145.0,1,0.3720847675379643,False
25240,0 days 00:56:16.781000,-6816.0,-8546.0,476.0,148.69792,1,0.3551088646181789,False
25241,0 days 00:56:17.001000,-6780.0,-8634.0,477.0,160.15625333333332,1,0.3539997763368566,False
25242,0 days 00:56:17.190000,-6743.099384638495,-8712.190668130193,477.96782418210273,170.0,1,0.3033605041258556,False
25243,0 days 00:56:17.201000,-6740.0,-8718.0,478.0,170.2750016,1,0.30764327524588814,False
25244,0 days 00:56:17.350000,-6685.675640735035,-8813.137175140253,478.09715379039716,174.0,1,0.2710186211999463,False
25245,0 days 00:56:17.421000,-6661.0,-8854.0,478.0,176.48500224,1,0.22882525242432347,False
25246,0 days 00:56:17.550000,-6628.162110858425,-8904.465000097322,477.67089558744675,181.0,1,0.15392737789080105,False
25247,0 days 00:56:17.781000,-6581.0,-8963.0,477.0,186.75445130350494,1,0.09686821146824327,False
25248,0 days 00:56:17.831000,-6566.07528797451,-8981.3743506917,476.94246547418606,188.0,1,0.054423350691630984,False
25249,0 days 00:56:17.941000,-6525.0,-9029.0,477.0,189.18279680394625,1,-0.05840272224146678,False
25250,0 days 00:56:18.110000,-6434.513261950056,-9115.20423833062,477.7855103275339,191.0,1,-0.2185653582651061,False
25251,0 days 00:56:18.181000,-6397.0,-9147.0,478.0,186.68928182857144,1,-0.38122080150747395,False
25252,0 days 00:56:18.390000,-6309.916474931305,-9206.822388505558,477.4700108501955,174.0,1,-0.623801420263692,True
25253,0 days 00:56:18.590000,-6240.166556450177,-9240.844155078372,476.90980139102925,158.0,1,-0.8212085859847077,True
25254,0 days 00:56:18.622000,-6228.0,-9247.0,477.0,156.72,1,-0.9496914919968035,True
25255,0 days 00:56:18.790000,-6159.518652878058,-9282.606882950035,478.29167051660033,150.0,1,-1.107072349615442,True
25256,0 days 00:56:18.962000,-6093.0,-9320.0,480.0,135.66666666666666,1,-1.2712137381333826,True
25257,0 days 00:56:19.150000,-6038.204585725062,-9356.289773264185,481.0844247678321,120.0,1,-1.417966685436679,True
25258,0 days 00:56:19.310000,-6005.76054079898,-9382.336286292777,481.5046554111727,106.0,1,-1.5130026682723743,True
25259,0 days 00:56:19.462000,-5985.0,-9399.0,482.0,98.4,1,-1.5902306906778234,True
25260,0 days 00:56:19.510000,-5980.438683050808,-9402.544265241828,482.1867721159776,96.0,1,-1.6405297463377375,True
25261,0 days 00:56:19.702000,-5966.0,-9420.0,483.0,86.4,1,-1.748365216499455,True
25262,0 days 00:56:19.710000,-5965.176488402369,-9421.548664850343,483.03129882901004,86.0,1,-1.7625938823943417,True
25263,0 days 00:56:19.982000,-5931.0,-9501.0,484.0,77.25714285714285,1,-1.9623504431797114,True
25264,0 days 00:56:19.990000,-5930.312517772365,-9502.919388564134,484.0306403181747,77.0,1,-2.0321860020229296,True
25265,0 days 00:56:20.190000,-5923.154858201552,-9533.184203827754,484.87754400534817,73.0,1,-2.094808591943992,True
