,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-2739.0,-1995.0,891.0,134.2,1,0.0,False
25181,0 days 00:56:08.950000,-2744.4653341185276,-1965.3963640769284,892.5468850808476,132.0,1,0.0,False
25182,0 days 00:56:08.982000,-2746.0,-1954.0,893.0,131.6,1,0.0,False
25183,0 days 00:56:09.182000,-2746.0,-1883.0,894.0,129.1,1,0.0,False
25184,0 days 00:56:09.270000,-2741.753894267833,-1851.820114812445,894.364305584703,128.0,1,0.0,False
25185,0 days 00:56:09.422000,-2729.0,-1798.0,895.0,128.0,1,0.0,False
25186,0 days 00:56:09.430000,-2728.152889906031,-1795.16741152548,895.020519169512,128.0,1,0.0,False
25187,0 days 00:56:09.590000,-2708.2809371326234,-1739.3203732727052,895.1226878104932,127.0,1,0.0,False
25188,0 days 00:56:09.642000,-2702.0,-1723.0,895.0,128.23157894736843,1,0.0,False
25189,0 days 00:56:10.350000,-2601.7954660035925,-1543.1053901492414,881.5002995588126,145.0,1,0.0,False
25190,0 days 00:56:10.361000,-2598.0,-1538.0,881.0,145.4468776,1,0.0,False
25191,0 days 00:56:10.641000,-2488.0,-1395.0,867.0,156.8218776,1,0.0,False
25192,0 days 00:56:10.670000,-2479.9685988936667,-1384.9662575657533,865.9748085365912,158.0,1,0.0,False
25193,0 days 00:56:10.981000,-2428.0,-1327.0,860.0,161.8875008,1,0.0,False
25194,0 days 00:56:10.990000,-2425.8643318729405,-1324.6849387535044,859.8156274672406,162.0,1,0.0,False
25195,0 days 00:56:11.230000,-2350.580971901982,-1241.9609999037814,853.3773462820941,162.0,1,0.0,False
25196,0 days 00:56:11.241000,-2347.0,-1238.0,853.0,163.2833408,1,0.0,False
25197,0 days 00:56:11.401000,-2296.0,-1181.0,847.0,181.95000746666668,1,0.0,False
25198,0 days 00:56:11.470000,-2273.262446483825,-1154.7103827948724,844.6415478123704,190.0,1,0.0,False
25199,0 days 00:56:11.601000,-2229.0,-1101.0,840.0,194.5031272,1,0.0,False
25200,0 days 00:56:11.790000,-2165.1273978246268,-1014.8305763488306,830.6040902019997,201.0,1,0.0,False
25201,0 days 00:56:11.802000,-2161.0,-1009.0,830.0,201.225,1,0.0,False
25202,0 days 00:56:11.950000,-2109.073387285142,-933.5256009754827,822.926374213569,204.0,1,0.0,False
25203,0 days 00:56:12.082000,-2065.0,-868.0,817.0,208.4,1,0.0,False
25204,0 days 00:56:12.190000,-2032.7733629327702,-820.087809424099,812.2782268840457,212.0,1,0.0,False
25205,0 days 00:56:12.261000,-2010.0,-787.0,809.0,207.38499584,1,0.0,False
25206,0 days 00:56:12.390000,-1960.3064859090491,-717.2123555744008,802.3429961638197,199.0,1,0.0,False
25207,0 days 00:56:12.541000,-1903.0,-639.0,795.0,190.5062464,1,0.0,False
25208,0 days 00:56:12.550000,-1900.1795246538632,-635.2112809644431,794.6400247602213,190.0,1,0.0,False
25209,0 days 00:56:12.761000,-1847.0,-566.0,788.0,170.4071369142857,1,0.0,False
25210,0 days 00:56:12.830000,-1829.1968843293505,-543.6087866052512,785.9227226265082,164.0,1,0.0,False
25211,0 days 00:56:12.990000,-1784.9516162992422,-488.99493954262914,781.0195779852446,150.0,1,0.0,False
25212,0 days 00:56:13.061000,-1766.0,-466.0,779.0,145.562496,1,0.0,False
25213,0 days 00:56:13.310000,-1705.1272625850047,-394.16822955078527,772.7584078512083,130.0,1,0.0,False
25214,0 days 00:56:13.341000,-1698.0,-386.0,772.0,128.29499648,1,0.0,False
25215,0 days 00:56:13.510000,-1660.2302596079408,-343.80131432378226,767.8028429961469,119.0,1,0.0,False
25216,0 days 00:56:13.542000,-1653.0,-336.0,767.0,117.54545454545455,1,0.0,False
25217,0 days 00:56:13.722000,-1613.0,-294.0,763.0,109.36363636363636,1,0.0,False
25218,0 days 00:56:13.822000,-1595.0,-275.0,762.0,104.81818181818181,1,0.0,False
