,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-2678.0,-1672.0,893.0,130.68,1,0.0,False
25181,0 days 00:56:08.950000,-2663.885074321722,-1644.0033581800967,890.0758225217915,132.0,1,0.0,False
25182,0 days 00:56:08.982000,-2658.0,-1633.0,889.0,132.6,1,0.0,False
25183,0 days 00:56:09.182000,-2619.0,-1569.0,884.0,136.35,1,0.0,False
25184,0 days 00:56:09.270000,-2610.978131542246,-1556.834376690263,882.8891788289976,138.0,1,0.0,False
25185,0 days 00:56:09.422000,-2600.0,-1542.0,881.0,140.85,1,0.0,False
25186,0 days 00:56:09.430000,-2598.7968601588336,-1540.3187360134102,880.8215807624142,141.0,1,0.0,False
25187,0 days 00:56:09.590000,-2562.3661510997845,-1489.1119607071503,875.7475506834097,143.0,1,0.0,False
25188,0 days 00:56:09.642000,-2549.0,-1471.0,874.0,145.32631578947368,1,0.0,False
25189,0 days 00:56:10.350000,-2340.1899308785396,-1231.0973350967295,851.5820337063527,177.0,1,0.0,False
25190,0 days 00:56:10.361000,-2335.0,-1225.0,851.0,177.3781272,1,0.0,False
25191,0 days 00:56:10.641000,-2197.0,-1059.0,835.0,187.0031272,1,0.0,False
25192,0 days 00:56:10.670000,-2187.4066841723343,-1046.9611211059791,833.821581657865,188.0,1,0.0,False
25193,0 days 00:56:10.981000,-2133.0,-969.0,826.0,198.6906272,1,0.0,False
25194,0 days 00:56:10.990000,-2130.970696033911,-965.9588777185292,825.7006765797823,199.0,1,0.0,False
25195,0 days 00:56:11.230000,-2059.4702807539074,-860.1148277808591,815.4820921048611,206.0,1,0.0,False
25196,0 days 00:56:11.241000,-2056.0,-855.0,815.0,205.9083328,1,0.0,False
25197,0 days 00:56:11.401000,-2004.0,-779.0,808.0,204.57499946666667,1,0.0,False
25198,0 days 00:56:11.470000,-1977.1397135001196,-740.8235289476055,804.5989758054836,204.0,1,0.0,False
25199,0 days 00:56:11.601000,-1924.0,-667.0,798.0,197.0406216,1,0.0,False
25200,0 days 00:56:11.790000,-1864.5756606606042,-588.5731548710917,790.4319455063735,187.0,1,0.0,False
25201,0 days 00:56:11.802000,-1861.0,-584.0,790.0,185.725,1,0.0,False
25202,0 days 00:56:11.950000,-1816.5598336880414,-528.2766864412474,785.0064219123715,170.0,1,0.0,False
25203,0 days 00:56:12.082000,-1778.0,-481.0,781.0,160.65,1,0.0,False
25204,0 days 00:56:12.190000,-1748.200385330707,-444.8634149046718,777.9831345533938,153.0,1,0.0,False
25205,0 days 00:56:12.261000,-1729.0,-422.0,776.0,147.6749952,1,0.0,False
25206,0 days 00:56:12.390000,-1694.2196943295753,-381.7516002518661,772.2093365659309,138.0,1,0.0,False
25207,0 days 00:56:12.541000,-1657.0,-340.0,768.0,124.7874944,1,0.0,False
25208,0 days 00:56:12.550000,-1655.03019679684,-337.8207291136547,767.7777637645303,124.0,1,0.0,False
25209,0 days 00:56:12.761000,-1614.0,-294.0,763.0,114.20356845714285,1,0.0,False
25210,0 days 00:56:12.830000,-1600.1012713390069,-280.22171841753305,761.1675340248916,111.0,1,0.0,False
25211,0 days 00:56:12.990000,-1566.0042254895957,-248.89560027409036,756.5421369133336,102.0,1,0.0,False
25212,0 days 00:56:13.061000,-1551.0,-237.0,755.0,99.5593728,1,0.0,False
25213,0 days 00:56:13.310000,-1499.5658379250767,-207.35535873870361,752.3118400346327,91.0,1,0.0,False
25214,0 days 00:56:13.341000,-1493.0,-205.0,752.0,90.06999808,1,0.0,False
25215,0 days 00:56:13.510000,-1456.1140612499491,-197.4186965080572,749.6888390230932,85.0,1,0.0,False
25216,0 days 00:56:13.542000,-1449.0,-197.0,749.0,84.49090909090908,1,0.0,False
25217,0 days 00:56:13.722000,-1409.0,-201.0,744.0,81.62727272727273,1,0.0,False
25218,0 days 00:56:13.822000,-1388.0,-208.0,742.0,80.03636363636363,1,0.0,False
25219,0 days 00:56:13.950000,-1363.0316057647788,-217.64773190650521,739.7429951801394,78.0,1,0.0,False
25220,0 days 00:56:14.082000,-1336.0,-233.0,737.0,77.05714285714286,1,-1.7216963254230966,True
25221,0 days 00:56:14.230000,-1300.4335781182708,-262.4946150459374,732.7680719656693,76.0,1,-1.6994537754638872,True
25222,0 days 00:56:14.302000,-1286.0,-276.0,731.0,74.8,1,-1.690554907489735,True
25223,0 days 00:56:14.470000,-1267.4009284998626,-296.5391282139878,728.7823823893526,72.0,1,-1.6540037780666343,True
25224,0 days 00:56:14.682000,-1256.0,-322.0,727.0,72.0,1,-1.6284798498822173,True
25225,0 days 00:56:14.750000,-1250.0166102639248,-336.2149852066281,725.8666129970196,72.0,1,-1.6079000925097442,True
25226,0 days 00:56:14.942000,-1231.0,-384.0,722.0,75.84,1,-1.5568416826818572,True
25227,0 days 00:56:15.150000,-1219.391002410988,-423.1844060244909,719.210475291512,80.0,1,-1.499090317114426,True
25228,0 days 00:56:15.321000,-1212.0,-455.0,717.0,84.2750016,1,-1.4445442766463434,True
25229,0 days 00:56:15.470000,-1203.642614314723,-489.1443342892532,714.4180434050039,88.0,1,-1.33735430403898,True
25230,0 days 00:56:15.542000,-1199.0,-507.0,713.0,90.25,1,-1.2974482428383742,True
25231,0 days 00:56:15.782000,-1182.0,-568.0,708.0,97.75,1,-1.0981277595720877,True
25232,0 days 00:56:15.790000,-1181.487587665323,-569.8694116498684,707.8562724782214,98.0,1,-1.084425593539713,True
25233,0 days 00:56:15.922000,-1171.0,-606.0,705.0,103.775,1,-0.9310778076024012,True
25234,0 days 00:56:15.950000,-1166.80908428533,-618.7976298518436,703.8628185603699,105.0,1,-0.8742955778141315,True
25235,0 days 00:56:16.082000,-1141.0,-694.0,697.0,110.28,1,-0.5000869506959732,True
25236,0 days 00:56:16.150000,-1130.7619047313021,-722.9744540076998,694.5759911514401,113.0,1,-0.3057194341275244,False
25237,0 days 00:56:16.430000,-1110.9152073702662,-771.3309972832839,692.3988416702583,124.0,1,0.06895938379548354,False
25238,0 days 00:56:16.521000,-1102.0,-791.0,691.0,126.60000182857142,1,0.2567132267771948,False
25239,0 days 00:56:16.710000,-1074.4711081969908,-852.2329182599752,685.3276588559859,132.0,1,0.801424930606941,True
