,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-2416.0,-3378.0,866.0,187.0,1,0.0,False
25181,0 days 00:56:08.950000,-2388.858949253056,-3344.1009616277015,865.97469014262,187.0,1,0.0,False
25182,0 days 00:56:08.982000,-2379.0,-3331.0,866.0,185.6,1,0.0,False
25183,0 days 00:56:09.182000,-2328.0,-3248.0,867.0,176.85,1,0.0,False
25184,0 days 00:56:09.270000,-2310.4966159923565,-3210.166215250656,867.7182241680154,173.0,1,0.0,False
25185,0 days 00:56:09.422000,-2287.0,-3142.0,869.0,170.15,1,0.0,False
25186,0 days 00:56:09.430000,-2285.9988986560197,-3138.2815025386867,869.0546417356113,170.0,1,0.0,False
25187,0 days 00:56:09.590000,-2270.6302742652697,-3061.9796737198876,869.8567860637888,162.0,1,0.0,False
25188,0 days 00:56:09.642000,-2267.0,-3038.0,870.0,161.0421052631579,1,0.0,False
25189,0 days 00:56:10.350000,-2290.8409966949953,-2737.216269457365,873.6668276019968,148.0,1,0.0,False
25190,0 days 00:56:10.361000,-2293.0,-2731.0,874.0,147.9656248,1,0.0,False
25191,0 days 00:56:10.641000,-2358.0,-2571.0,884.0,147.0906248,1,0.0,False
25192,0 days 00:56:10.670000,-2362.922957925075,-2560.0286163245532,884.5723665039867,147.0,1,0.0,False
25193,0 days 00:56:10.981000,-2399.0,-2497.0,885.0,150.8875008,1,0.0,False
25194,0 days 00:56:10.990000,-2400.599318457219,-2494.5364988101474,885.0101321157239,151.0,1,0.0,False
25195,0 days 00:56:11.230000,-2458.1392649313543,-2408.000096719582,885.9714772421646,155.0,1,0.0,False
25196,0 days 00:56:11.241000,-2461.0,-2404.0,886.0,155.0,1,0.0,False
25197,0 days 00:56:11.401000,-2503.0,-2349.0,886.0,155.0,1,0.0,False
25198,0 days 00:56:11.470000,-2521.814333840187,-2325.9726289389864,885.7005099177065,155.0,1,0.0,False
25199,0 days 00:56:11.601000,-2558.0,-2283.0,885.0,151.7249984,1,0.0,False
25200,0 days 00:56:11.790000,-2607.9262794244673,-2222.833770701965,884.9820212109801,147.0,1,0.0,False
25201,0 days 00:56:11.802000,-2611.0,-2219.0,885.0,146.85,1,0.0,False
25202,0 days 00:56:11.950000,-2647.9595317027283,-2171.2047054192276,885.3125639480471,145.0,1,0.0,False
25203,0 days 00:56:12.082000,-2678.0,-2128.0,886.0,142.25,1,0.0,False
25204,0 days 00:56:12.190000,-2699.6006279447697,-2092.3512411253005,887.0217178583449,140.0,1,0.0,False
25205,0 days 00:56:12.261000,-2712.0,-2068.0,888.0,138.57999872,1,0.0,False
25206,0 days 00:56:12.390000,-2730.371218446058,-2020.7683843024502,890.5194698970544,136.0,1,0.0,False
25207,0 days 00:56:12.541000,-2744.0,-1966.0,893.0,132.2249984,1,0.0,False
25208,0 days 00:56:12.550000,-2744.5025791721228,-1962.9647391814128,893.0661124451469,132.0,1,0.0,False
25209,0 days 00:56:12.761000,-2747.0,-1896.0,893.0,128.23214171428572,1,0.0,False
25210,0 days 00:56:12.830000,-2744.59607450986,-1872.9051581594151,893.2455374426407,127.0,1,0.0,False
25211,0 days 00:56:12.990000,-2733.6466880871867,-1816.4697385056659,894.5725464341834,124.0,1,0.0,False
25212,0 days 00:56:13.061000,-2727.0,-1792.0,895.0,123.7781248,1,0.0,False
25213,0 days 00:56:13.310000,-2696.3774799761286,-1710.8426980052639,894.5061939158273,123.0,1,0.0,False
25214,0 days 00:56:13.341000,-2692.0,-1701.0,894.0,123.31000064,1,0.0,False
25215,0 days 00:56:13.510000,-2666.289656184279,-1647.9172270464003,889.6635257765923,125.0,1,0.0,False
25216,0 days 00:56:13.542000,-2661.0,-1638.0,889.0,125.65454545454546,1,0.0,False
25217,0 days 00:56:13.722000,-2628.0,-1582.0,886.0,129.33636363636364,1,0.0,False
25218,0 days 00:56:13.822000,-2608.0,-1551.0,882.0,131.38181818181818,1,0.0,False
25219,0 days 00:56:13.950000,-2597.705735545416,-1535.35049215246,879.7849418409882,134.0,1,0.0,False
25220,0 days 00:56:14.082000,-2582.0,-1515.0,878.0,140.6,1,-0.9497519728761787,True
25221,0 days 00:56:14.230000,-2528.1691908572625,-1444.6536173654351,871.9501945911223,148.0,1,-0.9568235260120184,True
25222,0 days 00:56:14.302000,-2502.0,-1411.0,869.0,150.4,1,-0.9543900556716084,True
25223,0 days 00:56:14.470000,-2463.08625662983,-1363.7902453242878,864.5540084419758,156.0,1,-1.026037661677051,True
25224,0 days 00:56:14.682000,-2419.0,-1317.0,860.0,166.6,1,-1.0217501409073049,True
25225,0 days 00:56:14.750000,-2394.794413613424,-1290.736090373906,857.6950859097154,170.0,1,-1.0507884219299486,True
25226,0 days 00:56:14.942000,-2315.0,-1203.0,850.0,176.24,1,-1.0613184478007982,True
25227,0 days 00:56:15.150000,-2255.58847709899,-1134.7335301613539,842.891837010313,183.0,1,-1.0655768998055055,True
25228,0 days 00:56:15.321000,-2212.0,-1079.0,837.0,188.8781272,1,-1.1412057610211663,True
25229,0 days 00:56:15.470000,-2166.4288170619616,-1016.3238371572238,831.0854739968622,194.0,1,-1.1546392325639792,True
25230,0 days 00:56:15.542000,-2143.0,-983.0,828.0,196.025,1,-1.215712747644979,True
25231,0 days 00:56:15.782000,-2065.0,-868.0,817.0,202.775,1,-1.283406419138783,True
25232,0 days 00:56:15.790000,-2062.670531147079,-864.4909864165035,816.6345517730446,203.0,1,-1.300826875596354,True
25233,0 days 00:56:15.922000,-2020.0,-801.0,810.0,205.475,1,-1.364132217541859,True
25234,0 days 00:56:15.950000,-2005.9687007431598,-780.9608441305563,808.0941245972206,206.0,1,-1.4215907019281506,True
25235,0 days 00:56:16.082000,-1926.0,-669.0,798.0,200.06,1,-1.5008742681160967,True
25236,0 days 00:56:16.150000,-1895.8556359431477,-627.329504835565,794.3437401935244,197.0,1,-1.5835726768920266,True
25237,0 days 00:56:16.430000,-1851.9248379906523,-571.2083372139824,789.8660550044332,175.0,1,-1.6435501143839126,True
25238,0 days 00:56:16.521000,-1836.0,-552.0,788.0,169.79999634285716,1,-1.6811900447601262,True
25239,0 days 00:56:16.710000,-1785.2256167164232,-489.50012485052804,781.4604527530851,159.0,1,-1.7343915643584584,True
25240,0 days 00:56:16.781000,-1765.0,-465.0,779.0,153.6749952,1,-1.7437943988880031,True
25241,0 days 00:56:17.001000,-1708.0,-398.0,773.0,137.1749952,1,-1.8195827509038207,True
25242,0 days 00:56:17.190000,-1661.143975877388,-343.422231307628,768.3429617927349,123.0,1,-1.8523241183094141,True
25243,0 days 00:56:17.201000,-1658.0,-340.0,768.0,122.1749952,1,-1.8302780371434846,True
25244,0 days 00:56:17.350000,-1609.9207196153648,-290.64391626920604,762.3740770184521,111.0,1,-1.8583660629780356,True
25245,0 days 00:56:17.421000,-1590.0,-271.0,760.0,107.80499712,1,-1.8583885561258104,True
25246,0 days 00:56:17.550000,-1565.8278239983533,-247.98894929815137,757.2136043783032,102.0,1,-1.8451175389414574,True
25247,0 days 00:56:17.781000,-1539.0,-228.0,755.0,92.1352263368487,1,-1.8434575285210804,True
25248,0 days 00:56:17.831000,-1530.4604910386324,-222.39734677481218,754.4591064807998,90.0,1,-1.8402799937171042,True
25249,0 days 00:56:17.941000,-1507.0,-210.0,753.0,87.6344063921075,1,-1.8160265385484362,True
25250,0 days 00:56:18.110000,-1456.4556169026653,-199.4478896197453,749.4944145097846,84.0,1,-1.832176858169971,True
25251,0 days 00:56:18.181000,-1436.0,-198.0,748.0,82.2249984,1,-1.8009403038072485,True
25252,0 days 00:56:18.390000,-1390.9383971695333,-203.50301241493474,744.442875012518,77.0,1,-1.794248256285688,True
25253,0 days 00:56:18.590000,-1357.7362886372312,-220.4571962370745,740.7788183531752,77.0,1,-1.7677462580278402,True
25254,0 days 00:56:18.622000,-1352.0,-224.0,740.0,76.52,1,-1.7413905200271778,True
25255,0 days 00:56:18.790000,-1319.9353868703151,-246.35150622323403,735.0357886748951,74.0,1,-1.7228294225676688,True
25256,0 days 00:56:18.962000,-1289.0,-274.0,730.0,72.56666666666666,1,-1.7014014076115198,True
25257,0 days 00:56:19.150000,-1263.6368848211653,-307.64429003187956,726.4095225281189,71.0,1,-1.6622958572290119,True
25258,0 days 00:56:19.310000,-1248.8463717304294,-336.7323655418394,724.7958883970496,71.0,1,-1.6263499820352727,True
25259,0 days 00:56:19.462000,-1240.0,-356.0,724.0,71.76,1,-1.5995623912575,True
25260,0 days 00:56:19.510000,-1238.2478672829984,-360.20918528535435,723.8876680791138,72.0,1,-1.5874321221982972,True
25261,0 days 00:56:19.702000,-1232.0,-381.0,723.0,75.84,1,-1.5459200182697261,True
25262,0 days 00:56:19.710000,-1231.505897356713,-382.7989118441969,722.8799254104729,76.0,1,-1.5376982202986136,True
25263,0 days 00:56:19.982000,-1207.0,-474.0,716.0,82.8,1,-1.3955171227435765,True
25264,0 days 00:56:19.990000,-1206.431221664875,-476.1795753653412,715.8297143191127,83.0,1,-1.3788845783155816,True
25265,0 days 00:56:20.190000,-1198.1650438702186,-509.8688526381599,713.1134750516421,87.0,1,-1.3133043770366413,True
25266,0 days 00:56:20.430000,-1187.0501726862274,-550.4786430086817,709.3260881085985,98.0,1,-1.2032696449942564,True
25267,0 days 00:56:20.441000,-1186.0,-554.0,709.0,98.38500224,1,-1.1663733425480212,True
25268,0 days 00:56:20.630000,-1161.733138714876,-633.068348978048,701.7733947778743,105.0,1,-0.9296600649013447,True
25269,0 days 00:56:20.681000,-1155.0,-654.0,700.0,107.04000256,1,-0.8172766847695225,True
25270,0 days 00:56:20.830000,-1137.4199307776794,-705.2594000928239,696.2244516721802,113.0,1,-0.5682437717912414,True
25271,0 days 00:56:21.030000,-1117.2647254915616,-756.5978934400055,693.2655363261373,123.0,1,-0.2177144194401437,False
