,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-2287.0,-2752.0,874.0,154.44,1,0.0,False
25181,0 days 00:56:08.950000,-2297.6766936388285,-2715.688219212798,876.0314895079572,154.0,1,0.0,False
25182,0 days 00:56:08.982000,-2302.0,-2702.0,877.0,154.1,1,0.0,False
25183,0 days 00:56:09.182000,-2333.0,-2621.0,884.0,154.725,1,0.0,False
25184,0 days 00:56:09.270000,-2349.061809117608,-2586.812720809307,884.795247624611,155.0,1,0.0,False
25185,0 days 00:56:09.422000,-2380.0,-2529.0,884.0,154.05,1,0.0,False
25186,0 days 00:56:09.430000,-2381.7207888236408,-2525.9791241146445,883.9954772574993,154.0,1,0.0,False
25187,0 days 00:56:09.590000,-2417.8702660125573,-2466.358765915267,884.7155982813671,154.0,1,0.0,False
25188,0 days 00:56:09.642000,-2430.0,-2448.0,885.0,154.06842105263158,1,0.0,False
25189,0 days 00:56:10.350000,-2619.226164633592,-2209.4523403420458,885.9581135276944,155.0,1,0.0,False
25190,0 days 00:56:10.361000,-2623.0,-2204.0,886.0,154.7249984,1,0.0,False
25191,0 days 00:56:10.641000,-2716.0,-2060.0,888.0,147.7249984,1,0.0,False
25192,0 days 00:56:10.670000,-2721.868971958076,-2049.968312016046,888.3840675438804,147.0,1,0.0,False
25193,0 days 00:56:10.981000,-2741.0,-1989.0,893.0,143.1124992,1,0.0,False
25194,0 days 00:56:10.990000,-2741.2942837325154,-1986.490491929584,893.0440469838189,143.0,1,0.0,False
25195,0 days 00:56:11.230000,-2747.2126968649436,-1897.2162715541403,892.92568634085,136.0,1,0.0,False
25196,0 days 00:56:11.241000,-2747.0,-1893.0,893.0,135.8624992,1,0.0,False
25197,0 days 00:56:11.401000,-2738.0,-1834.0,895.0,133.8624992,1,0.0,False
25198,0 days 00:56:11.470000,-2731.7564357509227,-1808.9575255631157,895.6382776538218,133.0,1,0.0,False
25199,0 days 00:56:11.601000,-2717.0,-1762.0,896.0,132.1812496,1,0.0,False
25200,0 days 00:56:11.790000,-2690.8457071621633,-1697.0100326470408,894.2012816593351,131.0,1,0.0,False
25201,0 days 00:56:11.802000,-2689.0,-1693.0,894.0,131.075,1,0.0,False
25202,0 days 00:56:11.950000,-2664.442832202727,-1644.6950867361145,890.6906654175972,132.0,1,0.0,False
25203,0 days 00:56:12.082000,-2639.0,-1601.0,887.0,133.65,1,0.0,False
25204,0 days 00:56:12.190000,-2615.3954099841517,-1563.527948189812,883.8266631398432,135.0,1,0.0,False
25205,0 days 00:56:12.261000,-2602.0,-1543.0,882.0,136.42000128,1,0.0,False
25206,0 days 00:56:12.390000,-2587.0977650954346,-1521.313570498149,879.7000345852485,139.0,1,0.0,False
25207,0 days 00:56:12.541000,-2571.0,-1500.0,877.0,139.0,1,0.0,False
25208,0 days 00:56:12.550000,-2569.5352084132896,-1498.0284846782617,876.7733096289281,139.0,1,0.0,False
25209,0 days 00:56:12.761000,-2522.0,-1435.0,870.0,146.53571657142857,1,0.0,False
25210,0 days 00:56:12.830000,-2503.917114345197,-1412.8692059937237,867.7942983552861,149.0,1,0.0,False
25211,0 days 00:56:12.990000,-2459.0167055523934,-1361.4693985729805,863.0209426142252,156.0,1,0.0,False
25212,0 days 00:56:13.061000,-2438.0,-1338.0,861.0,157.9968768,1,0.0,False
25213,0 days 00:56:13.310000,-2359.931895813605,-1251.9794990119483,853.9948979823674,165.0,1,0.0,False
25214,0 days 00:56:13.341000,-2350.0,-1241.0,853.0,166.86000384,1,0.0,False
25215,0 days 00:56:13.510000,-2295.459107716319,-1180.018083629092,847.0585076845796,177.0,1,0.0,False
25216,0 days 00:56:13.542000,-2285.0,-1168.0,846.0,178.16363636363636,1,0.0,False
25217,0 days 00:56:13.722000,-2226.0,-1097.0,840.0,184.70909090909092,1,0.0,False
25218,0 days 00:56:13.822000,-2195.0,-1056.0,835.0,188.34545454545454,1,0.0,False
25219,0 days 00:56:13.950000,-2159.3679578130045,-1006.7095689806947,830.4311998302121,193.0,1,0.0,False
