,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25180,0 days 00:56:08.862000,-5545.0,-4705.0,490.0,193.92,1,0.0,False
25181,0 days 00:56:08.950000,-5592.0217227428475,-4710.8126487937125,489.99362387349527,197.0,1,0.0,False
25182,0 days 00:56:08.982000,-5610.0,-4713.0,490.0,197.9,1,0.0,False
25183,0 days 00:56:09.182000,-5721.0,-4726.0,490.0,203.525,1,0.0,False
25184,0 days 00:56:09.270000,-5770.809913996783,-4731.865888430537,489.6254125973345,206.0,1,0.0,False
25185,0 days 00:56:09.422000,-5859.0,-4742.0,489.0,207.9,1,0.0,False
25186,0 days 00:56:09.430000,-5863.72004780749,-4742.512551076439,489.0031383655148,208.0,1,0.0,False
25187,0 days 00:56:09.590000,-5959.309471415164,-4752.215774641752,489.74052145453203,214.0,1,0.0,False
25188,0 days 00:56:09.642000,-5990.0,-4755.0,490.0,214.3421052631579,1,0.0,False
25189,0 days 00:56:10.350000,-6424.07508570852,-4787.986544646906,489.97658788079815,219.0,1,0.0,False
25190,0 days 00:56:10.361000,-6433.0,-4789.0,490.0,218.1062448,1,0.0,False
25191,0 days 00:56:10.641000,-6658.0,-4819.0,491.0,195.3562448,1,0.0,False
25192,0 days 00:56:10.670000,-6672.680693909941,-4821.634004897863,491.09365013021517,193.0,1,0.0,False
25193,0 days 00:56:10.981000,-6743.0,-4855.0,491.0,184.2531232,1,0.0,False
25194,0 days 00:56:10.990000,-6745.638492541725,-4856.9132761509945,490.9301963630119,184.0,1,0.0,False
25195,0 days 00:56:11.230000,-6839.812653013844,-4929.18888831073,488.1015787531075,178.0,1,0.0,False
25196,0 days 00:56:11.241000,-6844.0,-4933.0,488.0,177.6791648,1,0.0,False
25197,0 days 00:56:11.401000,-6899.0,-4991.0,487.0,173.01249813333334,1,0.0,False
25198,0 days 00:56:11.470000,-6920.862843742648,-5017.298885209498,486.6436183794695,171.0,1,0.0,False
25199,0 days 00:56:11.601000,-6960.0,-5069.0,486.0,172.2281256,1,0.0,False
25200,0 days 00:56:11.790000,-7010.954971311007,-5146.892595922874,485.07648358880505,174.0,1,0.0,False
25201,0 days 00:56:11.802000,-7014.0,-5152.0,485.0,174.225,1,0.0,False
25202,0 days 00:56:11.950000,-7049.813369137578,-5216.706683197959,483.8055404798867,177.0,1,0.0,False
25203,0 days 00:56:12.082000,-7078.0,-5274.0,483.0,177.55,1,0.0,False
25204,0 days 00:56:12.190000,-7097.808858169439,-5318.759221784562,482.92756761674934,178.0,1,0.0,False
25205,0 days 00:56:12.261000,-7110.0,-5350.0,483.0,181.19500288,1,0.0,False
25206,0 days 00:56:12.390000,-7131.584415703322,-5414.640670506698,483.12904864846695,187.0,1,0.0,False
25207,0 days 00:56:12.541000,-7154.0,-5494.0,483.0,193.6062528,1,0.0,False
25208,0 days 00:56:12.550000,-7155.163877996119,-5498.495938634587,482.97199582012763,194.0,1,0.0,False
25209,0 days 00:56:12.761000,-7178.0,-5601.0,482.0,197.76785828571428,1,0.0,False
25210,0 days 00:56:12.830000,-7184.630079919235,-5637.613005287997,481.860865857937,199.0,1,0.0,False
25211,0 days 00:56:12.990000,-7198.743751883624,-5729.481602740684,481.9523145171092,205.0,1,0.0,False
25212,0 days 00:56:13.061000,-7204.0,-5771.0,482.0,206.3312512,1,0.0,False
25213,0 days 00:56:13.310000,-7216.9732983442445,-5917.505164328503,482.0024732127366,211.0,1,0.0,False
25214,0 days 00:56:13.341000,-7218.0,-5936.0,482.0,211.93000192,1,0.0,False
25215,0 days 00:56:13.510000,-7221.0799001110245,-6037.794505944794,482.0005417745523,217.0,1,0.0,False
25216,0 days 00:56:13.542000,-7221.0,-6057.0,482.0,217.14545454545456,1,0.0,False
25217,0 days 00:56:13.722000,-7215.0,-6164.0,482.0,217.96363636363637,1,0.0,False
25218,0 days 00:56:13.822000,-7206.0,-6222.0,482.0,218.4181818181818,1,0.0,False
25219,0 days 00:56:13.950000,-7194.161535931348,-6284.901691215254,481.63971153840424,219.0,1,0.0,False
25220,0 days 00:56:14.082000,-7158.0,-6356.0,481.0,220.4142857142857,1,0.9578779775661087,True
25221,0 days 00:56:14.230000,-7061.8273875133,-6466.9763727792815,480.2470552960793,222.0,1,0.8568373343040485,True
25222,0 days 00:56:14.302000,-7019.0,-6516.0,480.0,223.5,1,0.8092569813297971,True
25223,0 days 00:56:14.470000,-6969.3498592919705,-6590.790942452705,479.93881396118326,227.0,1,0.757021545338493,True
25224,0 days 00:56:14.682000,-6948.0,-6677.0,480.0,229.27142857142857,1,0.7093614872671693,True
25225,0 days 00:56:14.750000,-6933.948909980539,-6723.066946232774,479.7967773892145,230.0,1,0.6735928497238024,True
25226,0 days 00:56:14.942000,-6886.0,-6874.0,479.0,230.48,1,0.6367723821853705,True
25227,0 days 00:56:15.150000,-6854.0934179226715,-6987.691608526955,478.8787838117381,231.0,1,0.5677552391959765,True
25228,0 days 00:56:15.321000,-6834.0,-7073.0,479.0,229.3968744,1,0.5804944747175701,True
25229,0 days 00:56:15.470000,-6814.018298997344,-7163.0921568081585,479.00618377543134,228.0,1,0.4063407050602466,False
25230,0 days 00:56:15.542000,-6805.0,-7208.0,479.0,223.5,1,0.42419573541637334,False
25231,0 days 00:56:15.782000,-6782.0,-7348.0,479.0,208.5,1,0.3528958063888137,False
25232,0 days 00:56:15.790000,-6781.40439820795,-7352.034238107293,479.0000564267129,208.0,1,0.3546027450595587,False
25233,0 days 00:56:15.922000,-6772.0,-7423.0,479.0,192.325,1,0.34507811368432906,False
25234,0 days 00:56:15.950000,-6769.548373182632,-7445.078394801686,478.9999698240162,189.0,1,0.3589202773714664,False
25235,0 days 00:56:16.082000,-6757.0,-7568.0,479.0,178.44,1,0.3390001640203539,False
25236,0 days 00:56:16.150000,-6752.4632656347985,-7613.7284100284105,479.0000191715888,173.0,1,0.35523067693605986,False
25237,0 days 00:56:16.430000,-6747.64500092956,-7676.2218461596285,479.00001016348324,160.0,1,0.35194174834696795,False
25238,0 days 00:56:16.521000,-6747.0,-7699.0,479.0,155.77499702857142,1,0.3569130684353929,False
25239,0 days 00:56:16.710000,-6745.342623996431,-7773.8968218286545,478.9999860717537,147.0,1,0.360880622386212,False
25240,0 days 00:56:16.781000,-6746.0,-7804.0,479.0,145.3729152,1,0.35248487439488824,False
25241,0 days 00:56:17.001000,-6755.0,-7887.0,479.0,140.33124853333334,1,0.38266889652810826,False
25242,0 days 00:56:17.190000,-6777.057592607224,-7944.177292420799,478.9999092944681,136.0,1,0.3937773944641923,False
25243,0 days 00:56:17.201000,-6780.0,-7948.0,479.0,135.656248,1,0.3809123593172078,False
25244,0 days 00:56:17.350000,-6840.722399647797,-8008.011851818777,479.0021004066003,131.0,1,0.43467848745362836,False
25245,0 days 00:56:17.421000,-6867.0,-8034.0,479.0,129.93499904,1,0.4511629647476306,False
25246,0 days 00:56:17.550000,-6892.7983053654925,-8068.306781192163,478.98711282462307,128.0,1,0.45974126543766064,False
25247,0 days 00:56:17.781000,-6897.0,-8116.0,479.0,126.35587105614145,1,0.46428727123743313,False
25248,0 days 00:56:17.831000,-6897.922231853831,-8130.895869057929,479.02499102181184,126.0,1,0.46335269625376935,False
25249,0 days 00:56:17.941000,-6899.0,-8171.0,479.0,124.42293759473833,1,0.450594646452991,False
25250,0 days 00:56:18.110000,-6891.485149244435,-8254.46849902481,478.3114652197316,122.0,1,0.46859978751238446,False
25251,0 days 00:56:18.181000,-6887.0,-8288.0,478.0,122.0,1,0.447234555337734,False
25252,0 days 00:56:18.390000,-6873.568344021422,-8361.91192749406,477.4610934745663,122.0,1,0.4481990372784807,False
25253,0 days 00:56:18.590000,-6856.552244217301,-8422.385761129693,477.09099801977874,126.0,1,0.4343432158168571,False
25254,0 days 00:56:18.622000,-6853.0,-8434.0,477.0,127.12,1,0.40142959873492556,False
25255,0 days 00:56:18.790000,-6830.585396373678,-8503.813567379546,476.37738463877855,133.0,1,0.3977012376988393,False
25256,0 days 00:56:18.962000,-6802.0,-8582.0,476.0,141.12222222222223,1,0.387839494151562,False
25257,0 days 00:56:19.150000,-6765.316871267895,-8664.95355162105,476.4951324537966,150.0,1,0.36524442762167647,False
25258,0 days 00:56:19.310000,-6732.557492639249,-8729.672251280392,477.44676097947877,155.0,1,0.34277479253711535,False
25259,0 days 00:56:19.462000,-6711.0,-8772.0,478.0,160.32,1,0.3158877527769324,False
25260,0 days 00:56:19.510000,-6706.354261332843,-8781.195301258143,478.0870272850299,162.0,1,0.29933100377744587,False
25261,0 days 00:56:19.702000,-6682.0,-8821.0,478.0,169.68,1,0.270955247856465,False
25262,0 days 00:56:19.710000,-6679.7935153220005,-8824.17828009052,477.98038872458056,170.0,1,0.28121801146005704,False
25263,0 days 00:56:19.982000,-6566.0,-8982.0,477.0,181.65714285714284,1,0.11303279967485337,False
25264,0 days 00:56:19.990000,-6563.244208778243,-8985.812934848447,476.98880791611754,182.0,1,0.05163064447253263,False
25265,0 days 00:56:20.190000,-6519.642820307116,-9046.788409436607,477.2588003664983,187.0,1,-0.027939357992017372,False
25266,0 days 00:56:20.430000,-6459.23833880026,-9098.171280247696,477.9870267650128,185.0,1,-0.1915057524802933,False
25267,0 days 00:56:20.441000,-6454.0,-9102.0,478.0,184.7249984,1,-0.23928920511734775,False
25268,0 days 00:56:20.630000,-6336.977139081093,-9183.29114697207,477.9943121649567,180.0,1,-0.5353893086119089,True
25269,0 days 00:56:20.681000,-6307.0,-9203.0,478.0,180.0,1,-0.6360055623479337,True
25270,0 days 00:56:20.830000,-6237.688435248907,-9245.093752313078,478.14701860633636,180.0,1,-0.8596659044849078,True
25271,0 days 00:56:21.030000,-6177.762946576235,-9274.660834199323,478.68594662892815,180.0,1,-1.0164645074443739,True
25272,0 days 00:56:21.102000,-6159.0,-9284.0,479.0,166.5,1,-1.1355281654582505,True
25273,0 days 00:56:21.270000,-6119.57791073184,-9304.47863546028,479.9847612517489,135.0,1,-1.2338896526638445,True
25274,0 days 00:56:21.422000,-6084.0,-9325.0,481.0,122.84,1,-1.32824129652138,True
25275,0 days 00:56:21.470000,-6071.852532225672,-9332.517506190094,481.3127868033986,119.0,1,-1.4016799167450977,True
25276,0 days 00:56:21.602000,-6038.0,-9355.0,482.0,111.3,1,-1.5184614531548335,True
25277,0 days 00:56:21.710000,-6013.311783492718,-9373.906122701437,482.07698893072757,105.0,1,-1.6426175144542052,True
25278,0 days 00:56:21.861000,-5984.0,-9400.0,482.0,98.20499712,1,-1.7536513745699887,True
25279,0 days 00:56:21.910000,-5975.850782620369,-9408.087582447088,482.12004006361036,96.0,1,-1.819887550834265,True
25280,0 days 00:56:22.101000,-5950.0,-9444.0,483.0,87.40499712,1,-1.8970056657255412,True
25281,0 days 00:56:22.110000,-5948.981875289044,-9446.293914871214,483.03749946414183,87.0,1,-2.002280328001415,True
25282,0 days 00:56:22.362000,-5929.0,-9521.0,484.0,80.0,1,-2.1537921776154643,True
25283,0 days 00:56:22.470000,-5927.456831892713,-9539.074632751224,484.6680695944835,77.0,1,-2.2505703292601864,True
25284,0 days 00:56:22.661000,-5932.0,-9559.0,486.0,74.015624,1,-2.3568795354648526,True
25285,0 days 00:56:22.790000,-5936.1885709724265,-9581.723327758298,486.63099079370835,72.0,1,-2.4001955780521493,True
25286,0 days 00:56:22.961000,-5945.0,-9616.0,487.0,69.55714194285714,1,-2.5214013914770086,True
25287,0 days 00:56:23.001000,-5948.0,-9623.0,487.0,68.98571337142857,1,-2.549561647059374,True
25288,0 days 00:56:23.070000,-5953.479836303235,-9634.748193704934,487.1399283488653,68.0,1,-2.6163600829678,True
25289,0 days 00:56:23.230000,-5967.87844867928,-9660.356493434083,487.9481653206069,66.0,1,-2.672562974681692,True
25290,0 days 00:56:23.241000,-5969.0,-9662.0,488.0,65.8624992,1,-2.7091393555219754,True
25291,0 days 00:56:23.441000,-5992.0,-9689.0,489.0,63.3624992,1,-2.748176724755459,True
25292,0 days 00:56:23.550000,-6005.590178701511,-9701.146179562791,490.08653876131956,62.0,1,-2.771967220378538,True
25293,0 days 00:56:23.641000,-6018.0,-9710.0,491.0,62.45500032,1,-2.809640785239516,True
25294,0 days 00:56:23.921000,-6064.0,-9731.0,493.0,63.85500032,1,-2.8290224122308634,True
