,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-2765.5679394714907,-3747.73029364636,113.29198044329478,318.0,1,0.0,False
25729,0 days 00:56:57.282000,-2706.0,-3810.0,113.0,318.0,1,0.0,False
25730,0 days 00:56:57.349000,-2666.4487928881986,-3850.4206126389668,113.01181077029183,318.0,1,0.0,False
25731,0 days 00:56:57.442000,-2606.0,-3911.0,113.0,318.0,1,0.0,False
25732,0 days 00:56:57.682000,-2452.0,-4057.0,112.0,318.0,1,0.0,False
25733,0 days 00:56:57.709000,-2433.353489944506,-4074.372135782267,111.98044677902675,318.0,1,0.0,False
25734,0 days 00:56:57.949000,-2260.876042579039,-4234.600020150814,112.87339901969582,317.0,1,0.0,False
25735,0 days 00:56:58.023000,-2220.0,-4273.0,113.0,316.6916672,1,0.0,False
25736,0 days 00:56:58.063000,-2201.0,-4291.0,113.0,316.52500053333335,1,0.0,False
25737,0 days 00:56:58.343000,-2021.0,-4459.0,113.0,315.35833386666667,1,0.0,False
25738,0 days 00:56:58.429000,-1972.3345644355477,-4503.65769908781,112.40436730607887,315.0,1,0.0,False
25739,0 days 00:56:58.502000,-1923.0,-4547.0,112.0,315.0,1,0.0,False
25740,0 days 00:56:58.709000,-1703.7776234528008,-4728.615469313005,112.7596512102992,315.0,1,0.0,False
25741,0 days 00:56:58.762000,-1654.0,-4769.0,113.0,314.2428580571429,1,0.0,False
25742,0 days 00:56:58.989000,-1532.567483126884,-4864.019692246552,113.23070860196339,311.0,1,0.0,False
25743,0 days 00:56:59.149000,-1476.9458780108241,-4904.117758780075,113.03538831982266,306.0,1,0.0,False
25744,0 days 00:56:59.203000,-1450.0,-4924.0,113.0,304.20000426666667,1,0.0,False
25745,0 days 00:56:59.389000,-1327.6487640466191,-5015.447173785057,112.9891846971918,298.0,1,0.0,False
25746,0 days 00:56:59.483000,-1263.0,-5064.0,113.0,286.92144365714285,1,0.0,False
25747,0 days 00:56:59.663000,-1151.0,-5148.0,113.0,265.7071579428571,1,0.0,False
25748,0 days 00:56:59.669000,-1147.4683928429833,-5150.626013970973,113.00026818479932,265.0,1,0.0,False
25749,0 days 00:56:59.829000,-1057.8264296497734,-5216.907875014515,113.0035787375653,238.0,1,0.0,False
25750,0 days 00:56:59.842000,-1051.0,-5222.0,113.0,236.32857965714285,1,0.0,False
25751,0 days 00:57:00.023000,-961.0,-5290.0,113.0,213.0571593142857,1,0.0,False
25752,0 days 00:57:00.109000,-917.125603118354,-5322.931298226988,113.26056987825562,202.0,1,0.0,False
25753,0 days 00:57:00.303000,-819.0,-5396.0,114.0,187.4500096,1,0.0,False
25754,0 days 00:57:00.349000,-797.9958241000204,-5411.656089135949,114.00551257691032,184.0,1,0.0,False
25755,0 days 00:57:00.549000,-716.9335205481716,-5472.118024363038,113.27735131967097,165.0,1,0.0,False
25756,0 days 00:57:00.682000,-665.0,-5510.0,113.0,157.02000384,1,0.0,False
25757,0 days 00:57:00.749000,-638.3493813700941,-5529.055950782246,113.05498274666547,153.0,1,0.0,False
25758,0 days 00:57:00.989000,-548.5599876114151,-5591.528139286163,113.9139493772728,142.0,1,0.0,False
