,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-3139.614902101133,3808.0571542695693,114.96357867515643,225.0,1,0.0,False
25729,0 days 00:56:57.282000,-3126.0,3746.0,115.0,228.33333121061293,1,0.0,False
25730,0 days 00:56:57.349000,-3118.727775425936,3705.573461175368,114.61405403795528,230.0,1,0.0,False
25731,0 days 00:56:57.442000,-3109.0,3644.0,114.0,232.3249984,1,0.0,False
25732,0 days 00:56:57.682000,-3091.0,3484.0,114.0,238.3249984,1,0.0,False
25733,0 days 00:56:57.709000,-3089.303280508781,3463.996795878364,113.96944108387687,239.0,1,0.0,False
25734,0 days 00:56:57.949000,-3077.1409816959467,3278.6251321294785,113.10068903022155,242.0,1,0.0,False
25735,0 days 00:56:58.023000,-3076.0,3243.0,113.0,243.2333312,1,0.0,False
25736,0 days 00:56:58.063000,-3076.0,3229.0,113.0,243.89999786666667,1,0.0,False
25737,0 days 00:56:58.343000,-3081.0,3037.0,112.0,248.56666453333332,1,0.0,False
25738,0 days 00:56:58.429000,-3084.624865653373,2980.7828307571694,111.92154664493854,250.0,1,0.0,False
25739,0 days 00:56:58.502000,-3091.0,2926.0,112.0,250.52142811428573,1,0.0,False
25740,0 days 00:56:58.709000,-3132.26912220016,2698.7419633775808,112.79403446206167,252.0,1,0.0,False
25741,0 days 00:56:58.762000,-3143.0,2648.0,113.0,253.5142838857143,1,0.0,False
25742,0 days 00:56:58.989000,-3176.466473688121,2525.8147798621553,113.56417492674072,260.0,1,0.0,False
25743,0 days 00:56:59.149000,-3201.857256021558,2470.92961401115,113.86626111178487,261.0,1,0.0,False
25744,0 days 00:56:59.203000,-3214.0,2444.0,114.0,262.12499733333334,1,0.0,False
25745,0 days 00:56:59.389000,-3268.993956931285,2320.677447599627,114.58876463903121,266.0,1,0.0,False
25746,0 days 00:56:59.483000,-3300.0,2254.0,115.0,267.00714148571427,1,0.0,False
25747,0 days 00:56:59.663000,-3360.0,2133.0,116.0,268.9357129142857,1,0.0,False
25748,0 days 00:56:59.669000,-3362.0284987599935,2128.963210877858,116.03428099719694,269.0,1,0.0,False
25749,0 days 00:56:59.829000,-3416.5953997595943,2020.666240031277,116.92963103843782,271.0,1,0.0,False
25750,0 days 00:56:59.842000,-3421.0,2012.0,117.0,271.18571337142856,1,0.0,False
25751,0 days 00:57:00.023000,-3483.0,1891.0,118.0,273.77142674285716,1,0.0,False
25752,0 days 00:57:00.109000,-3515.6475884452384,1826.9002494543242,118.59425945410321,275.0,1,0.0,False
25753,0 days 00:57:00.303000,-3594.0,1672.0,120.0,277.4249984,1,0.0,False
25754,0 days 00:57:00.349000,-3612.0140741281252,1636.299462362998,120.25315432230276,278.0,1,0.0,False
25755,0 days 00:57:00.549000,-3687.432996754553,1485.7979747670931,120.94659506300854,279.0,1,0.0,False
25756,0 days 00:57:00.682000,-3738.0,1378.0,121.0,280.99499904,1,0.0,False
25757,0 days 00:57:00.749000,-3764.0510772020684,1319.5738626406167,120.89738931988869,282.0,1,0.0,False
25758,0 days 00:57:00.989000,-3852.4582135325945,1110.7622071950502,120.09028832106591,282.0,1,0.0,False
25759,0 days 00:57:01.023000,-3862.0,1088.0,120.0,282.8499968,1,0.0,False
25760,0 days 00:57:01.189000,-3895.610778551586,1007.8854951047491,119.7240123542933,287.0,1,0.0,False
25761,0 days 00:57:01.462000,-3941.0,862.0,119.0,288.7062496,1,0.0,False
25762,0 days 00:57:01.509000,-3954.093851617014,812.8607182674527,118.68880537787597,289.0,1,0.0,False
25763,0 days 00:57:01.722000,-4017.0,565.0,117.0,290.77499946666666,1,0.0,False
25764,0 days 00:57:01.749000,-4021.683421500772,545.2482112177556,116.84803929977207,291.0,1,0.0,False
25765,0 days 00:57:01.982000,-4037.0,454.0,116.0,292.4562496,1,0.0,False
25766,0 days 00:57:02.069000,-4044.5358195476656,396.51057884224304,115.58128691907787,293.0,1,0.0,False
25767,0 days 00:57:02.309000,-4070.933310415997,149.993566354062,114.16152856462534,295.0,1,0.0,False
25768,0 days 00:57:02.341000,-4073.0,112.0,114.0,295.32,1,0.6121336845688635,True
25769,0 days 00:57:02.509000,-4076.5153116564306,-102.73000366177955,113.30876335632824,297.0,1,0.6314167759836055,True
25770,0 days 00:57:02.642000,-4074.0,-251.0,113.0,297.7409465865722,1,0.6567588382088426,True
25771,0 days 00:57:02.868000,-4062.627804468652,-415.4794770180883,112.98389963961873,299.0,1,0.6650186264117234,True
25772,0 days 00:57:02.922000,-4056.0,-467.0,113.0,299.3374992,1,0.698486498116735,True
25773,0 days 00:57:03.028000,-4037.1026716984675,-598.3800211211758,113.0105860251856,300.0,1,0.7100801378822698,True
25774,0 days 00:57:03.183000,-4006.0,-798.0,113.0,301.1071414857143,1,0.7281761404667013,True
25775,0 days 00:57:03.308000,-3990.1963505171825,-890.3956000651333,112.99687136273552,302.0,1,0.7389867741353082,True
25776,0 days 00:57:03.562000,-3966.0,-995.0,113.0,302.9071424,1,0.7368772712342677,True
25777,0 days 00:57:03.588000,-3961.9976774676866,-1012.161524537682,113.00019961396613,303.0,1,0.7575692416665247,True
25778,0 days 00:57:03.749000,-3930.8854606578716,-1146.2160949403503,113.00052875950486,304.0,1,0.7627901352994043,True
25779,0 days 00:57:03.822000,-3916.0,-1209.0,113.0,304.3041664,1,0.7725523527498879,True
25780,0 days 00:57:03.902000,-3900.0,-1275.0,113.0,304.63749973333336,1,0.7772528029559891,True
25781,0 days 00:57:03.989000,-3882.390177633864,-1346.451726263038,113.00831649256723,305.0,1,0.7997597265986442,True
25782,0 days 00:57:04.122000,-3855.0,-1456.0,113.0,305.8312496,1,0.7950106018666743,True
25783,0 days 00:57:04.149000,-3849.3983528681697,-1478.286407393996,112.9871395508951,306.0,1,0.7997430983449282,True
25784,0 days 00:57:04.323000,-3813.0,-1622.0,113.0,306.86999936,1,0.799313785001739,True
25785,0 days 00:57:04.549000,-3765.012730125525,-1808.2900669472726,113.9672339483003,308.0,1,0.7975222741862944,True
25786,0 days 00:57:04.563000,-3762.0,-1820.0,114.0,308.06999936,1,0.793526943530035,True
25787,0 days 00:57:04.742000,-3723.0,-1970.0,114.0,308.96499968,1,0.7865607269370682,True
25788,0 days 00:57:04.749000,-3721.4564675481674,-1975.6771430972249,113.99806345915367,309.0,1,0.7977143291198519,True
25789,0 days 00:57:04.883000,-3690.0,-2086.0,114.0,309.0,1,0.7878668894559848,True
25790,0 days 00:57:04.949000,-3670.6175317321317,-2150.3775818259273,113.98993911014247,309.0,1,0.7929523525988592,True
25791,0 days 00:57:05.222000,-3576.0,-2447.0,114.0,310.7062496,1,0.7848840384822972,True
25792,0 days 00:57:05.269000,-3562.532132476444,-2486.364666940976,114.06881345324122,311.0,1,0.7807693799774591,True
