,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-2810.731753180272,4678.809104583714,114.59323737779398,136.0,1,0.0,False
25729,0 days 00:56:57.282000,-2833.0,4702.0,114.0,126.66667261028381,1,0.0,False
25730,0 days 00:56:57.349000,-2847.8111359330483,4715.750473437668,113.5978784078699,122.0,1,0.0,False
25731,0 days 00:56:57.442000,-2871.0,4735.0,113.0,119.41666844444444,1,0.0,False
25732,0 days 00:56:57.682000,-2936.0,4770.0,112.0,112.75000177777778,1,0.0,False
25733,0 days 00:56:57.709000,-2944.1052972370076,4772.624286134917,112.00083404110022,112.0,1,0.0,False
25734,0 days 00:56:57.949000,-3020.1547209648884,4784.431727563241,112.89305371156426,107.0,1,0.0,False
25735,0 days 00:56:58.023000,-3039.0,4784.0,113.0,105.9208352,1,0.0,False
25736,0 days 00:56:58.063000,-3048.0,4783.0,113.0,105.33750186666667,1,0.0,False
25737,0 days 00:56:58.343000,-3130.0,4768.0,115.0,101.25416853333333,1,0.0,False
25738,0 days 00:56:58.429000,-3151.2225954098935,4763.05006570215,115.54470634592194,100.0,1,0.0,False
25739,0 days 00:56:58.502000,-3172.0,4759.0,116.0,100.0,1,0.0,False
25740,0 days 00:56:58.709000,-3261.1905958660277,4748.705651583293,117.64646522093615,100.0,1,0.0,False
25741,0 days 00:56:58.762000,-3281.0,4747.0,118.0,99.43214354285715,1,0.0,False
25742,0 days 00:56:58.989000,-3326.552616193765,4745.593983428502,118.82234425773429,97.0,1,0.0,False
25743,0 days 00:56:59.149000,-3346.4926159933743,4752.612422339449,118.97268634405643,95.0,1,0.0,False
25744,0 days 00:56:59.203000,-3357.0,4757.0,119.0,94.10000213333333,1,0.0,False
25745,0 days 00:56:59.389000,-3406.3756866385,4779.68606293655,119.00876254404223,91.0,1,0.0,False
25746,0 days 00:56:59.483000,-3429.0,4794.0,119.0,88.98571702857143,1,0.0,False
25747,0 days 00:56:59.663000,-3458.0,4825.0,119.0,85.12857417142857,1,0.0,False
25748,0 days 00:56:59.669000,-3458.839239928947,4826.133391711839,119.00005884749409,85.0,1,0.0,False
25749,0 days 00:56:59.829000,-3479.563527677128,4858.334745210286,119.00009201942784,85.0,1,0.0,False
25750,0 days 00:56:59.842000,-3481.0,4861.0,119.0,84.76785828571428,1,0.0,False
25751,0 days 00:57:00.023000,-3497.0,4899.0,119.0,81.53571657142857,1,0.0,False
25752,0 days 00:57:00.109000,-3503.0933324074244,4919.33178533102,119.00501834067931,80.0,1,0.0,False
25753,0 days 00:57:00.303000,-3513.0,4969.0,119.0,80.0,1,0.0,False
25754,0 days 00:57:00.349000,-3514.240092498102,4980.667198938414,118.98541678474136,80.0,1,0.0,False
25755,0 days 00:57:00.549000,-3514.785674227657,5030.941554586421,118.88285190667843,82.0,1,0.0,False
25756,0 days 00:57:00.682000,-3513.0,5068.0,119.0,84.65999872,1,0.0,False
25757,0 days 00:57:00.749000,-3511.781287299324,5088.368455032731,119.1480658029422,86.0,1,0.0,False
