,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-3874.9853761104446,5433.159099820305,114.72438401151602,273.0,1,0.0,False
25729,0 days 00:56:57.282000,-3885.0,5369.0,115.0,253.66667897844505,1,0.0,False
25730,0 days 00:56:57.349000,-3891.4798415943274,5328.537318988775,115.0304904265748,244.0,1,0.0,False
25731,0 days 00:56:57.442000,-3901.0,5269.0,115.0,233.40834062222223,1,0.0,False
25732,0 days 00:56:57.682000,-3921.0,5131.0,115.0,206.07500728888888,1,0.0,False
25733,0 days 00:56:57.709000,-3922.9414088279686,5114.612315582898,115.0512309186825,203.0,1,0.0,False
25734,0 days 00:56:57.949000,-3936.6868060805987,4966.893020788985,115.8997254545357,191.0,1,0.0,False
25735,0 days 00:56:58.023000,-3938.0,4940.0,116.0,188.9958368,1,0.0,False
25736,0 days 00:56:58.063000,-3938.0,4930.0,116.0,187.91250346666666,1,0.0,False
25737,0 days 00:56:58.343000,-3927.0,4798.0,116.0,180.32917013333332,1,0.0,False
25738,0 days 00:56:58.429000,-3919.4724361585627,4760.891580486599,115.99640274510983,178.0,1,0.0,False
25739,0 days 00:56:58.502000,-3907.0,4727.0,116.0,175.39285942857143,1,0.0,False
25740,0 days 00:56:58.709000,-3829.48015477083,4598.603182580104,116.04204755455324,168.0,1,0.0,False
25741,0 days 00:56:58.762000,-3810.0,4571.0,116.0,168.0,1,0.0,False
25742,0 days 00:56:58.989000,-3754.009576211518,4509.167158938651,115.42707804688807,168.0,1,0.0,False
25743,0 days 00:56:59.149000,-3719.082902342534,4486.003315833376,115.03714278551,169.0,1,0.0,False
25744,0 days 00:56:59.203000,-3703.0,4474.0,115.0,170.3499968,1,0.0,False
25745,0 days 00:56:59.389000,-3631.9992959795836,4417.362422999263,115.17522004028983,175.0,1,0.0,False
25746,0 days 00:56:59.483000,-3594.0,4386.0,115.0,178.02142445714287,1,0.0,False
25747,0 days 00:56:59.663000,-3524.0,4328.0,114.0,183.80713874285715,1,0.0,False
25748,0 days 00:56:59.669000,-3521.570802289852,4326.072754042997,113.98201322438483,184.0,1,0.0,False
25749,0 days 00:56:59.829000,-3454.3794035307806,4274.275230305809,113.99218461956683,188.0,1,0.0,False
25750,0 days 00:56:59.842000,-3449.0,4270.0,114.0,188.46428342857143,1,0.0,False
25751,0 days 00:57:00.023000,-3376.0,4207.0,114.0,194.92856685714287,1,0.0,False
25752,0 days 00:57:00.109000,-3340.0991159781593,4171.121930370174,113.99422094155783,198.0,1,0.0,False
25753,0 days 00:57:00.303000,-3261.0,4077.0,114.0,202.041664,1,0.0,False
25754,0 days 00:57:00.349000,-3244.7100630669665,4053.0863294232804,114.00149295592712,203.0,1,0.0,False
25755,0 days 00:57:00.549000,-3185.653037398169,3941.808620766042,114.00592930923774,209.0,1,0.0,False
25756,0 days 00:57:00.682000,-3155.0,3855.0,114.0,213.65499776,1,0.0,False
25757,0 days 00:57:00.749000,-3141.8712086331643,3806.4622921695814,113.99327582712849,216.0,1,0.0,False
25758,0 days 00:57:00.989000,-3107.36323061287,3627.669937909974,113.98727691720762,221.0,1,0.0,False
25759,0 days 00:57:01.023000,-3104.0,3608.0,114.0,221.8499968,1,0.0,False
25760,0 days 00:57:01.189000,-3092.958247358635,3538.3730990478166,114.12170452892711,226.0,1,0.0,False
25761,0 days 00:57:01.462000,-3085.0,3413.0,114.0,232.8249984,1,0.0,False
25762,0 days 00:57:01.509000,-3083.2839725994913,3371.314115871105,113.84391620616728,234.0,1,0.0,False
25763,0 days 00:57:01.722000,-3076.0,3162.0,113.0,235.77499946666666,1,0.0,False
25764,0 days 00:57:01.749000,-3075.5882752110656,3145.4541419112957,112.95891676394572,236.0,1,0.0,False
25765,0 days 00:57:01.982000,-3079.0,3067.0,113.0,243.281248,1,0.0,False
25766,0 days 00:57:02.069000,-3084.581384102499,3013.050906301611,112.81144861686793,246.0,1,0.0,False
25767,0 days 00:57:02.309000,-3109.448351430173,2804.3118145868584,112.00683362829118,246.0,1,0.0,False
25768,0 days 00:57:02.341000,-3113.0,2781.0,112.0,246.8,1,-0.49439690267513975,False
25769,0 days 00:57:02.509000,-3131.9010323260836,2685.3079542370497,112.4589522997915,251.0,1,-0.4823867085009365,False
25770,0 days 00:57:02.642000,-3150.0,2620.0,113.0,254.704732932861,1,-0.4547280673395658,False
25771,0 days 00:57:02.868000,-3196.029471331805,2487.0228483820315,113.7151230303407,261.0,1,-0.4295480463509224,False
25772,0 days 00:57:02.922000,-3215.0,2442.0,114.0,260.6625008,1,-0.41310400811612946,False
25773,0 days 00:57:03.028000,-3264.153655327811,2333.4536630413068,114.77527428316986,260.0,1,-0.36778288065130144,False
