,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-4552.442247262572,8896.746381441139,124.08044679040115,309.0,1,0.0,False
25729,0 days 00:56:57.282000,-4509.0,8821.0,123.0,309.0,1,0.0,False
25730,0 days 00:56:57.349000,-4480.785328410584,8773.203199289517,122.19752213037812,309.0,1,0.0,False
25731,0 days 00:56:57.442000,-4438.0,8702.0,121.0,309.25833315555553,1,0.0,False
25732,0 days 00:56:57.682000,-4330.0,8525.0,119.0,309.9249998222222,1,0.0,False
25733,0 days 00:56:57.709000,-4317.1429536906835,8502.696875965283,118.90044913365335,310.0,1,0.0,False
25734,0 days 00:56:57.949000,-4203.707999220395,8293.25550004558,118.33615300305796,310.0,1,0.0,False
25735,0 days 00:56:58.023000,-4184.0,8254.0,117.0,309.8458336,1,0.0,False
25736,0 days 00:56:58.063000,-4177.0,8239.0,116.0,309.7625002666667,1,0.0,False
25737,0 days 00:56:58.343000,-4081.0,8018.0,115.0,309.1791669333333,1,0.0,False
25738,0 days 00:56:58.429000,-4055.840775576894,7952.970035332455,115.06687957631893,309.0,1,0.0,False
25739,0 days 00:56:58.502000,-4034.0,7889.0,115.0,309.0,1,0.0,False
25740,0 days 00:56:58.709000,-3954.7236274586285,7618.883070006439,114.17900256566658,309.0,1,0.0,False
25741,0 days 00:56:58.762000,-3938.0,7558.0,114.0,309.18928548571427,1,0.0,False
25742,0 days 00:56:58.989000,-3901.9287000964987,7408.183384619381,113.82667369176812,310.0,1,0.0,False
25743,0 days 00:56:59.149000,-3891.369761734113,7337.949711149511,113.97255132683827,309.0,1,0.0,False
25744,0 days 00:56:59.203000,-3886.0,7304.0,114.0,309.0,1,0.0,False
25745,0 days 00:56:59.389000,-3861.1165752838624,7149.744590391039,114.01405966699309,309.0,1,0.0,False
25746,0 days 00:56:59.483000,-3849.0,7066.0,114.0,308.66428617142856,1,0.0,False
25747,0 days 00:56:59.663000,-3831.0,6912.0,114.0,308.02142902857145,1,0.0,False
25748,0 days 00:56:59.669000,-3830.449916208037,6906.7948648305855,114.0034245877255,308.0,1,0.0,False
25749,0 days 00:56:59.829000,-3816.890513194361,6769.099705424714,114.03622558304556,308.0,1,0.0,False
25750,0 days 00:56:59.842000,-3816.0,6759.0,114.0,308.04642834285715,1,0.0,False
25751,0 days 00:57:00.023000,-3807.0,6629.0,113.0,308.6928566857143,1,0.0,False
25752,0 days 00:57:00.109000,-3803.6530532480074,6551.107003370763,112.81104682817278,309.0,1,0.0,False
25753,0 days 00:57:00.303000,-3799.0,6347.0,113.0,309.0,1,0.0,False
25754,0 days 00:57:00.349000,-3798.994269063044,6301.027527558408,113.01672657113367,309.0,1,0.0,False
25755,0 days 00:57:00.549000,-3804.095288484099,6114.219093342712,112.92338910103906,309.0,1,0.0,False
25756,0 days 00:57:00.682000,-3812.0,5987.0,113.0,307.67000064,1,0.0,False
25757,0 days 00:57:00.749000,-3817.3321794755534,5919.8012737852905,113.1236208240359,307.0,1,0.0,False
25758,0 days 00:57:00.989000,-3840.2974185002345,5686.14937487557,113.8916487398022,297.0,1,0.0,False
25759,0 days 00:57:01.023000,-3843.0,5661.0,114.0,293.6000128,1,0.0,False
25760,0 days 00:57:01.189000,-3853.1991034265297,5573.561629040681,114.48609100014401,277.0,1,0.0,False
25761,0 days 00:57:01.462000,-3873.0,5446.0,115.0,256.5250048,1,0.0,False
25762,0 days 00:57:01.509000,-3879.2312774117368,5406.426040352684,115.0296087446126,253.0,1,0.0,False
25763,0 days 00:57:01.722000,-3910.0,5211.0,115.0,232.58750613333333,1,0.0,False
25764,0 days 00:57:01.749000,-3912.3956423140708,5195.720719338249,114.98951140407016,230.0,1,0.0,False
25765,0 days 00:57:01.982000,-3921.0,5135.0,115.0,199.4187584,1,0.0,False
25766,0 days 00:57:02.069000,-3924.4319625113917,5103.829644358538,115.18000016881062,188.0,1,0.0,False
25767,0 days 00:57:02.309000,-3935.202932180493,4984.887131063749,115.94395804369398,178.0,1,0.0,False
25768,0 days 00:57:02.341000,-3936.0,4970.0,116.0,177.36,1,0.08912629920848769,False
25769,0 days 00:57:02.509000,-3937.0592020922336,4899.510625416617,116.05541549301168,174.0,1,0.0947574553934134,False
25770,0 days 00:57:02.642000,-3935.0,4850.0,116.0,169.55432048056682,1,0.06682897513231403,False
25771,0 days 00:57:02.868000,-3922.381830087768,4768.145876908109,115.99999338808956,162.0,1,0.07471405829006213,False
25772,0 days 00:57:02.922000,-3912.0,4742.0,116.0,162.0,1,0.05100082627162182,False
25773,0 days 00:57:03.028000,-3880.070755390054,4679.220411305072,115.98985118679671,162.0,1,0.014876114816281531,False
25774,0 days 00:57:03.183000,-3825.0,4588.0,116.0,163.66071222857144,1,-0.005032419539358827,False
25775,0 days 00:57:03.308000,-3795.602109907387,4547.351444926352,116.08698650494196,165.0,1,-0.03754388715703752,False
25776,0 days 00:57:03.562000,-3745.0,4508.0,116.0,168.6285696,1,-0.0660352937604211,False
25777,0 days 00:57:03.588000,-3736.6318506209805,4501.541080932744,115.91533344352912,169.0,1,-0.07489587666391455,False
25778,0 days 00:57:03.749000,-3672.219590182696,4450.75977028261,115.15545396287425,172.0,1,-0.12001098209174034,False
25779,0 days 00:57:03.822000,-3643.0,4427.0,115.0,174.4333312,1,-0.14928793524231534,False
