,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-4804.3951755911185,21050.895347537607,122.6954351054944,181.0,1,0.0,False
25729,0 days 00:56:57.282000,-4806.0,21000.0,123.0,185.6666636948581,1,0.0,False
25730,0 days 00:56:57.349000,-4806.242508178749,20966.637355690313,122.98923413062175,188.0,1,0.0,False
25731,0 days 00:56:57.442000,-4806.0,20916.0,123.0,191.35833102222222,1,0.0,False
25732,0 days 00:56:57.682000,-4801.0,20786.0,124.0,200.0249976888889,1,0.0,False
25733,0 days 00:56:57.709000,-4799.5836833113135,20769.314726485656,124.01767782743318,201.0,1,0.0,False
25734,0 days 00:56:57.949000,-4780.471975095987,20611.29463162855,123.74523346702533,206.0,1,0.0,False
25735,0 days 00:56:58.023000,-4776.0,20582.0,125.0,208.0041632,1,0.0,False
25736,0 days 00:56:58.063000,-4774.0,20571.0,126.0,209.08749653333334,1,0.0,False
25737,0 days 00:56:58.343000,-4734.0,20409.0,126.0,216.67082986666668,1,0.0,False
25738,0 days 00:56:58.429000,-4719.0295991447865,20360.69481987226,125.4633855824409,219.0,1,0.0,False
25739,0 days 00:56:58.502000,-4702.0,20316.0,125.0,221.08571245714285,1,0.0,False
25740,0 days 00:56:58.709000,-4620.747920156849,20146.721756785417,123.41553936970702,227.0,1,0.0,False
25741,0 days 00:56:58.762000,-4601.0,20109.0,123.0,227.94642742857144,1,0.0,False
25742,0 days 00:56:58.989000,-4543.323970286872,20012.33378765267,121.31000745811743,232.0,1,0.0,False
25743,0 days 00:56:59.149000,-4509.005043545558,19963.815386197755,120.29165839009205,237.0,1,0.0,False
25744,0 days 00:56:59.203000,-4494.0,19941.0,120.0,237.44999893333335,1,0.0,False
25745,0 days 00:56:59.389000,-4429.904961354446,19838.76757352601,119.20624558748636,239.0,1,0.0,False
25746,0 days 00:56:59.483000,-4396.0,19782.0,119.0,242.02142445714287,1,0.0,False
25747,0 days 00:56:59.663000,-4336.0,19675.0,119.0,247.80713874285715,1,0.0,False
25748,0 days 00:56:59.669000,-4334.1650519982695,19671.50830377693,119.00430180265036,248.0,1,0.0,False
