,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-1223.2766778338696,-441.83949868321304,122.00000000002476,76.0,1,0.0,False
25729,0 days 00:56:57.282000,-1224.0,-402.0,122.0,77.99999872636775,1,0.0,False
25730,0 days 00:56:57.349000,-1226.4304463668038,-380.4932059494867,121.99999999999761,79.0,1,0.0,False
25731,0 days 00:56:57.442000,-1231.0,-352.0,122.0,79.25833315555556,1,0.0,False
25732,0 days 00:56:57.682000,-1243.0,-300.0,122.0,79.92499982222222,1,0.0,False
25733,0 days 00:56:57.709000,-1244.7988216942942,-293.81364052766975,121.99999999999993,80.0,1,0.0,False
25734,0 days 00:56:57.949000,-1263.7342720918552,-234.2127340594735,121.99999999999999,80.0,1,0.0,False
25735,0 days 00:56:58.023000,-1267.0,-223.0,122.0,80.0,1,0.0,False
25736,0 days 00:56:58.063000,-1268.0,-219.0,122.0,80.0,1,0.0,False
25737,0 days 00:56:58.343000,-1288.0,-160.0,122.0,80.0,1,0.0,False
25738,0 days 00:56:58.429000,-1311.3025584642455,-92.91902916558291,122.00000000000003,80.0,1,0.0,False
25739,0 days 00:56:58.502000,-1331.0,-36.0,122.0,80.0,1,0.0,False
25740,0 days 00:56:58.709000,-1355.692196201776,37.07236514549913,122.0,80.0,1,0.0,False
25741,0 days 00:56:58.762000,-1359.0,47.0,122.0,80.0,1,0.0,False
25742,0 days 00:56:58.989000,-1370.172222640803,79.34641414762636,122.0,80.0,1,0.0,False
25743,0 days 00:56:59.149000,-1377.8301721335554,100.92889028880074,122.0,80.0,1,0.0,False
25744,0 days 00:56:59.203000,-1381.0,110.0,122.0,80.0,1,0.0,False
25745,0 days 00:56:59.389000,-1394.052612876336,147.77066233716576,122.0,80.0,1,0.0,False
25746,0 days 00:56:59.483000,-1401.0,168.0,122.0,80.0,1,0.0,False
25747,0 days 00:56:59.663000,-1414.0,206.0,122.0,80.0,1,0.0,False
25748,0 days 00:56:59.669000,-1414.4387021246937,207.28578265617807,122.00000000000001,80.0,1,0.0,False
25749,0 days 00:56:59.829000,-1426.109591563554,241.4294655795694,122.00000000000003,80.0,1,0.0,False
25750,0 days 00:56:59.842000,-1427.0,244.0,122.0,80.0,1,0.0,False
25751,0 days 00:57:00.023000,-1440.0,281.0,122.0,80.0,1,0.0,False
25752,0 days 00:57:00.109000,-1449.7852342327667,309.1110781498956,122.0,80.0,1,0.0,False
25753,0 days 00:57:00.303000,-1476.0,385.0,122.0,80.0,1,0.0,False
25754,0 days 00:57:00.349000,-1480.9295668762265,399.3679944217693,121.99999999999999,80.0,1,0.0,False
25755,0 days 00:57:00.549000,-1496.1981964390409,444.35836096880837,122.00000000000001,80.0,1,0.0,False
25756,0 days 00:57:00.682000,-1506.0,473.0,122.0,80.0,1,0.0,False
25757,0 days 00:57:00.749000,-1511.6080481386937,489.2029157867765,122.00000000000003,80.0,1,0.0,False
25758,0 days 00:57:00.989000,-1532.6798610631472,549.4123744486907,121.99999999999999,80.0,1,0.0,False
25759,0 days 00:57:01.023000,-1535.0,556.0,122.0,80.0,1,0.0,False
25760,0 days 00:57:01.189000,-1543.173421820081,579.040037916952,122.0,80.0,1,0.0,False
25761,0 days 00:57:01.462000,-1557.0,619.0,122.0,80.0,1,0.0,False
25762,0 days 00:57:01.509000,-1561.505662785802,632.3150066342865,122.0,80.0,1,0.0,False
25763,0 days 00:57:01.722000,-1584.0,699.0,122.0,80.0,1,0.0,False
25764,0 days 00:57:01.749000,-1585.7640882940193,704.1853839093967,122.00000000000001,80.0,1,0.0,False
