,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-1135.3010283763535,-236.21816287706022,117.95892760675136,297.0,1,0.0,False
25729,0 days 00:56:57.282000,-1160.0,-163.0,118.0,297.6666662421226,1,0.0,False
25730,0 days 00:56:57.349000,-1176.9296148397295,-113.5746085366043,118.00394803500912,298.0,1,0.0,False
25731,0 days 00:56:57.442000,-1203.0,-38.0,118.0,298.77499946666666,1,0.0,False
25732,0 days 00:56:57.682000,-1269.0,151.0,118.0,300.77499946666666,1,0.0,False
25733,0 days 00:56:57.709000,-1277.0271355112804,173.8270342396335,118.00040541874516,301.0,1,0.0,False
25734,0 days 00:56:57.949000,-1352.208402826749,385.178206396226,118.003157154282,303.0,1,0.0,False
25735,0 days 00:56:58.023000,-1371.0,435.0,118.0,303.3083328,1,0.0,False
25736,0 days 00:56:58.063000,-1380.0,458.0,118.0,303.47499946666665,1,0.0,False
25737,0 days 00:56:58.343000,-1459.0,672.0,118.0,304.64166613333333,1,0.0,False
25738,0 days 00:56:58.429000,-1481.9672191048562,736.2161266418267,117.44733663060644,305.0,1,0.0,False
25739,0 days 00:56:58.502000,-1505.0,800.0,117.0,305.5214281142857,1,0.0,False
25740,0 days 00:56:58.709000,-1601.4038172788223,1060.6757773624372,116.94165106682605,307.0,1,0.0,False
25741,0 days 00:56:58.762000,-1623.0,1119.0,117.0,307.3785709714286,1,0.0,False
25742,0 days 00:56:58.989000,-1675.2969603928234,1262.1065980910953,117.05605605665065,309.0,1,0.0,False
25743,0 days 00:56:59.149000,-1699.2460192146395,1328.746866626157,117.00862563395565,309.0,1,0.0,False
25744,0 days 00:56:59.203000,-1711.0,1361.0,117.0,309.22499946666665,1,0.0,False
25745,0 days 00:56:59.389000,-1764.8410272829813,1507.6196213813141,116.99718486741867,310.0,1,0.0,False
25746,0 days 00:56:59.483000,-1794.0,1587.0,117.0,310.0,1,0.0,False
25747,0 days 00:56:59.663000,-1847.0,1732.0,117.0,310.0,1,0.0,False
25748,0 days 00:56:59.669000,-1848.7649041215607,1736.8602364054238,116.99995071515413,310.0,1,0.0,False
25749,0 days 00:56:59.829000,-1896.1656331733197,1867.5595078746,116.99964132102748,310.0,1,0.0,False
25750,0 days 00:56:59.842000,-1900.0,1878.0,117.0,310.0,1,0.0,False
25751,0 days 00:57:00.023000,-1954.0,2023.0,117.0,310.0,1,0.0,False
25752,0 days 00:57:00.109000,-1982.096520225888,2099.108891131301,116.97460965333917,310.0,1,0.0,False
