,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-5757.085179412473,14975.592144539336,114.98571568075,221.0,1,0.0,False
25729,0 days 00:56:57.282000,-5767.0,14908.0,115.0,223.66666496849035,1,0.0,False
25730,0 days 00:56:57.349000,-5771.81885108037,14867.18897581105,114.96994492302599,225.0,1,0.0,False
25731,0 days 00:56:57.442000,-5778.0,14807.0,115.0,227.06666524444444,1,0.0,False
25732,0 days 00:56:57.682000,-5789.0,14654.0,116.0,232.39999857777778,1,0.0,False
25733,0 days 00:56:57.709000,-5789.87053406195,14634.541866965894,116.11934958260254,233.0,1,0.0,False
25734,0 days 00:56:57.949000,-5794.620396893068,14451.236385687527,116.92581414486072,240.0,1,0.0,False
25735,0 days 00:56:58.023000,-5795.0,14417.0,117.0,240.9249984,1,0.0,False
25736,0 days 00:56:58.063000,-5795.0,14404.0,117.0,241.4249984,1,0.0,False
25737,0 days 00:56:58.343000,-5793.0,14214.0,117.0,244.9249984,1,0.0,False
25738,0 days 00:56:58.429000,-5792.149746674675,14158.413622745582,117.42869379461648,246.0,1,0.0,False
25739,0 days 00:56:58.502000,-5790.0,14104.0,118.0,246.78214217142857,1,0.0,False
25740,0 days 00:56:58.709000,-5772.620429610299,13875.406938615879,120.44869250573447,249.0,1,0.0,False
25741,0 days 00:56:58.762000,-5768.0,13824.0,121.0,250.3249984,1,0.0,False
25742,0 days 00:56:58.989000,-5753.6465442181625,13698.079091883266,122.33653161106419,256.0,1,0.0,False
25743,0 days 00:56:59.149000,-5741.8845190438215,13639.45428494661,122.80712173725773,261.0,1,0.0,False
25744,0 days 00:56:59.203000,-5736.0,13611.0,123.0,261.6749984,1,0.0,False
25745,0 days 00:56:59.389000,-5708.5509754616905,13481.414877144547,123.76614564028135,264.0,1,0.0,False
25746,0 days 00:56:59.483000,-5692.0,13411.0,124.0,265.67856914285716,1,0.0,False
25747,0 days 00:56:59.663000,-5657.0,13282.0,124.0,268.8928548571429,1,0.0,False
25748,0 days 00:56:59.669000,-5655.74301848719,13277.693880185514,123.99809959406146,269.0,1,0.0,False
