,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-3391.536474105392,2071.6495068505906,116.51087146975539,268.0,1,0.0,False
25729,0 days 00:56:57.282000,-3425.0,2006.0,117.0,269.9999987263678,1,0.0,False
25730,0 days 00:56:57.349000,-3446.8946342624868,1963.0190818970111,117.40062879360512,271.0,1,0.0,False
25731,0 days 00:56:57.442000,-3480.0,1898.0,118.0,272.5499989333333,1,0.0,False
25732,0 days 00:56:57.682000,-3563.0,1734.0,119.0,276.5499989333333,1,0.0,False
25733,0 days 00:56:57.709000,-3573.310391448694,1713.3220538329088,119.10147235942107,277.0,1,0.0,False
25734,0 days 00:56:57.949000,-3668.874396922469,1519.5028422777862,119.92866899547631,279.0,1,0.0,False
25735,0 days 00:56:58.023000,-3687.0,1483.0,120.0,279.9249984,1,0.0,False
25736,0 days 00:56:58.063000,-3694.0,1469.0,120.0,280.4249984,1,0.0,False
25737,0 days 00:56:58.343000,-3787.0,1269.0,121.0,283.9249984,1,0.0,False
25738,0 days 00:56:58.429000,-3813.253514821706,1210.593179818464,121.11972079228246,285.0,1,0.0,False
25739,0 days 00:56:58.502000,-3837.0,1153.0,121.0,285.7821421714286,1,0.0,False
25740,0 days 00:56:58.709000,-3925.134979614522,908.3342556802087,119.40959831910621,288.0,1,0.0,False
25741,0 days 00:56:58.762000,-3944.0,853.0,119.0,288.56785645714285,1,0.0,False
25742,0 days 00:56:58.989000,-3986.3076497780266,715.7472114389589,117.96574138748394,291.0,1,0.0,False
25743,0 days 00:56:59.149000,-3999.6800669607296,649.8491037190876,117.33458841303933,291.0,1,0.0,False
25744,0 days 00:56:59.203000,-4006.0,618.0,117.0,291.6749984,1,0.0,False
25745,0 days 00:56:59.389000,-4034.0580537276223,473.2207890344858,115.45548881995616,294.0,1,0.0,False
25746,0 days 00:56:59.483000,-4047.0,394.0,115.0,294.6714276571429,1,0.0,False
25747,0 days 00:56:59.663000,-4064.0,247.0,115.0,295.95714194285716,1,0.0,False
25748,0 days 00:56:59.669000,-4064.4388640001607,242.05405784159373,114.98556808499663,296.0,1,0.0,False
25749,0 days 00:56:59.829000,-4073.5009266598486,109.45663863590119,114.08469656815767,296.0,1,0.0,False
25750,0 days 00:56:59.842000,-4074.0,99.0,114.0,296.0928566857143,1,0.0,False
25751,0 days 00:57:00.023000,-4077.0,-49.0,113.0,297.38571337142855,1,0.0,False
25752,0 days 00:57:00.109000,-4075.6028958207207,-137.91984886621267,112.84119346257208,298.0,1,0.0,False
25753,0 days 00:57:00.303000,-4066.0,-362.0,113.0,299.6166656,1,0.0,False
25754,0 days 00:57:00.349000,-4062.537570010005,-409.5377083531771,113.02422433589793,300.0,1,0.0,False
25755,0 days 00:57:00.549000,-4042.0768316015497,-589.3954670748606,113.02130855432807,301.0,1,0.0,False
25756,0 days 00:57:00.682000,-4022.0,-712.0,113.0,302.32999936,1,0.0,False
25757,0 days 00:57:00.749000,-4009.6887634989002,-778.7282611512807,112.99507251851435,303.0,1,0.0,False
25758,0 days 00:57:00.989000,-3960.5442730718755,-1017.9840014705217,112.99947361612959,305.0,1,0.0,False
25759,0 days 00:57:01.023000,-3955.0,-1044.0,113.0,305.16999936,1,0.0,False
25760,0 days 00:57:01.189000,-3935.026332639175,-1135.0853002619692,112.99935686776506,306.0,1,0.0,False
25761,0 days 00:57:01.462000,-3896.0,-1293.0,113.0,307.7062496,1,0.0,False
25762,0 days 00:57:01.509000,-3882.8964731803644,-1345.5254365016185,113.00267077394507,308.0,1,0.0,False
25763,0 days 00:57:01.722000,-3817.0,-1609.0,113.0,308.0,1,0.0,False
25764,0 days 00:57:01.749000,-3811.792118264565,-1629.6851037994584,112.99262794532626,308.0,1,0.0,False
25765,0 days 00:57:01.982000,-3787.0,-1725.0,113.0,309.4562496,1,0.0,False
25766,0 days 00:57:02.069000,-3769.8009453420664,-1790.0062883475782,113.17712328793418,310.0,1,0.0,False
25767,0 days 00:57:02.309000,-3701.3208913157086,-2045.2873849267282,113.94172698551786,311.0,1,0.0,False
