,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-4483.149623739929,10937.083372210169,125.98816954125358,220.0,1,0.0,False
25729,0 days 00:56:57.282000,-4445.0,11009.0,125.0,222.66666496849035,1,0.0,False
25730,0 days 00:56:57.349000,-4422.146017392766,11048.442429740351,124.26059624221661,224.0,1,0.0,False
25731,0 days 00:56:57.442000,-4389.0,11104.0,123.0,226.06666524444444,1,0.0,False
25732,0 days 00:56:57.682000,-4315.0,11240.0,119.0,231.39999857777778,1,0.0,False
25733,0 days 00:56:57.709000,-4307.668333057003,11257.508705239554,118.55793800327538,232.0,1,0.0,False
25734,0 days 00:56:57.949000,-4254.38027293649,11426.095725014118,115.2855376048925,233.0,1,0.0,False
25735,0 days 00:56:58.023000,-4247.0,11459.0,115.0,234.0791648,1,0.0,False
25736,0 days 00:56:58.063000,-4245.0,11472.0,115.0,234.66249813333334,1,0.0,False
25737,0 days 00:56:58.343000,-4231.0,11656.0,113.0,238.74583146666666,1,0.0,False
25738,0 days 00:56:58.429000,-4231.019347045459,11710.227720143666,112.88893204659014,240.0,1,0.0,False
25739,0 days 00:56:58.502000,-4235.0,11763.0,113.0,240.52142811428573,1,0.0,False
25740,0 days 00:56:58.709000,-4269.838389216249,11981.197089785703,113.7406545364915,242.0,1,0.0,False
25741,0 days 00:56:58.762000,-4279.0,12030.0,114.0,242.56785645714285,1,0.0,False
25742,0 days 00:56:58.989000,-4306.075222353962,12148.560038114078,115.35415555338047,245.0,1,0.0,False
25743,0 days 00:56:59.149000,-4323.253936509125,12202.654964582693,116.5502077640523,245.0,1,0.0,False
25744,0 days 00:56:59.203000,-4331.0,12229.0,117.0,245.22499946666667,1,0.0,False
25745,0 days 00:56:59.389000,-4365.106398448163,12348.930319945935,118.7592587300086,246.0,1,0.0,False
25746,0 days 00:56:59.483000,-4386.0,12412.0,120.0,246.67142765714286,1,0.0,False
25747,0 days 00:56:59.663000,-4434.0,12521.0,123.0,247.95714194285713,1,0.0,False
25748,0 days 00:56:59.669000,-4435.946163667543,12524.503475717695,123.0884586440167,248.0,1,0.0,False
25749,0 days 00:56:59.829000,-4495.832902049893,12613.63376859639,124.90289960683765,249.0,1,0.0,False
25750,0 days 00:56:59.842000,-4501.0,12620.0,125.0,249.09285668571428,1,0.0,False
25751,0 days 00:57:00.023000,-4583.0,12695.0,126.0,250.38571337142858,1,0.0,False
25752,0 days 00:57:00.109000,-4642.184624873989,12728.160274230453,127.02402232528723,251.0,1,0.0,False
25753,0 days 00:57:00.303000,-4798.0,12807.0,130.0,253.4249984,1,0.0,False
25754,0 days 00:57:00.349000,-4828.212497093545,12828.322252097623,130.46578524186404,254.0,1,0.0,False
25755,0 days 00:57:00.549000,-4925.35675312135,12935.040660058448,131.36216280158666,253.0,1,0.0,False
25756,0 days 00:57:00.682000,-4970.0,13031.0,132.0,253.0,1,0.0,False
25757,0 days 00:57:00.749000,-4988.071422658026,13088.751780618079,132.4920499150259,253.0,1,0.0,False
25758,0 days 00:57:00.989000,-5030.326179564153,13313.688805533573,134.7480807804962,247.0,1,0.0,False
25759,0 days 00:57:01.023000,-5034.0,13338.0,135.0,247.0,1,0.0,False
25760,0 days 00:57:01.189000,-5044.22319503595,13419.996037935563,135.85949724856073,247.0,1,0.0,False
25761,0 days 00:57:01.462000,-5043.0,13549.0,136.0,249.5593744,1,0.0,False
25762,0 days 00:57:01.509000,-5042.25680345352,13592.82003115354,135.8757841224983,250.0,1,0.0,False
25763,0 days 00:57:01.722000,-5038.0,13814.0,135.0,250.88749973333333,1,0.0,False
25764,0 days 00:57:01.749000,-5037.507392708468,13831.419321815361,134.90202466089247,251.0,1,0.0,False
25765,0 days 00:57:01.982000,-5030.0,13911.0,134.0,248.0875008,1,0.0,False
25766,0 days 00:57:02.069000,-5021.8531264671055,13963.835334233445,133.36061630829508,247.0,1,0.0,False
25767,0 days 00:57:02.309000,-4985.482946203168,14166.66840688424,131.18563691596404,236.0,1,0.0,False
25768,0 days 00:57:02.341000,-4980.0,14189.0,131.0,235.52,1,-0.6148450555083388,True
25769,0 days 00:57:02.509000,-4949.5252281369185,14278.88042199531,130.54516615989965,233.0,1,-0.6148730619388434,True
25770,0 days 00:57:02.642000,-4922.0,14337.0,130.0,228.18384718728072,1,-0.5954087781930502,True
25771,0 days 00:57:02.868000,-4859.254768870537,14445.323312140343,127.57978163863388,220.0,1,-0.5803999767893203,True
25772,0 days 00:57:02.922000,-4833.0,14477.0,127.0,220.0,1,-0.5761857694199772,True
25773,0 days 00:57:03.028000,-4764.024392212173,14548.006293316717,126.02079255471214,220.0,1,-0.5331234522386176,True
25774,0 days 00:57:03.183000,-4656.0,14646.0,125.0,220.0,1,-0.4923556621590572,False
25775,0 days 00:57:03.308000,-4602.680419315576,14688.745095238968,124.56966644512812,220.0,1,-0.45685935160502433,False
25776,0 days 00:57:03.562000,-4530.0,14727.0,124.0,221.8142848,1,-0.41697816046578373,False
25777,0 days 00:57:03.588000,-4518.3444292456315,14733.381960939834,123.87503309460047,222.0,1,-0.4084168900522964,False
25778,0 days 00:57:03.749000,-4428.433367285818,14783.846263399857,122.7650465904838,222.0,1,-0.35250544163086406,False
25779,0 days 00:57:03.822000,-4386.0,14807.0,122.0,223.8249984,1,-0.31964304922937353,False
25780,0 days 00:57:03.902000,-4341.0,14831.0,121.0,225.8249984,1,-0.2795826109205085,False
25781,0 days 00:57:03.989000,-4292.763934405747,14858.530826571925,120.06184524694402,228.0,1,-0.22562270050490027,False
25782,0 days 00:57:04.122000,-4222.0,14904.0,119.0,230.4937488,1,-0.174072446963055,False
25783,0 days 00:57:04.149000,-4208.457049417971,14913.632698548385,118.83175016451992,231.0,1,-0.14892124386658612,False
25784,0 days 00:57:04.323000,-4128.0,14981.0,118.0,229.69500096,1,-0.09675041650902852,False
25785,0 days 00:57:04.549000,-4041.611366152666,15092.425855520818,117.0269139550521,228.0,1,-0.02747961799428284,False
25786,0 days 00:57:04.563000,-4037.0,15100.0,117.0,228.06999936,1,-0.0131467080245943,False
25787,0 days 00:57:04.742000,-3986.0,15202.0,117.0,228.96499968,1,0.03626659825912891,False
25788,0 days 00:57:04.749000,-3984.310204666394,15206.137286579953,117.00052511402605,229.0,1,0.05291196861049953,False
25789,0 days 00:57:04.883000,-3956.0,15288.0,117.0,229.0,1,0.09023245040264347,False
25790,0 days 00:57:04.949000,-3944.231129456185,15331.450359726925,117.09228257611568,229.0,1,0.1034853055965042,False
25791,0 days 00:57:05.222000,-3908.0,15516.0,118.0,231.5593744,1,0.141222293988913,False
25792,0 days 00:57:05.269000,-3903.299001143721,15542.798070027135,118.15196253284583,232.0,1,0.16793041561552974,False
25793,0 days 00:57:05.629000,-3873.0611115247325,15717.09103185728,118.9762149374779,239.0,1,0.2246425772014817,False
25794,0 days 00:57:05.663000,-3869.0,15737.0,119.0,239.8499968,1,0.24044997161832043,False
25795,0 days 00:57:05.862000,-3840.0,15868.0,119.0,244.8249984,1,0.2814789816216651,False
25796,0 days 00:57:05.963000,-3824.0,15934.0,119.0,247.3499968,1,0.31182415228140525,False
25797,0 days 00:57:06.069000,-3805.0618825647084,16008.630371947098,118.63043389356625,250.0,1,0.32780920908526795,False
25798,0 days 00:57:06.183000,-3784.0,16088.0,118.0,252.27999744,1,0.36951536341538155,False
25799,0 days 00:57:06.269000,-3769.1433691163,16141.088847787994,117.5552240507167,254.0,1,0.37817133265402286,False
25800,0 days 00:57:06.382000,-3749.0,16210.0,117.0,255.79772625454547,1,0.396376688431015,False
25801,0 days 00:57:06.603000,-3702.0,16367.0,116.0,259.3136343272727,1,0.4199977520449298,False
25802,0 days 00:57:06.709000,-3680.7811777881775,16437.273576678173,115.6311300257686,261.0,1,0.42943086009191467,False
25803,0 days 00:57:06.922000,-3638.0,16590.0,114.0,264.5499989333333,1,0.4624968798083829,False
25804,0 days 00:57:06.983000,-3624.0,16647.0,113.0,265.5666645333333,1,0.4673353675569836,False
25805,0 days 00:57:07.069000,-3605.711193959542,16731.14266180654,112.51505449236473,267.0,1,0.4790939529903872,False
25806,0 days 00:57:07.229000,-3578.331990280686,16882.735567562893,113.80141288637515,267.0,1,0.4781696415034983,False
