,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-3641.538442217946,9007.842407197848,116.98159619808068,182.0,1,0.0,False
25729,0 days 00:56:57.282000,-3648.0,9042.0,117.0,173.3333388524064,1,0.0,False
25730,0 days 00:56:57.349000,-3651.416532052932,9055.623750050418,117.02883873611405,169.0,1,0.0,False
25731,0 days 00:56:57.442000,-3658.0,9076.0,117.0,166.15833528888888,1,0.0,False
25732,0 days 00:56:57.682000,-3700.0,9163.0,116.0,158.82500195555556,1,0.0,False
25733,0 days 00:56:57.709000,-3708.061036072886,9172.738194710533,115.82807814928084,158.0,1,0.0,False
25734,0 days 00:56:57.949000,-3801.3126160355473,9244.518933393432,114.78838091668307,155.0,1,0.0,False
25735,0 days 00:56:58.023000,-3821.0,9256.0,116.0,154.5375008,1,0.0,False
25736,0 days 00:56:58.063000,-3829.0,9260.0,117.0,154.2875008,1,0.0,False
25737,0 days 00:56:58.343000,-3944.0,9308.0,118.0,152.5375008,1,0.0,False
25738,0 days 00:56:58.429000,-3976.834259033181,9321.110982269158,118.95988770843631,152.0,1,0.0,False
25739,0 days 00:56:58.502000,-4008.0,9335.0,120.0,153.56428434285715,1,0.0,False
25740,0 days 00:56:58.709000,-4134.027828460069,9401.942057906992,122.48137470454378,158.0,1,0.0,False
25741,0 days 00:56:58.762000,-4162.0,9418.0,123.0,159.89285485714285,1,0.0,False
25742,0 days 00:56:58.989000,-4229.167771291361,9462.877321923826,124.67000876810987,168.0,1,0.0,False
25743,0 days 00:56:59.149000,-4257.506087957402,9492.471076122982,125.6370659626629,171.0,1,0.0,False
25744,0 days 00:56:59.203000,-4271.0,9507.0,126.0,173.6999936,1,0.0,False
25745,0 days 00:56:59.389000,-4331.604679667262,9573.929110805482,127.37212762757227,183.0,1,0.0,False
25746,0 days 00:56:59.483000,-4363.0,9613.0,128.0,185.68571062857143,1,0.0,False
25747,0 days 00:56:59.663000,-4416.0,9692.0,129.0,190.82856777142857,1,0.0,False
