,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-3479.251273475998,4293.524089921254,113.95757600360457,188.0,1,0.0,False
25729,0 days 00:56:57.282000,-3439.0,4261.0,114.0,192.6666636948581,1,0.0,False
25730,0 days 00:56:57.349000,-3412.9169048867134,4239.070082863295,114.00414013728296,195.0,1,0.0,False
25731,0 days 00:56:57.442000,-3374.0,4205.0,114.0,197.58333155555556,1,0.0,False
25732,0 days 00:56:57.682000,-3284.0,4109.0,114.0,204.24999822222222,1,0.0,False
25733,0 days 00:56:57.709000,-3274.159528092342,4095.3620977033515,114.00117340063888,205.0,1,0.0,False
25734,0 days 00:56:57.949000,-3193.620568275379,3956.612406235591,114.01194459556059,213.0,1,0.0,False
25735,0 days 00:56:58.023000,-3181.0,3929.0,114.0,214.541664,1,0.0,False
25736,0 days 00:56:58.063000,-3177.0,3918.0,114.0,215.37499733333334,1,0.0,False
25737,0 days 00:56:58.343000,-3127.0,3751.0,115.0,221.20833066666665,1,0.0,False
25738,0 days 00:56:58.429000,-3117.0953763272955,3700.8643186119334,114.48233038942804,223.0,1,0.0,False
25739,0 days 00:56:58.502000,-3110.0,3651.0,114.0,224.8249984,1,0.0,False
25740,0 days 00:56:58.709000,-3087.4483552245188,3438.8251653747393,113.96303866120782,230.0,1,0.0,False
25741,0 days 00:56:58.762000,-3083.0,3391.0,114.0,231.3249984,1,0.0,False
25742,0 days 00:56:58.989000,-3074.780563522939,3273.9381903374665,113.70279388128921,237.0,1,0.0,False
25743,0 days 00:56:59.149000,-3075.4873097251048,3218.8958414793315,113.1940654641664,241.0,1,0.0,False
25744,0 days 00:56:59.203000,-3076.0,3192.0,113.0,242.12499733333334,1,0.0,False
25745,0 days 00:56:59.389000,-3079.054200636052,3069.0344013624645,112.2653573653906,246.0,1,0.0,False
25746,0 days 00:56:59.483000,-3083.0,3002.0,112.0,247.0071414857143,1,0.0,False
25747,0 days 00:56:59.663000,-3097.0,2879.0,112.0,248.93571291428572,1,0.0,False
25748,0 days 00:56:59.669000,-3097.6069596731218,2874.9094363101512,112.02232180837082,249.0,1,0.0,False
25749,0 days 00:56:59.829000,-3117.1229836526345,2764.265564927743,112.95590344666365,251.0,1,0.0,False
25750,0 days 00:56:59.842000,-3119.0,2755.0,113.0,251.23214171428572,1,0.0,False
25751,0 days 00:57:00.023000,-3151.0,2621.0,113.0,254.46428342857143,1,0.0,False
25752,0 days 00:57:00.109000,-3172.1298456295112,2554.701440169852,113.15443005549277,256.0,1,0.0,False
25753,0 days 00:57:00.303000,-3231.0,2404.0,114.0,260.041664,1,0.0,False
25754,0 days 00:57:00.349000,-3245.867618447261,2369.5440343227215,114.22319458224943,261.0,1,0.0,False
25755,0 days 00:57:00.549000,-3314.1464974468286,2224.9517498676973,115.2567275377759,265.0,1,0.0,False
25756,0 days 00:57:00.682000,-3365.0,2123.0,116.0,265.0,1,0.0,False
25757,0 days 00:57:00.749000,-3392.5912309086993,2068.3182888467663,116.39123920663079,265.0,1,0.0,False
