,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-3466.411746397114,18658.37479794612,111.94789012219746,292.0,1,0.0,False
25729,0 days 00:56:57.282000,-3469.0,18740.0,112.0,292.6666662421226,1,0.0,False
25730,0 days 00:56:57.349000,-3470.554080227369,18792.007993103438,112.00498243786723,293.0,1,0.0,False
25731,0 days 00:56:57.442000,-3473.0,18870.0,112.0,293.5166663111111,1,0.0,False
25732,0 days 00:56:57.682000,-3481.0,19066.0,112.0,294.84999964444444,1,0.0,False
25733,0 days 00:56:57.709000,-3482.0898426373524,19090.472473813268,112.00019200374626,295.0,1,0.0,False
25734,0 days 00:56:57.949000,-3492.6956588154785,19318.40607483697,112.00029618289048,297.0,1,0.0,False
25735,0 days 00:56:58.023000,-3495.0,19362.0,112.0,297.1541664,1,0.0,False
25736,0 days 00:56:58.063000,-3496.0,19379.0,112.0,297.2374997333333,1,0.0,False
25737,0 days 00:56:58.343000,-3508.0,19611.0,112.0,297.8208330666667,1,0.0,False
25738,0 days 00:56:58.429000,-3510.9995587346066,19677.92532177573,111.96051693621928,298.0,1,0.0,False
25739,0 days 00:56:58.502000,-3514.0,19743.0,112.0,298.2607140571429,1,0.0,False
25740,0 days 00:56:58.709000,-3527.889155024087,20014.22740509834,112.77616994682663,299.0,1,0.0,False
25741,0 days 00:56:58.762000,-3531.0,20075.0,113.0,298.81071451428573,1,0.0,False
25742,0 days 00:56:58.989000,-3537.9980149540684,20222.735965173488,113.7456404798447,298.0,1,0.0,False
25743,0 days 00:56:59.149000,-3541.7784374796406,20290.181394017873,114.55788195682865,298.0,1,0.0,False
25744,0 days 00:56:59.203000,-3544.0,20323.0,115.0,297.77500053333335,1,0.0,False
25745,0 days 00:56:59.389000,-3555.2865432682647,20472.560694406166,117.10139576413336,297.0,1,0.0,False
25746,0 days 00:56:59.483000,-3563.0,20553.0,118.0,292.6357202285714,1,0.0,False
25747,0 days 00:56:59.663000,-3581.0,20697.0,119.0,284.2785773714286,1,0.0,False
25748,0 days 00:56:59.669000,-3581.642590157778,20701.677634968088,119.03362102486042,284.0,1,0.0,False
25749,0 days 00:56:59.829000,-3599.4905337396926,20823.539181590793,119.95282243140926,272.0,1,0.0,False
25750,0 days 00:56:59.842000,-3601.0,20833.0,120.0,270.42143634285713,1,0.0,False
25751,0 days 00:57:00.023000,-3623.0,20959.0,120.0,248.4428726857143,1,0.0,False
25752,0 days 00:57:00.109000,-3634.2045480881015,21019.512246255985,119.55687719644304,238.0,1,0.0,False
25753,0 days 00:57:00.303000,-3661.0,21154.0,118.0,218.6000128,1,0.0,False
25754,0 days 00:57:00.349000,-3667.5552505371147,21183.372524661892,117.67999161905776,214.0,1,0.0,False
25755,0 days 00:57:00.549000,-3697.5980809793077,21299.67829291488,116.57502572372331,202.0,1,0.0,False
25756,0 days 00:57:00.682000,-3725.0,21374.0,116.0,195.3500032,1,0.0,False
25757,0 days 00:57:00.749000,-3741.9520737670036,21411.60831164085,115.74401842448701,192.0,1,0.0,False
25758,0 days 00:57:00.989000,-3810.224772936877,21536.621062198483,115.0558515961709,183.0,1,0.0,False
25759,0 days 00:57:01.023000,-3818.0,21550.0,115.0,181.98000384,1,0.0,False
25760,0 days 00:57:01.189000,-3846.368961465779,21596.801118459396,114.88833288028972,177.0,1,0.0,False
25761,0 days 00:57:01.462000,-3912.0,21655.0,116.0,168.468752,1,0.0,False
25762,0 days 00:57:01.509000,-3935.138415168136,21671.148287871973,116.47992674611827,167.0,1,0.0,False
25763,0 days 00:57:01.722000,-4053.0,21748.0,119.0,160.78750186666667,1,0.0,False
25764,0 days 00:57:01.749000,-4062.4578562039615,21753.723945793394,119.19999602322576,160.0,1,0.0,False
25765,0 days 00:57:01.982000,-4109.0,21771.0,120.0,154.9031264,1,0.0,False
25766,0 days 00:57:02.069000,-4140.702678120035,21777.416053238263,120.39791841407603,153.0,1,0.0,False
25767,0 days 00:57:02.309000,-4263.766498727811,21795.73500846465,121.84019737406965,149.0,1,0.0,False
25768,0 days 00:57:02.341000,-4278.0,21796.0,122.0,148.36,1,2.918616596923999,True
25769,0 days 00:57:02.509000,-4339.211701177717,21787.14988422551,122.653726315689,145.0,1,2.9228210282989866,True
25770,0 days 00:57:02.642000,-4380.0,21774.0,123.0,144.6295267067139,1,2.9305483618459163,True
25771,0 days 00:57:02.868000,-4451.7064588638395,21744.425179624704,123.19111108662645,144.0,1,2.926929903453197,True
25772,0 days 00:57:02.922000,-4474.0,21730.0,123.0,144.6749984,1,2.9085229508613595,True
25773,0 days 00:57:03.028000,-4526.2831251245825,21689.94361581185,122.26489322573184,146.0,1,2.903002834852688,True
