,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-4279.2398623886,12033.021596197437,114.5308445785429,246.0,1,0.0,False
25729,0 days 00:56:57.282000,-4296.0,12098.0,115.0,245.33333375787743,1,0.0,False
25730,0 days 00:56:57.349000,-4307.168152970421,12140.321952873715,115.33576141637533,245.0,1,0.0,False
25731,0 days 00:56:57.442000,-4324.0,12204.0,116.0,243.96666737777778,1,0.0,False
25732,0 days 00:56:57.682000,-4368.0,12359.0,119.0,241.30000071111112,1,0.0,False
25733,0 days 00:56:57.709000,-4374.706304244333,12377.342216931034,119.33858549045041,241.0,1,0.0,False
25734,0 days 00:56:57.949000,-4447.870673159359,12540.285431627124,122.40450359769365,240.0,1,0.0,False
25735,0 days 00:56:58.023000,-4464.0,12570.0,124.0,240.0,1,0.0,False
25736,0 days 00:56:58.063000,-4471.0,12581.0,125.0,240.0,1,0.0,False
25737,0 days 00:56:58.343000,-4592.0,12699.0,127.0,240.0,1,0.0,False
25738,0 days 00:56:58.429000,-4645.903437774482,12724.837629007032,127.43725490254087,240.0,1,0.0,False
25739,0 days 00:56:58.502000,-4698.0,12751.0,128.0,241.04285622857142,1,0.0,False
25740,0 days 00:56:58.709000,-4871.820793569962,12883.212523745711,130.5108860319076,244.0,1,0.0,False
25741,0 days 00:56:58.762000,-4907.0,12915.0,131.0,243.8107145142857,1,0.0,False
25742,0 days 00:56:58.989000,-4976.18803119399,13002.348463331811,131.4663723906582,243.0,1,0.0,False
25743,0 days 00:56:59.149000,-4986.907484777497,13065.79118198374,131.6392935202631,243.0,1,0.0,False
25744,0 days 00:56:59.203000,-4993.0,13099.0,132.0,243.22499946666667,1,0.0,False
25745,0 days 00:56:59.389000,-5022.398713442641,13255.430771452213,134.26818177308363,244.0,1,0.0,False
25746,0 days 00:56:59.483000,-5034.0,13334.0,135.0,244.0,1,0.0,False
25747,0 days 00:56:59.663000,-5042.0,13459.0,135.0,244.0,1,0.0,False
25748,0 days 00:56:59.669000,-5042.103870958649,13463.113978358238,135.01923364543933,244.0,1,0.0,False
25749,0 days 00:56:59.829000,-5042.9944953682925,13575.0408910189,135.98452680529354,246.0,1,0.0,False
25750,0 days 00:56:59.842000,-5043.0,13584.0,136.0,246.09285668571428,1,0.0,False
25751,0 days 00:57:00.023000,-5042.0,13708.0,135.0,247.38571337142858,1,0.0,False
25752,0 days 00:57:00.109000,-5039.614666755919,13772.75608628289,134.60432767370554,248.0,1,0.0,False
25753,0 days 00:57:00.303000,-5029.0,13926.0,134.0,243.1500032,1,0.0,False
25754,0 days 00:57:00.349000,-5025.4501229646785,13960.256413942165,133.7572609181253,242.0,1,0.0,False
25755,0 days 00:57:00.549000,-5004.62885654027,14099.187149137942,132.2118052381858,235.0,1,0.0,False
25756,0 days 00:57:00.682000,-4979.0,14191.0,131.0,231.6750016,1,0.0,False
25757,0 days 00:57:00.749000,-4961.487996791766,14238.337972358822,130.3722682663589,230.0,1,0.0,False
25758,0 days 00:57:00.989000,-4885.7717620340045,14398.815550343032,128.23079799458867,228.0,1,0.0,False
25759,0 days 00:57:01.023000,-4877.0,14416.0,128.0,226.81000448,1,0.0,False
25760,0 days 00:57:01.189000,-4844.7129510696395,14475.750143660152,127.19046131957816,221.0,1,0.0,False
25761,0 days 00:57:01.462000,-4763.0,14556.0,126.0,215.0281264,1,0.0,False
25762,0 days 00:57:01.509000,-4733.579363818495,14579.75912335566,125.63548917345122,214.0,1,0.0,False
25763,0 days 00:57:01.722000,-4583.0,14695.0,124.0,212.22500053333334,1,0.0,False
25764,0 days 00:57:01.749000,-4570.869641344582,14703.696431868091,123.93243347018593,212.0,1,0.0,False
25765,0 days 00:57:01.982000,-4510.0,14738.0,124.0,214.1843744,1,0.0,False
25766,0 days 00:57:02.069000,-4467.916026821691,14760.507255520643,123.40338630042099,215.0,1,0.0,False
25767,0 days 00:57:02.309000,-4304.732462164893,14851.807203509088,120.33675424914856,217.0,1,0.0,False
25768,0 days 00:57:02.341000,-4286.0,14863.0,120.0,218.44,1,-0.23885302397585323,False
25769,0 days 00:57:02.509000,-4206.241741180512,14914.473456841195,118.70353842965915,226.0,1,-0.18231032140682307,False
25770,0 days 00:57:02.642000,-4155.0,14954.0,118.0,226.0,1,-0.13749478604547888,False
25771,0 days 00:57:02.868000,-4072.997743007648,15040.04324291758,117.10381855390486,226.0,1,-0.08470974850661282,False
25772,0 days 00:57:02.922000,-4052.0,15075.0,117.0,226.0,1,-0.041602439700934184,False
25773,0 days 00:57:03.028000,-4007.844478179325,15166.078344044025,116.95156984158979,226.0,1,-0.012001290359485358,False
25774,0 days 00:57:03.183000,-3951.0,15306.0,117.0,226.0,1,0.04926360231090166,False
25775,0 days 00:57:03.308000,-3928.9481342501576,15370.274712712086,116.85027270315241,226.0,1,0.06954123169974183,False
25776,0 days 00:57:03.562000,-3920.0,15441.0,117.0,231.4428544,1,0.07143506745693609,False
25777,0 days 00:57:03.588000,-3918.2550782170742,15452.626355570617,117.16408067396596,232.0,1,0.12774622575810254,False
25778,0 days 00:57:03.749000,-3902.980572181417,15544.519431631765,118.65513191337838,234.0,1,0.1502821931054183,False
25779,0 days 00:57:03.822000,-3895.0,15591.0,119.0,234.9124992,1,0.17410196917952434,False
25780,0 days 00:57:03.902000,-3886.0,15643.0,119.0,235.9124992,1,0.24532074721530858,False
25781,0 days 00:57:03.989000,-3875.897951125722,15699.547068535536,118.9845376242802,237.0,1,0.270047945560206,False
25782,0 days 00:57:04.122000,-3859.0,15786.0,119.0,239.4937488,1,0.2995602789344835,False
25783,0 days 00:57:04.149000,-3855.190998365163,15803.636017069555,118.99504799396554,240.0,1,0.31532259295539633,False
25784,0 days 00:57:04.323000,-3828.0,15918.0,119.0,243.47999744,1,0.3216256689173167,False
