,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-1495.5405075709148,-4889.478171124907,113.11578114221965,307.0,1,0.0,False
25729,0 days 00:56:57.282000,-1430.0,-4939.0,113.0,303.0000025472645,1,0.0,False
25730,0 days 00:56:57.349000,-1387.6528090965817,-4970.986387674149,112.98901814755752,301.0,1,0.0,False
25731,0 days 00:56:57.442000,-1324.0,-5019.0,113.0,295.31667057777776,1,0.0,False
25732,0 days 00:56:57.682000,-1169.0,-5135.0,113.0,280.6500039111111,1,0.0,False
25733,0 days 00:56:57.709000,-1151.0016782090256,-5148.344682415875,113.00064689489744,279.0,1,0.0,False
25734,0 days 00:56:57.949000,-994.575395676047,-5263.856592335002,113.01169455788227,249.0,1,0.0,False
25735,0 days 00:56:58.023000,-967.0,-5285.0,113.0,239.1333504,1,0.0,False
25736,0 days 00:56:58.063000,-957.0,-5293.0,113.0,233.80001706666667,1,0.0,False
25737,0 days 00:56:58.343000,-829.0,-5388.0,114.0,196.46668373333333,1,0.0,False
25738,0 days 00:56:58.429000,-795.3488704237471,-5413.191676511735,113.48788305032325,185.0,1,0.0,False
25739,0 days 00:56:58.502000,-765.0,-5436.0,113.0,182.13214537142858,1,0.0,False
25740,0 days 00:56:58.709000,-647.9262503733609,-5523.402747534268,112.90322817675431,174.0,1,0.0,False
25741,0 days 00:56:58.762000,-623.0,-5542.0,113.0,168.13214994285715,1,0.0,False
25742,0 days 00:56:58.989000,-570.3024477930901,-5581.4547410652485,113.51752102015843,143.0,1,0.0,False
25743,0 days 00:56:59.149000,-551.1437556795267,-5591.766860614428,113.89246026901752,143.0,1,0.0,False
25744,0 days 00:56:59.203000,-540.0,-5597.0,114.0,139.85000746666665,1,0.0,False
25745,0 days 00:56:59.389000,-484.4786905128733,-5621.006045815591,114.25341422640328,129.0,1,0.0,False
25746,0 days 00:56:59.483000,-453.0,-5631.0,114.0,126.6500032,1,0.0,False
25747,0 days 00:56:59.663000,-394.0,-5640.0,113.0,122.1500032,1,0.0,False
25748,0 days 00:56:59.669000,-392.0217822679305,-5640.13616500357,113.00268129101723,122.0,1,0.0,False
25749,0 days 00:56:59.829000,-339.1831401204004,-5640.315741510427,113.94182387365503,120.0,1,0.0,False
25750,0 days 00:56:59.842000,-335.0,-5640.0,114.0,119.72142994285714,1,0.0,False
25751,0 days 00:57:00.023000,-278.0,-5630.0,114.0,115.84285988571429,1,0.0,False
25752,0 days 00:57:00.109000,-249.4701744576142,-5621.311844272876,113.73088714301913,114.0,1,0.0,False
25753,0 days 00:57:00.303000,-185.0,-5594.0,113.0,112.3833344,1,0.0,False
25754,0 days 00:57:00.349000,-171.25797485582115,-5586.535297570833,112.91126448339874,112.0,1,0.0,False
25755,0 days 00:57:00.549000,-118.85253611604412,-5549.695319355314,112.92239706159312,107.0,1,0.0,False
25756,0 days 00:57:00.682000,-88.0,-5519.0,113.0,105.00500096,1,0.0,False
25757,0 days 00:57:00.749000,-73.27663241724088,-5501.325825839942,113.01742123602138,104.0,1,0.0,False
25758,0 days 00:57:00.989000,-27.747185425199213,-5434.427565054268,113.00068591993633,101.0,1,0.0,False
25759,0 days 00:57:01.023000,-23.0,-5427.0,113.0,101.33999872,1,0.0,False
25760,0 days 00:57:01.189000,-6.676915856911988,-5400.527852965941,113.01427314500266,103.0,1,0.0,False
25761,0 days 00:57:01.462000,8.0,-5346.0,113.0,107.265624,1,0.0,False
25762,0 days 00:57:01.509000,11.218731488563634,-5327.056682254871,112.9749219016049,108.0,1,0.0,False
25763,0 days 00:57:01.722000,25.0,-5231.0,113.0,108.88749973333333,1,0.0,False
25764,0 days 00:57:01.749000,25.830767132036108,-5223.3683302114205,113.06791107842875,109.0,1,0.0,False
25765,0 days 00:57:01.982000,24.0,-5186.0,114.0,117.0093728,1,0.0,False
25766,0 days 00:57:02.069000,20.52823281709581,-5159.488749935073,114.15600768183901,120.0,1,0.0,False
25767,0 days 00:57:02.309000,6.0126526151283,-5054.48870667635,114.02627011559706,127.0,1,0.0,False
25768,0 days 00:57:02.341000,4.0,-5042.0,114.0,127.32,1,1.8863249584885757,True
25769,0 days 00:57:02.509000,-6.4674472272902666,-4986.490700432222,113.87579956148731,129.0,1,1.8187546510447516,True
25770,0 days 00:57:02.642000,-15.0,-4948.0,114.0,133.44567951943318,1,1.7686943649686975,True
25771,0 days 00:57:02.868000,-31.910867190665392,-4875.879759877442,114.85747580951694,141.0,1,1.6747691127712196,True
25772,0 days 00:57:02.922000,-38.0,-4849.0,115.0,145.3874896,1,1.5376195170684683,True
25773,0 days 00:57:03.028000,-53.17785879640974,-4780.545205884593,115.10380065080943,154.0,1,1.4622284504622247,True
25774,0 days 00:57:03.183000,-76.0,-4676.0,115.0,161.7499904,1,1.2165860975799647,True
25775,0 days 00:57:03.308000,-86.74229249049027,-4626.151861596468,114.88585227656428,168.0,1,1.1449823951670934,True
25776,0 days 00:57:03.562000,-100.0,-4563.0,115.0,179.7928512,1,1.0822141928840567,True
25777,0 days 00:57:03.588000,-102.21378347362531,-4552.594206268479,115.08591245563554,181.0,1,0.934821030112111,True
25778,0 days 00:57:03.749000,-119.60724034587005,-4471.427583488426,115.84521137506067,181.0,1,0.8425430330468158,True
25779,0 days 00:57:03.822000,-128.0,-4433.0,116.0,185.562496,1,0.7881720490038867,True
25780,0 days 00:57:03.902000,-137.0,-4392.0,116.0,190.562496,1,0.6480349872426835,True
25781,0 days 00:57:03.989000,-146.40644345429158,-4346.023419260897,116.3052379871908,196.0,1,0.6103154321682164,True
25782,0 days 00:57:04.122000,-160.0,-4275.0,117.0,196.0,1,0.536294027013938,True
25783,0 days 00:57:04.149000,-162.6491510374663,-4261.060647548729,117.06452513496738,196.0,1,0.5192635729343881,True
25784,0 days 00:57:04.323000,-181.0,-4165.0,117.0,202.95999488,1,0.48322171776810213,False
25785,0 days 00:57:04.549000,-216.9151535456213,-3984.9476534636,116.94946541691128,212.0,1,0.40491787671602864,False
25786,0 days 00:57:04.563000,-219.0,-3975.0,117.0,212.3499968,1,0.38406271026869077,False
25787,0 days 00:57:04.742000,-242.0,-3869.0,118.0,216.8249984,1,0.331935972909255,False
25788,0 days 00:57:04.749000,-242.81891556245313,-3865.0540718115976,118.01713161492174,217.0,1,0.33832582665746425,False
25789,0 days 00:57:04.883000,-259.0,-3785.0,118.0,221.01999616,1,0.2989927887520651,False
25790,0 days 00:57:04.949000,-269.3387764992028,-3737.0463084035778,118.07368143343493,223.0,1,0.29582719239635935,False
25791,0 days 00:57:05.222000,-321.0,-3512.0,119.0,231.531248,1,0.2437132351213155,False
25792,0 days 00:57:05.269000,-327.9745127884697,-3481.5974745813883,119.10154852830424,233.0,1,0.23031852511979375,False
25793,0 days 00:57:05.629000,-365.7230544923747,-3312.507890406098,119.06136549734599,240.0,1,0.19126496744683735,False
25794,0 days 00:57:05.663000,-370.0,-3293.0,119.0,240.61817949090909,1,0.1869917379374462,False
25795,0 days 00:57:05.862000,-399.0,-3161.0,119.0,244.23636247272728,1,0.15893455690594935,False
25796,0 days 00:57:05.963000,-414.0,-3094.0,120.0,246.07272494545455,1,0.14661149813300825,False
25797,0 days 00:57:06.069000,-431.29551966998497,-3015.8041840230717,120.25049608669069,248.0,1,0.1403913701568674,False
25798,0 days 00:57:06.183000,-450.0,-2932.0,120.0,251.41999616,1,0.11785961437178212,False
25799,0 days 00:57:06.269000,-462.71511376317545,-2877.156496416664,119.965423339061,254.0,1,0.11687347962294886,False
25800,0 days 00:57:06.382000,-479.0,-2808.0,120.0,255.79772625454547,1,0.10972567231823341,False
25801,0 days 00:57:06.603000,-514.0,-2655.0,120.0,259.3136343272727,1,0.10240287241160503,False
25802,0 days 00:57:06.709000,-529.8815666794349,-2584.615028011246,120.30174480470585,261.0,1,0.10131947257584645,False
25803,0 days 00:57:06.922000,-565.0,-2428.0,121.0,263.95833244444447,1,0.09248023121439065,False
25804,0 days 00:57:06.983000,-578.0,-2370.0,121.0,264.8055537777778,1,0.0936926847295633,False
25805,0 days 00:57:07.069000,-596.5711561579777,-2285.9274352221373,121.17409039377549,266.0,1,0.09483803224016014,False
25806,0 days 00:57:07.229000,-629.1232044392134,-2135.4036321402336,121.88692508988812,269.0,1,0.09747070074496779,False
25807,0 days 00:57:07.263000,-635.0,-2108.0,122.0,269.24285622857144,1,0.09749021206782285,False
25808,0 days 00:57:07.509000,-667.0086335442759,-1956.9083899341433,122.2357553720858,271.0,1,0.10133755983979226,False
25809,0 days 00:57:07.603000,-679.0,-1901.0,122.0,272.468748,1,0.10398476560253953,False
25810,0 days 00:57:07.822000,-715.0,-1737.0,121.0,275.890624,1,0.10800718654071122,False
25811,0 days 00:57:07.829000,-716.5330958034879,-1730.0871523695112,120.98226825905034,276.0,1,0.1082439830797988,False
25812,0 days 00:57:07.989000,-758.9379573332642,-1539.7621435033125,120.97270009825971,278.0,1,0.11157395929157841,False
25813,0 days 00:57:08.102000,-786.0,-1420.0,121.0,278.94166613333334,1,0.11354261820575302,False
25814,0 days 00:57:08.229000,-805.5378931206154,-1336.503760703131,120.76634927007699,280.0,1,0.1115064559448406,False
25815,0 days 00:57:08.502000,-836.0,-1223.0,120.0,284.8749988571429,1,0.11148312147356772,False
25816,0 days 00:57:08.509000,-837.3321176636598,-1218.0375434960072,119.9944826858675,285.0,1,0.10984677846467521,False
25817,0 days 00:57:08.669000,-875.83120740916,-1074.1482839532268,120.06467957568023,286.0,1,0.10867719405145854,False
25818,0 days 00:57:08.762000,-898.0,-993.0,120.0,286.66428525714286,1,0.10695012557598138,False
25819,0 days 00:57:08.949000,-932.7092199565944,-873.6718442339521,119.28514246881146,288.0,1,0.10550987379840424,False
25820,0 days 00:57:09.042000,-953.0,-808.0,119.0,289.26818094545456,1,0.1007458118343129,False
25821,0 days 00:57:09.382000,-1054.0,-489.0,119.0,293.9045445818182,1,0.09383131268663689,False
25822,0 days 00:57:09.389000,-1055.6253924242071,-483.8959605790444,118.9859441955512,294.0,1,0.09201889327375093,False
25823,0 days 00:57:09.662000,-1104.0,-333.0,118.0,295.5208907372228,1,0.08855366867192707,False
25824,0 days 00:57:09.748000,-1123.500989621833,-272.93391430914744,117.89912636663038,296.0,1,0.0862181613751595,False
25825,0 days 00:57:09.942000,-1175.0,-117.0,118.0,298.4249984,1,0.07808001184357222,False
25826,0 days 00:57:09.988000,-1186.8491789500872,-82.2526468298694,118.00671055527498,299.0,1,0.07687317656438215,False
25827,0 days 00:57:10.082000,-1213.0,-7.0,118.0,299.70324104989385,1,0.07325186369471397,False
25828,0 days 00:57:10.389000,-1337.4675252281365,343.39066673028884,117.99519186508283,302.0,1,0.0631196921689767,False
25829,0 days 00:57:10.402000,-1342.0,356.0,118.0,302.03611093333336,1,0.062377819500649676,False
25830,0 days 00:57:10.749000,-1423.1202245942497,576.9202205574496,118.11017599484742,303.0,1,0.05502107495789918,False
25831,0 days 00:57:10.803000,-1435.0,609.0,118.0,303.44999893333335,1,0.07218779736116444,False
25832,0 days 00:57:10.989000,-1480.9086316132991,733.5507367107143,117.26499028284172,305.0,1,0.0779063896009792,False
25833,0 days 00:57:11.083000,-1505.0,799.0,117.0,305.2937496,1,0.08639397828274147,False
25834,0 days 00:57:11.282000,-1558.0,943.0,117.0,305.9156248,1,0.09136665753528692,False
25835,0 days 00:57:11.309000,-1566.5257499837537,966.2127878372517,117.00901422238474,306.0,1,0.10473966850707896,False
25836,0 days 00:57:11.509000,-1641.3452903695245,1170.3135590960092,117.01313478961535,307.0,1,0.10426960859622446,False
25837,0 days 00:57:11.643000,-1687.0,1295.0,117.0,307.0,1,0.11516350615521292,False
25838,0 days 00:57:11.669000,-1694.5691171412502,1315.6794279018866,116.99848174911486,307.0,1,0.1308125473089172,False
25839,0 days 00:57:11.869000,-1739.4937378615725,1438.5244953851718,116.9975893462456,309.0,1,0.13254262759034816,False
25840,0 days 00:57:12.022000,-1775.0,1536.0,117.0,309.38249984,1,0.14221550826368326,False
25841,0 days 00:57:12.183000,-1822.0,1665.0,117.0,309.78499968,1,0.1432561414430854,False
25842,0 days 00:57:12.269000,-1847.3758200176253,1733.7114576865465,116.99994082813298,310.0,1,0.15483295173365938,False
25843,0 days 00:57:12.362000,-1876.0,1811.0,117.0,310.0,1,0.15634954644634674,False
25844,0 days 00:57:12.469000,-1912.7408924441315,1910.9216808345004,117.00021002304209,310.0,1,0.1737378361169239,False
25845,0 days 00:57:12.642000,-1971.0,2070.0,117.0,310.86499968,1,0.18178653678093404,False
25846,0 days 00:57:12.669000,-1978.4470835491945,2090.295416113774,116.99977065916121,311.0,1,0.18238855576270413,False
25847,0 days 00:57:12.962000,-2054.0,2296.0,117.0,311.0,1,0.193439309192027,False
25848,0 days 00:57:12.989000,-2064.979041251012,2326.019836389633,117.00140929003902,311.0,1,0.19378880629787937,False
25849,0 days 00:57:13.182000,-2154.0,2571.0,117.0,309.6214290285714,1,0.2065571955451633,False
25850,0 days 00:57:13.269000,-2180.1244427582824,2645.23634763158,116.96880668732007,309.0,1,0.2082524243409646,False
25851,0 days 00:57:13.429000,-2201.557873407132,2713.3859143614804,116.87990757046126,309.0,1,0.21388145372402842,False
25852,0 days 00:57:13.563000,-2220.0,2781.0,117.0,309.0,1,0.21468532034592056,False
25853,0 days 00:57:13.629000,-2232.229608843832,2826.5178224662727,117.14926973809168,309.0,1,0.21767282842756816,False
25854,0 days 00:57:13.903000,-2293.0,3055.0,118.0,308.02142902857145,1,0.23946994323947357,False
25855,0 days 00:57:13.909000,-2294.1217094710187,3059.2262368147717,118.00987554220322,308.0,1,0.23809348397912225,False
25856,0 days 00:57:14.069000,-2319.1469351307205,3153.5875569185314,118.08235160800369,308.0,1,0.24120516073456677,False
25857,0 days 00:57:14.242000,-2346.0,3253.0,118.0,308.0,1,0.25267372382151154,False
25858,0 days 00:57:14.389000,-2377.885782222913,3368.7359221848606,117.9994657984234,308.0,1,0.2586611656055819,False
25859,0 days 00:57:14.422000,-2387.0,3402.0,118.0,307.86250026666664,1,0.2594631462834814,False
