,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-4051.309005365797,364.65736417729045,115.49544335352576,293.0,1,0.0,False
25729,0 days 00:56:57.282000,-4060.0,285.0,115.0,294.33333248424515,1,0.0,False
25730,0 days 00:56:57.349000,-4064.7956640529396,232.37613908268645,114.60297308499727,295.0,1,0.0,False
25731,0 days 00:56:57.442000,-4071.0,154.0,114.0,295.5166663111111,1,0.0,False
25732,0 days 00:56:57.682000,-4077.0,-42.0,113.0,296.84999964444444,1,0.0,False
25733,0 days 00:56:57.709000,-4076.5016067212264,-71.52748705172718,112.94954509648694,297.0,1,0.0,False
25734,0 days 00:56:57.949000,-4063.0618640152124,-385.2257381027468,112.97895106796018,299.0,1,0.0,False
25735,0 days 00:56:58.023000,-4059.0,-439.0,113.0,299.3083328,1,0.0,False
25736,0 days 00:56:58.063000,-4057.0,-456.0,113.0,299.47499946666665,1,0.0,False
25737,0 days 00:56:58.343000,-4026.0,-688.0,113.0,300.64166613333333,1,0.0,False
25738,0 days 00:56:58.429000,-4014.6117840501106,-755.0797874088066,113.0000019855955,301.0,1,0.0,False
25739,0 days 00:56:58.502000,-4002.0,-820.0,113.0,301.5214281142857,1,0.0,False
25740,0 days 00:56:58.709000,-3944.380053505952,-1088.8453247822445,113.00067014732744,303.0,1,0.0,False
25741,0 days 00:56:58.762000,-3931.0,-1149.0,113.0,303.3785709714286,1,0.0,False
25742,0 days 00:56:58.989000,-3896.3029005900376,-1295.1789140082558,112.99078377475408,305.0,1,0.0,False
25743,0 days 00:56:59.149000,-3878.402073820689,-1362.2506472612642,112.99366965496701,305.0,1,0.0,False
25744,0 days 00:56:59.203000,-3870.0,-1395.0,113.0,305.22499946666665,1,0.0,False
25745,0 days 00:56:59.389000,-3832.444893759391,-1544.6388766274429,113.03427239811366,306.0,1,0.0,False
25746,0 days 00:56:59.483000,-3812.0,-1626.0,113.0,306.33571382857144,1,0.0,False
25747,0 days 00:56:59.663000,-3774.0,-1775.0,113.0,306.97857097142855,1,0.0,False
25748,0 days 00:56:59.669000,-3772.716249053577,-1779.9772527749546,113.02066671585463,307.0,1,0.0,False
25749,0 days 00:56:59.829000,-3737.8485296539016,-1913.3505020251189,113.95235898642072,307.0,1,0.0,False
25750,0 days 00:56:59.842000,-3735.0,-1924.0,114.0,307.0928566857143,1,0.0,False
25751,0 days 00:57:00.023000,-3694.0,-2072.0,114.0,308.38571337142855,1,0.0,False
25752,0 days 00:57:00.109000,-3671.3295308720058,-2149.5909599103857,113.94133243495497,309.0,1,0.0,False
25753,0 days 00:57:00.303000,-3614.0,-2335.0,114.0,309.8083328,1,0.0,False
25754,0 days 00:57:00.349000,-3600.09336487578,-2377.2335702799073,114.07806879145514,310.0,1,0.0,False
25755,0 days 00:57:00.549000,-3537.802023579146,-2552.5864968551805,114.67940322279736,310.0,1,0.0,False
25756,0 days 00:57:00.682000,-3487.0,-2673.0,115.0,310.66499968,1,0.0,False
25757,0 days 00:57:00.749000,-3457.4147474258975,-2736.491664466463,115.0904269592546,311.0,1,0.0,False
25758,0 days 00:57:00.989000,-3344.4912326560784,-2957.133532598881,115.04619369923444,311.0,1,0.0,False
25759,0 days 00:57:01.023000,-3332.0,-2981.0,115.0,311.0,1,0.0,False
25760,0 days 00:57:01.189000,-3287.8653164618695,-3064.6939135129137,114.63875192287227,311.0,1,0.0,False
25761,0 days 00:57:01.462000,-3197.0,-3202.0,114.0,311.8531248,1,0.0,False
25762,0 days 00:57:01.509000,-3165.102860806416,-3246.448562991975,113.9629883999784,312.0,1,0.0,False
25763,0 days 00:57:01.722000,-3003.0,-3468.0,114.0,312.0,1,0.0,False
25764,0 days 00:57:01.749000,-2990.1223563481535,-3485.346254806786,114.01132636091033,312.0,1,0.0,False
25765,0 days 00:57:01.982000,-2927.0,-3563.0,114.0,312.0,1,0.0,False
25766,0 days 00:57:02.069000,-2882.039422699307,-3613.991153122129,113.819677308932,312.0,1,0.0,False
25767,0 days 00:57:02.309000,-2704.7497642124044,-3810.908046528964,113.05613363398923,312.0,1,0.0,False
25768,0 days 00:57:02.341000,-2684.0,-3833.0,113.0,312.0,1,0.6480210941201339,True
25769,0 days 00:57:02.509000,-2593.526920220117,-3924.267470451916,112.94333141741767,312.0,1,0.6417979514656035,True
25770,0 days 00:57:02.642000,-2529.0,-3985.0,113.0,311.2590534134278,1,0.6539822125229885,True
25771,0 days 00:57:02.868000,-2401.221968457986,-4102.63411178738,113.00568868222459,310.0,1,0.6415948235265588,True
25772,0 days 00:57:02.922000,-2358.0,-4143.0,113.0,310.0,1,0.6493822497355025,True
25773,0 days 00:57:03.028000,-2253.5208369412117,-4241.536588216004,112.98663228206848,310.0,1,0.664662197546434,True
25774,0 days 00:57:03.183000,-2100.0,-4387.0,113.0,308.8928585142857,1,0.6575070287191505,True
25775,0 days 00:57:03.308000,-2029.0878639358011,-4453.626887870809,113.0835887005159,308.0,1,0.6762263143169858,True
25776,0 days 00:57:03.562000,-1948.0,-4525.0,113.0,307.0928576,1,0.6818285518200048,True
25777,0 days 00:57:03.588000,-1934.5435457720098,-4536.5554992347115,112.91964715504615,307.0,1,0.6897617864320646,True
25778,0 days 00:57:03.749000,-1828.9762581051182,-4626.49901921654,112.1890450871941,307.0,1,0.7111803762777209,True
25779,0 days 00:57:03.822000,-1779.0,-4668.0,112.0,306.6958336,1,0.7362970597951414,True
25780,0 days 00:57:03.902000,-1726.0,-4711.0,112.0,306.36250026666664,1,0.7378531425132858,True
25781,0 days 00:57:03.989000,-1668.4703120736453,-4756.909231512164,112.32722521396686,306.0,1,0.8162680475746521,True
25782,0 days 00:57:04.122000,-1580.0,-4826.0,113.0,304.3375008,1,0.8285090173744635,True
25783,0 days 00:57:04.149000,-1561.942756667855,-4839.855370507008,113.05926561360259,304.0,1,0.8702503234647087,True
25784,0 days 00:57:04.323000,-1445.0,-4928.0,113.0,297.91000448,1,0.926949077280261,True
25785,0 days 00:57:04.549000,-1294.0841641561647,-5040.241550679603,112.99885306135789,290.0,1,1.0417227236670996,True
25786,0 days 00:57:04.563000,-1285.0,-5047.0,113.0,288.04001792,1,1.0538540579108204,True
25787,0 days 00:57:04.742000,-1174.0,-5130.0,113.0,262.98000896,1,1.1486159771752984,True
25788,0 days 00:57:04.749000,-1169.9761089461176,-5133.041069400836,112.99992418734033,262.0,1,1.3415887613543336,True
25789,0 days 00:57:04.883000,-1095.0,-5190.0,113.0,244.58001664,1,1.4017651793789223,True
25790,0 days 00:57:04.949000,-1054.2706987155418,-5220.635787026559,113.0002806947125,236.0,1,1.5477096817658,True
25791,0 days 00:57:05.222000,-880.0,-5350.0,113.0,206.140632,1,1.7181658940865039,True
25792,0 days 00:57:05.269000,-858.0359351716396,-5366.2685397868745,112.99922270846969,201.0,1,1.784923752298105,True
25793,0 days 00:57:05.629000,-753.9706738566592,-5443.722534026135,112.99725156160652,174.0,1,1.8894082426213874,True
25794,0 days 00:57:05.663000,-743.0,-5452.0,113.0,171.75909934545456,1,1.9420156172999483,True
25795,0 days 00:57:05.862000,-670.0,-5507.0,113.0,158.64318603636363,1,1.9935711883303586,True
25796,0 days 00:57:05.963000,-636.0,-5532.0,113.0,151.98637207272728,1,2.064734057712758,True
25797,0 days 00:57:06.069000,-605.6099886804411,-5555.099300827745,113.4458971730476,145.0,1,2.1086057930218427,True
25798,0 days 00:57:06.183000,-575.0,-5577.0,114.0,139.87000576,1,2.1121457387890428,True
25799,0 days 00:57:06.269000,-550.225006036143,-5591.929723897612,114.09052720280474,136.0,1,2.145969406488765,True
25800,0 days 00:57:06.382000,-516.0,-5609.0,114.0,133.1750016,1,2.169497940701538,True
25801,0 days 00:57:06.603000,-447.0,-5632.0,114.0,127.6500032,1,2.2044019716119214,True
25802,0 days 00:57:06.709000,-415.2375862581266,-5637.963527777,114.00596690175541,125.0,1,2.2214611954230454,True
25803,0 days 00:57:06.922000,-344.0,-5640.0,114.0,117.30833564444444,1,2.2346409648849925,True
25804,0 days 00:57:06.983000,-318.0,-5638.0,114.0,115.10556017777778,1,2.2491246462358445,True
25805,0 days 00:57:07.069000,-282.0307070722893,-5631.325880998432,114.02569981245607,112.0,1,2.262731890369066,True
25806,0 days 00:57:07.229000,-222.91612346682163,-5610.9356212873345,114.04419464727064,110.0,1,2.271407008968231,True
25807,0 days 00:57:07.263000,-213.0,-5607.0,114.0,109.63571565714285,1,2.2680314049789296,True
25808,0 days 00:57:07.509000,-167.44950292510802,-5583.942260930513,113.208470621657,107.0,1,2.2725004009929095,True
25809,0 days 00:57:07.603000,-151.0,-5573.0,113.0,105.8250016,1,2.2748283272305025,True
25810,0 days 00:57:07.822000,-101.0,-5533.0,113.0,103.0875008,1,2.271731294184386,True
25811,0 days 00:57:07.829000,-99.19523524803999,-5531.086595169194,113.00181014099665,103.0,1,2.2620018780879385,True
25812,0 days 00:57:07.989000,-55.26488968141748,-5475.2384367123195,113.0088451741443,101.0,1,2.2523997189480056,True
25813,0 days 00:57:08.102000,-30.0,-5439.0,113.0,100.05833386666667,1,2.2345265182813483,True
25814,0 days 00:57:08.229000,-13.536693802611188,-5413.552358146289,112.99461567783958,99.0,1,2.209879030090758,True
25815,0 days 00:57:08.502000,-1.0,-5375.0,113.0,98.02500022857143,1,2.1857431608854347,True
25816,0 days 00:57:08.509000,-0.5389254789256565,-5373.234744133104,113.00045994625607,98.0,1,2.1713231777904576,True
25817,0 days 00:57:08.669000,12.498176450552657,-5321.558141990766,113.01312565265583,102.0,1,2.15181612862938,True
25818,0 days 00:57:08.762000,19.0,-5292.0,113.0,103.99285577142857,1,2.118620703410655,True
