,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25728,0 days 00:56:57.148000,-3904.8812748227956,15529.479707286306,118.73504212068059,231.0,1,0.0,False
25729,0 days 00:56:57.282000,-3894.0,15593.0,119.0,233.66666496849035,1,0.0,False
25730,0 days 00:56:57.349000,-3886.9417638002683,15634.46644613991,119.02113350277207,235.0,1,0.0,False
25731,0 days 00:56:57.442000,-3876.0,15697.0,119.0,236.80833208888887,1,0.0,False
25732,0 days 00:56:57.682000,-3844.0,15853.0,119.0,241.47499875555556,1,0.0,False
25733,0 days 00:56:57.709000,-3839.424994329133,15872.537823262894,118.95000185458873,242.0,1,0.0,False
25734,0 days 00:56:57.949000,-3792.701790573283,16055.526414521748,118.09461310310228,246.0,1,0.0,False
25735,0 days 00:56:58.023000,-3783.0,16091.0,118.0,247.3874976,1,0.0,False
25736,0 days 00:56:58.063000,-3779.0,16105.0,118.0,248.1374976,1,0.0,False
25737,0 days 00:56:58.343000,-3724.0,16294.0,117.0,253.3874976,1,0.0,False
25738,0 days 00:56:58.429000,-3707.0701099372013,16348.984933539276,116.5432432658224,255.0,1,0.0,False
25739,0 days 00:56:58.502000,-3691.0,16403.0,116.0,256.3035702857143,1,0.0,False
25740,0 days 00:56:58.709000,-3629.2009475231157,16630.658594416826,113.4542945150912,260.0,1,0.0,False
25741,0 days 00:56:58.762000,-3616.0,16682.0,113.0,260.56785645714285,1,0.0,False
25742,0 days 00:56:58.989000,-3587.611672500832,16808.757795770704,113.04657594025885,263.0,1,0.0,False
25743,0 days 00:56:59.149000,-3579.849828123657,16869.468317194693,113.85349627687582,266.0,1,0.0,False
25744,0 days 00:56:59.203000,-3576.0,16899.0,114.0,266.44999893333335,1,0.0,False
25745,0 days 00:56:59.389000,-3558.3022251676493,17033.6731267074,114.04647308014776,268.0,1,0.0,False
25746,0 days 00:56:59.483000,-3549.0,17107.0,114.0,269.67856914285716,1,0.0,False
25747,0 days 00:56:59.663000,-3533.0,17242.0,114.0,272.8928548571429,1,0.0,False
25748,0 days 00:56:59.669000,-3532.484824237394,17246.54534751868,113.99997803063327,273.0,1,0.0,False
25749,0 days 00:56:59.829000,-3519.047992014953,17369.17543452457,113.99686879320491,275.0,1,0.0,False
25750,0 days 00:56:59.842000,-3518.0,17379.0,114.0,275.0928566857143,1,0.0,False
25751,0 days 00:57:00.023000,-3504.0,17516.0,114.0,276.38571337142855,1,0.0,False
25752,0 days 00:57:00.109000,-3497.3533251973795,17588.4613415922,113.76513082262095,277.0,1,0.0,False
25753,0 days 00:57:00.303000,-3483.0,17764.0,113.0,279.4249984,1,0.0,False
25754,0 days 00:57:00.349000,-3480.0137922274703,17804.764956798495,112.91975450655885,280.0,1,0.0,False
25755,0 days 00:57:00.549000,-3469.0709065419,17977.292913484296,113.03339894221061,283.0,1,0.0,False
25756,0 days 00:57:00.682000,-3464.0,18094.0,113.0,283.66499968,1,0.0,False
25757,0 days 00:57:00.749000,-3462.1681374248533,18154.319324146134,112.87168870413728,284.0,1,0.0,False
25758,0 days 00:57:00.989000,-3459.1211861792335,18361.06553276799,112.07492210402435,287.0,1,0.0,False
25759,0 days 00:57:01.023000,-3459.0,18384.0,112.0,287.33999872,1,0.0,False
25760,0 days 00:57:01.189000,-3459.381633988869,18468.18568839665,111.84952967102623,289.0,1,0.0,False
25761,0 days 00:57:01.462000,-3465.0,18627.0,112.0,289.8531248,1,0.0,False
25762,0 days 00:57:01.509000,-3466.8542160289226,18678.18986072196,112.00890690443025,290.0,1,0.0,False
25763,0 days 00:57:01.722000,-3476.0,18933.0,112.0,290.0,1,0.0,False
25764,0 days 00:57:01.749000,-3476.692407733564,18953.03766542407,111.9990338869643,290.0,1,0.0,False
25765,0 days 00:57:01.982000,-3480.0,19046.0,112.0,290.7281248,1,0.0,False
25766,0 days 00:57:02.069000,-3482.815174275193,19109.057237490433,111.99933995277141,291.0,1,0.0,False
25767,0 days 00:57:02.309000,-3494.5638460105274,19356.199022536188,111.9983115448082,291.0,1,0.0,False
25768,0 days 00:57:02.341000,-3496.0,19385.0,112.0,291.16,1,0.552846569745358,True
25769,0 days 00:57:02.509000,-3502.553624803264,19509.93513102331,112.01683861787048,292.0,1,0.5776708805226668,True
25770,0 days 00:57:02.642000,-3507.0,19595.0,112.0,291.6295267067139,1,0.6258681597266583,True
25771,0 days 00:57:02.868000,-3514.4364274918594,19751.736437493026,111.92585264884579,291.0,1,0.6549619355092712,True
25772,0 days 00:57:02.922000,-3517.0,19805.0,112.0,291.0,1,0.7079661473744967,True
25773,0 days 00:57:03.028000,-3523.3837930712584,19935.14553586304,112.30678619677263,291.0,1,0.7723358371566991,True
25774,0 days 00:57:03.183000,-3533.0,20128.0,113.0,290.4464292571429,1,0.8508020207265704,True
25775,0 days 00:57:03.308000,-3537.580568116423,20217.78671186028,113.60806611067035,290.0,1,0.920505940366055,True
25776,0 days 00:57:03.562000,-3544.0,20321.0,115.0,290.0,1,0.9661345584244799,True
25777,0 days 00:57:03.588000,-3545.138569992409,20337.807590040575,115.15804657050202,290.0,1,1.0157639212077119,True
25778,0 days 00:57:03.749000,-3554.475708580935,20468.53048607588,116.25770515471322,289.0,1,1.1142427990301909,True
25779,0 days 00:57:03.822000,-3560.0,20529.0,117.0,288.6958336,1,1.1994459072987531,True
25780,0 days 00:57:03.902000,-3567.0,20592.0,118.0,288.36250026666664,1,1.2575002232612555,True
25781,0 days 00:57:03.989000,-3575.8950167668477,20660.766018369202,118.98485791027399,288.0,1,1.47577634146959,True
25782,0 days 00:57:04.122000,-3591.0,20765.0,120.0,284.6750016,1,1.5522749047735211,True
25783,0 days 00:57:04.149000,-3594.062869270717,20785.48116208879,120.09768941550693,284.0,1,1.656797993775072,True
25784,0 days 00:57:04.323000,-3614.0,20912.0,120.0,266.16501312,1,1.7948472903291435,True
25785,0 days 00:57:04.549000,-3642.1625224088743,21063.951869268,119.0587948564866,243.0,1,2.003260398597892,True
25786,0 days 00:57:04.563000,-3644.0,21073.0,119.0,241.88001024,1,2.0279054706669437,True
25787,0 days 00:57:04.742000,-3668.0,21184.0,118.0,227.56000512,1,2.1442832801436107,True
25788,0 days 00:57:04.749000,-3668.9188737079785,21188.049384720256,117.920876708385,227.0,1,2.322438187806922,True
25789,0 days 00:57:04.883000,-3688.0,21264.0,116.0,217.62000896,1,2.366459781862283,True
25790,0 days 00:57:04.949000,-3701.6076485935946,21305.646880777465,115.35784955393103,213.0,1,2.500816872924612,True
25791,0 days 00:57:05.222000,-3777.0,21485.0,115.0,194.2312544,1,2.5927985022912234,True
25792,0 days 00:57:05.269000,-3788.305259451307,21507.467454824804,115.04777161958216,191.0,1,2.6520542818791526,True
25793,0 days 00:57:05.629000,-3865.1198216783505,21609.128779814808,115.88559724318814,178.0,1,2.7130825281904833,True
25794,0 days 00:57:05.663000,-3875.0,21619.0,116.0,176.9181858909091,1,2.7641270895081473,True
25795,0 days 00:57:05.862000,-3944.0,21682.0,117.0,170.58636567272728,1,2.789237251661187,True
25796,0 days 00:57:05.963000,-3982.0,21709.0,118.0,167.37273134545455,1,2.847608894346384,True
25797,0 days 00:57:06.069000,-4027.4733728796127,21735.240394836535,118.53654940573665,164.0,1,2.88183693416467,True
25798,0 days 00:57:06.183000,-4077.0,21759.0,119.0,161.1500032,1,2.8851436541540347,True
25799,0 days 00:57:06.269000,-4109.981978166854,21771.93175586755,119.74160316198629,159.0,1,2.9081124135515353,True
25800,0 days 00:57:06.382000,-4152.0,21784.0,121.0,157.20227374545453,1,2.9199202859208353,True
25801,0 days 00:57:06.603000,-4244.0,21797.0,123.0,153.68636567272728,1,2.9313620520658317,True
25802,0 days 00:57:06.709000,-4285.027811799825,21796.226907937307,122.89912389415683,152.0,1,2.9348823739080623,True
25803,0 days 00:57:06.922000,-4372.0,21777.0,123.0,148.45000106666666,1,2.921390132842977,True
25804,0 days 00:57:06.983000,-4403.0,21766.0,124.0,147.43333546666668,1,2.921230476511213,True
25805,0 days 00:57:07.069000,-4445.884661530334,21745.76955614438,124.3389399117562,146.0,1,2.911352788145453,True
25806,0 days 00:57:07.229000,-4516.288981155896,21700.358582564568,122.3436937658725,145.0,1,2.9010957381166267,True
25807,0 days 00:57:07.263000,-4528.0,21692.0,122.0,144.87857188571428,1,2.8632502893688514,True
25808,0 days 00:57:07.509000,-4580.428097087749,21646.133873079165,121.04848331397129,144.0,1,2.850284986292261,True
25809,0 days 00:57:07.603000,-4599.0,21626.0,121.0,145.468748,1,2.8148170224794873,True
25810,0 days 00:57:07.822000,-4656.0,21555.0,121.0,148.890624,1,2.779535279723598,True
25811,0 days 00:57:07.829000,-4658.084788657685,21551.689498339052,120.99899468199293,149.0,1,2.7405408186497877,True
25812,0 days 00:57:07.989000,-4709.350209489028,21456.202991802787,120.9396775142818,151.0,1,2.693930501492774,True
25813,0 days 00:57:08.102000,-4739.0,21394.0,121.0,153.35416533333333,1,2.631024051981113,True
25814,0 days 00:57:08.229000,-4758.2844325065225,21349.076557876084,121.27039280557963,156.0,1,2.517248260275619,True
25815,0 days 00:57:08.502000,-4773.0,21279.0,122.0,166.72499748571428,1,2.4501628184419837,True
25816,0 days 00:57:08.509000,-4773.548444681844,21275.936869835885,122.00541248752214,167.0,1,2.3903377747562637,True
25817,0 days 00:57:08.669000,-4789.124088291736,21187.466701784204,121.94620475459529,174.0,1,2.3259764093299005,True
25818,0 days 00:57:08.762000,-4797.0,21137.0,122.0,175.99285577142857,1,2.2100676318183035,True
25819,0 days 00:57:08.949000,-4804.825768670301,21059.843395380973,122.63428937693982,180.0,1,2.120460103214845,True
25820,0 days 00:57:09.042000,-4806.0,21015.0,123.0,183.38181585454547,1,2.012534253347635,True
25821,0 days 00:57:09.382000,-4801.0,20790.0,124.0,195.7454522181818,1,1.7836832035945154,True
25822,0 days 00:57:09.389000,-4800.813204749566,20786.373538744047,124.02186378154347,196.0,1,1.6846134834965787,True
25823,0 days 00:57:09.662000,-4790.0,20678.0,125.0,202.8440083175027,1,1.564189192001471,True
25824,0 days 00:57:09.748000,-4783.529453480915,20633.816521840108,125.35083114270603,205.0,1,1.418204139591084,True
25825,0 days 00:57:09.942000,-4763.0,20518.0,126.0,212.2749952,1,1.1612689573153698,True
25826,0 days 00:57:09.988000,-4757.0504881041725,20492.035998860913,126.05588900843861,214.0,1,1.1293000244962097,True
25827,0 days 00:57:10.082000,-4742.0,20437.0,126.0,215.64089578308563,1,0.988726870893271,True
25828,0 days 00:57:10.389000,-4652.847303771565,20202.45749671182,124.08211973742695,221.0,1,0.7862046624788813,True
25829,0 days 00:57:10.402000,-4649.0,20194.0,124.0,221.36110933333333,1,0.7162560431720678,True
