,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-2055.0,171.0,1864.0,258.73333333333335,1,0.0,False
26743,0 days 00:59:13.696000,-1825.0,280.0,1861.0,260.73333333333335,1,0.0,False
26744,0 days 00:59:13.728000,-1802.38395382938,290.6965350391438,1860.707099185637,261.0,1,0.0,False
26745,0 days 00:59:14.036000,-1672.0,352.0,1859.0,265.8125,1,0.0,False
26746,0 days 00:59:14.048000,-1665.0204654802776,355.2684498839856,1858.906112547758,266.0,1,0.0,False
26747,0 days 00:59:14.256000,-1517.0,425.0,1857.0,268.6,1,0.0,False
26748,0 days 00:59:14.368000,-1446.3614648553637,459.3356012947071,1856.3253105159647,270.0,1,0.0,False
26749,0 days 00:59:14.416000,-1416.0,474.0,1856.0,270.2659280249845,1,0.0,False
26750,0 days 00:59:14.617000,-1273.0,542.0,1854.0,271.37950127503626,1,0.0,False
26751,0 days 00:59:14.729000,-1179.004787739402,588.4586284793061,1852.7475256957352,272.0,1,0.0,False
26752,0 days 00:59:14.929000,-1002.7285477049065,678.3788231049358,1850.5786902352347,273.0,1,0.0,False
26753,0 days 00:59:14.997000,-955.0,703.0,1850.0,273.14166666666665,1,0.0,False
26754,0 days 00:59:15.337000,-787.0,792.0,1848.0,273.85,1,0.0,False
26755,0 days 00:59:15.409000,-741.4026177481118,816.6783439476391,1847.4671548361537,274.0,1,0.0,False
26756,0 days 00:59:15.557000,-639.0,872.0,1846.0,274.5285714285714,1,0.0,False
26757,0 days 00:59:15.689000,-551.6158755841373,918.4817992839273,1844.1152409080637,275.0,1,0.0,False
26758,0 days 00:59:15.697000,-545.0,922.0,1844.0,275.04,1,0.0,False
26759,0 days 00:59:15.889000,-335.73240685185476,1033.544334255612,1841.4910202518179,276.0,1,0.0,False
26760,0 days 00:59:15.937000,-288.0,1059.0,1841.0,276.1333333333333,1,0.0,False
26761,0 days 00:59:16.249000,-123.7263444178882,1146.558638651839,1839.344763381092,277.0,1,0.0,False
26762,0 days 00:59:16.437000,-43.0,1190.0,1838.0,277.94,1,0.0,False
26763,0 days 00:59:16.449000,-36.432521112304435,1193.5463541105664,1837.8757338293885,278.0,1,0.0,False
26764,0 days 00:59:16.597000,65.0,1248.0,1836.0,278.0,1,0.0,False
26765,0 days 00:59:16.648000,114.59145668867038,1274.1573352374087,1835.2393254154777,278.0,1,0.0,False
26766,0 days 00:59:16.797000,277.0,1359.0,1833.0,278.0,1,0.0,False
26767,0 days 00:59:16.848000,320.60780687773723,1381.6689071237467,1832.4017881327077,278.0,1,0.0,False
26768,0 days 00:59:17.008000,409.5469633111782,1427.4726940121077,1831.161495280972,276.0,1,0.0,False
26769,0 days 00:59:17.248000,509.72820488867825,1474.6132132322916,1830.0479827010724,270.0,1,0.0,False
26770,0 days 00:59:17.257000,515.0,1477.0,1830.0,269.1321490285714,1,0.0,False
26771,0 days 00:59:17.417000,621.0,1524.0,1829.0,253.7035776,1,0.0,False
26772,0 days 00:59:17.528000,689.8319523196119,1552.8037271896064,1827.9451698278222,243.0,1,0.0,False
26773,0 days 00:59:17.637000,752.0,1578.0,1827.0,234.8250048,1,0.0,False
26774,0 days 00:59:17.808000,850.9533582600561,1618.0773492722142,1826.2299680745896,222.0,1,0.0,False
26775,0 days 00:59:17.836000,873.0,1627.0,1826.0,218.5,1,0.0,False
26776,0 days 00:59:17.968000,1001.3115728557149,1678.9545218536973,1824.3330284753918,202.0,1,0.0,False
26777,0 days 00:59:17.996000,1026.0,1689.0,1824.0,199.34,1,0.0,False
26778,0 days 00:59:18.168000,1126.7450645819008,1730.6513035884175,1822.7019750091417,183.0,1,0.0,False
26779,0 days 00:59:18.408000,1180.2344719642642,1757.948275338861,1822.1583201607048,164.0,1,0.0,False
26780,0 days 00:59:18.456000,1194.0,1766.0,1822.0,161.94285714285715,1,0.0,False
26781,0 days 00:59:18.688000,1279.9879328297498,1819.408997011845,1820.9225811300855,152.0,1,0.0,False
26782,0 days 00:59:18.848000,1337.5173886964774,1861.8986490390498,1820.0439642987178,147.0,1,2.122226391012744,True
26783,0 days 00:59:18.856000,1340.0,1864.0,1820.0,146.48,1,2.2101160975041263,True
26784,0 days 00:59:19.048000,1388.3294858612699,1913.7715190510696,1818.9439009122013,134.0,1,2.2591533301188957,True
26785,0 days 00:59:19.316000,1428.0,1976.0,1818.0,127.3,1,2.401283091394945,True
26786,0 days 00:59:19.408000,1437.0545633031095,1993.6328610260757,1818.0040489141136,125.0,1,2.4146535930347026,True
26787,0 days 00:59:19.636000,1453.0,2040.0,1818.0,120.92857142857143,1,2.4791202617233288,True
26788,0 days 00:59:19.688000,1456.4516327846673,2054.711772876613,1817.7509903213704,120.0,1,2.5008556128817054,True
26789,0 days 00:59:19.816000,1463.0,2098.0,1817.0,118.08,1,2.5228005200234835,True
26790,0 days 00:59:19.888000,1463.4915521148655,2126.5735271482627,1816.8104949149779,117.0,1,2.568457224965799,True
26791,0 days 00:59:20.048000,1457.4940986982012,2194.8096633566493,1816.9265186085722,114.0,1,2.5882300300706835,True
26792,0 days 00:59:20.096000,1455.0,2212.0,1817.0,113.28,1,2.6076567100679133,True
26793,0 days 00:59:20.248000,1445.796264989274,2253.4030789492763,1817.2797434068623,111.0,1,2.616687832416919,True
