,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-4038.0,-3528.0,1839.0,155.17777777777778,1,0.0,False
26743,0 days 00:59:13.696000,-4027.0,-3681.0,1839.0,163.84444444444443,1,0.0,False
26744,0 days 00:59:13.728000,-4026.5485453387228,-3696.7127940639407,1839.0070628985982,165.0,1,0.0,False
26745,0 days 00:59:14.036000,-4035.0,-3796.0,1839.0,175.5875,1,0.0,False
26746,0 days 00:59:14.048000,-4035.78739532959,-3800.9589967867228,1838.95668083959,176.0,1,0.0,False
26747,0 days 00:59:14.256000,-4055.0,-3905.0,1838.0,182.5,1,0.0,False
26748,0 days 00:59:14.368000,-4069.9090538683135,-3961.3668182967594,1838.0988719320274,186.0,1,0.0,False
26749,0 days 00:59:14.416000,-4077.0,-3985.0,1838.0,187.59556814990682,1,0.0,False
26750,0 days 00:59:14.617000,-4114.0,-4086.0,1836.0,194.27700765021743,1,0.0,False
26751,0 days 00:59:14.729000,-4148.227474218668,-4154.7106350058475,1834.9595760132413,198.0,1,0.0,False
26752,0 days 00:59:14.929000,-4225.473678847215,-4287.857703695638,1833.5369854631567,204.0,1,0.0,False
26753,0 days 00:59:14.997000,-4247.0,-4323.0,1833.0,205.84166666666667,1,0.0,False
26754,0 days 00:59:15.337000,-4327.0,-4439.0,1830.0,215.05,1,0.0,False
26755,0 days 00:59:15.409000,-4350.6654121690135,-4471.797341177453,1829.4963731975188,217.0,1,0.0,False
26756,0 days 00:59:15.557000,-4405.0,-4547.0,1828.0,220.7,1,0.0,False
26757,0 days 00:59:15.689000,-4452.376643383792,-4612.02744465802,1825.1701509866941,224.0,1,0.0,False
26758,0 days 00:59:15.697000,-4456.0,-4617.0,1825.0,224.2,1,0.0,False
26759,0 days 00:59:15.889000,-4571.479537444055,-4775.626835933738,1821.645802055964,229.0,1,0.0,False
26760,0 days 00:59:15.937000,-4598.0,-4812.0,1821.0,229.93333333333334,1,0.0,False
26761,0 days 00:59:16.249000,-4691.478773908404,-4939.086236040899,1818.4450938742775,236.0,1,0.0,False
26762,0 days 00:59:16.437000,-4739.0,-5004.0,1817.0,240.7,1,0.0,False
26763,0 days 00:59:16.449000,-4742.84430090006,-5009.290789218966,1816.8869935724365,241.0,1,0.0,False
26764,0 days 00:59:16.597000,-4802.0,-5091.0,1815.0,242.48743670755803,1,0.0,False
26765,0 days 00:59:16.648000,-4830.814739432418,-5130.873757574885,1813.876461689344,243.0,1,0.0,False
26766,0 days 00:59:16.797000,-4924.0,-5260.0,1810.0,234.06000384,1,0.0,False
26767,0 days 00:59:16.848000,-4947.967677054424,-5293.319725701476,1809.069266993868,231.0,1,0.0,False
26768,0 days 00:59:17.008000,-4991.891964032567,-5354.905043161008,1807.7341533270248,208.0,1,0.0,False
26769,0 days 00:59:17.248000,-5028.022690569769,-5410.845257220866,1806.141364415843,188.0,1,0.0,False
26770,0 days 00:59:17.257000,-5030.0,-5414.0,1806.0,187.16429165714285,1,0.0,False
26771,0 days 00:59:17.417000,-5070.0,-5479.0,1803.0,172.3071488,1,0.0,False
26772,0 days 00:59:17.528000,-5094.864750312714,-5522.073325756047,1801.8584642333376,162.0,1,0.0,False
26773,0 days 00:59:17.637000,-5114.0,-5556.0,1801.0,154.99286125714286,1,0.0,False
26774,0 days 00:59:17.808000,-5135.417128517313,-5594.932939850911,1798.5793884764837,144.0,1,0.0,False
26775,0 days 00:59:17.836000,-5141.0,-5607.0,1798.0,143.3,1,0.0,False
26776,0 days 00:59:17.968000,-5177.808136435574,-5691.805017490888,1794.6587735692076,140.0,1,0.0,False
26777,0 days 00:59:17.996000,-5185.0,-5709.0,1794.0,138.88,1,0.0,False
26778,0 days 00:59:18.168000,-5212.830765363087,-5781.063481447969,1791.0703700693728,132.0,1,0.0,False
26779,0 days 00:59:18.408000,-5220.031804658623,-5827.427071631889,1788.648745726153,122.0,1,0.0,False
26780,0 days 00:59:18.456000,-5221.0,-5840.0,1788.0,120.62857142857143,1,0.0,False
26781,0 days 00:59:18.688000,-5224.799595275913,-5919.808824504632,1783.9684975302948,114.0,1,0.0,False
26782,0 days 00:59:18.848000,-5222.307920935738,-5976.426291816671,1781.1292674150868,111.0,1,2.180750236647108,True
26783,0 days 00:59:18.856000,-5222.0,-5979.0,1781.0,110.84,1,2.2300286100955757,True
26784,0 days 00:59:19.048000,-5209.371691292832,-6033.421419763486,1778.2602703428545,107.0,1,2.2522830386737716,True
26785,0 days 00:59:19.316000,-5183.0,-6089.0,1775.0,101.78888888888889,1,2.301544611031296,True
26786,0 days 00:59:19.408000,-5174.407309435596,-6103.7179714375825,1773.823316753038,100.0,1,2.3058161227665788,True
26787,0 days 00:59:19.636000,-5149.0,-6137.0,1771.0,95.11428571428571,1,2.332368276752058,True
26788,0 days 00:59:19.688000,-5140.648623296597,-6146.035646949076,1770.4506497678356,94.0,1,2.344159561054511,True
26789,0 days 00:59:19.816000,-5115.0,-6170.0,1769.0,93.36,1,2.3489969715308057,True
26790,0 days 00:59:19.888000,-5096.653209169269,-6183.52766281095,1767.8455345702057,93.0,1,2.370359231998712,True
26791,0 days 00:59:20.048000,-5050.125712148564,-6211.557581408863,1764.7563523083843,92.0,1,2.3658748442580575,True
26792,0 days 00:59:20.096000,-5038.0,-6218.0,1764.0,91.76,1,2.371174687590838,True
26793,0 days 00:59:20.248000,-5007.441231107449,-6231.463998149023,1762.3317534455964,91.0,1,2.3633552159947735,True
26794,0 days 00:59:20.436000,-4975.0,-6240.0,1761.0,92.34285714285714,1,2.3537033954488025,True
26795,0 days 00:59:20.528000,-4955.90937082483,-6244.029736523245,1760.2584206481183,93.0,1,2.3471633706224315,True
26796,0 days 00:59:20.776000,-4885.0,-6251.0,1757.0,96.1,1,2.3220781763345437,True
26797,0 days 00:59:20.848000,-4855.061465849602,-6250.327935806435,1755.269744363218,97.0,1,2.317766707057021,True
26798,0 days 00:59:20.976000,-4802.0,-6247.0,1752.0,98.19626192075005,1,2.296315109861311,True
26799,0 days 00:59:21.169000,-4761.6577023577875,-6240.857707957438,1749.2326801613845,100.0,1,2.248662006297782,True
26800,0 days 00:59:21.277000,-4745.0,-6237.0,1748.0,102.4,1,2.2283144554545156,True
26801,0 days 00:59:21.529000,-4681.605070448182,-6221.023453565561,1743.6548140784655,108.0,1,2.1394910967201715,True
26802,0 days 00:59:21.577000,-4656.0,-6212.0,1742.0,110.16,1,2.0871829666484167,True
26803,0 days 00:59:21.697000,-4577.0,-6182.0,1737.0,115.56,1,2.0342136462415765,True
26804,0 days 00:59:21.729000,-4561.412383478018,-6175.902784910436,1736.0623317931793,117.0,1,1.9738800496857425,True
26805,0 days 00:59:22.009000,-4521.446599911571,-6156.758386669243,1734.117517367973,124.0,1,1.9045471395651028,True
26806,0 days 00:59:22.017000,-4520.0,-6156.0,1734.0,124.37142857142857,1,1.7808154839152155,True
26807,0 days 00:59:22.289000,-4432.78251033784,-6112.278642344542,1726.302743825657,137.0,1,1.6611417677783453,True
26808,0 days 00:59:22.337000,-4415.0,-6103.0,1725.0,139.7,1,1.5852474943197123,True
26809,0 days 00:59:22.449000,-4374.065170431474,-6080.828739396405,1722.5337353724724,146.0,1,1.4786158642407374,True
26810,0 days 00:59:22.617000,-4313.0,-6047.0,1719.0,152.72,1,1.4157311836898894,True
26811,0 days 00:59:22.649000,-4301.208342351588,-6040.624187158003,1718.104472874689,154.0,1,1.3276210675952065,True
26812,0 days 00:59:22.717000,-4274.0,-6026.0,1716.0,157.4,1,1.3116566633931337,True
26813,0 days 00:59:22.929000,-4148.307032354196,-5957.980549067424,1708.4671202561035,168.0,1,1.1843328958546497,True
26814,0 days 00:59:22.997000,-4109.0,-5937.0,1706.0,170.55,1,1.1415784299582472,True
26815,0 days 00:59:23.169000,-4029.427211071062,-5895.797926862985,1699.9626136354207,177.0,1,1.088449321174971,True
26816,0 days 00:59:23.337000,-3958.0,-5861.0,1695.0,184.01949735585563,1,1.0139513706374519,True
26817,0 days 00:59:23.528000,-3860.7434676849452,-5815.7929889417965,1690.94146691312,192.0,1,0.9970862170550809,True
26818,0 days 00:59:23.597000,-3825.0,-5800.0,1689.0,194.5874976,1,0.9418821667256099,True
26819,0 days 00:59:23.688000,-3778.9339467168497,-5780.466440910174,1685.6956239442304,198.0,1,0.9167319792771137,True
26820,0 days 00:59:23.737000,-3754.0,-5770.0,1684.0,199.71499776,1,0.9290706082177845,True
26821,0 days 00:59:23.888000,-3675.1259007996127,-5736.595346482331,1680.3200374544472,205.0,1,0.8838735159814958,True
26822,0 days 00:59:23.957000,-3640.0,-5722.0,1679.0,206.9406232,1,0.8860923675803056,True
26823,0 days 00:59:24.197000,-3510.0,-5668.0,1674.0,213.6906232,1,0.9029202889105982,True
26824,0 days 00:59:24.208000,-3501.767440332882,-5664.28216068823,1673.6576981892529,214.0,1,0.8944426694629691,True
26825,0 days 00:59:24.408000,-3330.215171701449,-5583.047187586696,1666.2689748919595,220.0,1,0.9052429466276558,True
26826,0 days 00:59:24.417000,-3324.0,-5580.0,1666.0,220.14999893333334,1,0.9161515713947503,True
26827,0 days 00:59:24.648000,-3236.1270937103704,-5533.015185418646,1662.2970887719423,224.0,1,0.9280632131981494,True
26828,0 days 00:59:24.776000,-3194.0,-5506.0,1661.0,228.0,1,0.9594905364594153,True
26829,0 days 00:59:24.808000,-3180.1424370962727,-5497.073745655625,1660.614021635796,229.0,1,0.9956950155126356,True
26830,0 days 00:59:25.048000,-3048.350334639237,-5409.156406982874,1657.1228502133574,233.0,1,1.0422468807530059,True
26831,0 days 00:59:25.056000,-3044.0,-5406.0,1657.0,233.16,1,1.0317755562366862,True
26832,0 days 00:59:25.248000,-2945.056306316139,-5328.355712588046,1654.1083220725657,237.0,1,1.0797754093472984,True
26833,0 days 00:59:25.256000,-2941.0,-5325.0,1654.0,237.13333333333333,1,1.0714557135568719,True
26834,0 days 00:59:25.436000,-2850.0,-5246.0,1652.0,240.13333333333333,1,1.117595414832075,True
26835,0 days 00:59:25.488000,-2824.2917348147125,-5221.505811094656,1651.6422362358467,241.0,1,1.124711712949791,True
26836,0 days 00:59:25.636000,-2755.0,-5151.0,1651.0,243.59,1,1.153638720588953,True
26837,0 days 00:59:25.888000,-2643.953813759541,-5025.244427237027,1650.0146043357581,248.0,1,1.1819098578755107,True
26838,0 days 00:59:25.896000,-2639.0,-5019.0,1650.0,248.05,1,1.1844518484613453,True
26839,0 days 00:59:26.048000,-2529.567200782861,-4876.054686857648,1649.9726292357773,249.0,1,1.2138978332574248,True
26840,0 days 00:59:26.076000,-2513.0,-4854.0,1650.0,249.11666666666667,1,1.2295644925464453,True
26841,0 days 00:59:26.288000,-2455.353781320027,-4773.891802725711,1650.4496475056585,250.0,1,1.2481805400770436,True
26842,0 days 00:59:26.396000,-2432.0,-4739.0,1651.0,251.35,1,1.257932369854806,True
26843,0 days 00:59:26.528000,-2384.652136217412,-4669.5307076115505,1652.0623027332585,253.0,1,1.2743669578777441,True
26844,0 days 00:59:26.696000,-2314.0,-4567.0,1653.0,245.44,1,1.2972565800877862,True
26845,0 days 00:59:26.728000,-2302.243748932439,-4550.09647915653,1652.965984696293,244.0,1,1.3022859722613493,True
26846,0 days 00:59:26.816000,-2270.0,-4503.0,1653.0,233.44,1,1.314198799582245,True
26847,0 days 00:59:26.928000,-2218.401484453124,-4422.358463754788,1655.1610424915764,220.0,1,1.3302171199089794,True
26848,0 days 00:59:27.096000,-2143.0,-4298.0,1660.0,206.8,1,1.3546808567995725,True
26849,0 days 00:59:27.208000,-2117.464052598584,-4251.842755910506,1661.4520761195079,198.0,1,1.360780780801634,True
26850,0 days 00:59:27.448000,-2112.8884841990575,-4221.994808468213,1661.0307552247089,181.0,1,1.3532814428519382,True
26851,0 days 00:59:27.516000,-2112.0,-4209.0,1661.0,177.60404254775116,1,1.351215151888414,True
26852,0 days 00:59:28.157000,-2084.0,-3940.0,1667.0,145.59215270142423,1,1.3320883629549767,True
26853,0 days 00:59:28.289000,-2088.0190006830517,-3879.1112287830056,1669.6817513123397,139.0,1,1.3075029658022803,True
26854,0 days 00:59:28.489000,-2105.987688996504,-3790.813284757495,1674.3467835095769,136.0,1,1.2794950619960874,True
26855,0 days 00:59:28.517000,-2110.0,-3779.0,1675.0,135.65,1,1.2534424034819256,True
26856,0 days 00:59:28.729000,-2152.479119096786,-3694.081923737328,1679.9036802377304,133.0,1,1.2005570245234591,True
26857,0 days 00:59:28.917000,-2190.0,-3637.0,1683.0,129.86666666666667,1,1.1194024919728918,True
