,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,1464.0,2112.0,1817.0,118.55555555555556,1,0.0,False
26743,0 days 00:59:13.696000,1453.0,2219.0,1817.0,111.88888888888889,1,0.0,False
26744,0 days 00:59:13.728000,1451.2346667068728,2229.5898478149443,1817.0365668802865,111.0,1,0.0,False
26745,0 days 00:59:14.036000,1432.0,2290.0,1818.0,107.15,1,0.0,False
26746,0 days 00:59:14.048000,1430.7684899233172,2292.7949964796026,1818.088067017561,107.0,1,0.0,False
26747,0 days 00:59:14.256000,1404.0,2349.0,1820.0,104.4,1,0.0,False
26748,0 days 00:59:14.368000,1388.8560828678296,2375.0627595639426,1820.7444786700385,103.0,1,0.0,False
26749,0 days 00:59:14.416000,1382.0,2386.0,1821.0,102.86703598750776,1,0.0,False
26750,0 days 00:59:14.617000,1348.0,2435.0,1822.0,102.31024936248188,1,0.0,False
26751,0 days 00:59:14.729000,1322.2532276146871,2464.758948749926,1823.0303092179595,102.0,1,0.0,False
26752,0 days 00:59:14.929000,1269.1231040673817,2517.312733059988,1825.4300751079961,104.0,1,0.0,False
26753,0 days 00:59:14.997000,1254.0,2531.0,1826.0,104.70833333333333,1,0.0,False
26754,0 days 00:59:15.337000,1193.0,2573.0,1827.0,108.25,1,0.0,False
26755,0 days 00:59:15.409000,1174.5077697856277,2582.691319050485,1827.1580805526316,109.0,1,0.0,False
26756,0 days 00:59:15.557000,1132.0,2603.0,1828.0,110.58571428571429,1,0.0,False
26757,0 days 00:59:15.689000,1094.0235420373663,2617.1009636647586,1829.8945800731326,112.0,1,0.0,False
26758,0 days 00:59:15.697000,1091.0,2618.0,1830.0,112.24,1,0.0,False
26759,0 days 00:59:15.889000,991.1802838042978,2642.0993268732486,1831.6792905056116,118.0,1,0.0,False
26760,0 days 00:59:15.937000,968.0,2647.0,1832.0,119.33333333333333,1,0.0,False
26761,0 days 00:59:16.249000,885.7182926468937,2658.3203460222444,1833.9740870280982,128.0,1,0.0,False
26762,0 days 00:59:16.437000,841.0,2659.0,1835.0,133.64,1,0.0,False
26763,0 days 00:59:16.449000,837.3217915058899,2659.0864617499165,1835.0600197653584,134.0,1,0.0,False
26764,0 days 00:59:16.597000,780.0,2659.0,1836.0,138.46231012267413,1,0.0,False
26765,0 days 00:59:16.648000,751.6452480278723,2657.043053367891,1836.6398870206833,140.0,1,0.0,False
26766,0 days 00:59:16.797000,658.0,2647.0,1839.0,142.23499904,1,0.0,False
26767,0 days 00:59:16.848000,632.5222349092406,2643.56254683586,1839.6050047183307,143.0,1,0.0,False
26768,0 days 00:59:17.008000,579.0476466573468,2633.4550549688893,1840.6624204914401,150.0,1,0.0,False
26769,0 days 00:59:17.248000,514.390054052913,2612.1241162211227,1841.9150216001613,160.0,1,0.0,False
26770,0 days 00:59:17.257000,511.0,2611.0,1842.0,160.2249984,1,0.0,False
26771,0 days 00:59:17.417000,442.0,2587.0,1844.0,164.2249984,1,0.0,False
26772,0 days 00:59:17.528000,393.4361276375522,2565.6616171042,1846.0006121838474,167.0,1,0.0,False
26773,0 days 00:59:17.637000,349.0,2544.0,1848.0,170.89285485714285,1,0.0,False
26774,0 days 00:59:17.808000,280.3581137575311,2507.7319680674336,1851.0303056837574,177.0,1,0.0,False
26775,0 days 00:59:17.836000,263.0,2497.0,1852.0,178.225,1,0.0,False
26776,0 days 00:59:17.968000,154.36285369961362,2425.444376061851,1858.6793696157026,184.0,1,0.0,False
26777,0 days 00:59:17.996000,133.0,2411.0,1860.0,184.42,1,0.0,False
26778,0 days 00:59:18.168000,44.81327903503767,2349.094509161982,1865.1515487673864,187.0,1,0.0,False
26779,0 days 00:59:18.408000,-12.06996040241172,2307.4191137596445,1867.351377471645,196.0,1,0.0,False
26780,0 days 00:59:18.456000,-29.0,2297.0,1868.0,194.97142857142856,1,0.0,False
26781,0 days 00:59:18.688000,-141.72052873840997,2234.2002454515177,1872.425146062703,190.0,1,0.0,False
26782,0 days 00:59:18.848000,-226.0449944656018,2193.7075330452894,1875.8370225905478,179.0,1,-1.027989577126723,True
26783,0 days 00:59:18.856000,-230.0,2192.0,1876.0,178.8,1,-1.1847508295319193,True
26784,0 days 00:59:19.048000,-317.4567684838003,2160.079280485083,1879.6938459142557,174.0,1,-1.2931856064625056,True
26785,0 days 00:59:19.316000,-415.0,2137.0,1884.0,159.11111111111111,1,-1.5319761704780803,True
26786,0 days 00:59:19.408000,-441.6954880678494,2132.1984281628397,1885.197285314862,154.0,1,-1.560421124456743,True
26787,0 days 00:59:19.636000,-504.0,2125.0,1888.0,145.85714285714286,1,-1.692687382388658,True
26788,0 days 00:59:19.688000,-521.0862017933263,2123.634719325215,1888.7564663107837,144.0,1,-1.7440735439804036,True
26789,0 days 00:59:19.816000,-570.0,2122.0,1891.0,139.52,1,-1.7918248123735099,True
26790,0 days 00:59:19.888000,-603.4608444895537,2123.653755637338,1892.6752193019631,137.0,1,-1.9051307547672158,True
26791,0 days 00:59:20.048000,-684.9981359308241,2132.8546003195743,1896.9648201261718,137.0,1,-1.9695399023548512,True
26792,0 days 00:59:20.096000,-705.0,2136.0,1898.0,134.6,1,-2.0501049516922505,True
26793,0 days 00:59:20.248000,-750.4904194000319,2146.3972791753763,1900.2415639931878,127.0,1,-2.080651129095818,True
26794,0 days 00:59:20.436000,-790.0,2163.0,1902.0,122.3,1,-2.154503360338032,True
26795,0 days 00:59:20.528000,-812.6133800114807,2173.996934608937,1903.014561369411,120.0,1,-2.177357240734056,True
26796,0 days 00:59:20.776000,-885.0,2222.0,1906.0,116.9,1,-2.233092278125131,True
26797,0 days 00:59:20.848000,-909.2878101139216,2245.075644605395,1906.8080728209668,116.0,1,-2.2783973947424356,True
