,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-288.0,3589.0,1916.0,196.42222222222222,1,0.0,False
26743,0 days 00:59:13.696000,-142.0,3714.0,1912.0,205.75555555555556,1,0.0,False
26744,0 days 00:59:13.728000,-127.18789832191206,3726.734477184695,1911.5580818326207,207.0,1,0.0,False
26745,0 days 00:59:14.036000,-35.0,3805.0,1908.0,213.7375,1,0.0,False
26746,0 days 00:59:14.048000,-30.331353500545102,3808.8122021966074,1907.8141919766358,214.0,1,0.0,False
26747,0 days 00:59:14.256000,69.0,3888.0,1904.0,219.2,1,0.0,False
26748,0 days 00:59:14.368000,124.45348203418153,3929.8123548394533,1901.955472602129,222.0,1,0.0,False
26749,0 days 00:59:14.416000,148.0,3947.0,1901.0,223.1966761124301,1,0.0,False
26750,0 days 00:59:14.617000,252.0,4015.0,1896.0,228.20775573766306,1,0.0,False
26751,0 days 00:59:14.729000,328.75649063324386,4051.6543551036025,1892.3455771935542,231.0,1,0.0,False
26752,0 days 00:59:14.929000,486.220834610079,4109.869086581863,1885.0416792164049,234.0,1,0.0,False
26753,0 days 00:59:14.997000,530.0,4123.0,1883.0,234.70833333333334,1,0.0,False
26754,0 days 00:59:15.337000,692.0,4140.0,1875.0,238.25,1,0.0,False
26755,0 days 00:59:15.409000,737.1771615526185,4138.075046985615,1872.5492351954729,239.0,1,0.0,False
26756,0 days 00:59:15.557000,839.0,4130.0,1867.0,239.0,1,0.0,False
26757,0 days 00:59:15.689000,925.6003993597378,4115.579544740315,1862.3681617773864,239.0,1,0.0,False
26758,0 days 00:59:15.697000,932.0,4114.0,1862.0,239.0,1,0.0,False
26759,0 days 00:59:15.889000,1129.4282535241773,4050.915359985927,1849.7805334451302,239.0,1,0.0,False
26760,0 days 00:59:15.937000,1174.0,4035.0,1847.0,239.66666666666666,1,0.0,False
26761,0 days 00:59:16.249000,1325.0834912621249,3968.6348680246483,1838.2256553846803,244.0,1,0.0,False
26762,0 days 00:59:16.437000,1396.0,3927.0,1834.0,246.82,1,0.0,False
26763,0 days 00:59:16.449000,1401.7486790127132,3923.70889245401,1833.6357272256441,247.0,1,0.0,False
26764,0 days 00:59:16.597000,1491.0,3872.0,1828.0,248.48743670755803,1,0.0,False
26765,0 days 00:59:16.648000,1535.3360111880838,3844.9953644971656,1825.3772151192707,249.0,1,0.0,False
26766,0 days 00:59:16.797000,1681.0,3754.0,1817.0,250.48999936,1,0.0,False
26767,0 days 00:59:16.848000,1719.5015028748114,3729.6887544745555,1814.7443345621025,251.0,1,0.0,False
26768,0 days 00:59:17.008000,1794.9926004459496,3681.0536741783403,1810.083483599904,254.0,1,0.0,False
26769,0 days 00:59:17.248000,1879.290994794801,3625.997848569921,1805.236866820148,258.0,1,0.0,False
26770,0 days 00:59:17.257000,1884.0,3623.0,1805.0,258.16071314285716,1,0.0,False
26771,0 days 00:59:17.417000,1982.0,3561.0,1800.0,261.017856,1,0.0,False
26772,0 days 00:59:17.528000,2052.1987680879797,3516.2896695397553,1795.3407222031394,263.0,1,0.0,False
26773,0 days 00:59:17.637000,2117.0,3475.0,1791.0,264.55714194285713,1,0.0,False
26774,0 days 00:59:17.808000,2216.6220671236956,3410.7170673272235,1786.1695795676924,267.0,1,0.0,False
26775,0 days 00:59:17.836000,2241.0,3394.0,1785.0,267.0,1,0.0,False
26776,0 days 00:59:17.968000,2390.926342209589,3287.9909879252673,1777.491844712144,267.0,1,0.0,False
26777,0 days 00:59:17.996000,2420.0,3267.0,1776.0,266.16,1,0.0,False
26778,0 days 00:59:18.168000,2536.1155440542875,3179.254943872728,1769.7522163123997,261.0,1,0.0,False
26779,0 days 00:59:18.408000,2593.1065444362625,3115.7598127553947,1765.9594504381907,250.0,1,0.0,False
26780,0 days 00:59:18.456000,2609.0,3096.0,1765.0,248.8,1,0.0,False
26781,0 days 00:59:18.688000,2713.1535660570325,2962.376248420153,1759.1272446712046,243.0,1,0.0,False
26782,0 days 00:59:18.848000,2781.201081812523,2858.050649686165,1755.173317209875,238.0,1,-1.7595185906946251,True
26783,0 days 00:59:18.856000,2784.0,2853.0,1755.0,237.76,1,-1.7165515568919596,True
26784,0 days 00:59:19.048000,2833.932390776629,2736.5167004044274,1751.5369344827313,232.0,1,-1.7075078098680776,True
26785,0 days 00:59:19.316000,2866.0,2596.0,1748.0,229.76666666666668,1,-1.6677164984892172,True
26786,0 days 00:59:19.408000,2873.067551799253,2556.0887360426523,1746.8073307362158,229.0,1,-1.662390382946395,True
26787,0 days 00:59:19.636000,2883.0,2457.0,1744.0,227.37142857142857,1,-1.6170728911834615,True
26788,0 days 00:59:19.688000,2883.992283290508,2428.2445018590256,1743.4288518688938,227.0,1,-1.5941650038523205,True
26789,0 days 00:59:19.816000,2882.0,2345.0,1742.0,227.0,1,-1.5736569905101998,True
26790,0 days 00:59:19.888000,2875.509853242181,2288.804053151701,1741.034391030208,227.0,1,-1.529535794342933,True
26791,0 days 00:59:20.048000,2850.0441063191006,2152.355965860382,1738.6366111933903,231.0,1,-1.479140521314862,True
26792,0 days 00:59:20.096000,2842.0,2118.0,1738.0,231.72,1,-1.4262655112727942,True
26793,0 days 00:59:20.248000,2817.0104694082743,2035.7124512664045,1736.3365222030693,234.0,1,-1.394408755522602,True
26794,0 days 00:59:20.436000,2782.0,1958.0,1735.0,236.68571428571428,1,-1.3304122650938464,True
26795,0 days 00:59:20.528000,2760.742230541467,1914.3769375394882,1734.6267673378516,238.0,1,-1.3062999719188657,True
26796,0 days 00:59:20.776000,2676.0,1760.0,1733.0,241.875,1,-1.2304386287954763,True
26797,0 days 00:59:20.848000,2637.4917590270356,1696.841500301422,1731.6455446972554,243.0,1,-1.1871001315816556,True
26798,0 days 00:59:20.976000,2568.0,1586.0,1729.0,244.99376986791674,1,-1.1459335129341954,True
26799,0 days 00:59:21.169000,2514.940707382686,1503.4325979007797,1727.4469636318738,248.0,1,-1.0694400542455529,True
26800,0 days 00:59:21.277000,2493.0,1470.0,1727.0,250.4,1,-1.0461477956579484,True
26801,0 days 00:59:21.529000,2410.1539051513537,1342.7634303240036,1724.9469323712678,256.0,1,-0.9627486779438785,True
26802,0 days 00:59:21.577000,2377.0,1292.0,1724.0,256.0,1,-0.9270865814010036,True
26803,0 days 00:59:21.697000,2275.0,1136.0,1721.0,256.0,1,-0.8735596036124531,True
26804,0 days 00:59:21.729000,2254.9618420564393,1105.3538032714835,1720.40652660508,256.0,1,-0.8390966423824975,True
26805,0 days 00:59:22.009000,2205.762073064941,1029.7263892018955,1719.0402032212319,264.0,1,-0.8033172792448675,True
26806,0 days 00:59:22.017000,2204.0,1027.0,1719.0,264.0857142857143,1,-0.759114502427153,True
26807,0 days 00:59:22.289000,2096.504234389153,861.0422546399949,1716.5203810434966,267.0,1,-0.699923440523933,True
26808,0 days 00:59:22.337000,2075.0,828.0,1716.0,267.6,1,-0.6666741195244282,True
26809,0 days 00:59:22.449000,2026.3447828050057,753.5069677274349,1714.77896556356,269.0,1,-0.6197240842890234,True
26810,0 days 00:59:22.617000,1960.0,652.0,1713.0,271.52,1,-0.5941251432256567,True
26811,0 days 00:59:22.649000,1948.7496089262715,634.6779580897955,1712.6811894898315,272.0,1,-0.5573012999496235,True
26812,0 days 00:59:22.717000,1923.0,595.0,1712.0,272.72857142857146,1,-0.526639357521171,True
26813,0 days 00:59:22.929000,1788.9606651109589,389.59653152965666,1709.595730604321,275.0,1,-0.46499471911299994,False
26814,0 days 00:59:22.997000,1752.0,333.0,1709.0,275.85,1,-0.4217496603600854,False
26815,0 days 00:59:23.169000,1700.7244205665224,254.39432780875325,1708.2037864654274,278.0,1,-0.4011485263177419,False
26816,0 days 00:59:23.337000,1663.0,196.0,1708.0,279.8718659615615,1,-0.341280949790484,False
26817,0 days 00:59:23.528000,1583.5614841489614,72.56223355093762,1707.9718670517327,282.0,1,-0.3170867691106738,False
26818,0 days 00:59:23.597000,1553.0,25.0,1708.0,282.4312496,1,-0.27118162583545985,False
26819,0 days 00:59:23.688000,1514.6028936894688,-34.82799408717387,1708.0518344305567,283.0,1,-0.2437464878694962,False
26820,0 days 00:59:23.737000,1494.0,-67.0,1708.0,283.48999936,1,-0.23512814592481773,False
26821,0 days 00:59:23.888000,1428.792014713375,-169.1456687004525,1707.2956138821228,285.0,1,-0.18512318937837502,False
26822,0 days 00:59:23.957000,1400.0,-214.0,1707.0,285.8624992,1,-0.1525950669432945,False
26823,0 days 00:59:24.197000,1296.0,-375.0,1707.0,288.8624992,1,-0.14329723367210015,False
26824,0 days 00:59:24.208000,1289.5147126956936,-385.1839264423952,1707.0360666493555,289.0,1,-0.11630068518652557,False
26825,0 days 00:59:24.408000,1154.8978291736532,-598.2450669185203,1707.9704799608724,290.0,1,-0.08491879913492242,False
26826,0 days 00:59:24.417000,1150.0,-606.0,1708.0,290.07499946666667,1,-0.07813529168343096,False
26827,0 days 00:59:24.648000,1079.4050832050818,-717.1145173558241,1708.0993310814495,292.0,1,-0.06089521475993023,False
26828,0 days 00:59:24.776000,1045.0,-771.0,1708.0,292.8,1,-0.05650150771765015,False
26829,0 days 00:59:24.808000,1033.7769311545294,-788.6226843941909,1707.9880220305731,293.0,1,-0.04594915131662475,False
26830,0 days 00:59:25.048000,926.6303794131884,-957.27533964419,1708.0002698822764,294.0,1,-0.03868071311719539,False
26831,0 days 00:59:25.056000,923.0,-963.0,1708.0,294.08,1,-0.025306499521633028,False
26832,0 days 00:59:25.248000,838.4869963926891,-1096.4830501885506,1707.9959255871568,296.0,1,-0.02161990599007247,False
26833,0 days 00:59:25.256000,835.0,-1102.0,1708.0,296.03333333333336,1,-0.015558205280049125,False
26834,0 days 00:59:25.436000,756.0,-1227.0,1708.0,296.78333333333336,1,-0.010770709035364515,False
26835,0 days 00:59:25.488000,732.580924993332,-1263.8976180393058,1707.7770802282025,297.0,1,-0.008905691912093358,False
26836,0 days 00:59:25.636000,667.0,-1367.0,1707.0,298.48,1,-0.0030158822406557433,False
26837,0 days 00:59:25.888000,556.2081636779907,-1541.8061719886123,1707.9795749054504,301.0,1,-0.002581023919483843,False
26838,0 days 00:59:25.896000,551.0,-1550.0,1708.0,301.0,1,-0.0006417473990613033,False
26839,0 days 00:59:26.048000,433.8889264043765,-1733.9445515829498,1708.0194456820848,301.0,1,-0.0002369336472340866,False
26840,0 days 00:59:26.076000,416.0,-1762.0,1708.0,301.0,1,0.0019456929367392013,False
26841,0 days 00:59:26.288000,352.5831971345282,-1861.0148335076174,1707.922145599065,301.0,1,0.0034222399765959483,False
26842,0 days 00:59:26.396000,326.0,-1903.0,1708.0,301.0,1,0.004148741481899012,False
26843,0 days 00:59:26.528000,272.51559865758406,-1988.215008929136,1708.2456344632667,301.0,1,0.00434944062459513,False
26844,0 days 00:59:26.696000,191.0,-2117.0,1708.0,303.52,1,0.004108734052393992,False
26845,0 days 00:59:26.728000,176.85331183494608,-2138.913202790945,1707.7589109323096,304.0,1,0.003830218587392982,False
26846,0 days 00:59:26.816000,136.0,-2202.0,1707.0,304.0,1,0.0038017837192859277,False
26847,0 days 00:59:26.928000,63.35971979344395,-2316.184698131969,1706.7036049114206,304.0,1,0.0003768514567545065,False
26848,0 days 00:59:27.096000,-54.0,-2502.0,1707.0,305.2,1,-0.00036600579619953266,False
26849,0 days 00:59:27.208000,-103.86790159974373,-2580.368853470741,1706.9682280984414,306.0,1,-0.0024262168308772252,False
26850,0 days 00:59:27.448000,-157.27977481679085,-2661.816429309233,1706.294921414635,304.0,1,-0.004426978668985914,False
26851,0 days 00:59:27.516000,-176.0,-2690.0,1706.0,304.3234245192618,1,-0.004381525611658874,False
26852,0 days 00:59:28.157000,-478.0,-3144.0,1701.0,307.3721759331977,1,-0.006218384663891975,False
26853,0 days 00:59:28.289000,-552.9069186634076,-3256.6818014052055,1699.3791514698346,308.0,1,-0.008472646008673198,False
26854,0 days 00:59:28.489000,-670.3041040694843,-3433.0080262507668,1696.4618667456634,308.0,1,-0.0111380105583201,False
26855,0 days 00:59:28.517000,-687.0,-3458.0,1696.0,308.1166666666667,1,-0.016104830107454192,False
26856,0 days 00:59:28.729000,-815.3185433614145,-3649.3788151218287,1692.0747488413008,309.0,1,-0.020226900106320566,False
26857,0 days 00:59:28.917000,-907.0,-3786.0,1689.0,309.78333333333336,1,-0.03645425657832564,False
26858,0 days 00:59:28.969000,-924.975579052758,-3812.8928378227292,1688.3717374209696,310.0,1,-0.03693022017344347,False
26859,0 days 00:59:29.169000,-967.5059429549186,-3877.072982898939,1686.7455917684647,310.0,1,-0.04880636415100027,False
26860,0 days 00:59:29.337000,-1041.0,-3987.0,1684.0,310.84,1,-0.055427913029041244,False
26861,0 days 00:59:29.369000,-1062.8588886787284,-4019.581667706778,1683.2024168477064,311.0,1,-0.07491778010650486,False
26862,0 days 00:59:29.517000,-1176.0,-4188.0,1679.0,311.925,1,-0.08520699467283319,False
26863,0 days 00:59:29.529000,-1183.3273689583807,-4198.897801220439,1678.7048930326475,312.0,1,-0.09985919020223505,False
26864,0 days 00:59:29.729000,-1252.7277105816852,-4301.8694534172555,1675.169407273684,311.0,1,-0.1186895673837645,False
26865,0 days 00:59:29.857000,-1292.0,-4360.0,1673.0,312.06666666666666,1,-0.12400980401915793,False
26866,0 days 00:59:29.969000,-1342.7718434917724,-4435.245556519581,1670.6256785523522,313.0,1,-0.1378126545177121,False
26867,0 days 00:59:30.037000,-1379.0,-4489.0,1669.0,313.0,1,-0.1566665863604334,False
26868,0 days 00:59:30.168000,-1457.2466051602569,-4605.270675884522,1665.5241965210198,313.0,1,-0.1653384377533869,False
26869,0 days 00:59:30.397000,-1589.0,-4802.0,1660.0,313.0,1,-0.18706012421613183,False
26870,0 days 00:59:30.608000,-1657.708378851277,-4907.1633114938595,1657.9037974825646,313.0,1,-0.21209613039073857,False
