,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-5128.0,-3018.0,1819.0,184.37777777777777,1,0.0,False
26743,0 days 00:59:13.696000,-5003.0,-2923.0,1821.0,169.04444444444445,1,0.0,False
26744,0 days 00:59:13.728000,-4990.2197702758,-2914.350121016531,1821.2029297409272,167.0,1,0.0,False
26745,0 days 00:59:14.036000,-4910.0,-2877.0,1822.0,163.15,1,0.0,False
26746,0 days 00:59:14.048000,-4906.025667852292,-2875.6640398030854,1822.0384261699226,163.0,1,0.0,False
26747,0 days 00:59:14.256000,-4823.0,-2851.0,1823.0,152.6,1,0.0,False
26748,0 days 00:59:14.368000,-4778.525212172273,-2843.2067744887445,1823.7195713695758,147.0,1,0.0,False
26749,0 days 00:59:14.416000,-4760.0,-2841.0,1824.0,145.8033238875699,1,0.0,False
26750,0 days 00:59:14.617000,-4682.0,-2839.0,1825.0,140.79224426233694,1,0.0,False
26751,0 days 00:59:14.729000,-4630.46769302137,-2845.958492534862,1826.043388775647,138.0,1,0.0,False
26752,0 days 00:59:14.929000,-4532.5426532325655,-2869.4581427796893,1828.4684569620556,135.0,1,0.0,False
26753,0 days 00:59:14.997000,-4507.0,-2877.0,1829.0,134.43333333333334,1,0.0,False
26754,0 days 00:59:15.337000,-4427.0,-2914.0,1830.0,131.6,1,0.0,False
26755,0 days 00:59:15.409000,-4405.884713494795,-2926.2564808701086,1830.5674052348195,131.0,1,0.0,False
26756,0 days 00:59:15.557000,-4359.0,-2956.0,1832.0,132.5857142857143,1,0.0,False
26757,0 days 00:59:15.689000,-4322.5363176713945,-2986.5521494710056,1832.939433693518,134.0,1,0.0,False
26758,0 days 00:59:15.697000,-4320.0,-2989.0,1833.0,134.04,1,0.0,False
26759,0 days 00:59:15.889000,-4245.56532141775,-3069.050070744823,1834.6711144457217,135.0,1,0.0,False
26760,0 days 00:59:15.937000,-4229.0,-3088.0,1835.0,135.8,1,0.0,False
26761,0 days 00:59:16.249000,-4172.539961404846,-3162.5507681075333,1835.5293377724174,141.0,1,0.0,False
26762,0 days 00:59:16.437000,-4148.0,-3206.0,1836.0,145.7,1,0.0,False
26763,0 days 00:59:16.449000,-4146.071489027248,-3209.445666690975,1836.0610257622218,146.0,1,0.0,False
26764,0 days 00:59:16.597000,-4118.0,-3264.0,1837.0,148.9748734151161,1,0.0,False
26765,0 days 00:59:16.648000,-4105.841526418501,-3292.8934786814957,1837.2949978359527,150.0,1,0.0,False
26766,0 days 00:59:16.797000,-4069.0,-3391.0,1838.0,153.7249984,1,0.0,False
26767,0 days 00:59:16.848000,-4059.8084001318784,-3417.408239548522,1838.196138944734,155.0,1,0.0,False
26768,0 days 00:59:17.008000,-4044.0546960425995,-3471.1036726733414,1838.6658593370744,160.0,1,0.0,False
26769,0 days 00:59:17.248000,-4036.3876808008195,-3536.4010663490467,1838.9955182282915,166.0,1,0.0,False
26770,0 days 00:59:17.257000,-4036.0,-3540.0,1839.0,166.2249984,1,0.0,False
26771,0 days 00:59:17.417000,-4029.0,-3615.0,1839.0,170.2249984,1,0.0,False
26772,0 days 00:59:17.528000,-4027.414922479067,-3670.353865508101,1838.9555854387277,173.0,1,0.0,False
26773,0 days 00:59:17.637000,-4028.0,-3722.0,1839.0,176.89285485714285,1,0.0,False
26774,0 days 00:59:17.808000,-4034.2388385557006,-3801.7096262503906,1839.1638277707389,183.0,1,0.0,False
26775,0 days 00:59:17.836000,-4038.0,-3822.0,1839.0,183.0,1,0.0,False
26776,0 days 00:59:17.968000,-4067.5423640767312,-3949.62687310745,1837.3433853281545,183.0,1,0.0,False
26777,0 days 00:59:17.996000,-4074.0,-3975.0,1837.0,184.12,1,0.0,False
26778,0 days 00:59:18.168000,-4105.670410047269,-4083.129335487911,1835.7521319521184,191.0,1,0.0,False
26779,0 days 00:59:18.408000,-4145.720656843808,-4158.569797169754,1835.2471445760098,200.0,1,0.0,False
26780,0 days 00:59:18.456000,-4158.0,-4179.0,1835.0,201.54285714285714,1,0.0,False
26781,0 days 00:59:18.688000,-4238.785055797924,-4308.033825823032,1833.0075340091857,209.0,1,0.0,False
26782,0 days 00:59:18.848000,-4300.996038003057,-4402.564999719221,1831.1024836906374,209.0,1,-0.9059693386428406,True
26783,0 days 00:59:18.856000,-4304.0,-4407.0,1831.0,209.28,1,-0.7746199356035594,True
26784,0 days 00:59:19.048000,-4373.04974183189,-4505.109766337779,1828.3337864329537,216.0,1,-0.6842933831456355,True
26785,0 days 00:59:19.316000,-4456.0,-4617.0,1825.0,221.95555555555555,1,-0.4931155541177647,False
26786,0 days 00:59:19.408000,-4479.594846618349,-4649.266817640623,1824.3255950529917,224.0,1,-0.46261851962149797,False
26787,0 days 00:59:19.636000,-4539.0,-4731.0,1823.0,231.32857142857142,1,-0.3214768947185509,False
26788,0 days 00:59:19.688000,-4556.590847343393,-4755.000697254459,1822.533347072517,233.0,1,-0.263184675161094,False
26789,0 days 00:59:19.816000,-4608.0,-4825.0,1821.0,236.2,1,-0.19039395889767213,False
26790,0 days 00:59:19.888000,-4642.980688879234,-4872.719929999134,1819.8147081309032,238.0,1,-0.05803197243101491,False
26791,0 days 00:59:20.048000,-4728.409666450985,-4989.458683735206,1816.737246357733,240.0,1,0.07433536894022617,False
26792,0 days 00:59:20.096000,-4750.0,-5019.0,1816.0,240.48,1,0.19879888648365465,False
