,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,1083.0,2621.0,1830.0,114.97777777777777,1,0.0,False
26743,0 days 00:59:13.696000,973.0,2647.0,1832.0,117.64444444444445,1,0.0,False
26744,0 days 00:59:13.728000,961.6127943456175,2649.225969558264,1832.214356673568,118.0,1,0.0,False
26745,0 days 00:59:14.036000,888.0,2657.0,1834.0,130.5125,1,0.0,False
26746,0 days 00:59:14.048000,884.2898002336983,2657.2103656688823,1834.0980663461228,131.0,1,0.0,False
26747,0 days 00:59:14.256000,806.0,2660.0,1836.0,136.85,1,0.0,False
26748,0 days 00:59:14.368000,762.4243833772642,2658.238650662384,1836.6771577623576,140.0,1,0.0,False
26749,0 days 00:59:14.416000,744.0,2657.0,1837.0,141.72853216239906,1,0.0,False
26750,0 days 00:59:14.617000,664.0,2648.0,1839.0,148.96675828773553,1,0.0,False
26751,0 days 00:59:14.729000,607.0254219478154,2635.8748091029256,1840.400633281887,153.0,1,0.0,False
26752,0 days 00:59:14.929000,493.36967497321183,2604.541646076681,1843.1460062132337,156.0,1,0.0,False
26753,0 days 00:59:14.997000,463.0,2595.0,1844.0,158.69166666666666,1,0.0,False
26754,0 days 00:59:15.337000,360.0,2550.0,1848.0,172.15,1,0.0,False
26755,0 days 00:59:15.409000,330.72964333536436,2534.4371078633353,1849.1111956296288,175.0,1,0.0,False
26756,0 days 00:59:15.557000,264.0,2497.0,1852.0,179.75714285714287,1,0.0,False
26757,0 days 00:59:15.689000,207.28898909306187,2460.8717272394438,1855.7189457363784,184.0,1,0.0,False
26758,0 days 00:59:15.697000,203.0,2458.0,1856.0,184.16,1,0.0,False
26759,0 days 00:59:15.889000,67.93098046167232,2364.8229173353116,1864.2835906219332,188.0,1,0.0,False
26760,0 days 00:59:15.937000,38.0,2344.0,1866.0,189.06666666666666,1,0.0,False
26761,0 days 00:59:16.249000,-50.78114069069071,2282.751671247884,1869.6021227529156,196.0,1,0.0,False
26762,0 days 00:59:16.437000,-98.0,2256.0,1871.0,190.36,1,0.0,False
26763,0 days 00:59:16.449000,-102.34228164734807,2253.613024865158,1871.169950988019,190.0,1,0.0,False
26764,0 days 00:59:16.597000,-172.0,2218.0,1874.0,181.81909810843075,1,0.0,False
26765,0 days 00:59:16.648000,-205.6271093408101,2203.5632805525083,1875.2330385107025,179.0,1,0.0,False
26766,0 days 00:59:16.797000,-314.0,2162.0,1879.0,171.5500032,1,0.0,False
26767,0 days 00:59:16.848000,-342.4608316230253,2151.904393252337,1880.0200713645197,169.0,1,0.0,False
26768,0 days 00:59:17.008000,-397.64837084461345,2135.694602796391,1882.1802600407054,164.0,1,0.0,False
26769,0 days 00:59:17.248000,-453.9384985343799,2130.3168935253498,1884.8592936622217,149.0,1,0.0,False
26770,0 days 00:59:17.257000,-457.0,2130.0,1885.0,148.61428845714286,1,0.0,False
