,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-6655.0,-6699.0,1763.0,219.95555555555555,1,0.0,False
26743,0 days 00:59:13.696000,-6708.0,-6493.0,1766.0,225.2888888888889,1,0.0,False
26744,0 days 00:59:13.728000,-6712.5016442413025,-6471.917291284639,1766.2628866943608,226.0,1,0.0,False
26745,0 days 00:59:14.036000,-6727.0,-6340.0,1768.0,231.775,1,0.0,False
26746,0 days 00:59:14.048000,-6727.363046075134,-6333.439383067124,1768.1360769718874,232.0,1,0.0,False
26747,0 days 00:59:14.256000,-6733.0,-6196.0,1771.0,235.25,1,0.0,False
26748,0 days 00:59:14.368000,-6732.139710472737,-6122.032487135192,1771.7061744794375,237.0,1,0.0,False
26749,0 days 00:59:14.416000,-6731.0,-6091.0,1772.0,237.7977840749534,1,0.0,False
26750,0 days 00:59:14.617000,-6721.0,-5957.0,1774.0,241.1385038251087,1,0.0,False
26751,0 days 00:59:14.729000,-6709.276643147785,-5863.558604364819,1775.4932187402014,243.0,1,0.0,False
26752,0 days 00:59:14.929000,-6681.004645698556,-5680.558682761537,1778.3294121287822,246.0,1,0.0,False
26753,0 days 00:59:14.997000,-6673.0,-5633.0,1779.0,246.85,1,0.0,False
26754,0 days 00:59:15.337000,-6640.0,-5481.0,1781.0,251.1,1,0.0,False
26755,0 days 00:59:15.409000,-6628.375025574371,-5436.1293720756785,1781.9396736157323,252.0,1,0.0,False
26756,0 days 00:59:15.557000,-6600.0,-5332.0,1784.0,254.64285714285714,1,0.0,False
26757,0 days 00:59:15.689000,-6571.469653720889,-5243.559107311704,1784.9202180757238,257.0,1,0.0,False
26758,0 days 00:59:15.697000,-6569.0,-5237.0,1785.0,257.08,1,0.0,False
26759,0 days 00:59:15.889000,-6482.142048658291,-5033.828101812482,1788.2023933985615,259.0,1,0.0,False
26760,0 days 00:59:15.937000,-6461.0,-4988.0,1789.0,259.53333333333336,1,0.0,False
26761,0 days 00:59:16.249000,-6374.914228456674,-4834.332258531134,1792.0699947825822,263.0,1,0.0,False
26762,0 days 00:59:16.437000,-6324.0,-4762.0,1793.0,263.0,1,0.0,False
26763,0 days 00:59:16.449000,-6320.014290651663,-4756.082567472007,1793.0512561048617,263.0,1,0.0,False
26764,0 days 00:59:16.597000,-6258.0,-4664.0,1794.0,265.97487341511606,1,0.0,False
26765,0 days 00:59:16.648000,-6226.03667831453,-4618.388240086392,1794.8227863731208,267.0,1,0.0,False
26766,0 days 00:59:16.797000,-6119.0,-4469.0,1798.0,268.48999936,1,0.0,False
26767,0 days 00:59:16.848000,-6090.519237903,-4429.741079424727,1798.7730867208604,269.0,1,0.0,False
26768,0 days 00:59:17.008000,-6034.0224526670545,-4353.8218518895965,1799.8932792926132,271.0,1,0.0,False
26769,0 days 00:59:17.248000,-5976.034141906883,-4266.088505483792,1800.909548788399,273.0,1,0.0,False
26770,0 days 00:59:17.257000,-5973.0,-4261.0,1801.0,273.09642788571426,1,0.0,False
26771,0 days 00:59:17.417000,-5911.0,-4154.0,1803.0,274.8107136,1,0.0,False
26772,0 days 00:59:17.528000,-5866.359959568002,-4077.36438401327,1804.1007098032824,276.0,1,0.0,False
26773,0 days 00:59:17.637000,-5825.0,-4007.0,1805.0,276.77857097142856,1,0.0,False
26774,0 days 00:59:17.808000,-5761.04754067873,-3900.072607286401,1806.5959696819177,278.0,1,0.0,False
26775,0 days 00:59:17.836000,-5745.0,-3874.0,1807.0,278.175,1,0.0,False
26776,0 days 00:59:17.968000,-5644.828744456027,-3713.4467568448217,1809.500529176151,279.0,1,0.0,False
26777,0 days 00:59:17.996000,-5625.0,-3682.0,1810.0,279.28,1,0.0,False
26778,0 days 00:59:18.168000,-5541.17302819322,-3552.195799419238,1812.1871252026822,281.0,1,0.0,False
26779,0 days 00:59:18.408000,-5485.110890875229,-3474.392706617694,1813.673076730752,272.0,1,0.0,False
26780,0 days 00:59:18.456000,-5470.0,-3453.0,1814.0,265.48571428571427,1,0.0,False
26781,0 days 00:59:18.688000,-5374.606195847837,-3315.635959075323,1815.802783405243,234.0,1,0.0,False
26782,0 days 00:59:18.848000,-5306.152228204384,-3220.2286981051434,1816.9500764605023,223.0,1,-1.6503617173058927,True
26783,0 days 00:59:18.856000,-5303.0,-3216.0,1817.0,222.28,1,-1.7034357076407032,True
26784,0 days 00:59:19.048000,-5235.074242460128,-3129.9873867155325,1817.9855617117908,205.0,1,-1.7737632366190115,True
26785,0 days 00:59:19.316000,-5161.0,-3049.0,1819.0,184.15555555555557,1,-1.9319452369599364,True
26786,0 days 00:59:19.408000,-5139.726398569232,-3028.00132858421,1819.3630229828475,177.0,1,-1.9522138785182763,True
26787,0 days 00:59:19.636000,-5085.0,-2981.0,1820.0,165.6,1,-2.0282537136322656,True
26788,0 days 00:59:19.688000,-5068.486379788555,-2968.0951369601476,1819.993836150041,163.0,1,-2.057680798790177,True
26789,0 days 00:59:19.816000,-5020.0,-2934.0,1820.0,158.52,1,-2.093463682125093,True
26790,0 days 00:59:19.888000,-4987.054360063458,-2915.221062415266,1820.3121940083772,156.0,1,-2.1763935665311713,True
26791,0 days 00:59:20.048000,-4906.527366823401,-2877.4364807258476,1821.6253639613317,152.0,1,-2.208644585071055,True
26792,0 days 00:59:20.096000,-4886.0,-2869.0,1822.0,150.56,1,-2.2539994160813297,True
26793,0 days 00:59:20.248000,-4835.792977026079,-2852.3392076388554,1823.003289644865,146.0,1,-2.2718017440747635,True
26794,0 days 00:59:20.436000,-4786.0,-2844.0,1824.0,141.3,1,-2.321078464101282,True
26795,0 days 00:59:20.528000,-4757.511629648688,-2840.578182661361,1824.4572775592453,139.0,1,-2.3390560117573216,True
26796,0 days 00:59:20.776000,-4658.0,-2841.0,1826.0,133.575,1,-2.391164552010471,True
26797,0 days 00:59:20.848000,-4618.78827262344,-2847.2981056506856,1826.7211299548308,132.0,1,-2.4428645697308693,True
26798,0 days 00:59:20.976000,-4551.0,-2862.0,1828.0,130.4049841056666,1,-2.459397685193069,True
26799,0 days 00:59:21.169000,-4502.712520547288,-2878.598203071478,1828.7438877703275,128.0,1,-2.4913733485563294,True
26800,0 days 00:59:21.277000,-4485.0,-2886.0,1829.0,127.4,1,-2.4949391584600984,True
26801,0 days 00:59:21.529000,-4418.739652298819,-2915.340549100324,1830.3649233087187,126.0,1,-2.5080866164285744,True
26802,0 days 00:59:21.577000,-4391.0,-2935.0,1831.0,126.48,1,-2.511690949874578,True
26803,0 days 00:59:21.697000,-4305.0,-3002.0,1833.0,127.68,1,-2.530302775174483,True
26804,0 days 00:59:21.729000,-4288.528585163933,-3015.3495754573787,1833.3862674037948,128.0,1,-2.538591140960058,True
26805,0 days 00:59:22.009000,-4260.858354968584,-3048.709851618586,1833.9888918703775,133.0,1,-2.534106583933017,True
26806,0 days 00:59:22.017000,-4260.0,-3050.0,1834.0,133.14285714285714,1,-2.520102676542205,True
26807,0 days 00:59:22.289000,-4197.793199021201,-3129.6312201646356,1834.8593928853884,138.0,1,-2.5158165277824653,True
26808,0 days 00:59:22.337000,-4186.0,-3146.0,1835.0,138.6,1,-2.512018233949743,True
26809,0 days 00:59:22.449000,-4161.2368495467545,-3183.7909991652145,1835.246583871077,140.0,1,-2.4895790982782073,True
26810,0 days 00:59:22.617000,-4130.0,-3240.0,1836.0,143.36,1,-2.479153930619386,True
26811,0 days 00:59:22.649000,-4124.612143230898,-3250.7475505592392,1836.304942988614,144.0,1,-2.4451777708365356,True
26812,0 days 00:59:22.717000,-4113.0,-3276.0,1837.0,145.94285714285715,1,-2.410489651198155,True
26813,0 days 00:59:22.929000,-4067.3935387594875,-3400.9434471306736,1837.8423015510148,152.0,1,-2.3433792958672948,True
26814,0 days 00:59:22.997000,-4056.0,-3436.0,1838.0,153.7,1,-2.2755532944385246,True
26815,0 days 00:59:23.169000,-4041.9952374573727,-3489.030832201763,1838.5595390792782,158.0,1,-2.2431409969879526,True
26816,0 days 00:59:23.337000,-4037.0,-3533.0,1839.0,163.14763139429414,1,-2.123259507088025,True
26817,0 days 00:59:23.528000,-4028.6134852059076,-3619.8873991952973,1839.0212888299063,169.0,1,-2.052029935095995,True
26818,0 days 00:59:23.597000,-4027.0,-3654.0,1839.0,171.5874976,1,-1.948925367506831,True
26819,0 days 00:59:23.688000,-4026.992129361792,-3698.1011428316765,1838.9925943566475,175.0,1,-1.8629507972704566,True
26820,0 days 00:59:23.737000,-4028.0,-3722.0,1839.0,176.71499776,1,-1.8194591268745484,True
26821,0 days 00:59:23.888000,-4035.4148623438796,-3797.572619242245,1839.0581883025632,182.0,1,-1.6635901633017918,True
26822,0 days 00:59:23.957000,-4040.0,-3831.0,1839.0,184.156248,1,-1.5401155877869013,True
26823,0 days 00:59:24.197000,-4067.0,-3953.0,1838.0,191.656248,1,-1.4604409856266143,True
26824,0 days 00:59:24.208000,-4069.5375661488197,-3960.7060505935556,1837.9169889943757,192.0,1,-1.363824493730782,True
26825,0 days 00:59:24.408000,-4130.615026216489,-4121.204346401,1836.071048436198,197.0,1,-1.1719723688718915,True
26826,0 days 00:59:24.417000,-4133.0,-4127.0,1836.0,197.18749866666667,1,-1.136113026088528,True
26827,0 days 00:59:24.648000,-4172.122164486725,-4207.949455844116,1834.8164194253275,202.0,1,-1.0229975739891406,True
26828,0 days 00:59:24.776000,-4197.0,-4246.0,1834.0,206.0,1,-0.9580126265635623,True
26829,0 days 00:59:24.808000,-4205.228175245108,-4258.548487902948,1833.724925631082,207.0,1,-0.8753081233505644,True
26830,0 days 00:59:25.048000,-4285.225654451091,-4378.947537664465,1831.0854176355097,212.0,1,-0.7318876441624224,True
26831,0 days 00:59:25.056000,-4288.0,-4383.0,1831.0,212.24,1,-0.6665475150397187,True
26832,0 days 00:59:25.248000,-4354.191211341603,-4477.073521164781,1829.0805211469024,218.0,1,-0.5461771277857395,True
26833,0 days 00:59:25.256000,-4357.0,-4481.0,1829.0,218.13333333333333,1,-0.5100305180680983,True
26834,0 days 00:59:25.436000,-4422.0,-4571.0,1827.0,221.13333333333333,1,-0.36069624530120736,False
26835,0 days 00:59:25.488000,-4441.432487524377,-4597.616523381032,1826.2594547941499,222.0,1,-0.31186853198098713,False
26836,0 days 00:59:25.636000,-4496.0,-4672.0,1824.0,226.07,1,-0.13406154894939837,False
26837,0 days 00:59:25.888000,-4589.544449870795,-4799.925786113427,1821.1170809137325,233.0,1,0.018207297422654176,False
26838,0 days 00:59:25.896000,-4594.0,-4806.0,1821.0,233.0,1,0.09365795172807297,False
26839,0 days 00:59:26.048000,-4694.602209921928,-4942.992095011336,1818.4174991353702,233.0,1,0.2785724971021395,False
26840,0 days 00:59:26.076000,-4710.0,-4964.0,1818.0,233.7,1,0.3790674715103204,False
26841,0 days 00:59:26.288000,-4764.80563963006,-5039.675667967119,1816.0352872681146,239.0,1,0.5633724501172417,True
26842,0 days 00:59:26.396000,-4788.0,-5072.0,1815.0,239.9,1,0.6645687448344522,True
26843,0 days 00:59:26.528000,-4834.634483826727,-5136.418581371395,1813.1886446452004,241.0,1,0.8998659037009173,True
26844,0 days 00:59:26.696000,-4904.0,-5232.0,1811.0,230.92,1,1.0492827082017795,True
26845,0 days 00:59:26.728000,-4915.532137319559,-5247.90384028688,1810.7503884124467,229.0,1,1.1621548685288225,True
26846,0 days 00:59:26.816000,-4947.0,-5292.0,1810.0,218.44,1,1.2408427898537568,True
26847,0 days 00:59:26.928000,-4996.52240612974,-5365.241739690194,1807.5923015422945,205.0,1,1.5305103318402535,True
26848,0 days 00:59:27.096000,-5070.0,-5478.0,1803.0,187.6,1,1.658894169998907,True
26849,0 days 00:59:27.208000,-5098.302305694116,-5522.875638926211,1801.3430356494985,176.0,1,1.7571402955377646,True
26850,0 days 00:59:27.448000,-5117.926929631698,-5560.748353219705,1800.4452712393856,158.0,1,1.8289525252850103,True
26851,0 days 00:59:27.516000,-5124.0,-5574.0,1800.0,155.1700354564593,1,1.8442019376528513,True
26852,0 days 00:59:28.157000,-5213.0,-5800.0,1790.0,128.4934605845202,1,2.0390798753907045,True
26853,0 days 00:59:28.289000,-5223.215910360009,-5852.684022238526,1787.8362752654916,123.0,1,2.1112103838248113,True
26854,0 days 00:59:28.489000,-5227.75438171579,-5931.314565877055,1784.5131149621486,118.0,1,2.1656836024909154,True
26855,0 days 00:59:28.517000,-5227.0,-5942.0,1784.0,117.3,1,2.1938556076825577,True
26856,0 days 00:59:28.729000,-5210.031788252626,-6020.150199227588,1779.7068444875763,112.0,1,2.2372090255264894,True
26857,0 days 00:59:28.917000,-5191.0,-6074.0,1776.0,112.0,1,2.292044577944155,True
26858,0 days 00:59:28.969000,-5186.959514200822,-6084.634257794338,1775.0961538484826,112.0,1,2.30095091759502,True
26859,0 days 00:59:29.169000,-5175.259977785816,-6109.644748240441,1772.10214552619,104.0,1,2.3273308238610255,True
26860,0 days 00:59:29.337000,-5146.0,-6140.0,1770.0,101.48,1,2.3406451050416517,True
26861,0 days 00:59:29.369000,-5137.060415174078,-6148.367539765494,1769.6322930295935,101.0,1,2.373341858187777,True
26862,0 days 00:59:29.517000,-5090.0,-6190.0,1768.0,97.3,1,2.385701271272384,True
26863,0 days 00:59:29.529000,-5086.861757709598,-6192.558966052508,1767.8636806992554,97.0,1,2.4115478693977983,True
26864,0 days 00:59:29.729000,-5054.305259547801,-6212.587405294192,1765.4673695088807,95.0,1,2.426500490547046,True
26865,0 days 00:59:29.857000,-5034.0,-6220.0,1764.0,93.93333333333334,1,2.430983994046705,True
26866,0 days 00:59:29.969000,-5008.575633442915,-6230.066930961919,1762.8270519806397,93.0,1,2.437971415557988,True
26867,0 days 00:59:30.037000,-4990.0,-6236.0,1762.0,93.0,1,2.4493358492901094,True
26868,0 days 00:59:30.168000,-4948.040521640339,-6244.379760750127,1759.9179649400817,93.0,1,2.4383179932641985,True
26869,0 days 00:59:30.397000,-4874.0,-6251.0,1756.0,96.6431808,1,2.426821357377938,True
26870,0 days 00:59:30.608000,-4833.164959708258,-6250.661693644478,1753.937621521668,100.0,1,2.4091872245341635,True
26871,0 days 00:59:30.677000,-4818.0,-6249.0,1753.0,101.7249984,1,2.424589837417758,True
26872,0 days 00:59:30.877000,-4761.0,-6240.0,1749.0,106.7249984,1,2.393162944417545,True
26873,0 days 00:59:30.888000,-4757.798461144484,-6239.389916632631,1748.7726923892583,107.0,1,2.3961228731027977,True
26874,0 days 00:59:31.168000,-4676.03090670679,-6218.722565341022,1743.1195080478312,112.0,1,2.3570811992240093,True
26875,0 days 00:59:31.216000,-4659.0,-6213.0,1742.0,114.0,1,2.352965474563626,True
26876,0 days 00:59:31.456000,-4565.0,-6177.0,1736.0,124.0,1,2.2803804612069207,True
26877,0 days 00:59:31.528000,-4544.121814251926,-6168.282998989252,1734.6727647844418,127.0,1,2.214204086099519,True
26878,0 days 00:59:31.728000,-4497.964254089201,-6146.073713416851,1731.722994494498,135.0,1,2.1843021123874826,True
26879,0 days 00:59:31.796000,-4471.0,-6132.0,1730.0,138.06,1,2.0836088813082485,True
26880,0 days 00:59:31.928000,-4396.2434750563625,-6092.369895596254,1725.2247507310517,144.0,1,2.0213274513083066,True
26881,0 days 00:59:32.036000,-4332.0,-6058.0,1721.0,148.86,1,1.9051909181651308,True
26882,0 days 00:59:32.128000,-4286.39830148135,-6033.400956860208,1717.825039474006,153.0,1,1.8371610180382143,True
26883,0 days 00:59:32.436000,-4186.0,-5978.0,1710.0,168.4,1,1.693206890141091,True
26884,0 days 00:59:32.488000,-4174.63716880542,-5971.574155307777,1709.0958749338179,171.0,1,1.5734048541150725,True
26885,0 days 00:59:32.736000,-4100.0,-5932.0,1704.0,178.97142857142856,1,1.5126698706140866,True
26886,0 days 00:59:32.768000,-4078.7924664781062,-5921.429512769621,1702.7058708350798,180.0,1,1.4522773134113103,True
26887,0 days 00:59:33.008000,-3870.3113212355524,-5819.547084593574,1690.3153807809686,190.0,1,1.2587261072706384,True
26888,0 days 00:59:33.016000,-3865.0,-5817.0,1690.0,190.23333333333332,1,1.162328057135222,True
26889,0 days 00:59:33.248000,-3786.6276228601914,-5781.521676841565,1685.3103682691235,197.0,1,1.122662917982229,True
26890,0 days 00:59:33.408000,-3735.890758270109,-5761.574109602484,1683.1533551116631,200.0,1,1.0847198047681252,True
26891,0 days 00:59:33.416000,-3732.0,-5760.0,1683.0,200.24,1,1.0961861378940767,True
26892,0 days 00:59:33.608000,-3604.8238482588104,-5707.771018241726,1678.1707873317246,206.0,1,0.9417765423366092,True
26893,0 days 00:59:33.696000,-3550.0,-5685.0,1676.0,209.3,1,0.9631058161878209,True
26894,0 days 00:59:33.848000,-3484.457180171777,-5657.36652070431,1673.05818697102,215.0,1,0.927143647841773,True
26895,0 days 00:59:33.996000,-3419.0,-5626.0,1670.0,219.93333333333334,1,0.960462493656052,True
26896,0 days 00:59:34.088000,-3359.5104397753216,-5595.224757141852,1667.432410085952,223.0,1,0.957636616964335,True
26897,0 days 00:59:34.329000,-3181.4825040846827,-5498.539924571231,1660.1732069015018,227.0,1,0.9793535033129516,True
26898,0 days 00:59:34.337000,-3177.0,-5496.0,1660.0,227.17142857142858,1,1.0104127414934443,True
26899,0 days 00:59:34.609000,-3078.202195100069,-5432.937588453999,1656.820956049099,233.0,1,1.0442106313689021,True
26900,0 days 00:59:34.697000,-3038.0,-5402.0,1656.0,234.88571428571427,1,1.042240068581624,True
26901,0 days 00:59:34.889000,-2910.1319570622763,-5299.169627880787,1653.7243431453446,239.0,1,1.0811637200933006,True
