,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-2326.0,-3515.0,1690.0,141.6888888888889,1,0.0,False
26743,0 days 00:59:13.696000,-2446.0,-3430.0,1697.0,149.0222222222222,1,0.0,False
26744,0 days 00:59:13.728000,-2458.0918285842204,-3421.2590902510156,1697.7531816902108,150.0,1,0.0,False
26745,0 days 00:59:14.036000,-2528.0,-3364.0,1703.0,160.5875,1,0.0,False
26746,0 days 00:59:14.048000,-2531.391789712743,-3360.9699441517273,1703.2706302736467,161.0,1,0.0,False
26747,0 days 00:59:14.256000,-2601.0,-3296.0,1709.0,166.85,1,0.0,False
26748,0 days 00:59:14.368000,-2634.189510492981,-3259.4919012653745,1712.3246778967139,170.0,1,0.0,False
26749,0 days 00:59:14.416000,-2648.0,-3243.0,1714.0,171.72853216239906,1,0.0,False
26750,0 days 00:59:14.617000,-2708.0,-3162.0,1723.0,178.96675828773553,1,0.0,False
26751,0 days 00:59:14.729000,-2743.7627761210197,-3102.322042561479,1728.2416975280162,183.0,1,0.0,False
26752,0 days 00:59:14.929000,-2806.4872258290025,-2981.629995299788,1736.827696485595,187.0,1,0.0,False
26753,0 days 00:59:14.997000,-2823.0,-2948.0,1739.0,188.7,1,0.0,False
26754,0 days 00:59:15.337000,-2879.0,-2823.0,1746.0,197.2,1,0.0,False
26755,0 days 00:59:15.409000,-2894.822900671932,-2788.5767518336224,1748.1698642752665,199.0,1,0.0,False
26756,0 days 00:59:15.557000,-2931.0,-2711.0,1753.0,203.75714285714287,1,0.0,False
26757,0 days 00:59:15.689000,-2962.5431707827397,-2643.210197251905,1756.6709127382273,208.0,1,0.0,False
26758,0 days 00:59:15.697000,-2965.0,-2638.0,1757.0,208.2,1,0.0,False
26759,0 days 00:59:15.889000,-3044.673772615122,-2471.2660337266125,1769.1814450326194,213.0,1,0.0,False
26760,0 days 00:59:15.937000,-3063.0,-2433.0,1772.0,214.2,1,0.0,False
26761,0 days 00:59:16.249000,-3126.503747683052,-2299.3253069245134,1780.348517923802,222.0,1,0.0,False
26762,0 days 00:59:16.437000,-3159.0,-2231.0,1785.0,228.58,1,0.0,False
26763,0 days 00:59:16.449000,-3161.6650066990956,-2225.429244008871,1785.431422583629,229.0,1,0.0,False
26764,0 days 00:59:16.597000,-3203.0,-2139.0,1792.0,231.23115506133706,1,0.0,False
26765,0 days 00:59:16.648000,-3223.268028156623,-2096.363313613089,1794.7259924399486,232.0,1,0.0,False
26766,0 days 00:59:16.797000,-3290.0,-1956.0,1803.0,236.46999808,1,0.0,False
26767,0 days 00:59:16.848000,-3308.2089183848757,-1918.1374594177605,1805.3485300479024,238.0,1,0.0,False
26768,0 days 00:59:17.008000,-3346.7119902649256,-1840.1713573704237,1810.8468300697682,241.0,1,0.0,False
26769,0 days 00:59:17.248000,-3388.945205073247,-1747.9172736370613,1817.6891403609777,245.0,1,0.0,False
26770,0 days 00:59:17.257000,-3391.0,-1743.0,1818.0,245.0,1,0.0,False
26771,0 days 00:59:17.417000,-3431.0,-1642.0,1824.0,245.0,1,0.0,False
26772,0 days 00:59:17.528000,-3455.8412835121276,-1569.307561798944,1828.1267406368822,245.0,1,0.0,False
