,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-2388.0,-6170.0,1637.0,292.6,1,0.0,False
26743,0 days 00:59:13.696000,-2521.0,-6390.0,1634.0,280.6,1,0.0,False
26744,0 days 00:59:13.728000,-2534.6988676533965,-6411.760992083712,1633.6892676901737,279.0,1,0.0,False
26745,0 days 00:59:14.036000,-2619.0,-6532.0,1632.0,214.5125,1,0.0,False
26746,0 days 00:59:14.048000,-2622.6505251516296,-6536.9039348880615,1631.947790127632,212.0,1,0.0,False
26747,0 days 00:59:14.256000,-2695.0,-6632.0,1631.0,199.65,1,0.0,False
26748,0 days 00:59:14.368000,-2733.264177389939,-6677.791895914097,1630.3489000772934,193.0,1,0.0,False
26749,0 days 00:59:14.416000,-2749.0,-6696.0,1630.0,189.1440436377252,1,0.0,False
26750,0 days 00:59:14.617000,-2814.0,-6767.0,1628.0,172.99723151197455,1,0.0,False
26751,0 days 00:59:14.729000,-2858.0836705146826,-6807.984682641568,1626.6118640868826,164.0,1,0.0,False
26752,0 days 00:59:14.929000,-2944.455153679076,-6879.013658547269,1624.2815290086335,159.0,1,0.0,False
26753,0 days 00:59:14.997000,-2968.0,-6897.0,1624.0,156.16666666666666,1,0.0,False
26754,0 days 00:59:15.337000,-3051.0,-6946.0,1625.0,142.0,1,0.0,False
26755,0 days 00:59:15.409000,-3073.366038314253,-6955.652371258108,1624.4626544471992,139.0,1,0.0,False
26756,0 days 00:59:15.557000,-3124.0,-6975.0,1623.0,134.24285714285713,1,0.0,False
26757,0 days 00:59:15.689000,-3168.6253037617394,-6986.5054565032315,1622.9690191351738,130.0,1,0.0,False
26758,0 days 00:59:15.697000,-3172.0,-6987.0,1623.0,129.8,1,0.0,False
26759,0 days 00:59:15.889000,-3277.9823507235446,-6992.131437057818,1624.5707913925005,125.0,1,0.0,False
26760,0 days 00:59:15.937000,-3302.0,-6992.0,1625.0,124.73333333333333,1,0.0,False
26761,0 days 00:59:16.249000,-3382.7563544060895,-6980.8169124820215,1627.0098238783976,123.0,1,0.0,False
26762,0 days 00:59:16.437000,-3421.0,-6967.0,1628.0,122.06,1,0.0,False
26763,0 days 00:59:16.449000,-3424.1280883528825,-6965.965684078079,1628.0653815721323,122.0,1,0.0,False
26764,0 days 00:59:16.597000,-3473.0,-6949.0,1629.0,123.48743670755805,1,0.0,False
26765,0 days 00:59:16.648000,-3497.443369118242,-6938.892444696952,1629.473980597266,124.0,1,0.0,False
26766,0 days 00:59:16.797000,-3578.0,-6903.0,1631.0,126.23499904,1,0.0,False
26767,0 days 00:59:16.848000,-3599.324810760753,-6893.377024908503,1631.3426813800154,127.0,1,0.0,False
26768,0 days 00:59:17.008000,-3641.2620967753874,-6874.209982484597,1631.719023381945,129.0,1,0.0,False
26769,0 days 00:59:17.248000,-3689.296589279326,-6852.214542384267,1631.9613709510966,137.0,1,0.0,False
26770,0 days 00:59:17.257000,-3692.0,-6851.0,1632.0,137.25714102857143,1,0.0,False
26771,0 days 00:59:17.417000,-3749.0,-6826.0,1633.0,141.8285696,1,0.0,False
26772,0 days 00:59:17.528000,-3792.3125307295027,-6808.849029704345,1633.9011419506717,145.0,1,0.0,False
26773,0 days 00:59:17.637000,-3833.0,-6794.0,1635.0,147.33571291428572,1,0.0,False
26774,0 days 00:59:17.808000,-3895.579275388198,-6776.957764592934,1637.4321474518788,151.0,1,0.0,False
26775,0 days 00:59:17.836000,-3912.0,-6775.0,1638.0,151.875,1,0.0,False
