,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,1895.0,552.0,1712.0,272.4888888888889,1,0.0,False
26743,0 days 00:59:13.696000,1753.0,335.0,1709.0,273.8222222222222,1,0.0,False
26744,0 days 00:59:13.728000,1738.757367506095,313.1590730759091,1708.7303375199263,274.0,1,0.0,False
26745,0 days 00:59:14.036000,1651.0,177.0,1708.0,279.775,1,0.0,False
26746,0 days 00:59:14.048000,1646.4554523276454,169.90337237008458,1707.994826852667,280.0,1,0.0,False
26747,0 days 00:59:14.256000,1558.0,32.0,1708.0,281.95,1,0.0,False
26748,0 days 00:59:14.368000,1530.1107990276814,-10.765653464859552,1708.0736188542155,283.0,1,0.0,False
26749,0 days 00:59:14.416000,1517.0,-31.0,1708.0,283.3988920374767,1,0.0,False
26750,0 days 00:59:14.617000,1432.0,-164.0,1707.0,285.06925191255436,1,0.0,False
26751,0 days 00:59:14.729000,1371.4686836552328,-258.7117264130214,1706.9634366445325,286.0,1,0.0,False
26752,0 days 00:59:14.929000,1256.6119560197737,-438.17022004425206,1707.8120937923852,287.0,1,0.0,False
26753,0 days 00:59:14.997000,1226.0,-486.0,1708.0,287.56666666666666,1,0.0,False
26754,0 days 00:59:15.337000,1122.0,-649.0,1708.0,290.4,1,0.0,False
26755,0 days 00:59:15.409000,1093.0027098466844,-694.7691595202035,1707.989326974568,291.0,1,0.0,False
26756,0 days 00:59:15.557000,1027.0,-799.0,1708.0,291.5285714285714,1,0.0,False
26757,0 days 00:59:15.689000,970.2860773237612,-888.2594565402131,1707.9993594710888,292.0,1,0.0,False
26758,0 days 00:59:15.697000,966.0,-895.0,1708.0,292.04,1,0.0,False
26759,0 days 00:59:15.889000,830.8126133231193,-1107.5595575711097,1708.025639423183,293.0,1,0.0,False
26760,0 days 00:59:15.937000,800.0,-1156.0,1708.0,293.26666666666665,1,0.0,False
26761,0 days 00:59:16.249000,693.9099499350181,-1322.7550383793016,1707.358007646139,295.0,1,0.0,False
26762,0 days 00:59:16.437000,642.0,-1405.0,1707.0,295.94,1,0.0,False
26763,0 days 00:59:16.449000,637.7840649466586,-1411.697560683686,1706.985606945515,296.0,1,0.0,False
26764,0 days 00:59:16.597000,572.0,-1516.0,1707.0,296.743718353779,1,0.0,False
26765,0 days 00:59:16.648000,538.9875072893949,-1567.9752049343897,1707.1857064560468,297.0,1,0.0,False
26766,0 days 00:59:16.797000,430.0,-1739.0,1708.0,297.74499968,1,0.0,False
26767,0 days 00:59:16.848000,401.1487509644995,-1784.2586828809003,1708.170285700015,298.0,1,0.0,False
26768,0 days 00:59:17.008000,344.43503312677063,-1873.2286321110948,1708.2536163039251,298.0,1,0.0,False
26769,0 days 00:59:17.248000,282.4142692843286,-1971.5582675263652,1707.9983687764777,300.0,1,0.0,False
26770,0 days 00:59:17.257000,279.0,-1977.0,1708.0,300.0,1,0.0,False
26771,0 days 00:59:17.417000,208.0,-2090.0,1708.0,300.0,1,0.0,False
26772,0 days 00:59:17.528000,156.18863261432236,-2171.1467263768723,1707.4839374069331,300.0,1,0.0,False
26773,0 days 00:59:17.637000,109.0,-2245.0,1707.0,300.0,1,0.0,False
