,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-735.0,3227.0,1923.0,159.17777777777778,1,0.0,False
26743,0 days 00:59:13.696000,-615.0,3329.0,1922.0,167.84444444444443,1,0.0,False
26744,0 days 00:59:13.728000,-602.5545333224782,3339.260081879694,1921.885225289057,169.0,1,0.0,False
26745,0 days 00:59:14.036000,-522.0,3402.0,1921.0,179.5875,1,0.0,False
26746,0 days 00:59:14.048000,-517.9115277108267,3405.1192099149807,1920.9150291407996,180.0,1,0.0,False
26747,0 days 00:59:14.256000,-432.0,3471.0,1919.0,187.8,1,0.0,False
26748,0 days 00:59:14.368000,-385.53966120332547,3507.2749526681973,1918.3167014685962,192.0,1,0.0,False
26749,0 days 00:59:14.416000,-366.0,3523.0,1918.0,193.8614961748913,1,0.0,False
26750,0 days 00:59:14.617000,-281.0,3595.0,1916.0,201.65650892525366,1,0.0,False
26751,0 days 00:59:14.729000,-220.633122208865,3646.6568004925152,1914.408973728057,206.0,1,0.0,False
26752,0 days 00:59:14.929000,-100.30951262448215,3749.455663076554,1911.0415222213876,212.0,1,0.0,False
26753,0 days 00:59:14.997000,-68.0,3777.0,1910.0,214.125,1,0.0,False
26754,0 days 00:59:15.337000,45.0,3870.0,1905.0,224.75,1,0.0,False
26755,0 days 00:59:15.409000,78.5346168725706,3895.5417302197966,1903.431359609885,227.0,1,0.0,False
26756,0 days 00:59:15.557000,156.0,3953.0,1900.0,228.5857142857143,1,0.0,False
26757,0 days 00:59:15.689000,224.53172019182315,3998.936670304362,1897.245424032801,230.0,1,0.0,False
26758,0 days 00:59:15.697000,230.0,4002.0,1897.0,230.2,1,0.0,False
26759,0 days 00:59:15.889000,410.70972009211823,4085.9847338617733,1888.0405362203996,235.0,1,0.0,False
26760,0 days 00:59:15.937000,452.0,4103.0,1886.0,235.93333333333334,1,0.0,False
26761,0 days 00:59:16.249000,586.7271441684552,4138.485055570017,1880.3924725368329,242.0,1,0.0,False
26762,0 days 00:59:16.437000,660.0,4138.0,1877.0,242.94,1,0.0,False
26763,0 days 00:59:16.449000,666.3565908320855,4138.1527626598145,1876.6668940096017,243.0,1,0.0,False
26764,0 days 00:59:16.597000,768.0,4137.0,1871.0,245.9748734151161,1,0.0,False
26765,0 days 00:59:16.648000,819.0495292116957,4130.896706666265,1868.0082330816267,247.0,1,0.0,False
26766,0 days 00:59:16.797000,987.0,4101.0,1858.0,247.74499968,1,0.0,False
26767,0 days 00:59:16.848000,1031.1980808091007,4091.540735926561,1855.380225963815,248.0,1,0.0,False
26768,0 days 00:59:17.008000,1116.867165619665,4066.6656582956007,1850.3948421250739,251.0,1,0.0,False
26769,0 days 00:59:17.248000,1207.0141612200684,4021.3668420248696,1845.2880564837114,252.0,1,0.0,False
26770,0 days 00:59:17.257000,1212.0,4019.0,1845.0,252.0964278857143,1,0.0,False
26771,0 days 00:59:17.417000,1315.0,3970.0,1839.0,253.8107136,1,0.0,False
26772,0 days 00:59:17.528000,1386.8531348623785,3931.8124062077745,1834.753611463754,255.0,1,0.0,False
26773,0 days 00:59:17.637000,1452.0,3895.0,1831.0,256.1678564571429,1,0.0,False
26774,0 days 00:59:17.808000,1551.325780215305,3836.439958957765,1825.524710491232,258.0,1,0.0,False
26775,0 days 00:59:17.836000,1576.0,3821.0,1824.0,258.525,1,0.0,False
26776,0 days 00:59:17.968000,1729.5633752438778,3722.6024730687295,1813.981776710873,261.0,1,0.0,False
26777,0 days 00:59:17.996000,1760.0,3703.0,1812.0,261.28,1,0.0,False
26778,0 days 00:59:18.168000,1889.5052592676204,3619.744148179961,1803.9680182165305,263.0,1,0.0,False
26779,0 days 00:59:18.408000,1981.3971046780662,3561.2649344622496,1799.3623501548986,266.0,1,0.0,False
26780,0 days 00:59:18.456000,2007.0,3545.0,1798.0,266.34285714285716,1,0.0,False
26781,0 days 00:59:18.688000,2170.9826210126516,3440.7574173443063,1788.8990079774649,268.0,1,0.0,False
26782,0 days 00:59:18.848000,2289.533501977943,3361.7937718341886,1782.3003507870308,268.0,1,-1.7771966949662032,True
26783,0 days 00:59:18.856000,2295.0,3358.0,1782.0,268.12,1,-1.7685672510946622,True
26784,0 days 00:59:19.048000,2413.023208923418,3271.361202874215,1775.6367831824111,271.0,1,-1.7801409317143777,True
26785,0 days 00:59:19.316000,2539.0,3166.0,1769.0,266.53333333333336,1,-1.7954540717849004,True
26786,0 days 00:59:19.408000,2573.058852534088,3134.505073483557,1767.1619141158199,265.0,1,-1.7986719178170025,True
26787,0 days 00:59:19.636000,2651.0,3052.0,1763.0,260.92857142857144,1,-1.7906017051180738,True
26788,0 days 00:59:19.688000,2671.9791093192457,3027.447593343983,1761.9434016785312,260.0,1,-1.7824658187586926,True
26789,0 days 00:59:19.816000,2727.0,2954.0,1759.0,255.52,1,-1.7807407429944697,True
26790,0 days 00:59:19.888000,2757.3445995907364,2901.426199152309,1756.9874591366754,253.0,1,-1.7621779556198336,True
26791,0 days 00:59:20.048000,2818.442438648766,2768.2749974499616,1752.1322846020423,248.0,1,-1.7376919786539868,True
26792,0 days 00:59:20.096000,2832.0,2734.0,1751.0,246.56,1,-1.6982329867562975,True
26793,0 days 00:59:20.248000,2858.3524403707775,2649.451159689546,1748.6873136030783,242.0,1,-1.681590111063967,True
26794,0 days 00:59:20.436000,2872.0,2565.0,1747.0,236.62857142857143,1,-1.63500119979839,True
26795,0 days 00:59:20.528000,2878.727891987464,2517.1434827222565,1745.9211885760112,234.0,1,-1.6189336179910088,True
26796,0 days 00:59:20.776000,2883.0,2346.0,1742.0,234.775,1,-1.5702263350293346,True
