,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,3.0,2319.0,1867.0,191.8,1,0.0,False
26743,0 days 00:59:13.696000,-138.0,2234.0,1873.0,185.8,1,0.0,False
26744,0 days 00:59:13.728000,-152.2022684091437,2226.089033174851,1873.5992632487744,185.0,1,0.0,False
26745,0 days 00:59:14.036000,-241.0,2188.0,1877.0,180.1875,1,0.0,False
26746,0 days 00:59:14.048000,-245.53712530243158,2186.392179820896,1877.1357005819013,180.0,1,0.0,False
26747,0 days 00:59:14.256000,-339.0,2155.0,1880.0,163.1,1,0.0,False
26748,0 days 00:59:14.368000,-383.2949927826789,2143.164095029754,1882.072093083273,154.0,1,0.0,False
26749,0 days 00:59:14.416000,-402.0,2139.0,1883.0,152.27146783760094,1,0.0,False
26750,0 days 00:59:14.617000,-487.0,2126.0,1887.0,145.03324171226447,1,0.0,False
26751,0 days 00:59:14.729000,-541.4010578508398,2123.5588344208963,1889.6689376165434,141.0,1,0.0,False
26752,0 days 00:59:14.929000,-641.5162006261563,2126.8961602452464,1894.7210948796805,141.0,1,0.0,False
26753,0 days 00:59:14.997000,-668.0,2129.0,1896.0,139.01666666666668,1,0.0,False
26754,0 days 00:59:15.337000,-754.0,2149.0,1900.0,129.1,1,0.0,False
26755,0 days 00:59:15.409000,-775.6979130289548,2157.551041473459,1901.321821218592,127.0,1,0.0,False
26756,0 days 00:59:15.557000,-823.0,2179.0,1904.0,124.88571428571429,1,0.0,False
26757,0 days 00:59:15.689000,-859.488615861229,2202.005986384168,1904.935519489132,123.0,1,0.0,False
26758,0 days 00:59:15.697000,-862.0,2204.0,1905.0,122.84,1,0.0,False
26759,0 days 00:59:15.889000,-934.5162531843531,2273.476909883103,1907.3984720929254,119.0,1,0.0,False
26760,0 days 00:59:15.937000,-950.0,2290.0,1908.0,117.93333333333334,1,0.0,False
26761,0 days 00:59:16.249000,-992.5696252915914,2351.2148747208144,1910.537261415007,111.0,1,0.0,False
26762,0 days 00:59:16.437000,-1005.0,2384.0,1911.0,107.24,1,0.0,False
26763,0 days 00:59:16.449000,-1006.0963045363876,2386.6133577562214,1911.0038124149928,107.0,1,0.0,False
26764,0 days 00:59:16.597000,-1022.0,2427.0,1911.0,104.76884493866294,1,0.0,False
26765,0 days 00:59:16.648000,-1027.9513178228203,2447.1530827180213,1911.161250245856,104.0,1,0.0,False
26766,0 days 00:59:16.797000,-1044.0,2514.0,1912.0,104.0,1,0.0,False
26767,0 days 00:59:16.848000,-1047.678085085882,2532.135029949672,1912.2592408200176,104.0,1,0.0,False
26768,0 days 00:59:17.008000,-1052.589772448574,2569.909331420852,1912.9101761073296,104.0,1,0.0,False
26769,0 days 00:59:17.248000,-1050.1215751986033,2614.655083836351,1913.9480017774201,106.0,1,0.0,False
26770,0 days 00:59:17.257000,-1050.0,2617.0,1914.0,106.16071314285715,1,0.0,False
26771,0 days 00:59:17.417000,-1047.0,2665.0,1915.0,109.017856,1,0.0,False
26772,0 days 00:59:17.528000,-1042.4849658353328,2699.8891589678756,1915.5347654827272,111.0,1,0.0,False
26773,0 days 00:59:17.637000,-1037.0,2732.0,1916.0,111.77857097142856,1,0.0,False
26774,0 days 00:59:17.808000,-1025.8904589360297,2780.566504823829,1916.842423677225,113.0,1,0.0,False
26775,0 days 00:59:17.836000,-1022.0,2793.0,1917.0,113.7,1,0.0,False
