,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,723.0,4139.0,1873.0,241.48888888888888,1,0.0,False
26743,0 days 00:59:13.696000,953.0,4109.0,1860.0,242.82222222222222,1,0.0,False
26744,0 days 00:59:13.728000,976.0380213816117,4104.75151651983,1858.7017540831791,243.0,1,0.0,False
26745,0 days 00:59:14.036000,1111.0,4061.0,1851.0,248.775,1,0.0,False
26746,0 days 00:59:14.048000,1117.5495512737307,4058.3232038604683,1850.5961601517029,249.0,1,0.0,False
26747,0 days 00:59:14.256000,1254.0,4000.0,1842.0,250.95,1,0.0,False
26748,0 days 00:59:14.368000,1324.7669326897635,3965.2563818183166,1837.6364707981656,252.0,1,0.0,False
26749,0 days 00:59:14.416000,1354.0,3950.0,1836.0,252.53185604996895,1,0.0,False
26750,0 days 00:59:14.617000,1478.0,3880.0,1830.0,254.75900255007247,1,0.0,False
26751,0 days 00:59:14.729000,1562.7289696251323,3828.1639207426165,1824.9445042934597,256.0,1,0.0,False
26752,0 days 00:59:14.929000,1727.9538884109481,3723.112044083604,1813.819639718749,259.0,1,0.0,False
26753,0 days 00:59:14.997000,1772.0,3695.0,1811.0,260.275,1,0.0,False
26754,0 days 00:59:15.337000,1921.0,3600.0,1803.0,266.65,1,0.0,False
26755,0 days 00:59:15.409000,1962.9776534744678,3573.199728200006,1800.6084175343867,268.0,1,0.0,False
26756,0 days 00:59:15.557000,2059.0,3512.0,1795.0,270.1142857142857,1,0.0,False
26757,0 days 00:59:15.689000,2141.7861294515556,3459.07794710659,1790.343444486403,272.0,1,0.0,False
26758,0 days 00:59:15.697000,2148.0,3455.0,1790.0,272.04,1,0.0,False
26759,0 days 00:59:15.889000,2342.2470700003687,3323.6371662058727,1779.3845461691376,273.0,1,0.0,False
26760,0 days 00:59:15.937000,2386.0,3293.0,1777.0,272.46666666666664,1,0.0,False
26761,0 days 00:59:16.249000,2529.1402632277636,3178.224887787504,1769.1824333249033,269.0,1,0.0,False
26762,0 days 00:59:16.437000,2591.0,3115.0,1766.0,264.3,1,0.0,False
26763,0 days 00:59:16.449000,2596.0239590420206,3109.945316444939,1765.747175601535,264.0,1,0.0,False
26764,0 days 00:59:16.597000,2669.0,3030.0,1762.0,258.0502531697678,1,0.0,False
26765,0 days 00:59:16.648000,2699.2332931234387,2988.049548825558,1760.3131575299049,256.0,1,0.0,False
26766,0 days 00:59:16.797000,2788.0,2846.0,1755.0,250.78500224,1,0.0,False
26767,0 days 00:59:16.848000,2809.7251778152286,2807.5722909320943,1753.5725281572213,249.0,1,0.0,False
26768,0 days 00:59:17.008000,2845.2028886079247,2728.455359637131,1750.627572228542,247.0,1,0.0,False
26769,0 days 00:59:17.248000,2860.1186143708,2632.2096639531783,1748.1052309249033,240.0,1,0.0,False
26770,0 days 00:59:17.257000,2861.0,2627.0,1748.0,240.0,1,0.0,False
26771,0 days 00:59:17.417000,2878.0,2520.0,1746.0,240.0,1,0.0,False
26772,0 days 00:59:17.528000,2883.35143524477,2444.954317481258,1744.4903462367574,240.0,1,0.0,False
26773,0 days 00:59:17.637000,2884.0,2376.0,1743.0,240.0,1,0.0,False
26774,0 days 00:59:17.808000,2875.417414054442,2268.495974538834,1740.5692169639115,240.0,1,0.0,False
26775,0 days 00:59:17.836000,2870.0,2242.0,1740.0,240.525,1,0.0,False
26776,0 days 00:59:17.968000,2827.4026288689215,2078.283235336926,1736.6254110525344,243.0,1,0.0,False
26777,0 days 00:59:17.996000,2818.0,2046.0,1736.0,243.28,1,0.0,False
26778,0 days 00:59:18.168000,2770.722537044445,1910.12357953724,1733.8217589741826,245.0,1,0.0,False
26779,0 days 00:59:18.408000,2713.638877007126,1820.4345330463202,1733.3217662237616,248.0,1,0.0,False
26780,0 days 00:59:18.456000,2698.0,1796.0,1733.0,248.5142857142857,1,0.0,False
26781,0 days 00:59:18.688000,2601.021751844537,1640.6426606938453,1730.2180217750529,251.0,1,0.0,False
26782,0 days 00:59:18.848000,2529.4065941692484,1526.3673141838415,1728.0936813481553,254.0,1,-1.176236673771283,True
26783,0 days 00:59:18.856000,2526.0,1521.0,1728.0,254.16,1,-1.1170537512976282,True
26784,0 days 00:59:19.048000,2449.217846067078,1402.0831207780393,1726.1098097353706,258.0,1,-1.0698710462072794,True
26785,0 days 00:59:19.316000,2360.0,1267.0,1724.0,260.97777777777776,1,-0.9903678961197132,True
26786,0 days 00:59:19.408000,2334.8871225978182,1228.6268880470109,1723.201504762961,262.0,1,-0.9761375354458496,True
26787,0 days 00:59:19.636000,2272.0,1132.0,1721.0,265.25714285714287,1,-0.9105731463586018,True
26788,0 days 00:59:19.688000,2253.316370380281,1103.3825849125826,1720.4382972067292,266.0,1,-0.8830913155816335,True
26789,0 days 00:59:19.816000,2199.0,1020.0,1719.0,268.56,1,-0.8499159487507488,True
26790,0 days 00:59:19.888000,2162.5910581093967,963.6619332909277,1718.200061968829,270.0,1,-0.7996471936844548,True
26791,0 days 00:59:20.048000,2074.4268271001465,826.6698418117862,1716.4813427228262,272.0,1,-0.7378356203196703,True
26792,0 days 00:59:20.096000,2052.0,792.0,1716.0,272.48,1,-0.6795239481067619,True
26793,0 days 00:59:20.248000,1997.2219070495357,708.2000453290968,1714.592418789821,274.0,1,-0.6444713713884999,True
26794,0 days 00:59:20.436000,1943.0,626.0,1713.0,275.34285714285716,1,-0.5769072526401156,True
26795,0 days 00:59:20.528000,1911.963310869405,578.3889757938248,1712.2338617885287,276.0,1,-0.5525084125874349,True
26796,0 days 00:59:20.776000,1800.0,406.0,1710.0,279.875,1,-0.48637858004696055,False
26797,0 days 00:59:20.848000,1753.6563227558831,334.99424416786087,1709.2082463781633,281.0,1,-0.4467411218287421,False
26798,0 days 00:59:20.976000,1672.0,210.0,1708.0,282.19626192075003,1,-0.4244296745136295,False
26799,0 days 00:59:21.169000,1610.5744984740534,115.50664389055868,1707.94151710894,284.0,1,-0.34658459063065844,False
26800,0 days 00:59:21.277000,1586.0,77.0,1708.0,284.9,1,-0.327178714410916,False
26801,0 days 00:59:21.529000,1494.6752908006902,-66.9901701387165,1707.0908422891787,287.0,1,-0.263248165209238,False
26802,0 days 00:59:21.577000,1458.0,-124.0,1707.0,287.48,1,-0.23558478998884488,False
26803,0 days 00:59:21.697000,1345.0,-299.0,1707.0,288.68,1,-0.22069235339147358,False
26804,0 days 00:59:21.729000,1322.8151571003011,-333.41598046275294,1707.0006638111854,289.0,1,-0.1923141612092997,False
26805,0 days 00:59:22.009000,1268.9234782920882,-418.95054722241827,1706.9863207855078,291.0,1,-0.17596391453486598,False
26806,0 days 00:59:22.017000,1267.0,-422.0,1707.0,291.0571428571429,1,-0.1382245343073617,False
26807,0 days 00:59:22.289000,1149.8619881982981,-605.9864005961327,1707.8980939946257,293.0,1,-0.12226131616093668,False
26808,0 days 00:59:22.337000,1127.0,-642.0,1708.0,293.6,1,-0.104406598460503,False
26809,0 days 00:59:22.449000,1076.3270759668324,-722.1468586216909,1708.080522638351,295.0,1,-0.08772440313453488,False
26810,0 days 00:59:22.617000,1005.0,-835.0,1708.0,295.84,1,-0.08511749113422094,False
26811,0 days 00:59:22.649000,991.624709880466,-856.011107412495,1707.9959472127507,296.0,1,-0.06788061323754574,False
26812,0 days 00:59:22.717000,961.0,-904.0,1708.0,296.24285714285713,1,-0.05809162290107674,False
26813,0 days 00:59:22.929000,821.0993956126571,-1123.1922399307923,1708.0622390147612,297.0,1,-0.04715810638208858,False
26814,0 days 00:59:22.997000,783.0,-1183.0,1708.0,297.56666666666666,1,-0.034477527122238075,False
26815,0 days 00:59:23.169000,727.5334194163171,-1270.582209848957,1707.5439785368685,299.0,1,-0.03192477057850111,False
26816,0 days 00:59:23.337000,685.0,-1338.0,1707.0,299.93593298078076,1,-0.017570074301321955,False
26817,0 days 00:59:23.528000,600.4674666831069,-1470.983251725163,1706.728053576888,301.0,1,-0.013586668542984742,False
26818,0 days 00:59:23.597000,568.0,-1522.0,1707.0,301.4312496,1,-0.005329040631936547,False
26819,0 days 00:59:23.688000,526.9724795585554,-1586.4592610151394,1707.749557331849,302.0,1,-0.004688170818857483,False
26820,0 days 00:59:23.737000,505.0,-1621.0,1708.0,302.24499968,1,-0.002941475320036932,False
26821,0 days 00:59:23.888000,436.09535729935425,-1729.4795102698433,1707.2754647153315,303.0,1,-0.002141099999406838,False
26822,0 days 00:59:23.957000,406.0,-1777.0,1707.0,303.4312496,1,0.0010219107070682538,False
26823,0 days 00:59:24.197000,298.0,-1948.0,1708.0,304.9312496,1,0.0005274019676943096,False
26824,0 days 00:59:24.208000,291.16350390138274,-1958.7835747575036,1708.0327473874243,305.0,1,0.002039533883824127,False
26825,0 days 00:59:24.408000,148.1878090753145,-2183.8322416098704,1708.0145738090603,305.0,1,0.0018558253508848238,False
26826,0 days 00:59:24.417000,143.0,-2192.0,1708.0,305.03749973333333,1,0.002737182633632511,False
