,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-4242.0,-3071.0,1835.0,146.7111111111111,1,0.0,False
26743,0 days 00:59:13.696000,-4159.0,-3187.0,1836.0,151.37777777777777,1,0.0,False
26744,0 days 00:59:13.728000,-4151.1500629258535,-3199.06143569864,1836.0926945933081,152.0,1,0.0,False
26745,0 days 00:59:14.036000,-4112.0,-3278.0,1837.0,156.8125,1,0.0,False
26746,0 days 00:59:14.048000,-4110.295956351138,-3282.0667792233985,1837.0552824788488,157.0,1,0.0,False
26747,0 days 00:59:14.256000,-4076.0,-3369.0,1838.0,164.15,1,0.0,False
26748,0 days 00:59:14.368000,-4060.67090989247,-3418.8418805959273,1837.9569020091124,168.0,1,0.0,False
26749,0 days 00:59:14.416000,-4055.0,-3440.0,1838.0,169.06371209993787,1,0.0,False
26750,0 days 00:59:14.617000,-4037.0,-3532.0,1839.0,173.51800510014496,1,0.0,False
26751,0 days 00:59:14.729000,-4031.8784034846926,-3598.956514689279,1839.291896898411,176.0,1,0.0,False
26752,0 days 00:59:14.929000,-4030.8229377530374,-3734.4861601710563,1839.1272891939873,181.0,1,0.0,False
26753,0 days 00:59:14.997000,-4032.0,-3771.0,1839.0,182.55833333333334,1,0.0,False
26754,0 days 00:59:15.337000,-4052.0,-3896.0,1838.0,190.35,1,0.0,False
26755,0 days 00:59:15.409000,-4061.3720549753125,-3930.721175675954,1837.7149160378592,192.0,1,0.0,False
26756,0 days 00:59:15.557000,-4085.0,-4010.0,1837.0,198.34285714285716,1,0.0,False
26757,0 days 00:59:15.689000,-4110.677225444547,-4078.8664149373167,1836.0743292188715,204.0,1,0.0,False
26758,0 days 00:59:15.697000,-4113.0,-4084.0,1836.0,204.2,1,0.0,False
26759,0 days 00:59:15.889000,-4196.754767569817,-4243.165703502934,1833.603146420611,209.0,1,0.0,False
26760,0 days 00:59:15.937000,-4217.0,-4279.0,1833.0,209.93333333333334,1,0.0,False
26761,0 days 00:59:16.249000,-4294.929513970804,-4398.189674999409,1830.030846473001,216.0,1,0.0,False
26762,0 days 00:59:16.437000,-4342.0,-4460.0,1829.0,220.7,1,0.0,False
26763,0 days 00:59:16.449000,-4345.822339704005,-4465.23145687222,1828.9528754962523,221.0,1,0.0,False
26764,0 days 00:59:16.597000,-4404.0,-4546.0,1828.0,224.71859176889512,1,0.0,False
26765,0 days 00:59:16.648000,-4431.471318292951,-4584.026901726718,1827.0074436679372,226.0,1,0.0,False
26766,0 days 00:59:16.797000,-4520.0,-4706.0,1823.0,228.23499904,1,0.0,False
26767,0 days 00:59:16.848000,-4543.784572065094,-4738.572834675509,1821.9930436658071,229.0,1,0.0,False
26768,0 days 00:59:17.008000,-4592.562486099636,-4804.498501067628,1820.3808663235325,235.0,1,0.0,False
26769,0 days 00:59:17.248000,-4649.933185429492,-4881.7907995733885,1819.0945406199298,239.0,1,0.0,False
26770,0 days 00:59:17.257000,-4653.0,-4886.0,1819.0,239.0964278857143,1,0.0,False
26771,0 days 00:59:17.417000,-4716.0,-4973.0,1817.0,240.8107136,1,0.0,False
26772,0 days 00:59:17.528000,-4761.150439171511,-5035.551899215758,1815.981839308242,242.0,1,0.0,False
26773,0 days 00:59:17.637000,-4803.0,-5093.0,1815.0,239.2750016,1,0.0,False
26774,0 days 00:59:17.808000,-4866.390369908805,-5178.644380245976,1812.5725087254846,235.0,1,0.0,False
26775,0 days 00:59:17.836000,-4881.0,-5199.0,1812.0,231.5,1,0.0,False
26776,0 days 00:59:17.968000,-4968.203892264929,-5322.903752844164,1808.676680202536,215.0,1,0.0,False
26777,0 days 00:59:17.996000,-4985.0,-5347.0,1808.0,211.92,1,0.0,False
26778,0 days 00:59:18.168000,-5052.2482641001025,-5445.049723294983,1804.717542041053,193.0,1,0.0,False
26779,0 days 00:59:18.408000,-5083.207639700603,-5498.475807275813,1801.6558685144942,174.0,1,0.0,False
26780,0 days 00:59:18.456000,-5091.0,-5513.0,1801.0,169.54285714285714,1,0.0,False
26781,0 days 00:59:18.688000,-5139.67290643729,-5606.410054866768,1797.5379418216767,148.0,1,0.0,False
26782,0 days 00:59:18.848000,-5171.647055107747,-5673.89500274843,1795.1174192145115,143.0,1,1.668239013555236,True
26783,0 days 00:59:18.856000,-5173.0,-5677.0,1795.0,142.6,1,1.7876935549582207,True
26784,0 days 00:59:19.048000,-5198.4488905206,-5743.827072823007,1792.2849935902027,133.0,1,1.8533496234324445,True
26785,0 days 00:59:19.316000,-5217.0,-5816.0,1789.0,123.32222222222222,1,1.998500332333236,True
26786,0 days 00:59:19.408000,-5220.748077021043,-5836.355171808534,1788.0684191971814,120.0,1,2.014230359451904,True
26787,0 days 00:59:19.636000,-5226.0,-5886.0,1786.0,114.3,1,2.087801026517334,True
26788,0 days 00:59:19.688000,-5226.923656055558,-5900.069884206199,1785.5121476710838,113.0,1,2.1154439196028934,True
26789,0 days 00:59:19.816000,-5227.0,-5940.0,1784.0,110.44,1,2.142148967489146,True
26790,0 days 00:59:19.888000,-5223.702443685742,-5966.161793423154,1782.667469937435,109.0,1,2.194707396270524,True
26791,0 days 00:59:20.048000,-5209.479385441052,-6027.950538453215,1778.9297023091945,106.0,1,2.2298680178373083,True
26792,0 days 00:59:20.096000,-5205.0,-6043.0,1778.0,105.52,1,2.271008100907057,True
26793,0 days 00:59:20.248000,-5191.265752669454,-6077.051850070734,1775.90708239539,104.0,1,2.2865876710849045,True
26794,0 days 00:59:20.436000,-5172.0,-6106.0,1774.0,99.97142857142858,1,2.319362840306515,True
26795,0 days 00:59:20.528000,-5160.096149415198,-6122.313106136333,1772.8063459832554,98.0,1,2.32832305017813,True
26796,0 days 00:59:20.776000,-5111.0,-6173.0,1769.0,94.9,1,2.3477948934109962,True
26797,0 days 00:59:20.848000,-5088.004919968066,-6189.275431740038,1767.865349498965,94.0,1,2.367718919763969,True
26798,0 days 00:59:20.976000,-5046.0,-6215.0,1766.0,93.60124602641665,1,2.3658894859268518,True
26799,0 days 00:59:21.169000,-5012.416271624035,-6228.998604208268,1764.1078554228013,93.0,1,2.3754124799447838,True
26800,0 days 00:59:21.277000,-4998.0,-6233.0,1763.0,93.9,1,2.3730591877111453,True
26801,0 days 00:59:21.529000,-4943.0898426501635,-6247.251046486739,1759.0924938921976,96.0,1,2.356762751400332,True
26802,0 days 00:59:21.577000,-4920.0,-6249.0,1758.0,96.96,1,2.3431590051870357,True
26803,0 days 00:59:21.697000,-4848.0,-6251.0,1755.0,99.36,1,2.3309051905869973,True
26804,0 days 00:59:21.729000,-4833.76115784583,-6251.143881149279,1754.4022437071653,100.0,1,2.3234399015786567,True
26805,0 days 00:59:22.009000,-4797.303607460789,-6246.306465859309,1752.105852076113,101.0,1,2.3016923617398564,True
26806,0 days 00:59:22.017000,-4796.0,-6246.0,1752.0,101.31428571428572,1,2.2717030860999676,True
26807,0 days 00:59:22.289000,-4717.7616863337535,-6229.9503634627035,1746.1319917609424,112.0,1,2.2377711276176626,True
26808,0 days 00:59:22.337000,-4702.0,-6226.0,1745.0,112.9,1,2.2265160329941063,True
26809,0 days 00:59:22.449000,-4666.039491018808,-6215.489063594108,1742.4751446479488,115.0,1,2.176376719060899,True
26810,0 days 00:59:22.617000,-4614.0,-6197.0,1739.0,120.88,1,2.151133182882924,True
26811,0 days 00:59:22.649000,-4604.302009386348,-6193.23082856079,1738.3817120220212,122.0,1,2.0938874230377302,True
26812,0 days 00:59:22.717000,-4582.0,-6184.0,1737.0,124.67142857142858,1,2.0760437731616586,True
26813,0 days 00:59:22.929000,-4477.147879863537,-6134.37911319044,1730.8052366121574,133.0,1,1.9471512490452452,True
26814,0 days 00:59:22.997000,-4448.0,-6120.0,1729.0,135.55,1,1.853703971413868,True
26815,0 days 00:59:23.169000,-4403.730642683588,-6097.218154090688,1725.8131559351525,142.0,1,1.7902308638984148,True
26816,0 days 00:59:23.337000,-4367.0,-6077.0,1723.0,150.89136331741713,1,1.6341169916507063,True
26817,0 days 00:59:23.528000,-4294.717932923687,-6037.720153248826,1718.2371022104592,161.0,1,1.5479777478401897,True
26818,0 days 00:59:23.597000,-4266.0,-6022.0,1716.0,164.8812464,1,1.4018203154405908,True
26819,0 days 00:59:23.688000,-4228.4280515044675,-6001.262308803502,1712.6247415764462,170.0,1,1.3127864731770058,True
26820,0 days 00:59:23.737000,-4208.0,-5990.0,1711.0,170.97999872,1,1.2944766359047557,True
26821,0 days 00:59:23.888000,-4143.384668114829,-5954.72939845234,1707.7567532250907,174.0,1,1.1477504499783227,True
26822,0 days 00:59:23.957000,-4114.0,-5939.0,1706.0,177.4499968,1,1.085977461545382,True
26823,0 days 00:59:24.197000,-3995.0,-5879.0,1696.0,189.4499968,1,1.0289848146952771,True
26824,0 days 00:59:24.208000,-3986.6947072465127,-5875.0487588137275,1695.5071249281134,190.0,1,0.9856057769116001,True
26825,0 days 00:59:24.408000,-3807.4564117205036,-5791.93320536334,1687.2835832057322,198.0,1,0.903679617548153,True
26826,0 days 00:59:24.417000,-3801.0,-5789.0,1687.0,198.2249984,1,0.903219290458212,True
26827,0 days 00:59:24.648000,-3714.571113630274,-5751.98990266593,1682.775676705989,204.0,1,0.8773372608513796,True
26828,0 days 00:59:24.776000,-3674.0,-5736.0,1681.0,209.6,1,0.8950760833909275,True
26829,0 days 00:59:24.808000,-3660.1875905348443,-5730.416208987589,1680.4679983196634,211.0,1,0.9154352218859247,True
26830,0 days 00:59:25.048000,-3524.5886353562873,-5673.977343289763,1675.2212611867533,216.0,1,0.9397099445023672,True
26831,0 days 00:59:25.056000,-3520.0,-5672.0,1675.0,216.24,1,0.9129996176049741,True
26832,0 days 00:59:25.248000,-3413.4377761879573,-5624.113161372627,1669.2138717821465,222.0,1,0.9578439704560974,True
26833,0 days 00:59:25.256000,-3409.0,-5622.0,1669.0,222.23333333333332,1,0.9408953520539928,True
26834,0 days 00:59:25.436000,-3308.0,-5571.0,1665.0,227.48333333333332,1,0.9931985661718213,True
26835,0 days 00:59:25.488000,-3278.7095517290913,-5555.119267978788,1663.9123211374485,229.0,1,0.9994704588357374,True
26836,0 days 00:59:25.636000,-3198.0,-5509.0,1661.0,231.96,1,1.0361382794537388,True
26837,0 days 00:59:25.888000,-3063.1440410558503,-5419.63754220379,1657.1617951051273,237.0,1,1.0667645650374276,True
