,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-2458.0,-18.0,1870.0,236.46666666666667,1,0.0,False
26743,0 days 00:59:13.696000,-2253.0,77.0,1866.0,240.46666666666667,1,0.0,False
26744,0 days 00:59:13.728000,-2232.288894842494,86.6790339106714,1865.6660720548657,241.0,1,0.0,False
26745,0 days 00:59:14.036000,-2105.0,147.0,1865.0,247.7375,1,0.0,False
26746,0 days 00:59:14.048000,-2098.646548024599,149.9938492633187,1864.9385597311777,248.0,1,0.0,False
26747,0 days 00:59:14.256000,-1965.0,213.0,1863.0,253.85,1,0.0,False
26748,0 days 00:59:14.368000,-1893.1191057361843,247.5899685835659,1861.5089611886735,257.0,1,0.0,False
26749,0 days 00:59:14.416000,-1863.0,262.0,1861.0,257.66482006246116,1,0.0,False
26750,0 days 00:59:14.617000,-1733.0,323.0,1860.0,260.44875318759057,1,0.0,False
26751,0 days 00:59:14.729000,-1641.890179782607,366.0352381275417,1859.052381865311,262.0,1,0.0,False
26752,0 days 00:59:14.929000,-1461.498282940109,451.8775616588798,1856.635900909767,267.0,1,0.0,False
26753,0 days 00:59:14.997000,-1413.0,475.0,1856.0,268.1333333333333,1,0.0,False
26754,0 days 00:59:15.337000,-1249.0,554.0,1854.0,273.8,1,0.0,False
26755,0 days 00:59:15.409000,-1205.091389359627,575.5984766895807,1853.3698190157231,275.0,1,0.0,False
26756,0 days 00:59:15.557000,-1106.0,625.0,1852.0,277.64285714285717,1,0.0,False
26757,0 days 00:59:15.689000,-1019.6733532753726,669.515613267422,1851.0835241790555,280.0,1,0.0,False
26758,0 days 00:59:15.697000,-1013.0,673.0,1851.0,280.04,1,0.0,False
26759,0 days 00:59:15.889000,-798.2186488384696,785.9818563934706,1847.7895447644012,281.0,1,0.0,False
26760,0 days 00:59:15.937000,-749.0,812.0,1847.0,281.6666666666667,1,0.0,False
26761,0 days 00:59:16.249000,-579.9408477000276,902.6343770743761,1843.99303028483,286.0,1,0.0,False
26762,0 days 00:59:16.437000,-496.0,948.0,1843.0,288.82,1,0.0,False
26763,0 days 00:59:16.449000,-489.1390527850788,951.6810656714957,1842.9401531709118,289.0,1,0.0,False
26764,0 days 00:59:16.597000,-382.0,1009.0,1842.0,290.48743670755806,1,0.0,False
26765,0 days 00:59:16.648000,-328.4432059977629,1037.647501907293,1841.374229723263,291.0,1,0.0,False
26766,0 days 00:59:16.797000,-152.0,1132.0,1839.0,293.23499904,1,0.0,False
26767,0 days 00:59:16.848000,-105.31576251944666,1156.9187464621016,1838.3061874325188,294.0,1,0.0,False
26768,0 days 00:59:17.008000,-13.614316564135398,1205.6453285556063,1836.6625149945942,296.0,1,0.0,False
26769,0 days 00:59:17.248000,89.25744594510995,1259.9555174694344,1835.0549012104636,298.0,1,0.0,False
26770,0 days 00:59:17.257000,95.0,1263.0,1835.0,297.83928685714284,1,0.0,False
26771,0 days 00:59:17.417000,212.0,1325.0,1834.0,294.982144,1,0.0,False
26772,0 days 00:59:17.528000,285.91305443565307,1363.7430209625602,1833.0285934380984,293.0,1,0.0,False
26773,0 days 00:59:17.637000,352.0,1398.0,1832.0,287.5500032,1,0.0,False
26774,0 days 00:59:17.808000,464.3452662697033,1453.9132860958518,1830.4021075046594,279.0,1,0.0,False
26775,0 days 00:59:17.836000,493.0,1467.0,1830.0,275.85,1,0.0,False
26776,0 days 00:59:17.968000,671.1300686738202,1545.0089227871686,1827.491852332595,261.0,1,0.0,False
26777,0 days 00:59:17.996000,706.0,1560.0,1827.0,259.46,1,0.0,False
26778,0 days 00:59:18.168000,848.5519791735381,1619.6200585227075,1824.9828225633214,250.0,1,0.0,False
26779,0 days 00:59:18.408000,927.1016071331562,1648.6760978411771,1824.1325853481417,231.0,1,0.0,False
26780,0 days 00:59:18.456000,948.0,1657.0,1824.0,226.02857142857144,1,0.0,False
26781,0 days 00:59:18.688000,1080.6131162557567,1712.4408180290852,1823.4436695594047,202.0,1,0.0,False
26782,0 days 00:59:18.848000,1171.0462945479055,1754.043609092962,1823.0238074166907,202.0,1,1.7067185375949032,True
26783,0 days 00:59:18.856000,1175.0,1756.0,1823.0,200.76,1,1.8016586066869262,True
26784,0 days 00:59:19.048000,1253.6616890641853,1799.417706164439,1822.3482131549774,171.0,1,1.8855146504805536,True
26785,0 days 00:59:19.316000,1324.0,1850.0,1821.0,153.13333333333333,1,2.065983480512584,True
26786,0 days 00:59:19.408000,1341.9427727974512,1865.1344170358946,1820.3566452841967,147.0,1,2.087073390252403,True
26787,0 days 00:59:19.636000,1381.0,1906.0,1819.0,137.22857142857143,1,2.178211402974553,True
26788,0 days 00:59:19.688000,1391.450399073221,1918.6940445504363,1818.9476826424905,135.0,1,2.2156254760369682,True
26789,0 days 00:59:19.816000,1418.0,1957.0,1819.0,130.52,1,2.2537023188908423,True
26790,0 days 00:59:19.888000,1431.2012685379107,1984.2040786875277,1818.861179086999,128.0,1,2.3480005933995063,True
26791,0 days 00:59:20.048000,1454.4544375145185,2052.570459472057,1818.19183811583,124.0,1,2.387620996421909,True
26792,0 days 00:59:20.096000,1459.0,2070.0,1818.0,122.8,1,2.447577620993099,True
26793,0 days 00:59:20.248000,1465.463245689018,2112.333247341677,1817.490660926796,119.0,1,2.4676944505378526,True
26794,0 days 00:59:20.436000,1463.0,2154.0,1817.0,115.64285714285714,1,2.5137551531453357,True
26795,0 days 00:59:20.528000,1460.583058456863,2177.974488766514,1816.783652420929,114.0,1,2.53072559684657,True
26796,0 days 00:59:20.776000,1443.0,2259.0,1817.0,107.8,1,2.579247090307798,True
26797,0 days 00:59:20.848000,1431.5319531439807,2289.0282030506496,1817.615921180755,106.0,1,2.6156259987755135,True
