,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-964.0,2309.0,1909.0,109.77777777777777,1,0.0,False
26743,0 days 00:59:13.696000,-1012.0,2398.0,1911.0,106.44444444444444,1,0.0,False
26744,0 days 00:59:13.728000,-1016.2831300747076,2407.1537950982183,1911.1766068126176,106.0,1,0.0,False
26745,0 days 00:59:14.036000,-1034.0,2465.0,1912.0,104.075,1,0.0,False
26746,0 days 00:59:14.048000,-1034.6210456962763,2467.8569845949296,1912.0386639138567,104.0,1,0.0,False
26747,0 days 00:59:14.256000,-1046.0,2528.0,1913.0,106.6,1,0.0,False
26748,0 days 00:59:14.368000,-1049.1684444433097,2561.6938916429076,1913.7845203723182,108.0,1,0.0,False
26749,0 days 00:59:14.416000,-1050.0,2576.0,1914.0,108.53185604996894,1,0.0,False
26750,0 days 00:59:14.617000,-1050.0,2638.0,1914.0,110.75900255007248,1,0.0,False
26751,0 days 00:59:14.729000,-1045.0072013371905,2680.988482355106,1914.6388107310715,112.0,1,0.0,False
26752,0 days 00:59:14.929000,-1029.0745497402593,2765.4005526621654,1916.6810748160797,116.0,1,0.0,False
26753,0 days 00:59:14.997000,-1024.0,2788.0,1917.0,117.41666666666667,1,0.0,False
26754,0 days 00:59:15.337000,-998.0,2865.0,1917.0,124.5,1,0.0,False
26755,0 days 00:59:15.409000,-988.5001871512981,2886.558094240347,1917.9297287672832,126.0,1,0.0,False
26756,0 days 00:59:15.557000,-966.0,2935.0,1920.0,128.11428571428573,1,0.0,False
26757,0 days 00:59:15.689000,-944.0668567187416,2975.7293914190354,1919.9859347796375,130.0,1,0.0,False
26758,0 days 00:59:15.697000,-942.0,2979.0,1920.0,130.16,1,0.0,False
26759,0 days 00:59:15.889000,-864.5824628095287,3088.2919403366836,1921.613649656111,134.0,1,0.0,False
26760,0 days 00:59:15.937000,-846.0,3113.0,1922.0,135.46666666666667,1,0.0,False
26761,0 days 00:59:16.249000,-779.9098056324648,3187.05809987265,1922.2479682691833,145.0,1,0.0,False
26762,0 days 00:59:16.437000,-743.0,3219.0,1922.0,151.58,1,0.0,False
26763,0 days 00:59:16.449000,-739.9426549168821,3221.7964401679765,1922.001118145509,152.0,1,0.0,False
26764,0 days 00:59:16.597000,-691.0,3266.0,1922.0,157.20602847645316,1,0.0,False
26765,0 days 00:59:16.648000,-665.4003116573926,3287.4293927254166,1921.8278300136885,159.0,1,0.0,False
26766,0 days 00:59:16.797000,-579.0,3357.0,1921.0,164.21499776,1,0.0,False
26767,0 days 00:59:16.848000,-555.6910543327388,3375.531788499726,1920.7916940348234,166.0,1,0.0,False
26768,0 days 00:59:17.008000,-507.9749380975309,3412.690926809513,1920.471629800693,170.0,1,0.0,False
26769,0 days 00:59:17.248000,-450.1499600295488,3456.5674939940996,1920.035461612136,179.0,1,0.0,False
26770,0 days 00:59:17.257000,-447.0,3459.0,1920.0,179.38571154285714,1,0.0,False
26771,0 days 00:59:17.417000,-382.0,3510.0,1919.0,186.2428544,1,0.0,False
26772,0 days 00:59:17.528000,-335.68776811217185,3548.5025952808455,1917.501558425572,191.0,1,0.0,False
26773,0 days 00:59:17.637000,-293.0,3585.0,1916.0,193.33571291428572,1,0.0,False
26774,0 days 00:59:17.808000,-226.17059778943673,3642.31478467367,1914.4632226167507,197.0,1,0.0,False
26775,0 days 00:59:17.836000,-209.0,3657.0,1914.0,197.0,1,0.0,False
26776,0 days 00:59:17.968000,-100.62847414980486,3749.534664989409,1910.7014138951222,197.0,1,0.0,False
26777,0 days 00:59:17.996000,-79.0,3768.0,1910.0,198.68,1,0.0,False
