,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-614.0,2123.0,1893.0,145.06666666666666,1,0.0,False
26743,0 days 00:59:13.696000,-745.0,2146.0,1900.0,137.06666666666666,1,0.0,False
26744,0 days 00:59:13.728000,-757.7574478350953,2149.0732223502437,1900.704820614297,136.0,1,0.0,False
26745,0 days 00:59:14.036000,-825.0,2180.0,1904.0,130.225,1,0.0,False
26746,0 days 00:59:14.048000,-827.9776310688509,2181.901452258894,1904.0966860329422,130.0,1,0.0,False
26747,0 days 00:59:14.256000,-888.0,2224.0,1906.0,124.8,1,0.0,False
26748,0 days 00:59:14.368000,-916.061527472046,2250.3331755637773,1907.4814982765477,122.0,1,0.0,False
26749,0 days 00:59:14.416000,-927.0,2262.0,1908.0,121.20221592504659,1,0.0,False
26750,0 days 00:59:14.617000,-968.0,2315.0,1909.0,117.86149617489129,1,0.0,False
26751,0 days 00:59:14.729000,-989.2147052040084,2352.990096399043,1909.7648468519365,116.0,1,0.0,False
26752,0 days 00:59:14.929000,-1022.2885552092753,2429.085447678837,1911.5692145321989,113.0,1,0.0,False
26753,0 days 00:59:14.997000,-1030.0,2450.0,1912.0,112.43333333333334,1,0.0,False
26754,0 days 00:59:15.337000,-1045.0,2525.0,1913.0,109.6,1,0.0,False
26755,0 days 00:59:15.409000,-1046.8519406993835,2545.3687937007635,1913.3562561417182,109.0,1,0.0,False
26756,0 days 00:59:15.557000,-1050.0,2591.0,1914.0,109.52857142857142,1,0.0,False
26757,0 days 00:59:15.689000,-1050.1977653389995,2630.016571034282,1913.97877037629,110.0,1,0.0,False
26758,0 days 00:59:15.697000,-1050.0,2633.0,1914.0,110.04,1,0.0,False
26759,0 days 00:59:15.889000,-1037.631796026064,2728.2542911642868,1915.6079709726291,111.0,1,0.0,False
26760,0 days 00:59:15.937000,-1034.0,2750.0,1916.0,111.66666666666667,1,0.0,False
26761,0 days 00:59:16.249000,-1014.2823104546635,2824.1537354032216,1916.6846163024632,116.0,1,0.0,False
26762,0 days 00:59:16.437000,-999.0,2861.0,1917.0,116.94,1,0.0,False
26763,0 days 00:59:16.449000,-997.8172236810467,2864.0278301465087,1917.0441218451897,117.0,1,0.0,False
26764,0 days 00:59:16.597000,-978.0,2911.0,1918.0,119.23115506133706,1,0.0,False
26765,0 days 00:59:16.648000,-966.0377471609886,2934.0012637693935,1918.664782342402,120.0,1,0.0,False
26766,0 days 00:59:16.797000,-923.0,3009.0,1921.0,125.21499776,1,0.0,False
26767,0 days 00:59:16.848000,-911.0453005468328,3028.779570956835,1921.5052133804597,127.0,1,0.0,False
26768,0 days 00:59:17.008000,-885.2623310595973,3067.4244176556617,1921.9210488015358,132.0,1,0.0,False
26769,0 days 00:59:17.248000,-848.9925048085535,3108.729105271271,1921.9518720153744,138.0,1,0.0,False
26770,0 days 00:59:17.257000,-847.0,3111.0,1922.0,138.28928365714285,1,0.0,False
26771,0 days 00:59:17.417000,-805.0,3158.0,1923.0,143.4321408,1,0.0,False
26772,0 days 00:59:17.528000,-771.89260366715,3191.468033449567,1922.605646731148,147.0,1,0.0,False
26773,0 days 00:59:17.637000,-740.0,3222.0,1922.0,151.67142582857142,1,0.0,False
26774,0 days 00:59:17.808000,-688.976726551874,3268.3054459947825,1922.0631143029445,159.0,1,0.0,False
26775,0 days 00:59:17.836000,-675.0,3280.0,1922.0,160.4,1,0.0,False
26776,0 days 00:59:17.968000,-584.2987938387865,3353.4191906454607,1921.1819218604098,167.0,1,0.0,False
26777,0 days 00:59:17.996000,-566.0,3368.0,1921.0,168.26,1,0.0,False
26778,0 days 00:59:18.168000,-486.18967658803626,3430.0171907460335,1920.2353254428067,176.0,1,0.0,False
26779,0 days 00:59:18.408000,-424.0096532269022,3476.334400978409,1919.359907199207,180.0,1,0.0,False
26780,0 days 00:59:18.456000,-407.0,3490.0,1919.0,182.57142857142858,1,0.0,False
26781,0 days 00:59:18.688000,-299.6031632966508,3579.939006987723,1916.3290898807552,195.0,1,0.0,False
