Driver,Team,LapTimeSeconds,TyreCompound,TyreAge,AirTemp,TrackTemp,TrackLength,RaceDistance,NumLaps,LapNumber
NOR,McLaren,96.278,INTERMEDIATE,8.0,15.9,19.1,5.303,307.574,58,8.0
NOR,McLaren,94.638,INTERMEDIATE,9.0,15.9,19.1,5.303,307.574,58,9.0
NOR,McLaren,92.13,INTERMEDIATE,10.0,15.9,19.1,5.303,307.574,58,10.0
NOR,McLaren,92.189,INTERMEDIATE,11.0,16.0,19.1,5.303,307.574,58,11.0
NOR,McLaren,91.778,INTERMEDIATE,12.0,15.9,19.3,5.303,307.574,58,12.0
NOR,McLaren,91.318,INTERMEDIATE,13.0,16.0,19.3,5.303,307.574,58,13.0
NOR,McLaren,90.795,INTERMEDIATE,14.0,16.0,19.3,5.303,307.574,58,14.0
NOR,McLaren,90.226,INTERMEDIATE,15.0,16.0,19.3,5.303,307.574,58,15.0
NOR,McLaren,89.952,INTERMEDIATE,16.0,16.0,19.3,5.303,307.574,58,16.0
NOR,McLaren,90.264,INTERMEDIATE,17.0,16.1,19.4,5.303,307.574,58,17.0
NOR,McLaren,90.146,INTERMEDIATE,18.0,16.0,19.4,5.303,307.574,58,18.0
NOR,McLaren,90.551,INTERMEDIATE,19.0,16.1,19.4,5.303,307.574,58,19.0
NOR,McLaren,90.71,INTERMEDIATE,20.0,16.0,19.4,5.303,307.574,58,20.0
NOR,McLaren,90.234,INTERMEDIATE,21.0,16.0,19.4,5.303,307.574,58,21.0
NOR,McLaren,90.3,INTERMEDIATE,22.0,15.9,19.2,5.303,307.574,58,22.0
NOR,McLaren,89.922,INTERMEDIATE,23.0,15.9,19.2,5.303,307.574,58,23.0
NOR,McLaren,89.687,INTERMEDIATE,24.0,15.8,19.2,5.303,307.574,58,24.0
NOR,McLaren,89.601,INTERMEDIATE,25.0,15.7,19.2,5.303,307.574,58,25.0
NOR,McLaren,89.16,INTERMEDIATE,26.0,15.7,19.2,5.303,307.574,58,26.0
NOR,McLaren,89.25,INTERMEDIATE,27.0,15.8,19.2,5.303,307.574,58,27.0
NOR,McLaren,89.097,INTERMEDIATE,28.0,15.7,19.1,5.303,307.574,58,28.0
NOR,McLaren,88.357,INTERMEDIATE,29.0,15.7,19.1,5.303,307.574,58,29.0
NOR,McLaren,88.032,INTERMEDIATE,30.0,15.7,19.1,5.303,307.574,58,30.0
NOR,McLaren,87.695,INTERMEDIATE,31.0,15.8,19.1,5.303,307.574,58,31.0
NOR,McLaren,87.8,INTERMEDIATE,32.0,15.8,19.1,5.303,307.574,58,32.0
NOR,McLaren,87.495,INTERMEDIATE,33.0,15.9,19.0,5.303,307.574,58,33.0
NOR,McLaren,83.797,HARD,9.0,16.6,19.3,5.303,307.574,58,42.0
NOR,McLaren,82.167,HARD,10.0,16.6,19.3,5.303,307.574,58,43.0
NOR,McLaren,91.567,INTERMEDIATE,2.0,15.7,19.3,5.303,307.574,58,46.0
NOR,McLaren,93.198,INTERMEDIATE,8.0,15.2,18.7,5.303,307.574,58,52.0
NOR,McLaren,90.482,INTERMEDIATE,9.0,15.4,18.7,5.303,307.574,58,53.0
NOR,McLaren,89.428,INTERMEDIATE,10.0,15.8,18.7,5.303,307.574,58,54.0
NOR,McLaren,89.195,INTERMEDIATE,11.0,15.9,18.7,5.303,307.574,58,55.0
NOR,McLaren,87.996,INTERMEDIATE,12.0,16.1,18.7,5.303,307.574,58,56.0
NOR,McLaren,87.126,INTERMEDIATE,13.0,16.1,18.7,5.303,307.574,58,57.0
VER,Red Bull Racing,96.83,INTERMEDIATE,8.0,15.9,19.1,5.303,307.574,58,8.0
VER,Red Bull Racing,94.315,INTERMEDIATE,9.0,15.9,19.1,5.303,307.574,58,9.0
VER,Red Bull Racing,92.65,INTERMEDIATE,10.0,15.9,19.1,5.303,307.574,58,10.0
VER,Red Bull Racing,92.453,INTERMEDIATE,11.0,16.0,19.1,5.303,307.574,58,11.0
VER,Red Bull Racing,91.591,INTERMEDIATE,12.0,15.9,19.3,5.303,307.574,58,12.0
VER,Red Bull Racing,91.271,INTERMEDIATE,13.0,16.0,19.3,5.303,307.574,58,13.0
VER,Red Bull Racing,90.639,INTERMEDIATE,14.0,16.0,19.3,5.303,307.574,58,14.0
VER,Red Bull Racing,90.328,INTERMEDIATE,15.0,16.0,19.3,5.303,307.574,58,15.0
VER,Red Bull Racing,90.592,INTERMEDIATE,16.0,16.0,19.3,5.303,307.574,58,16.0
VER,Red Bull Racing,93.392,INTERMEDIATE,17.0,16.0,19.4,5.303,307.574,58,17.0
VER,Red Bull Racing,92.169,INTERMEDIATE,18.0,16.0,19.4,5.303,307.574,58,18.0
VER,Red Bull Racing,91.939,INTERMEDIATE,19.0,16.0,19.4,5.303,307.574,58,19.0
VER,Red Bull Racing,91.598,INTERMEDIATE,20.0,16.0,19.4,5.303,307.574,58,20.0
VER,Red Bull Racing,91.177,INTERMEDIATE,21.0,16.0,19.2,5.303,307.574,58,21.0
VER,Red Bull Racing,91.04,INTERMEDIATE,22.0,15.9,19.2,5.303,307.574,58,22.0
VER,Red Bull Racing,90.686,INTERMEDIATE,23.0,15.9,19.2,5.303,307.574,58,23.0
VER,Red Bull Racing,90.978,INTERMEDIATE,24.0,15.8,19.2,5.303,307.574,58,24.0
VER,Red Bull Racing,90.845,INTERMEDIATE,25.0,15.7,19.2,5.303,307.574,58,25.0
VER,Red Bull Racing,90.293,INTERMEDIATE,26.0,15.7,19.2,5.303,307.574,58,26.0
VER,Red Bull Racing,89.731,INTERMEDIATE,27.0,15.7,19.1,5.303,307.574,58,27.0
VER,Red Bull Racing,89.411,INTERMEDIATE,28.0,15.7,19.1,5.303,307.574,58,28.0
VER,Red Bull Racing,89.043,INTERMEDIATE,29.0,15.7,19.1,5.303,307.574,58,29.0
VER,Red Bull Racing,88.237,INTERMEDIATE,30.0,15.7,19.1,5.303,307.574,58,30.0
VER,Red Bull Racing,88.127,INTERMEDIATE,31.0,15.8,19.1,5.303,307.574,58,31.0
VER,Red Bull Racing,88.208,INTERMEDIATE,32.0,15.8,19.1,5.303,307.574,58,32.0
VER,Red Bull Racing,85.317,MEDIUM,8.0,16.6,19.3,5.303,307.574,58,42.0
VER,Red Bull Racing,83.081,MEDIUM,9.0,16.6,19.3,5.303,307.574,58,43.0
VER,Red Bull Racing,93.864,INTERMEDIATE,6.0,15.2,18.7,5.303,307.574,58,52.0
VER,Red Bull Racing,90.859,INTERMEDIATE,7.0,15.4,18.7,5.303,307.574,58,53.0
VER,Red Bull Racing,89.1,INTERMEDIATE,8.0,15.8,18.7,5.303,307.574,58,54.0
VER,Red Bull Racing,88.538,INTERMEDIATE,9.0,15.9,18.7,5.303,307.574,58,55.0
VER,Red Bull Racing,87.921,INTERMEDIATE,10.0,16.1,18.7,5.303,307.574,58,56.0
VER,Red Bull Racing,87.4,INTERMEDIATE,11.0,16.1,18.7,5.303,307.574,58,57.0
RUS,Mercedes,97.824,INTERMEDIATE,8.0,15.9,19.1,5.303,307.574,58,8.0
RUS,Mercedes,94.873,INTERMEDIATE,9.0,15.9,19.1,5.303,307.574,58,9.0
RUS,Mercedes,93.587,INTERMEDIATE,10.0,15.9,19.1,5.303,307.574,58,10.0
