Driver,Team,Event,Year,LapTimeSeconds,TyreCompound,TyreAge,AirTemp,TrackTemp,TrackLength,RaceDistance,NumLaps,LapNumber,TopSpeed,AvgCornerSpeed,AvgCornerEntrySpeed,AvgCornerExitSpeed,AvgStraightSpeed,AvgStraightEntrySpeed,AvgStraightExitSpeed,ThrottleMean,ThrottleStdDev,BrakeMean,BrakeStdDev,DRSMean
NOR,McLaren,Australian Grand Prix,2025,96.278,INTERMEDIATE,8.0,15.9,19.1,5.303,307.574,58,8.0,295.0,142.25257731958763,152.8,168.8,257.05357142857144,281.6,276.2,60.78453038674033,41.515647798218474,0.1850828729281768,0.38890231030873107,1.0
NOR,McLaren,Australian Grand Prix,2025,94.638,INTERMEDIATE,9.0,15.9,19.1,5.303,307.574,58,9.0,296.0,141.0777202072539,169.0,181.0,258.63313609467457,285.2,278.2,59.35635359116022,41.90647251612134,0.20165745856353592,0.4017930915714212,1.0
NOR,McLaren,Australian Grand Prix,2025,92.13,INTERMEDIATE,10.0,15.9,19.1,5.303,307.574,58,10.0,298.0,146.64880952380952,165.6,182.0,260.67816091954023,286.2,278.2,61.83918128654971,42.22749986421512,0.17543859649122806,0.3808990915182551,1.0
NOR,McLaren,Australian Grand Prix,2025,92.189,INTERMEDIATE,11.0,16.0,19.1,5.303,307.574,58,11.0,297.0,146.79113924050634,156.4,178.2,259.24309392265195,286.0,278.0,63.200589970501476,41.845954463679625,0.1710914454277286,0.3771455237051915,1.0
NOR,McLaren,Australian Grand Prix,2025,91.778,INTERMEDIATE,12.0,15.9,19.3,5.303,307.574,58,12.0,296.0,145.7941176470588,168.4,176.2,257.6666666666667,285.8,278.8,61.971181556195965,42.039539323343746,0.17002881844380405,0.37620058184406596,0.23919308357348704
NOR,McLaren,Australian Grand Prix,2025,91.318,INTERMEDIATE,13.0,16.0,19.3,5.303,307.574,58,13.0,299.0,145.11180124223603,157.8,176.6,257.21505376344084,286.2,278.4,61.930835734870314,41.949127601476555,0.17002881844380405,0.37620058184406596,0.0
NOR,McLaren,Australian Grand Prix,2025,90.795,INTERMEDIATE,14.0,16.0,19.3,5.303,307.574,58,14.0,296.0,146.14473684210526,153.4,174.0,258.57065217391306,286.4,279.6,63.32440476190476,41.93967380000235,0.1636904761904762,0.3705462841335016,0.0
NOR,McLaren,Australian Grand Prix,2025,90.226,INTERMEDIATE,15.0,16.0,19.3,5.303,307.574,58,15.0,298.0,142.1888111888112,149.4,183.2,256.6448087431694,290.6,278.8,63.05521472392638,41.51385333689019,0.15644171779141106,0.3638320508258131,0.0
NOR,McLaren,Australian Grand Prix,2025,89.952,INTERMEDIATE,16.0,16.0,19.3,5.303,307.574,58,16.0,300.0,145.70422535211267,157.0,180.4,259.4255319148936,286.6,281.0,64.46969696969697,42.07050808302439,0.18484848484848485,0.38876408651944977,0.0
NOR,McLaren,Australian Grand Prix,2025,90.264,INTERMEDIATE,17.0,16.1,19.4,5.303,307.574,58,17.0,302.0,142.73684210526315,145.2,173.4,257.89285714285717,288.8,280.6,64.45402298850574,41.38057934443783,0.14942528735632185,0.3570205115938921,0.0
NOR,McLaren,Australian Grand Prix,2025,90.146,INTERMEDIATE,18.0,16.0,19.4,5.303,307.574,58,18.0,300.0,141.83823529411765,149.4,171.0,257.43684210526317,289.0,277.8,63.92944785276074,41.90683356430671,0.1656441717791411,0.3723324185721323,0.0
NOR,McLaren,Australian Grand Prix,2025,90.551,INTERMEDIATE,19.0,16.1,19.4,5.303,307.574,58,19.0,301.0,142.69655172413792,152.4,185.4,259.53061224489795,286.6,280.0,65.18475073313783,41.596286623851,0.17302052785923755,0.37882088292763566,0.0
NOR,McLaren,Australian Grand Prix,2025,90.71,INTERMEDIATE,20.0,16.0,19.4,5.303,307.574,58,20.0,302.0,141.79354838709676,165.2,177.2,260.524064171123,289.0,280.4,63.43567251461988,41.71773903428742,0.1695906432748538,0.37582262729234683,0.0
NOR,McLaren,Australian Grand Prix,2025,90.234,INTERMEDIATE,21.0,16.0,19.4,5.303,307.574,58,21.0,301.0,142.68707482993196,163.0,173.2,259.8958333333333,289.2,278.2,63.56047197640118,42.09694047564164,0.1976401179941003,0.3988078095001767,0.0
NOR,McLaren,Australian Grand Prix,2025,90.3,INTERMEDIATE,22.0,15.9,19.2,5.303,307.574,58,22.0,301.0,141.96503496503496,156.2,175.2,258.0267379679144,287.6,283.2,64.34848484848484,41.7446618265187,0.16363636363636364,0.37050707208767264,0.0
NOR,McLaren,Australian Grand Prix,2025,89.922,INTERMEDIATE,23.0,15.9,19.2,5.303,307.574,58,23.0,301.0,142.55633802816902,146.6,166.8,258.37368421052633,290.2,281.2,63.756024096385545,41.92725818255191,0.18674698795180722,0.39029652816834753,0.0
NOR,McLaren,Australian Grand Prix,2025,89.687,INTERMEDIATE,24.0,15.8,19.2,5.303,307.574,58,24.0,303.0,142.07801418439718,172.0,178.2,261.07894736842104,289.0,279.6,63.259818731117825,41.27856790698886,0.18731117824773413,0.39075182757532434,0.0
NOR,McLaren,Australian Grand Prix,2025,89.601,INTERMEDIATE,25.0,15.7,19.2,5.303,307.574,58,25.0,304.0,143.29496402877697,155.4,173.0,257.9378238341969,290.0,282.0,63.58132530120482,41.825229965684336,0.1897590361445783,0.3927022377083978,0.0
NOR,McLaren,Australian Grand Prix,2025,89.16,INTERMEDIATE,26.0,15.7,19.2,5.303,307.574,58,26.0,302.0,142.828125,165.8,166.2,260.2139303482587,290.2,282.4,65.03039513677811,41.372184011777364,0.1702127659574468,0.37639207108811,0.0
NOR,McLaren,Australian Grand Prix,2025,89.25,INTERMEDIATE,27.0,15.8,19.2,5.303,307.574,58,27.0,305.0,140.69117647058823,170.2,177.2,259.33668341708545,291.6,274.8,64.43582089552238,41.26162946752262,0.1761194029850746,0.38149153867874297,0.0
NOR,McLaren,Australian Grand Prix,2025,89.097,INTERMEDIATE,28.0,15.7,19.1,5.303,307.574,58,28.0,307.0,143.2992700729927,162.4,181.6,259.8756476683938,292.0,284.8,64.35757575757576,41.287037570027145,0.1696969696969697,0.37593639803925416,0.0
NOR,McLaren,Australian Grand Prix,2025,87.695,INTERMEDIATE,31.0,15.8,19.1,5.303,307.574,58,31.0,304.0,139.02564102564102,163.2,178.4,260.7268292682927,295.6,287.0,67.01242236024845,40.29625301685013,0.15527950310559005,0.3627346156426515,0.0
NOR,McLaren,Australian Grand Prix,2025,87.8,INTERMEDIATE,32.0,15.8,19.1,5.303,307.574,58,32.0,306.0,138.31967213114754,157.6,184.2,258.04977375565613,293.4,288.4,66.1603498542274,41.145092747339696,0.16034985422740525,0.36746626537887683,0.0
NOR,McLaren,Australian Grand Prix,2025,87.495,INTERMEDIATE,33.0,15.9,19.0,5.303,307.574,58,33.0,305.0,136.29661016949152,163.8,161.4,258.5837320574163,296.2,285.6,66.37003058103976,41.05877226684221,0.1620795107033639,0.3690885221961498,0.0
NOR,McLaren,Australian Grand Prix,2025,83.797,HARD,9.0,16.6,19.3,5.303,307.574,58,42.0,298.0,147.5050505050505,167.2,185.8,260.3507109004739,291.0,289.4,70.87096774193549,39.90655909255232,0.14516129032258066,0.35283292678669725,1.0
NOR,McLaren,Australian Grand Prix,2025,82.167,HARD,10.0,16.6,19.3,5.303,307.574,58,43.0,302.0,149.73563218390805,177.2,178.4,261.06363636363636,295.6,287.8,72.06840390879479,39.64423337958025,0.14006514657980457,0.34762122866400236,0.019543973941368076
NOR,McLaren,Australian Grand Prix,2025,93.198,INTERMEDIATE,8.0,15.2,18.7,5.303,307.574,58,52.0,299.0,141.88888888888889,151.4,170.8,258.96774193548384,291.0,283.8,61.627450980392155,41.96960681269646,0.19327731092436976,0.3954227773948236,1.0
NOR,McLaren,Australian Grand Prix,2025,90.482,INTERMEDIATE,9.0,15.4,18.7,5.303,307.574,58,53.0,301.0,142.0,155.0,180.2,260.0315789473684,292.8,287.4,65.85410334346504,41.00263959976021,0.182370820668693,0.38673804220985586,1.0
NOR,McLaren,Australian Grand Prix,2025,89.428,INTERMEDIATE,10.0,15.8,18.7,5.303,307.574,58,54.0,303.0,142.3310344827586,159.8,175.0,260.3968253968254,295.4,286.0,64.62574850299401,41.209135498541585,0.17664670658682635,0.38194163473818643,0.6137724550898204
NOR,McLaren,Australian Grand Prix,2025,89.195,INTERMEDIATE,11.0,15.9,18.7,5.303,307.574,58,55.0,303.0,143.74825174825176,166.8,169.6,258.8556701030928,296.0,285.0,66.74777448071217,40.10505404080209,0.1661721068249258,0.37278856678978106,0.0
NOR,McLaren,Australian Grand Prix,2025,87.996,INTERMEDIATE,12.0,16.1,18.7,5.303,307.574,58,56.0,302.0,143.00806451612902,163.4,172.6,260.46078431372547,295.2,287.0,69.57317073170732,39.44036042282941,0.17378048780487804,0.3794995585897194,0.0
NOR,McLaren,Australian Grand Prix,2025,87.126,INTERMEDIATE,13.0,16.1,18.7,5.303,307.574,58,57.0,304.0,140.28925619834712,163.6,172.0,262.82125603864733,296.2,287.6,69.17073170731707,39.399639818297715,0.14939024390243902,0.3570173675898647,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,96.83,INTERMEDIATE,8.0,15.9,19.1,5.303,307.574,58,8.0,306.0,141.11,151.6,180.0,257.6871165644172,287.0,275.4,57.56749311294766,43.923561693867136,0.24517906336088155,0.43078709717952074,1.0
VER,Red Bull Racing,Australian Grand Prix,2025,94.315,INTERMEDIATE,9.0,15.9,19.1,5.303,307.574,58,9.0,307.0,141.43229166666666,162.2,179.8,260.68823529411765,287.6,278.0,58.17955801104972,44.27849814686644,0.23480662983425415,0.42446458522596225,1.0
VER,Red Bull Racing,Australian Grand Prix,2025,92.65,INTERMEDIATE,10.0,15.9,19.1,5.303,307.574,58,10.0,308.0,143.92814371257484,147.6,170.2,260.1525423728813,288.0,277.2,62.25581395348837,43.165607205270355,0.20348837209302326,0.4031791084002288,1.0
VER,Red Bull Racing,Australian Grand Prix,2025,92.453,INTERMEDIATE,11.0,16.0,19.1,5.303,307.574,58,11.0,306.0,144.9329268292683,158.4,179.4,260.8448275862069,285.4,272.0,63.81656804733728,42.88770193086575,0.19230769230769232,0.39469779597607074,1.0
VER,Red Bull Racing,Australian Grand Prix,2025,91.591,INTERMEDIATE,12.0,15.9,19.3,5.303,307.574,58,12.0,307.0,143.4047619047619,163.0,182.0,258.21666666666664,284.6,278.2,63.11494252873563,42.867445387614225,0.20402298850574713,0.40356612011275006,0.22701149425287356
VER,Red Bull Racing,Australian Grand Prix,2025,91.271,INTERMEDIATE,13.0,16.0,19.3,5.303,307.574,58,13.0,307.0,142.53086419753086,168.4,173.4,259.0430107526882,287.6,279.0,63.89942528735632,42.74431319962863,0.19827586206896552,0.39927515563279764,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,93.392,INTERMEDIATE,17.0,16.1,19.4,5.303,307.574,58,17.0,308.0,137.37430167597765,166.0,179.6,260.6033519553073,287.6,277.2,62.597765363128495,43.211553019072824,0.20949720670391062,0.40751934358793096,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,92.169,INTERMEDIATE,18.0,16.0,19.4,5.303,307.574,58,18.0,307.0,140.9620253164557,164.8,170.6,259.7909604519774,287.2,276.8,62.75223880597015,43.479103516258604,0.21791044776119403,0.4134437573109307,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,91.939,INTERMEDIATE,19.0,16.1,19.4,5.303,307.574,58,19.0,305.0,139.8535031847134,162.0,181.4,258.91052631578947,288.2,280.0,64.12968299711815,42.817166222318164,0.18155619596541786,0.3860349787012353,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,91.598,INTERMEDIATE,20.0,16.0,19.4,5.303,307.574,58,20.0,304.0,143.03205128205127,154.0,178.2,258.0,288.4,279.0,64.57514450867052,42.731671933250404,0.2023121387283237,0.40230549459665466,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,91.177,INTERMEDIATE,21.0,16.0,19.4,5.303,307.574,58,21.0,303.0,144.45222929936307,166.4,179.4,260.8,289.6,279.4,63.77777777777778,43.350481605834595,0.1871345029239766,0.39059091939443313,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,91.04,INTERMEDIATE,22.0,15.9,19.2,5.303,307.574,58,22.0,305.0,144.83333333333334,163.8,177.6,259.3195266272189,289.0,277.6,62.48036253776435,43.29261335120876,0.17522658610271905,0.38073635993412264,0.0
VER,Red Bull Racing,Australian Grand Prix,2025,90.686,INTERMEDIATE,23.0,15.9,19.2,5.303,307.574,58,23.0,306.0,142.2565789473684,160.0,181.0,258.79891304347825,288.0,277.0,63.979166666666664,42.574494998509486,0.16964285714285715,0.37587850189606914,0.0
