Driver,Event,PredictedCategory,TrueCategory,Bad at both_probability,Good at both_probability,Good in corners_probability,Good in straights_probability
RUS,Azerbaijan Grand Prix,Good in straights,Good in straights,9.704773701257538e-05,0.0033039267993901617,0.0005972436244460589,0.9960017818391512
SAI,Azerbaijan Grand Prix,Good at both,Good at both,0.00015715477141006487,0.9303304954854279,0.06806870372994848,0.0014436460132133842
STR,Azerbaijan Grand Prix,Bad at both,Bad at both,0.8037889632613996,0.019576270220258846,0.11899108213925035,0.05764368437909148
COL,Azerbaijan Grand Prix,Good in corners,Good in corners,0.0059668747224810225,4.365601852470506e-06,0.9940272929064471,1.4667692193866054e-06
VER,Azerbaijan Grand Prix,Good in straights,Good in straights,5.87098785673095e-09,8.982467495351247e-09,2.979112287077371e-09,0.9999999821674324
RUS,Azerbaijan Grand Prix,Good in straights,Good in straights,0.02457199899825583,0.0008116486777449369,0.0004155115380481004,0.974200840785951
LEC,Azerbaijan Grand Prix,Good at both,Good at both,0.007443718904833556,0.9302918407806583,0.029914426131709835,0.03235001418279824
SAI,Azerbaijan Grand Prix,Good in straights,Good in straights,0.0012770197642308955,0.01945682906879515,0.0008594668987168104,0.9784066842682566
LAW,Azerbaijan Grand Prix,Good in corners,Good in corners,1.9672767306954727e-10,3.5277692480329536e-10,0.9999998052735305,1.9417696496948917e-07
HAD,Azerbaijan Grand Prix,Good in corners,Good in corners,0.001904183624584647,0.09437821811818499,0.9017389565493703,0.0019786417078600806
LEC,Azerbaijan Grand Prix,Good in corners,Good in corners,1.8723643461780895e-05,0.001879950285483631,0.9979381284231091,0.00016319764794517908
HAD,Azerbaijan Grand Prix,Good in corners,Bad at both,0.44004142676311686,0.00043134418532717755,0.5590807504412941,0.0004464786102619894
OCO,Azerbaijan Grand Prix,Good in straights,Bad at both,0.4361266033043929,0.0005890865242983805,0.0010730907737729956,0.5622112193975357
VER,Azerbaijan Grand Prix,Good in corners,Good in corners,0.289092363100791,4.36044830354043e-05,0.7105455465324209,0.00031848588375285803
STR,Azerbaijan Grand Prix,Good in straights,Good in straights,0.04986619936012052,0.009393948828014628,0.0024172881750857255,0.9383225636367795
VER,Azerbaijan Grand Prix,Good in corners,Good in corners,9.388922866970952e-06,0.003564608974961577,0.9963421507812551,8.38513209161191e-05
TSU,Azerbaijan Grand Prix,Good in corners,Good in corners,0.17221193975176013,0.027469439703832713,0.779229228259708,0.0210893922846994
VER,Azerbaijan Grand Prix,Bad at both,Bad at both,0.7850308003156797,0.0003574693547072162,0.2145534990514305,5.8231278182591585e-05
VER,Azerbaijan Grand Prix,Good at both,Good at both,1.1882855118553809e-06,0.9984669787658407,0.0012811732245054878,0.00025065972414190933
